"Region_code","Structure","Subregion","Species","Group","n_MH","MH_mean_Vol.cc","MH_sd_Vol.cc","MH_mean_Vol.mm3","MH_sd_Vol.mm3","MH_relative_volume","ANOVA_F","ANOVA_p","significant","source"
"Fr SM","FrontalLobe","superior and middle region","Homo sapiens","MH",1185,161.61,5.22,161610,5220,1,NA,NA,FALSE,"Kochiyama_etal_2018"
"Fr I","FrontalLobe","inferior region","Homo sapiens","MH",1185,41.57,1,41570,1000,1,NA,NA,FALSE,"Kochiyama_etal_2018"
"Fr O","FrontalLobe","orbitofrontal region","Homo sapiens","MH",1185,65.46,3.45,65460,3450,1,NA,NA,FALSE,"Kochiyama_etal_2018"
"Sm","SensorimotorCortex","whole (sensorimotor cortex)","Homo sapiens","MH",1185,96.93,2.82,96930,2820,1,NA,NA,FALSE,"Kochiyama_etal_2018"
"Pa SI","ParietalLobe","superior and inferior region","Homo sapiens","MH",1185,88.3,1.98,88300,1980,1,9.31,0.0001,TRUE,"Kochiyama_etal_2018"
"Pa TP","ParietalLobe","temporo-parietal junction","Homo sapiens","MH",1185,37.38,1.41,37380,1410,1,NA,NA,FALSE,"Kochiyama_etal_2018"
"Te SM","TemporalLobe","superior and middle region","Homo sapiens","MH",1185,91.27,3.92,91270,3920,1,NA,NA,FALSE,"Kochiyama_etal_2018"
"Te I","TemporalLobe","inferior region","Homo sapiens","MH",1185,82.5,2.6,82500,2600,1,NA,NA,FALSE,"Kochiyama_etal_2018"
"Oc SM","OccipitalLobe","superior and middle region","Homo sapiens","MH",1185,93.7,4.17,93700,4170,1,8.15,0.0003,TRUE,"Kochiyama_etal_2018"
"Oc I","OccipitalLobe","inferior region","Homo sapiens","MH",1185,39.99,1.32,39990,1320,1,NA,NA,FALSE,"Kochiyama_etal_2018"
"Ce V","Cerebellum","vermis","Homo sapiens","MH",1185,12.38,0.23,12380,230,1,7.34,0.0007,TRUE,"Kochiyama_etal_2018"
"Ce A","Cerebellum","anterior region","Homo sapiens","MH",1185,13.86,0.21,13860,210,1,NA,NA,FALSE,"Kochiyama_etal_2018"
"Ce P","Cerebellum","posterior region","Homo sapiens","MH",1185,114.41,3.76,114410,3760,1,6.7,0.0013,TRUE,"Kochiyama_etal_2018"
