Region,Group,Volume.cm3,Volume_CV,Volume_2p,Surface.cm2,Surface_CV,Surface_2p,Thickness.mm,Thickness_CV,Thickness_2p
Frontal,Control,157,0.20,0.01,596,0.18,0.007,2.62,0.05,NS
Frontal,DS,87.6,0.17,,363,0.14,,2.40,0.09,
Temporal,Control,105,0.20,0.01,433,0.19,0.02,2.44,0.12,NS
Temporal,DS,57.1,0.22,,240,0.17,,2.38,0.07,
Parietal,Control,91.8,0.18,0.005,336,0.21,0.02,2.76,0.14,NS
Parietal,DS,50.0,0.11,,203,0.06,,2.47,0.17,
Occipital,Control,48.5,0.28,NS,207,0.26,NS,2.35,0.17,NS
Occipital,DS,35.7,0.09,,143,0.25,,2.57,0.18,
Total neocortex,Control,403,0.17,0.005,1572,0.17,0.005,2.56,0.06,NS
Total neocortex,DS,230,0.13,,950,0.13,,2.43,0.09,
Allocortex,Control,33.2,0.19,0.02,,,,,,
Allocortex,DS,19.7,0.06,,,,,,,
Central gray nuclei,Control,37.9,0.16,0.006,,,,,,
Central gray nuclei,DS,23.0,0.05,,,,,,,
White matter,Control,416,0.13,<0.001,,,,,,
White matter,DS,207,0.12,,,,,,,
Ventricles,Control,20.5,0.27,0.02,,,,,,
Ventricles,DS,70.0,0.17,,,,,,,
