Species,Species_printed,Standardized_Term,Value,Units,source,team,ref,species_confidence,dependency_group
Chlorocebus pygerythrus,Vervet monkey,REM_sleep_pct,6,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,medium,REM_pct
Eulemur mongoz,Mongoose lemur,REM_sleep_pct,7,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Microcebus murinus,Gray mouse lemur,REM_sleep_pct,7,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Ateles geoffroyi,Spider monkey,REM_sleep_pct,7,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,review,REM_pct
Papio cynocephalus,Yellow baboon,REM_sleep_pct,8,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Erythrocebus patas,Patas monkey,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Eulemur macaco,Black lemur,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Macaca sylvanus,Barbary macaque,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Galago senegalensis,Senegal galago,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Chlorocebus sabaeus,Green monkey,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,medium,REM_pct
Eulemur fulvus,Brown lemur,REM_sleep_pct,9,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,review,REM_pct
Papio papio,Guinea baboon,REM_sleep_pct,11,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Aotus trivirgatus,Three-striped night monkey,REM_sleep_pct,11,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Macaca fascicularis,Long-tailed macaque,REM_sleep_pct,11,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Macaca nemestrina,Pigtail macaque,REM_sleep_pct,12,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Pongo pygmaeus,Bornean orangutan,REM_sleep_pct,12,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Papio hamadryas,Hamadryas baboon,REM_sleep_pct,13,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Papio anubis,Olive baboon,REM_sleep_pct,13,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Macaca radiata,Bonnet macaque,REM_sleep_pct,14,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Callithrix jacchus,Common marmoset,REM_sleep_pct,14,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Macaca arctoides,Stump-tailed macaque,REM_sleep_pct,15,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Saimiri sciureus,Common squirrel monkey,REM_sleep_pct,15,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Pan troglodytes,Chimpanzee,REM_sleep_pct,16,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Macaca mulatta,Rhesus monkey,REM_sleep_pct,18,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Homo sapiens,Human,REM_sleep_pct,21,percent,Eagleman_Vaughn_2021_TABLE1,Eagleman_2021,Table1,high,REM_pct
Aotus trivirgatus,Aotus trivirgatus,Sleep_h_day,16.97,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Callithrix sp.,Callithrix sp.,Sleep_h_day,10.22,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
Cebus apella,Cebus apella,Sleep_h_day,5.95,hours/day,HerculanoHouzel__2015_Table1,HerculanoHouzel_2015,Table1,high,dailysleep
