table,structure,subregion,species_printed,species,is_average,measure,value,sd,units,n_areas,reference
S19,Caudate,Caudate,mouse,Mus musculus,False,CMRgl,1.25,0.16,umol/g/min,,Bouilleret et al 2000
S19,Caudate,Caudate,rat,Rattus norvegicus,False,CMRgl,0.85,0.04,umol/g/min,,Nehling et al 1988
S19,Caudate,Caudate,rat,Rattus norvegicus,False,CMRgl,0.82,0.14,umol/g/min,,Dube et al 2001
S19,Caudate,Caudate,rat,Rattus norvegicus,False,CMRgl,0.82,0.06,umol/g/min,,Waschke et al 1993
S19,Caudate,Caudate,rat,Rattus norvegicus,False,CMRgl,0.85,0.09,umol/g/min,,Nehling et al 2000
S19,Caudate,Caudate,rat,Rattus norvegicus,False,CMRgl,0.77,0.09,umol/g/min,,Blin et al 1991
S19,Caudate,Caudate,rat,Rattus norvegicus,False,CMRgl,0.87,0.07,umol/g/min,,Zocchi et al 2001
S19,Caudate,Caudate,average rat,Rattus norvegicus,True,CMRgl,0.83,0.09,umol/g/min,,
S19,Caudate,Caudate,cat,Felis catus,False,CMRgl,0.77,0.06,umol/g/min,,Schwartzman et al 1986
S19,Caudate,Caudate,cat,Felis catus,False,CMRgl,0.83,0.11,umol/g/min,,Chugani et al 1991
S19,Caudate,Caudate,cat,Felis catus,False,CMRgl,0.77,0.02,umol/g/min,,Sokoloff 1984
S19,Caudate,Caudate,average cat,Felis catus,True,CMRgl,0.79,0.1,umol/g/min,,
S19,Caudate,Caudate,monkey,Macaca mulatta,False,CMRgl,0.6,0.04,umol/g/min,,Porrino et al 2002
S19,Caudate,Caudate,monkey,Macaca mulatta,False,CMRgl,0.52,0.03,umol/g/min,,Kennedy et al 1978
S19,Caudate,Caudate,monkey,Macaca mulatta,False,CMRgl,0.51,0.03,umol/g/min,,Palombo et al 1990
S19,Caudate,Caudate,average monkey,Macaca mulatta,True,CMRgl,0.54,0.04,umol/g/min,,
S19,Caudate,Caudate,baboon,Papio anubis,False,CMRgl,0.41,0.08,umol/g/min,,Meguro et al 1999
S19,Caudate,Caudate,human,Homo sapiens,False,CMRgl,0.32,0.06,umol/g/min,,Blin et al 1991
S19,Caudate,Caudate,human,Homo sapiens,False,CMRgl,0.39,0.04,umol/g/min,,Heiss et al 1985
S19,Caudate,Caudate,human,Homo sapiens,False,CMRgl,0.35,0.06,umol/g/min,,Maquet et al 1992
S19,Caudate,Caudate,average human,Homo sapiens,True,CMRgl,0.35,0.06,umol/g/min,,
