Species,Body_weight_current,Body_weight_current_source,Species_Bauernfeind2013,Number_of_individuals_2013b,Body_weight_2013b,Brain_weight_2013b,Total_brain_net_volume_2013b,Agranular_insular_cortex,Dysgranular_insular_cortex,fronto_insular_cortex,Granular_insular_cortex,Insula
AAAA_Anatomy_code,,,,Number_of_individuals_13b,Body_mass,Brain_mass,Brain_volume,Agranular_volume,Dysgranular_volume,FI_volume,Granular_volume,Total_insula_volume
AAAA_Reference,ALL,ALL,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013,Bauernfeind_2013
Potamogale velox,660,Stephan_1981,,,,,,,,,,
Propithecus verreauxi,3480,Stephan_1981,,,,,,,,,,
Pygathrix nemaeus,7500,Stephan_1981,,,,,,,,,,
Rattus norvegicus,233.7,Stephan_1981,,,,,,,,,,
Rhynchocyon cirnei,490,Stephan_1981,,,,,,,,,,
Ruwenzorisorex suncoides,,,,,,,,,,,,
Saguinus geoffroyi,482,Bauernfeind_2013,Saguinus geoffroyi,1,482,10500,10135,6,9,,9,23
Saguinus midas,340,Stephan_1981,,,,,,,,,,
Saguinus oedipus,380,Stephan_1981,Saguinus oedipus,1,418,9300,8938.2,6,13,,7,26
Saimiri sciureus,660,Stephan_1981,,,,,,,,,,
Scutisorex somereni,,,,,,,,,,,,
Setifer setosus,237,Frahm_1994,,,,,,,,,,
Solenodon paradoxus,900,Stephan_1981,,,,,,,,,,
Sorex araneus,10.3,Stephan_1981,,,,,,,,,,
Sorex cinereus,,,,,,,,,,,,
Sorex fumeus,,,,,,,,,,,,
Sorex minutus,5.3,Stephan_1981,,,,,,,,,,
Spalax ehrenbergi,112.9,Stephan_1981,,,,,,,,,,
Suncus etruscus,,,,,,,,,,,,
Suncus megalura,,,,,,,,,,,,
Suncus murinus,35.5,Stephan_1981,,,,,,,,,,
Sylvisorex granti,,,,,,,,,,,,
Symphalangus syndactylus,11900,Bauernfeind_2013,Symphalangus syndactylus,1,11900,138700,133880,71,147,,198,416
Talpa europaea,76,Stephan_1981,,,,,,,,,,
Tarsius sp.,125,Stephan_1981,,,,,,,,,,
Tenrec ecaudatus,832,Stephan_1981,,,,,,,,,,
Trachypithecus francoisi,7700,Bauernfeind_2013,Trachypithecus francoisi,1,7700,102100,98552,160,217,,249,625
Tupaia glis,170,Stephan_1981,,,,,,,,,,
Tupaia minor,70,Stephan_1981,,,,,,,,,,
Urogale everetti,275,Stephan_1981,,,,,,,,,,
Varecia variegata,3000,Stephan_1981,Varecia variegata,1,3550,31500,30405,12,44,,44,100
