status,csv_label,paper_species,n_indiv,n_measure_mismatch,granular_snap,dysgranular_snap,agranular_snap,FI_snap,total_insula_snap,brain_volume_snap,brain_mass_snap,granular_csv,dysgranular_csv,agranular_csv,FI_csv,total_insula_csv,brain_volume_csv,brain_mass_csv,granular_match,dysgranular_match,agranular_match,FI_match,total_insula_match,brain_volume_match,brain_mass_match
csv_only_not_in_snapshot,Eulemur fulvus,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Galago senegalensis,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Galemys pyrenaicus,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,Gorilla gorilla,Gorilla gorilla,4,7,394.5,948.7500000000001,570,232,2145.5,401785,416250,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,Gorilla sp.,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,394.5,948.75,570,232,2145.5,401785,416250,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,Hemicentetes semispinosus,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Hemiechinus auritus,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Hylomys suillus,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Lagothrix lagothricha,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Lepilemur ruficaudatus,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Macaca fascicularis,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Macaca mulatta,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Microcebus murinus,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Microgale cowani,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Microgale mergulus,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Micropotamogale lamottei,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Micropotamogale ruwenzorii,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Microsorex hoyi,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Miopithecus talapoin,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Myosorex babaulti,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Nasalis larvatus,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Neomys fodiens,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,Nesogale dobsoni,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
