Species,Species_printed,Compilation,Table,Region,Region_raw,Measure,Value,SD,n,Units,conscious,ref_raw,ref_keys_str
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,40,NA,7,mL/100g/min,anesthetized,"(Michenfelder, 1974)",michenfelder1974
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,50.9,NA,6,mL/100g/min,anesthetized,"(Roald etal., 1986a)",roald1986
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,45.6,NA,13,mL/100g/min,anesthetized,"(Zimmer, 1975)",zimmer1975
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,60.3,NA,10,mL/100g/min,anesthetized,"(Hamer etal., 1978)",hamer1978
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,19.6,NA,12,mL/100g/min,anesthetized,"(Astrup et al., 1981)",astrup1981
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,66,NA,5,mL/100g/min,anesthetized,"(McPherson et al., 1997)",mcpherson1997
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,74,NA,6,mL/100g/min,anesthetized,"(McPherson et al., 1997)",mcpherson1997
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,45,NA,6,mL/100g/min,anesthetized,"(Roald et al., 1986b)",roald1986
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,62.7,NA,16,mL/100g/min,anesthetized,"(Sakabe et al., 1974)",sakabe1974
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,63,NA,7,mL/100g/min,anesthetized,"(Nakanishi et al., 1997)",nakanishi1997
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,173,NA,7,mL/100g/min,anesthetized,"(Nakanishi et al., 1997)",nakanishi1997
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,66,NA,6,mL/100g/min,anesthetized,"(Lanier et al., 1994)",lanier1994
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,70,NA,6,mL/100g/min,anesthetized,"(Lanier et al., 1990)",lanier1990
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,103,NA,6,mL/100g/min,anesthetized,"(Roald et al., 1991)",roald1991
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,83,NA,18,mL/100g/min,anesthetized,"(Milde et al., 1990)",milde1990
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,51.5,NA,6,mL/100g/min,anesthetized,"(Roald etal., 1988)",roald1988
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,58.8,NA,5,mL/100g/min,anesthetized,"(Roald et al., 1989)",roald1989
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,66,NA,9,mL/100g/min,anesthetized,"(Fleischer et al., 1988)",fleischer1988
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,69.5,NA,12,mL/100g/min,anesthetized,1988),anon1988
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,145,NA,6,mL/100g/min,anesthetized,"(Milde et al., 1985)",milde1985
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,62.6,NA,12,mL/100g/min,anesthetized,"(Lanier et al., 1985)",lanier1985
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,67,NA,12,mL/100g/min,anesthetized,"(Lanier et al., 1986)",lanier1986
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,112,NA,12,mL/100g/min,anesthetized,"(Nugent et al., 1982)",nugent1982
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,56,NA,6,mL/100g/min,anesthetized,"(Steen et al., 1983)",steen1983
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,59,NA,10,mL/100g/min,anesthetized,"(Miyauchi et al., 1985)",miyauchi1985
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,78,NA,14,mL/100g/min,anesthetized,"(Artru and Michenfelder, 1980)",artru1980
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,57,NA,10,mL/100g/min,anesthetized,"(Boarini et al., 1984)",boarini1984
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,68,NA,6,mL/100g/min,anesthetized,"(Kassell et al., 1983)",kassell1983
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,22.9,NA,10,mL/100g/min,anesthetized,"(Qureshi et al., 1999)",qureshi1999
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,39.9,NA,6,mL/100g/min,anesthetized,"(Rhodes et al., 1981)",rhodes1981
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,62,NA,6,mL/100g/min,anesthetized,"(Forsman et al., 1986)",forsman1986
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,124,NA,6,mL/100g/min,anesthetized,"(Artru and Michenfelder, 1981)",artru1981
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,49.5,NA,9,mL/100g/min,anesthetized,"(Chen et al., 1984)",chen1984
Canis lupus familiaris,Canis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,30.8,NA,12,mL/100g/min,conscious,"(Roth et al., 1970)",roth1970
Equus caballus,Equus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,68.8,NA,6,mL/100g/min,conscious,"(Wagerle et al., 1983)",wagerle1983
Equus caballus,Equus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,62,NA,12,mL/100g/min,conscious,"(Busija et al., 1980)",busija1980
Felis catus,Felis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,38,NA,7,mL/100g/min,anesthetized,"(Haller et al., 1990)",haller1990
Felis catus,Felis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,29.6,NA,7,mL/100g/min,anesthetized,"(Unterberg et al., 1988)",unterberg1988
Felis catus,Felis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,29.9,NA,24,mL/100g/min,anesthetized,"(Andersen et al., 1988)",andersen1988
Felis catus,Felis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,38,NA,5,mL/100g/min,anesthetized,"(Fiat and Kang, 1993)",fiat1993
Felis catus,Felis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,60,NA,20,mL/100g/min,anesthetized,"(Kobayashi et al., 1992)",kobayashi1992
Felis catus,Felis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,76,NA,9,mL/100g/min,anesthetized,"(Stingele et al., 1996)",stingele1996
Felis catus,Felis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,52.6,NA,6,mL/100g/min,anesthetized,"(Frewen et al., 1989)",frewen1989
Felis catus,Felis,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,51,NA,18,mL/100g/min,anesthetized,"(Todd and Drummond, 1984)",todd1984
Homo sapiens,Homo,Kaufman_2004,TableA1,Basal_ganglia,Basal Ganglia,CBF,50.4,NA,3,mL/100g/min,conscious,"(De Voider et al., 1997)",de1997
Homo sapiens,Homo,Kaufman_2004,TableA1,Basal_ganglia,Basal Ganglia,CBF,50.1,NA,7,mL/100g/min,conscious,"(Hatazawa et al., 1988)",hatazawa1988
Homo sapiens,Homo,Kaufman_2004,TableA1,Basal_ganglia,Basal Ganglia,CBF,40.1,NA,8,mL/100g/min,conscious,"(Herold et al., 1988)",herold1988
Homo sapiens,Homo,Kaufman_2004,TableA1,Basal_ganglia,Basal Ganglia,CBF,42.4,NA,34,mL/100g/min,conscious,"(Leenders etal., 1990)",leenders1990
Homo sapiens,Homo,Kaufman_2004,TableA4,Cerebellum,Cerebellum,CBF,52.7,NA,3,mL/100g/min,conscious,"(De Voider et al., 1997)",de1997
Homo sapiens,Homo,Kaufman_2004,TableA4,Cerebellum,Cerebellum,CBF,51.1,NA,14,mL/100g/min,conscious,"(Yamaguchi et a l, 1992a)",yamaguchi1992
Homo sapiens,Homo,Kaufman_2004,TableA4,Cerebellum,Cerebellum,CBF,49.4,NA,34,mL/100g/min,conscious,"(Leenders et al., 1990)",leenders1990
Homo sapiens,Homo,Kaufman_2004,TableA4,Cerebellum,Cerebellum,CBF,87.1,NA,14,mL/100g/min,conscious,"(Ishii et al., 1996b)",ishii1996
Homo sapiens,Homo,Kaufman_2004,TableA4,Cerebellum,Cerebellum,CBF,48.4,NA,8,mL/100g/min,conscious,"(Kaisti et al., 2003)",kaisti2003
Homo sapiens,Homo,Kaufman_2004,TableA4,Cerebellum,Cerebellum,CBF,35.4,NA,8,mL/100g/min,anesthetized,"(Kaisti et al., 2003)",kaisti2003
Homo sapiens,Homo,Kaufman_2004,TableA2,Hippocampus,Hippocampus,CBF,42.2,NA,14,mL/100g/min,conscious,"(Yamaguchi et al., 1986)",yamaguchi1986
Homo sapiens,Homo,Kaufman_2004,TableA2,Hippocampus,Hippocampus,CBF,52.6,NA,26,mL/100g/min,conscious,"(Seitz and Roland, 1992)",seitz1992
Homo sapiens,Homo,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,48.9,NA,3,mL/100g/min,conscious,"(De Voider et al., 1997)",de1997
Homo sapiens,Homo,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,43.9,NA,7,mL/100g/min,conscious,"(Frackowiak et al., 1988)",frackowiak1988
Homo sapiens,Homo,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,44.2,NA,7,mL/100g/min,conscious,"(Hatazawa et al., 1988)",hatazawa1988
Homo sapiens,Homo,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,43,NA,20,mL/100g/min,conscious,"(Yamaki et al., 1996)",yamaki1996
Homo sapiens,Homo,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,44.9,NA,7,mL/100g/min,conscious,"(Shishido et al., 1996)",shishido1996
Homo sapiens,Homo,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,42.2,NA,7,mL/100g/min,conscious,"(Sasaki et al., 1986)",sasaki1986
Homo sapiens,Homo,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,42.6,NA,14,mL/100g/min,conscious,"(Yamaguchi etal., 1986)",yamaguchi1986
Homo sapiens,Homo,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,47.5,NA,10,mL/100g/min,conscious,"(Yamaguchi et al., 1992a)",yamaguchi1992
Homo sapiens,Homo,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,42.8,NA,34,mL/100g/min,conscious,"(Leenders et al., 1990)",leenders1990
Homo sapiens,Homo,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,46.1,NA,16,mL/100g/min,conscious,"(Hayashi et al., 2000)",hayashi2000
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CBF,55.9,NA,3,mL/100g/min,conscious,"De Voider et al., 1997)",de1997
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CBF,45.4,NA,7,mL/100g/min,conscious,"Sasaki et al., 1986)",sasaki1986
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CBF,54.8,NA,8,mL/100g/min,conscious,"Kaisti et al., 2003)",kaisti2003
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CBF,39.9,NA,8,mL/100g/min,anesthetized,"Kaisti et al., 2003)",kaisti2003
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CBF,46,NA,18,mL/100g/min,conscious,"Pantano et al., 1984)",pantano1984
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CBF,53.7,NA,32,mL/100g/min,conscious,"Perlmutter et al., 1987)",perlmutter1987
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CBF,67,NA,6,mL/100g/min,conscious,"W essenetal., 1997)",w1997
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CBF,48.9,NA,14,mL/100g/min,conscious,"Yamaguchi et al., 1986)",yamaguchi1986
Homo sapiens,Homo,Kaufman_2004,TableA3,Thalamus,Thalamus,CBF,62.2,NA,26,mL/100g/min,conscious,"Seitz and Roland, 1992)",seitz1992
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CBF,28.6,NA,7,mL/100g/min,conscious,"(Hatazawa et al., 1988)",hatazawa1988
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CBF,19.3,NA,7,mL/100g/min,conscious,"(Sasaki et al., 1986)",sasaki1986
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CBF,25,NA,20,mL/100g/min,conscious,"(Yamaki et al., 1996)",yamaki1996
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CBF,22.2,NA,34,mL/100g/min,conscious,"(Leenders et al., 1990)",leenders1990
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CBF,21.2,NA,27,mL/100g/min,conscious,"(Lenzi et al., 1981)",lenzi1981
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CBF,24.5,NA,18,mL/100g/min,conscious,"(Pantano et al., 1984)",pantano1984
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CBF,23,NA,6,mL/100g/min,conscious,"(Tohgi et al., 1998)",tohgi1998
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CBF,18,NA,6,mL/100g/min,conscious,"(Wessen et al., 1997)",wessen1997
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CBF,21,NA,14,mL/100g/min,conscious,"(Yamaguchi et al., 1986)",yamaguchi1986
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CBF,21.4,NA,7,mL/100g/min,conscious,"(Frackowiak et al., 1988)",frackowiak1988
Homo sapiens,Homo,Kaufman_2004,TableA5,White_matter,White Matter,CBF,29.6,NA,26,mL/100g/min,conscious,"(Seitz and Roland, 1992)",seitz1992
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,41.4,NA,6,mL/100g/min,conscious,"(Bednarczyk et al., 1992)",bednarczyk1992
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,50.2,NA,7,mL/100g/min,conscious,"(Blomqvist et al., 1990)",blomqvist1990
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,50.8,NA,10,mL/100g/min,anesthetized,"(Cohen et al., 1964)",cohen1964
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,44.97,NA,9,mL/100g/min,conscious,"(Cohen et al., 1967)",cohen1967
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,62.1,NA,15,mL/100g/min,conscious,"(Dastur, 1985)",dastur1985
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,52.9,NA,15,mL/100g/min,conscious,"(Hoyer et al., 1984)",hoyer1984
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,48.2,NA,6,mL/100g/min,conscious,"(Jobes et al., 1977)",jobes1977
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,50.6,NA,8,mL/100g/min,conscious,"(Madsen et al., 1995)",madsen1995
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,45,NA,9,mL/100g/min,conscious,"(Mielck et al., 1998)",mielck1998
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,35,NA,9,mL/100g/min,anesthetized,"(Mielck et al., 1998)",mielck1998
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,42.54,NA,7,mL/100g/min,conscious,"(Ogawaetal., 1996)",ogawaetal1996
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,43,NA,4,mL/100g/min,conscious,"(Redies et al., 1989)",redies1989
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,64.7,NA,20,mL/100g/min,conscious,"(Scheinberg and Stead, 1949)",scheinberg1949
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,33,NA,9,mL/100g/min,anesthetized,"(Felding et al., 1995)",felding1995
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,49.8,NA,11,mL/100g/min,conscious,"(Frackowiak et al., 1980)",frackowiak1980
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,52.6,NA,8,mL/100g/min,conscious,"(Jakobsen et al., 1990)",jakobsen1990
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,47.7,NA,20,mL/100g/min,conscious,"(Carpenter et al., 1991)",carpenter1991
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,51,NA,10,mL/100g/min,conscious,"(Lassen and Munck, 1955)",lassen1955
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,52.1,NA,10,mL/100g/min,conscious,"(Lassen and Munck, 1955)",lassen1955
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,57,NA,8,mL/100g/min,conscious,"(Madsen et al., 1990b)",madsen1990
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,56.7,NA,11,mL/100g/min,conscious,"(Madsen et al., 1991b)",madsen1991
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,49.8,NA,9,mL/100g/min,conscious,"(Madsen et al., 1991a)",madsen1991
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,56.35,NA,10,mL/100g/min,conscious,"(Madsen et al., 1992)",madsen1992
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,46.9,NA,12,mL/100g/min,conscious,"(Madsen et al., 1993)",madsen1993
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,63,NA,3,mL/100g/min,conscious,"(Meyer et al., 1987)",meyer1987
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,53.5,NA,7,mL/100g/min,conscious,"(Mintun et al., 2002)",mintun2002
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,52,NA,19,mL/100g/min,conscious,"(Olsen etal., 1992a)",olsen1992
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,58,NA,8,mL/100g/min,conscious,"(Olsen et al., 1992b)",olsen1992
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,59.9,NA,8,mL/100g/min,conscious,"(Olsen etal., 1993)",olsen1993
