Species,Species_printed,Compilation,Table,Region,Region_raw,Measure,Value,SD,n,Units,conscious,ref_raw,ref_keys_str
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,67,NA,8,mL/100g/min,conscious,"(Olsen etal., 1995)",olsen1995
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,56.8,NA,7,mL/100g/min,conscious,"(Renou et al., 1978)",renou1978
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,46,NA,13,mL/100g/min,conscious,"(Sari et al., 1976)",sari1976
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,52,NA,8,mL/100g/min,conscious,"(Schmidt et al., 1990)",schmidt1990
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,52,NA,8,mL/100g/min,conscious,"(Schmidt et al., 1991)",schmidt1991
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,54.6,NA,5,mL/100g/min,conscious,"(Seitz and Roland, 1992)",seitz1992
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,55,NA,8,mL/100g/min,conscious,"(Vemhiet et al., 1978)",vemhiet1978
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,56,NA,6,mL/100g/min,conscious,"(Vorstmp et al., 1984)",vorstmp1984
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,52,NA,6,mL/100g/min,conscious,"(Wessen et al., 1997)",wessen1997
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,64,NA,8,mL/100g/min,conscious,"(Wolff etal., 1994)",wolff1994
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,44.4,NA,13,mL/100g/min,conscious,"(Wollman et al., 1964)",wollman1964
Homo sapiens,Homo,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,38.1,NA,13,mL/100g/min,conscious,"(Elman et al., 1999)",elman1999
Lepus sp.,Lepus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,46.5,NA,12,mL/100g/min,anesthetized,"(Drummond et al., 1986)",drummond1986
Lepus sp.,Lepus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,71,NA,8,mL/100g/min,anesthetized,"(Kaieda et al., 1989)",kaieda1989
Lepus sp.,Lepus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,65,NA,8,mL/100g/min,anesthetized,"(Kaieda et al., 1989)",kaieda1989
Lepus sp.,Lepus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,48,NA,38,mL/100g/min,anesthetized,"(Pearce et al., 1981)",pearce1981
Lepus sp.,Lepus,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,77,NA,7,mL/100g/min,anesthetized,"(Todd etal., 1994)",todd1994
Macaca fascicularis,M fascic,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,34,NA,4,mL/100g/min,anesthetized,"(Kuge et al., 2001)",kuge2001
Macaca fascicularis,M fascic,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,43,NA,10,mL/100g/min,conscious,"(Rockoff et al., 1980)",rockoff1980
Macaca mulatta,M mulatta,Kaufman_2004,TableA1,Basal_ganglia,Basal Ganglia,CBF,60.5,NA,6,mL/100g/min,conscious,"(Noda et al., 2002)",noda2002
Macaca mulatta,M mulatta,Kaufman_2004,TableA4,Cerebellum,Cerebellum,CBF,47.8,NA,6,mL/100g/min,conscious,"(Noda et al., 2002)",noda2002
Macaca mulatta,M mulatta,Kaufman_2004,TableA2,Hippocampus,Hippocampus,CBF,53.9,NA,6,mL/100g/min,conscious,"(Noda et al., 2002)",noda2002
Macaca mulatta,M mulatta,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,58.5,NA,4,mL/100g/min,anesthetized,"(Enlund et al., 1997)",enlund1997
Macaca mulatta,M mulatta,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,53,NA,6,mL/100g/min,conscious,"(Noda et al., 2002)",noda2002
Macaca mulatta,M mulatta,Kaufman_2004,TableA5,White_matter,White Matter,CBF,33.5,NA,4,mL/100g/min,anesthetized,"(Enlund et al., 1997)",enlund1997
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,40.6,NA,19,mL/100g/min,anesthetized,"(Fein, 1975)",fein1975
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,100.6,NA,5,mL/100g/min,conscious,"(Mehta et al., 1980)",mehta1980
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,76.1,NA,3,mL/100g/min,conscious,"(Nemoto et al., 1994)",nemoto1994
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,80,NA,4,mL/100g/min,conscious,"(Yao et al., 1992)",yao1992
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,46.9,NA,11,mL/100g/min,anesthetized,"(Schmidt et al., 1945)",schmidt1945
Macaca mulatta,M mulatta,Kaufman_2004,TableA14,Whole_brain,Whole Brain (direct measurement),CBF,48.7,NA,10,mL/100g/min,anesthetized,"(Kliefothetal., 1979)",kliefothetal1979
Meriones unguiculatus,Meriones,Kaufman_2004,TableA4,Cerebellum,Cerebellum,CBF,137,NA,7,mL/100g/min,anesthetized,"(Suzuki et al., 1983)",suzuki1983
Meriones unguiculatus,Meriones,Kaufman_2004,TableA4,Cerebellum,Cerebellum,CBF,93,NA,10,mL/100g/min,conscious,"(Van Uitert and Levy, 1978)",van1978
Meriones unguiculatus,Meriones,Kaufman_2004,TableA2,Hippocampus,Hippocampus,CBF,80.3,NA,4,mL/100g/min,anesthetized,"(Mies et al., 1990)",mies1990
Meriones unguiculatus,Meriones,Kaufman_2004,TableA2,Hippocampus,Hippocampus,CBF,109,NA,2,mL/100g/min,conscious,"(Mies et al., 1984)",mies1984
Meriones unguiculatus,Meriones,Kaufman_2004,TableA2,Hippocampus,Hippocampus,CBF,93,NA,7,mL/100g/min,anesthetized,"(Suzuki et al., 1983)",suzuki1983
Meriones unguiculatus,Gerbil,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,135.6,NA,2,mL/100g/min,conscious,"(Mies et al., 1984)",mies1984
Meriones unguiculatus,Gerbil,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,90,NA,5,mL/100g/min,conscious,"(Paschen et al., 1992)",paschen1992
Meriones unguiculatus,Gerbil,Kaufman_2004,TableA6,Neocortex,Neocortex,CBF,137,NA,7,mL/100g/min,anesthetized,"(Suzuki et al., 1983)",suzuki1983
