Species,Species_Baron1990,Complexus_sensorius_trigeminalis
AAAA_Anatomy_code,,
AAAA_Reference,Baron_1990,Baron_1990
Alouatta caraya,,
Alouatta seniculus,Alouatta seniculus,79.1
Aotus trivirgatus,Aotus trivirgatus,33.5
Atelerix algirus,Atelerix algirus,39.9
Ateles geoffroyi,Ateles geoffroyi,89.2
Avahi laniger,Avahi laniger laniger,26.3
Avahi occidentalis,Avahi laniger occidentalis,25.9
Blarina brevicauda,Blarina brevicauda,8.09
Callicebus moloch,Callicebus moloch,36.2
Callimico goeldii,Callimico goeldii,23.2
Callithrix jacchus,Callithrix jacchus,16.3
Callithrix pygmaea,Cebuella pygmaea,10.8
Cebus albifrons,Cebus albifrons,74.2
Cercocebus agilis,,
Cercopithecus ascanius,Cercopithecus ascanius,68
Cercopithecus mitis,Cercopithecus mitis,84.5
Cheirogaleus major,Cheirogaleus major,25.6
Cheirogaleus medius,Cheirogaleus medius,14.3
Chrysochloris asiatica,,
Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,14.4
Colobus angolensis,,
Crocidura flavescens,Crocidura flavescens,10.8
Crocidura hildegardeae,Crocidura hildegardeae,6.81
Crocidura jacksoni,,
Crocidura russula,Crocidura russula,5.29
Daubentonia madagascariensis,Daubentoni madagascar.,71.9
Desmana moschata,Desmana moschata,97
Echinops telfairi,Echinops telfairi,12.7
Echinosorex gymnura,Echinosorex gymnura,90.5
Elephantulus fuscipes,,
Erinaceus europaeus,Erinaceus europaeus,44.8
Erythrocebus patas,Erythrocebus patas,89.5
Eulemur fulvus,Lemur albifrons,36.6
Galago senegalensis,Galago senegalensis,16.7
Galagoides demidoff,Galagoides demidoff,12.2
Galemys pyrenaicus,Galemys pyrenaicus,32.3
Gorilla sp.,Gorilla gorilla,353
Hemicentetes semispinosus,Hemicentetes semispinosus,17.2
Hemiechinus auritus,Hemiechinus auritus,23.9
Homo sapiens,Homo sapiens,400.9
Hylobates lar,Hylobates lar,103.2
Hylobates muelleri,,
Hylomys suillus,Hylomys suillus,14.5
Indri indri,Indri indri,65.6
Lagothrix lagothricha,Lagothrix lagothricha,107
Leontopithecus rosalia,,
Lepilemur ruficaudatus,Lepilemur ruficaudatus,22.2
Lophocebus albigena,Cercocebus albigena,108.7
Loris tardigradus,Loris tardigradus,15.6
Macaca fascicularis,,
Macaca maura,,
Macaca mulatta,Macaca mulatta,107.5
Microcebus murinus,Microcebus murinus,7.84
Microgale cowani,,
Microgale mergulus,,
Micropotamogale lamottei,,
Micropotamogale ruwenzorii,Micropotamogale ruwenzorii,47.6
Microsorex hoyi,Microsorex hoyi,2.15
Miopithecus talapoin,Miopithecus talapoin,48.1
Myosorex babaulti,,
Nasalis larvatus,Nasalis larvatus,113.7
Neomys fodiens,Neomys fodiens,9.66
Nesogale dobsoni,,
Nesogale talazaci,Microgale talazaci,13.8
Nycticebus coucang,Nycticebus coucang,36.6
Oryzorictes hova,,
Otolemur crassicaudatus,Otolemur crassicaudatus,28.1
Pan paniscus,,
Pan troglodytes,Pan troglodytes,199.6
Papio anubis,Papio anubis,205.3
Perodicticus potto,Perodicticus potto,54.8
Piliocolobus badius,Colobus badius,78.2
Pithecia monachus,Pithecia monachus,53.9
Pithecia pithecia,,
Pongo sp.,,
Potamogale velox,Potamogale velox,151.4
Propithecus verreauxi,Propithecus verreauxi,56
Pygathrix nemaeus,Pygathrix nemaeus,82.3
Rattus norvegicus,,
Rhynchocyon cirnei,,
Ruwenzorisorex suncoides,Ruwenzorisorex suncoides,12
Saguinus geoffroyi,,
Saguinus midas,Saguinus midas,20.8
Saguinus oedipus,Saguinus oedipus,20
Saimiri sciureus,Saimiri sciureus,29.9
Scutisorex somereni,Scutisorex somereni,15.5
Setifer setosus,Setifer setosus,27.5
Solenodon paradoxus,Solenodon paradoxus,69.2
Sorex araneus,Sorex araneus,5.99
Sorex cinereus,Sorex cinereus,4.22
Sorex fumeus,,
Sorex minutus,,
Spalax ehrenbergi,,
Suncus etruscus,Suncus etruscus,2.33
Suncus megalura,Sylvisorex megalura,4.88
Suncus murinus,Suncus murinus,9.8
Sylvisorex granti,,
Symphalangus syndactylus,,
Talpa europaea,Talpa europea,13.3
Tarsius sp.,Tarsius spp.,14.4
Tenrec ecaudatus,Tenrec ecaudatus,49.3
Trachypithecus francoisi,,
Tupaia glis,Tupaia glis,15.5
Tupaia minor,Tupaia minor,11.1
Urogale everetti,Urogale everetti,22.5
Varecia variegata,Varecia variegata,71.6
