code,Species_Stephan1981,n_1_18,Body_weight,Brain_weight,Ventricles,Meninges_hypophysis_nerves_etc.,Total_brain_net_volume,Medulla_oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizo_cortex,Hippocampus,Neocortex,n_19_26,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,n_27_28,Area_striata,Corpus_geniculatum_laterale,n_29_34,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_corticobasolateralis,Nucleus_amygdalae_basalis_pars_magnocellularis,n_35_39,Complexus_vestibularis,Nucleus_vestibularis_superior,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_descendens,n_40_44,Nucleus_septalis_triangularis,Corpus_subfornicale,Nucleus_habenularis_medialis,Corpus_pineal,Corpus_subcommissurale
21,Aethechinus algirus,3.0,790.0,3200.0,121.0,109.0,2859.0,336.0,358.0,153.0,246.0,1766.0,285.0,1.93,459.0,42.9,140.0,109.0,227.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.18,0.0621,0.93,0.297,0.0222
22,Erinaceus europaeus,5.0,860.0,3350.0,105.0,78.8,3050.0,333.0,394.0,151.0,241.0,1931.0,332.0,1.94,505.0,51.7,147.0,134.0,237.0,522.0,2.0,3.71,117.0,79.9,14.2,13.3,0.903,18.8,3.94,,,,2.0,379.0,104.0,43.1,3.72,61.1,12.2,1.0,7.54,1.21,1.72,2.85,1.77,2.0,0.887,0.0592,1.17,0.423,0.0312
23,Hemiechinus auritus,3.0,250.0,1900.0,82.5,41.2,1710.0,187.0,198.0,110.0,142.0,1073.0,175.0,1.35,279.0,28.4,81.1,68.7,130.0,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Elephantulus fuscipes,2.0,57.0,1330.0,18.1,32.9,1233.0,120.0,183.0,117.0,112.0,700.0,63.3,0.662,120.0,16.8,44.5,46.8,173.0,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.289,0.0709,0.415,0.336,0.124
33,Rhynchocyon stuhlmanni,2.0,490.0,6100.0,97.2,111.0,5680.0,507.0,798.0,523.0,524.0,3328.0,426.0,0.666,705.0,81.5,222.0,220.0,582.0,1089.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.937,0.0576,2.09,1.41,0.403
41,Sorex minutus,1.0,5.3,110.0,0.46,2.47,103.0,17.0,11.0,5.91,8.69,60.7,8.65,0.0202,17.2,2.02,6.02,3.62,10.5,12.7,1.0,0.161,3.92,3.07,0.707,0.65,0.0569,0.288,0.106,,,,1.0,13.9,3.34,1.78,0.174,1.56,0.549,1.0,0.41,0.0482,0.0713,0.174,0.116,1.0,0.07,0.00284,0.0586,0.00359,0.000265
42,Sorex araneus,5.0,10.3,200.0,1.17,3.96,188.0,27.1,20.4,10.8,13.7,116.0,15.7,0.0776,32.7,3.2,10.5,6.83,20.6,26.4,2.0,0.264,7.25,5.17,1.09,0.979,0.105,0.61,0.144,,,,2.0,25.6,7.19,3.29,,3.9,0.704,1.0,0.618,0.107,0.0955,0.249,0.166,10.0,0.115,0.00326,0.0749,0.0102,0.00012
43,Neomys fodiens,2.0,15.2,320.0,1.63,8.13,299.0,42.2,38.9,17.3,25.2,175.0,15.8,0.101,36.0,6.42,18.7,9.0,32.9,56.6,,,,,,,,,,,,,1.0,52.7,13.4,6.0,0.403,7.39,1.38,,,,,,,1.0,0.263,0.0069,0.205,0.027,0.000418
59,Crocidura occidentalis,2.0,28.0,440.0,2.67,14.0,408.0,59.8,51.3,27.7,28.4,241.0,37.6,0.221,68.4,6.94,16.8,13.3,38.5,59.1,2.0,0.657,14.6,9.77,1.78,1.63,0.142,2.19,0.252,,,,1.0,23.4,6.82,3.23,0.233,3.59,0.803,2.0,1.32,0.171,0.222,0.543,0.389,1.0,0.274,0.0186,0.2,0.0391,0.000576
60,Crocidura russula,2.0,11.0,190.0,1.67,3.85,178.0,23.6,21.8,11.7,15.0,106.0,16.3,0.0431,30.2,3.64,8.17,6.05,15.9,25.5,1.0,0.368,7.48,4.61,0.87,0.781,0.0889,0.727,0.116,,,,1.0,45.1,11.1,5.41,0.44,5.74,0.804,1.0,0.563,0.077,0.084,0.235,0.167,5.0,0.12,0.00986,0.134,0.0278,0.000766
