status,species_key,species_snapshot,species_csv,n_measure_mismatch,AOB_volume_snap,AOB_layer_1_2_snap,AOB_layer_3_5_snap,AOB_layer_6_snap,n_snap,AOB_volume_csv,AOB_layer_1_2_csv,AOB_layer_3_5_csv,AOB_layer_6_csv,n_csv,AOB_volume_match,AOB_layer_1_2_match,AOB_layer_3_5_match,AOB_layer_6_match,n_match
matched_by_species,alouatta sp,Alouatta sp.,Alouatta sp.,0,0.595,0.19,0.356,0.049,2,0.595,0.19,0.356,0.049,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,0,0.222,0.08599999999999998,0.126,0.01,3,0.222,0.08600000000000001,0.126,0.01,3,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,ateles geoffroyi,Ateles geoffroyi,Ateles geoffroyi,0,2.189,0.8500000000000001,0.969,0.37,1,2.189,0.8500000000000001,0.969,0.37,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,avahi laniger lan,Avahi laniger lan.,Avahi laniger lan.,0,3.013,0.816,1.4889999999999999,0.708,2,3.013,0.8160000000000001,1.4889999999999999,0.708,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,avahi laniger occ,Avahi laniger occ.,Avahi laniger occ.,0,2.553,0.8280000000000001,1.244,0.48100000000000004,2,2.553,0.8280000000000001,1.244,0.48100000000000004,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,callicebus moloch,Callicebus moloch,Callicebus moloch,0,0.325,0.09,0.21600000000000003,0.019,2,0.325,0.09,0.21600000000000003,0.019,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,callimico goeldii,Callimico goeldii,Callimico goeldii,0,0.512,0.166,0.312,0.034,1,0.512,0.166,0.312,0.034,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,callithrix jacchus,Callithrix jacchus,Callithrix jacchus,0,0.326,0.111,0.165,0.05,3,0.326,0.111,0.165,0.05,3,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cebuella pygmaea,Cebuella pygmaea,Cebuella pygmaea,0,0.386,0.128,0.21100000000000002,0.047,2,0.386,0.128,0.21100000000000002,0.047,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cebus sp,Cebus sp.,Cebus sp.,0,0.6669999999999999,0.323,0.277,0.067,2,0.6669999999999999,0.323,0.277,0.067,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cheirogaleus major,Cheirogaleus major,Cheirogaleus major,0,4.043,1.3900000000000001,1.578,1.075,2,4.043,1.3900000000000001,1.578,1.075,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,0,2.6630000000000003,0.8440000000000001,1.023,0.7959999999999999,2,2.6630000000000003,0.8440000000000001,1.023,0.7959999999999999,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,chrysochl stuhlm,Chrysochl. stuhlm.,Chrysochl. stuhlm.,0,0.20400000000000001,0.067,0.109,0.028,2,0.20400000000000001,0.067,0.109,0.028,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,chrysochloris asiat,Chrysochloris asiat.,Chrysochloris asiat.,0,0.132,0.037,0.07800000000000001,0.017,1,0.132,0.037,0.07800000000000001,0.017,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,crocidura flavesc,Crocidura flavesc.,Crocidura flavesc.,0,0.221,0.08500000000000002,0.095,0.041,2,0.221,0.085,0.095,0.041,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,crocidura russula,Crocidura russula,Crocidura russula,0,0.043000000000000003,0.012,0.024,0.007,2,0.043000000000000003,0.012,0.024,0.007,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,daubentonia madagas,Daubentonia madagas.,Daubentonia madagas.,0,8.311,2.945,3.469,1.897,1,8.311,2.945,3.469,1.897,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,desmana moschata,Desmana moschata,Desmana moschata,0,0.21800000000000003,0.096,0.092,0.03,1,0.21800000000000003,0.096,0.092,0.03,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,echinops telfairi,Echinops telfairi,Echinops telfairi,0,0.24900000000000003,0.111,0.10500000000000001,0.033,2,0.24900000000000003,0.111,0.10500000000000001,0.033,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,elephantulus fuscip,Elephantulus fuscip.,Elephantulus fuscip.,0,0.6619999999999999,0.14200000000000002,0.34099999999999997,0.17900000000000002,2,0.6619999999999999,0.14200000000000002,0.34099999999999997,0.17900000000000002,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,erinaceus algirus,Erinaceus algirus,Erinaceus algirus,0,1.934,0.6759999999999999,0.75,0.508,2,1.934,0.6759999999999999,0.75,0.508,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,0,1.9429999999999998,0.634,0.9320000000000002,0.377,2,1.9429999999999998,0.634,0.932,0.377,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,galago senegalensis,Galago senegalensis,Galago senegalensis,0,2.577,0.685,1.204,0.6879999999999998,1,2.577,0.6849999999999999,1.204,0.688,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,galagoides demid,Galagoides demid.,Galagoides demid.,0,1.259,0.24700000000000003,0.518,0.494,2,1.259,0.24700000000000003,0.518,0.494,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,galemys pyrenaicus,Galemys pyrenaicus,Galemys pyrenaicus,0,0.20600000000000002,0.05,0.128,0.028,2,0.20600000000000002,0.05,0.128,0.028,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,hemicentetes semisp,Hemicentetes semisp.,Hemicentetes semisp.,0,0.196,0.08699999999999998,0.098,0.011,1,0.196,0.08700000000000001,0.098,0.011,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,hemiechinus auritus,Hemiechinus auritus,Hemiechinus auritus,0,1.346,0.42900000000000005,0.618,0.29900000000000004,3,1.346,0.42900000000000005,0.618,0.29900000000000004,3,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,indri indri,Indri indri,Indri indri,0,2.3169999999999997,0.7899999999999999,1.2189999999999999,0.308,2,2.3169999999999997,0.7899999999999999,1.2189999999999999,0.308,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,lagothrix lagothr,Lagothrix lagothr.,Lagothrix lagothr.,0,1.4289999999999998,0.543,0.6909999999999998,0.195,3,1.4289999999999998,0.543,0.691,0.195,3,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,lemur albifrons,Lemur albifrons,Lemur albifrons,0,3.211,0.769,1.318,1.124,3,3.211,0.769,1.318,1.124,3,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,lepilemur ruficaud,Lepilemur ruficaud.,Lepilemur ruficaud.,0,2.722,0.8330000000000001,1.309,0.58,3,2.722,0.8330000000000001,1.309,0.58,3,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,limnogale mergulus,Limnogale mergulus,Limnogale mergulus,0,0.323,0.08,0.165,0.07800000000000001,1,0.323,0.08,0.165,0.07800000000000001,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,loris tardigradus,Loris tardigradus,Loris tardigradus,0,2.3,0.652,0.7949999999999999,0.8530000000000001,1,2.3,0.652,0.7949999999999999,0.8530000000000001,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,microcebus murinus,Microcebus murinus,Microcebus murinus,0,1.623,0.498,0.655,0.47000000000000003,6,1.623,0.498,0.655,0.47000000000000003,6,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,microgale cowani,Microgale cowani,Microgale cowani,0,0.162,0.048,0.082,0.032,1,0.162,0.048,0.082,0.032,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,microgale dobsoni,Microgale dobsoni,Microgale dobsoni,0,0.17800000000000002,0.059000000000000004,0.1,0.019,2,0.17800000000000002,0.059000000000000004,0.1,0.019,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,microgale talazaci,Microgale talazaci,Microgale talazaci,0,0.369,0.10200000000000001,0.183,0.08400000000000002,1,0.369,0.10200000000000001,0.183,0.084,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,micropotamogale lam,Micropotamogale lam.,Micropotamogale lam.,0,0.061,0.024,0.032,0.005,1,0.061,0.024,0.032,0.005,1,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,neomys fodiens,Neomys fodiens,Neomys fodiens,0,0.101,0.034,0.049,0.018000000000000002,2,0.101,0.034,0.049,0.018000000000000002,2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,nycticebus coucang,Nycticebus coucang,Nycticebus coucang,0,4.276000000000001,1.305,1.625,1.346,1,4.276000000000001,1.305,1.625,1.346,1,TRUE,TRUE,TRUE,TRUE,TRUE
