"","Species","Taxonomic_group.x","n","BL","HemL","BW","BH","n.1","CCL","Taxonomic_group.y","Taxonomic_group_2","BoW.in.g","CV.in..","BrW.in.mg","CV.in...1","n.BoW","n.BrW","Source.of.data"
"25","",NA,NA,NA,NA,NA,NA,NA,NA,"","","823","","6084","","2","4",""
"26","",NA,NA,NA,NA,NA,NA,NA,NA,"","","19.3","","","","16","0","7,16,34,B"
"27","",NA,NA,NA,NA,NA,NA,NA,NA,"","","17.9","","367","","126","110",""
"28","",NA,NA,NA,NA,NA,NA,NA,NA,"","","3.9","","165","","31","6",""
"29","",NA,NA,NA,NA,NA,NA,NA,NA,"","","849","","3367","","35","22",""
"30","",NA,NA,NA,NA,NA,NA,NA,NA,"","","11","","262","","45","8",""
"31","",NA,NA,NA,NA,NA,NA,NA,NA,"","","10.2","","213","","50","9",""
"32","",NA,NA,NA,NA,NA,NA,NA,NA,"","","20.5","17.2","","","2","0","S"
"33","",NA,NA,NA,NA,NA,NA,NA,NA,"","","59.6","","1330","","44","2","26,40"
"34","",NA,NA,NA,NA,NA,NA,NA,NA,"","","17","","","","12","0","51"
"35","",NA,NA,NA,NA,NA,NA,NA,NA,"","","78","","1055","","1","3",""
"36","",NA,NA,NA,NA,NA,NA,NA,NA,"","","33","","422","","110","59",""
"37","",NA,NA,NA,NA,NA,NA,NA,NA,"a) Median values between males and females are given in the case of statistically significant sex differences (99% for oW, P < .01; 95% for BrW, P < .05)","","","","","","","",""
"38","",NA,NA,NA,NA,NA,NA,NA,NA,"b) From Geogale aurita only secondary inferred data, taken from RehkŠmper et al. (1986), are available (see text).","","","","","","","",""
"39","",NA,NA,NA,NA,NA,NA,NA,NA,"","","4.41","","115","","349","124","29,31,40,41,43,44,47"
"40","",NA,NA,NA,NA,NA,NA,NA,NA,"","","11.1","","265","4.1","41","4","50,S"
"41","",NA,NA,NA,NA,NA,NA,NA,NA,"","","37.6","26.4","449","","6","1","33,S"
"42","",NA,NA,NA,NA,NA,NA,NA,NA,"","","10.3","","218","","717","249","12,15,17,19"
"43","",NA,NA,NA,NA,NA,NA,NA,NA,"","","10.2","","216","","757","289","20,22,24,27,29,31,35,37,38,39,47,S"
"44","",NA,NA,NA,NA,NA,NA,NA,NA,"","","3.9","","","","28","0","16,18,25,34,B"
"45","",NA,NA,NA,NA,NA,NA,NA,NA,"","","4.05","","174","","57","29",""
"46","",NA,NA,NA,NA,NA,NA,NA,NA,"","","11","","201","","61","12","22,54,55,56,"
"47","",NA,NA,NA,NA,NA,NA,NA,NA,"","","11.1","","197","","85","36","58,F,S"
"48","",NA,NA,NA,NA,NA,NA,NA,NA,"","","4.42","","115","","338","113","1,12,17,21,28"
"49","",NA,NA,NA,NA,NA,NA,NA,NA,"c) From Hylomys suillus we have only one brain of a juvenile animal (BoW 31.4g, BrW 957 mg). Its brain was used to measure the brain composition. Based on BoW data of Miller (1942), Rudd (1965), Harrison (1966), Lim and Heyneman (1968) and Medway (1969) adults have a BoW od about 7g. based on cranial capacities (n = 7) the expected brain weight is 1200mg. ","","","","","","","",""
"50","",NA,NA,NA,NA,NA,NA,NA,NA,"","","10.3","","248","","4","1","S"
"51","",NA,NA,NA,NA,NA,NA,NA,NA,"","","5.49","","188","53","13","",""
"52","",NA,NA,NA,NA,NA,NA,NA,NA,"","","11.8","","","","76","0","17,47,48,53"
"53","",NA,NA,NA,NA,NA,NA,NA,NA,"","","11.6","","282","","81","5",""
"54","",NA,NA,NA,NA,NA,NA,NA,NA,"","","15.4","","333","","254","4","15,17,29,31,"
"55","",NA,NA,NA,NA,NA,NA,NA,NA,"","","1","","360","","13","1",""
"56","",NA,NA,NA,NA,NA,NA,NA,NA,"","","17.4","","348","","68","68","14 (preserved)"
"57","",NA,NA,NA,NA,NA,NA,NA,NA,"","","63.4","","640","","74","4",""
"58","",NA,NA,NA,NA,NA,NA,NA,NA,"","","3.9","","","","25","0","51,H"
"59","",NA,NA,NA,NA,NA,NA,NA,NA,"d) In the second line of Ruwenzorisorex suncoides a specimen of uncertain determination is listed, which in Fons et al. (1984) was designated as Sylvisorex (lunaris?). According to its BrW it may have been a Ruwenzorisorex suncoides. ","","","","","","","",""
"60","",NA,NA,NA,NA,NA,NA,NA,NA,"","","1.86","","62","","200","6",""
"61","",NA,NA,NA,NA,NA,NA,NA,NA,"","","10.5","","","","41","0","40,51,S"
"62","",NA,NA,NA,NA,NA,NA,NA,NA,"","","18.5","","358","","1","1","S d)"
"63","",NA,NA,NA,NA,NA,NA,NA,NA,"","","20.1","","389","","9","7",""
"64","",NA,NA,NA,NA,NA,NA,NA,NA,"","","12.7","","250","","5","1",""
"65","",NA,NA,NA,NA,NA,NA,NA,NA,"","","5.47","","","","40","0","40,51,56,S"
"66","",NA,NA,NA,NA,NA,NA,NA,NA,"","","34.3","","394","","58","7","51,56,S"
"67","",NA,NA,NA,NA,NA,NA,NA,NA,"Notes to Table 5:  In general there are 3 lines for each species. The first line includes all the pairs of body and brain weights we are aware of, the second line signle values (either body weights or brain weights), and the third line the combined data from the two preceding lines. If there are more than three lines, they include data of peserved material (as e.g. in Blarina), or data from definite adults (if appropriate). ","","","","","","","",""
"68","",NA,NA,NA,NA,NA,NA,NA,NA,"","","13.25","","","","4","0","S"
"69","",NA,NA,NA,NA,NA,NA,NA,NA,"","","1.85","","","","194","0","45,46,52,56"
"70","",NA,NA,NA,NA,NA,NA,NA,NA,"","","63.7","","","","70","0","51"
"71","",NA,NA,NA,NA,NA,NA,NA,NA,"","","34.8","","385","","32","27",""
"72","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",""
"73","aa_description","","Number of individuals","brain length","hemisphere length","brain width","brain height","Number of individuals","corpus callosum length","","","Body weights","coefficient of variation","Brain weights","coefficient of variation","number of individuals","number of individuals",""
"74","Anourosorex squamipes","Soricidae","7","11.2","6.8","11.9","6.3","1","1.87","Soricidae","Soricnae","20","9.4","389","5.7","7","7","S"
"75","Atelerix algirus","Erinaceidae","4","29.9","16.4","19.4","11.8","1","3.49","Erinaceidae","Erinaceinae","736","14.4","3264","4.8","7","7","S"
"76","Blarina brevicauda","Soricidae","40","11.8","7.5","11.6","6.3","1","3.18",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Blarina brevicauda ",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Soricnae","18.2","16.4","397","4.8","42","42","S,B"
"78","C. flavescens","Soricidae","26","13.8","7.3","11.1","5.6","4","1.89","Soricidae","Crocidurinae","31.6","23.5","426","9","52","52","S"
"79","C. giffardi",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Crocidurinae","82","","545","","1","1","10"
"80","C. hildegardeae","Soricidae","4","10.5","5.4","8.3","4.5","1","","Soricidae","Crocidurinae","9.1","17.5","213","10.5","9","9","S"
"81","C. jacksoni",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Crocidurinae","10.3","","250","","1","1","S"
"82","C. leucodon",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Crocidurinae","13.5","","190","","1","1","S"
"83","C. russula","Soricidae","21","9.9","5.5","8.8","4.5","1","1.44","Soricidae","Crocidurinae","11.4","12.5","195","6.8","24","24","58,S"
"84","C. stuhlmanni","Chrysochloridae","2","12.5","8.6","14.7","9","1","2.86","Chrysochloridae","Chrysochloridae","39.9","15.5","741","7.7","9","9","S"
"85","C. suaveolens","Soricidae","1","9.4","5.3","8.5","4.3","1","","Soricidae","Crocidurinae","10.3","","190","","1","11","F,S"
"86","Chrysochloris asiatica","Chrysochloridae","1","12.1","7.8","13.5","9","1","","Chrysochloridae","Chrysochloridae","49","","700","","1","1","S"
"87","Crocidura attenuata","Soricidae","1","10","5.6","8.8","4.4","1","","Soricidae","Crocidurinae","9.3","","209","1","1","S",""
"88","Cryptotis parva","Soricidae","6","9.9","6","9.8","5.2","1","2.26","Soricidae","Soricnae","9.5","8.3","244","1.8","5","5","S"
"89","Desmana moschata","Talpidae","3","24.9","19.3","23.2","11.5","1","9.93","Talpidae","Desmaninae","443","10.9","4000","2.5","3","3","40"
"90","Echinops telfairi","Tenrecidae","6","16.4","7.9","11.7","7.1","1","1.24","Tenrecidae ","Tenrecinae","87.5","25.9","623","10.2","6","6","S"
"91","Echinosorex gymnurus","Erinaceidae","3","35.2","19.9","23.7","15.5","1","7.53","Erinaceidae","Echinosoricinae","823","12.5","6208","5.7","2","2","S"
"92","Erinaceus europaeus","Erinaceidae","2","26.4","14.3","20.5","11.3","1","2.54","Erinaceidae","Erinaceinae","839","15.5","3378","6.4","21","21","2,3,4,8,13,23,32,59,S"
"93","ff",NA,NA,NA,NA,NA,NA,NA,NA,"","","34.4","","692","","5","4",""
"94","ff",NA,NA,NA,NA,NA,NA,NA,NA,"","","25.8","","396","","22","16",""
"95","ff",NA,NA,NA,NA,NA,NA,NA,NA,"","","25.7","","366","","14","12",""
"96","Galemys pyrenaicus","Talpidae","2","17.7","14.1","15.2","10.4","1","7.48","Talpidae","Desmaninae","61.1","4.6","1328","3.8","3","3","26,40"
"97","Geogale aurita","Tenrecidae","1","8.5","4.4","7","4","","0.33","Tenrecidae ","Geogalinae","10","","130","","","","b)"
"98","Hemicentetes semispin.","Tenrecidae","5","14.7","7.8","12.7","8","1","1.64","Tenrecidae ","Tenrecinae","117","12.7","839","3.9","7","7","40"
"99","Hemiechinus auritus","Erinaceidae","7","23.9","12.8","17.5","10.7","1","3.61","Erinaceidae","Erinaceinae","235","26.2","1880","8.3","7","7","S"
"100","Hylomys suillus","Erinaceidae","1","18.6","10.4","13.1","8.5","1","3.73","Erinaceidae","Echinosoricinae","57","","1200","","","","c)"
"101","Limnogale mergulus","Tenrecidae","2","16.7","9.5","14.4","7.9","1","4.29","Tenrecidae ","Oryzorictinae","92","","1150","","","","40"
"102","M. ruwenzorii",NA,NA,NA,NA,NA,NA,NA,NA,"Tenrecidae ","Potamogalinae ","98.5","14.9","1134","9.9","4","4","S"
"103","M. talazaci","Tenrecidae","7","16.3","8.8","11.4","7.9","","3.93","Tenrecidae ","Oryzorictinae","48.2","16","783","8","13","13","S"
"104","Microgale dobsoni","Tenrecidae","2","14.6","7.7","11","7","1","3.13","Tenrecidae ","Oryzorictinae","31.9","9.6","557","1","3","3","S"
"105","Micropotam. ruwenzorii","Tenrecidae","4","18","11.1","13.8","8.6","1","4.03",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Micropotamog. lamottei",NA,NA,NA,NA,NA,NA,NA,NA,"Tenrecidae ","Potamogalinae ","64.2","","800","","","","57"
"107","Microsorex hoyi","Soricidae","7","7.8","4.9","6.2","3.8","1","1.91","Soricidae","Soricnae","2.63","7.5","96","12","7","7","S,B"
"108","mm",NA,NA,NA,NA,NA,NA,NA,NA,"","","32.7","","432","","63","43",""
"109","mm",NA,NA,NA,NA,NA,NA,NA,NA,"","","46","","780","","9","5",""
"110","mm",NA,NA,NA,NA,NA,NA,NA,NA,"","","41.9","","400","","18","15",""
"111","mm + ff median",NA,NA,NA,NA,NA,NA,NA,NA,"","","29.3","","414","","","","a)"
"112","mm + ff median",NA,NA,NA,NA,NA,NA,NA,NA,"","","33.8","","383","","","","a)"
"113","mm+ff median",NA,NA,NA,NA,NA,NA,NA,NA,"","","40.2","","736","","","","a)"
"114","Myosorex babaulti","Soricidae","1","11.6","7.1","10.5","5.8","1","2.75","Soricidae","Crocidurinae","17","","360","","1","1","S"
"115","N. fodiens",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Soricnae","15","13.2","327","5.1","17","17","S"
"116","N.fodiens","Soricidae","4","11.1","7.4","10.3","6","1","2.59",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Neomys anomalus","Soricidae","1","9.8","7","9.6","6","1","2.39","Soricidae","Soricnae","9.42","2.4","282","3.5","5","5","S"
"118","Oryzorictes talpoides","Tenrecidae","1","12.6","7.3","11.6","6.9","","2.68","Tenrecidae ","Oryzorictinae","44.2","","580","","1","1","40"
"119","Parascalops breweri","Talpidae","6","17.2","10.7","13.8","7.4","1","4.19","Talpidae","Talpinae","53.8","5.7","880","4.1","6","6","S"
"120","Potamogale  velox","Tenrecidae","8","28.7","17.6","19.2","13.5","1","9.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Potamogale velox",NA,NA,NA,NA,NA,NA,NA,NA,"Tenrecidae ","Potamogalinae ","618","12.9","4152","6.9","13","13","S"
"122","Ruwenzorisorex suncoides","Soricidae","1","12.2","7","10.6","5.4","1","2.68","Soricidae","Crocidurinae","18.2","","370","","1","1","S"
"123","S. araneus","Soricidae","2","9.7","6.7","9.2","4.8","1","2.39",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","S. araneus ",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Soricnae","8.5","18.4","205","7.7","40","40","5,6,9,40,S"
"125","S. cinereus","Soricidae","29","8.8","5.9","7.8","4.7","1","2.15",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","S. fumeus",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Soricnae","8.4","9.9","241","2.5","5","2","S,B"
"127","S. megalura","Soricidae","11","10.2","5.3","7.9","4.6","1","1.68","Soricidae","Crocidurinae","5.55","9.9","188","7.1","13","13","S"
"128","S. minutus","Soricidae","","","","","","1","1.85","Soricidae","Soricnae","4.11","22.8","120","13.9","11","11","S"
"129","S. murinus","Soricidae","13","14.4","7.1","10.8","5.1","1","2.24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","S. murinus ",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Crocidurinae","34.1","31.9","383","8.7","26","26","33,S"
"131","S. palustris",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Soricnae","14.6","","278","","1","1","B"
"132","S.fumeus","Soricidae","2","10.3","6.9","8.7","5.4","1","2.86",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Scalopus aquaticus","Talpidae","1","20","12.1","18.2","7.4","1","5.04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Scalopus aquaticus ",NA,NA,NA,NA,NA,NA,NA,NA,"Talpidae","Talpinae","115","","1310","","1","1","S"
"135","Scutisorex somereni","Soricidae","4","14.8","8.1","11.9","7","1","2.16","Soricidae","Crocidurinae","58.9","16.3","640","2.5","4","4","S"
"136","Setifer setosus","Tenrecidae","6","20.6","9.4","16.2","9.3","1","1.82","Tenrecidae ","Tenrecinae","248","27.7","1516","11.6","16","16","40"
"137","Solenodon  paradoxus","Solenodontidae","2","34.5","16.9","21","12.8","1","4.3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Solenodon paradoxus ",NA,NA,NA,NA,NA,NA,NA,NA,"Solenodontidae","Solenodontidae","674","3.7","4795","5","4","4","42,S"
"139","Sorex alpinus","Soricidae","","","","","","1","2.48",NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Sorex alpinus ",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Soricnae","10.3","24.7","259","5.2","4","4","S"
"141","Sorex cinereus ",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Soricnae","4.2","25","174","7.5","29","29","S,B"
"142","Suncus   etruscus","Soricidae","6","6.7","3.8","5.8","2.8","1","0.97",NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Suncus etruscus",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Crocidurinae","2.07","10.1","62","3.7","6","6","F,S"
"144","Sylvisorex granti","Soricidae","6","9.2","5.2","7.9","4.5","1","1.45",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Sylvisorex granti ",NA,NA,NA,NA,NA,NA,NA,NA,"Soricidae","Crocidurinae","3.88","5.5","165","3.1","6","6","S"
"146","T. micrura","Talpidae","1","16.5","10.8","13.4","6.5","1","","Talpidae","Talpinae","41.4","","816","","1","1","S"
"147","Talpa europaea","Talpidae","2","17.6","11.2","15.3","7.3","1","5.31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Talpa europaea ",NA,NA,NA,NA,NA,NA,NA,NA,"Talpidae","Talpinae","82.5","11.4","1016","6.9","11","11","5,6,11,32,S"
"149","Tenrec ecaudatus","Tenrecidae","3","26.6","11.7","16.2","10.6","1","2.01","Tenrecidae ","Tenrecinae","845","14.6","2633","13.3","9","9","8,40"
