"","Species","Taxonomic_group.x","n","BL","HemL","BW","BH","n.1","CCL","Taxonomic_group.y","Taxonomic_group_2","BoW.in.g","CV.in..","BrW.in.mg","CV.in...1","n.BoW","n.BrW","Source.of.data"
"1","",NA,NA,NA,NA,NA,NA,NA,NA,"","","19.7","18.9","393","2.9","7","7","S,B (definite adults)"
"2","",NA,NA,NA,NA,NA,NA,NA,NA,"","","860","","3300","","16","3","5,7,8,15,S"
"3","",NA,NA,NA,NA,NA,NA,NA,NA,"","","885","1.6","2490","10.4","2","4","8,10a,40"
"4","",NA,NA,NA,NA,NA,NA,NA,NA,"","","852","","2588","","11","13",""
"5","",NA,NA,NA,NA,NA,NA,NA,NA,"","","223","28.4","","","12","0","40"
"6","",NA,NA,NA,NA,NA,NA,NA,NA,"","","237","","1516","","28","16",""
"7","",NA,NA,NA,NA,NA,NA,NA,NA,"","","59.7","","1329","","47","5",""
"8","",NA,NA,NA,NA,NA,NA,NA,NA,"","","113","24.4","","","2","0","40"
"9","",NA,NA,NA,NA,NA,NA,NA,NA,"","","116","","839","","9","7",""
"10","",NA,NA,NA,NA,NA,NA,NA,NA,"","","82.1","","1024","","12","14",""
"11","",NA,NA,NA,NA,NA,NA,NA,NA,"","","48.2","21.8","693","3","4","3","S"
"12","",NA,NA,NA,NA,NA,NA,NA,NA,"","","48.2","","766","","17","16",""
"13","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",""
"14","",NA,NA,NA,NA,NA,NA,NA,NA,"","","95","28.8","","","4","0","30"
"15","",NA,NA,NA,NA,NA,NA,NA,NA,"","","96.8","","1134","","8","4",""
"16","",NA,NA,NA,NA,NA,NA,NA,NA,"","","5.16","22.8","168","10.3","11","11","S,B (definite adults)"
"17","",NA,NA,NA,NA,NA,NA,NA,NA,"","","45.3","15.2","","","5","0","S"
"18","",NA,NA,NA,NA,NA,NA,NA,NA,"","","41.8","","741","","14","9",""
"19","",NA,NA,NA,NA,NA,NA,NA,NA,"","","9.9","","245","","9","6",""
"20","",NA,NA,NA,NA,NA,NA,NA,NA,"","","663","","4580","0.3","1","2","S"
"21","",NA,NA,NA,NA,NA,NA,NA,NA,"","","672","","4723","","5","6",""
"22","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",""
"23","",NA,NA,NA,NA,NA,NA,NA,NA,"","","15.3","","328","","271","21","36,41,43,47,48,49,53,S"
"24","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","5960","","0","2","S"
