Species,Taxonomic_group,n,BL,HemL,BW,BH,n,CCL
aa_description,,Number of individuals,brain length,hemisphere length,brain width,brain height,Number of individuals,corpus callosum length
Tenrec ecaudatus,Tenrecidae,3,26.6,11.7,16.2,10.6,1,2.01
Setifer setosus,Tenrecidae,6,20.6,9.4,16.2,9.3,1,1.82
Hemicentetes semispin.,Tenrecidae,5,14.7,7.8,12.7,8,1,1.64
Echinops telfairi,Tenrecidae,6,16.4,7.9,11.7,7.1,1,1.24
Geogale aurita,Tenrecidae,1,8.5,4.4,7,4,,0.33
Oryzorictes talpoides,Tenrecidae,1,12.6,7.3,11.6,6.9,,2.68
Microgale dobsoni,Tenrecidae,2,14.6,7.7,11,7,1,3.13
M. talazaci,Tenrecidae,7,16.3,8.8,11.4,7.9,,3.93
Limnogale mergulus,Tenrecidae,2,16.7,9.5,14.4,7.9,1,4.29
Potamogale  velox,Tenrecidae,8,28.7,17.6,19.2,13.5,1,9.6
Micropotam. ruwenzorii,Tenrecidae,4,18,11.1,13.8,8.6,1,4.03
Chrysochloris asiatica,Chrysochloridae,1,12.1,7.8,13.5,9,1,
C. stuhlmanni,Chrysochloridae,2,12.5,8.6,14.7,9,1,2.86
Solenodon  paradoxus,Solenodontidae,2,34.5,16.9,21,12.8,1,4.3
Echinosorex gymnurus,Erinaceidae,3,35.2,19.9,23.7,15.5,1,7.53
Hylomys suillus,Erinaceidae,1,18.6,10.4,13.1,8.5,1,3.73
Atelerix algirus,Erinaceidae,4,29.9,16.4,19.4,11.8,1,3.49
Erinaceus europaeus,Erinaceidae,2,26.4,14.3,20.5,11.3,1,2.54
Hemiechinus auritus,Erinaceidae,7,23.9,12.8,17.5,10.7,1,3.61
Desmana moschata,Talpidae,3,24.9,19.3,23.2,11.5,1,9.93
Galemys pyrenaicus,Talpidae,2,17.7,14.1,15.2,10.4,1,7.48
Talpa europaea,Talpidae,2,17.6,11.2,15.3,7.3,1,5.31
T. micrura,Talpidae,1,16.5,10.8,13.4,6.5,1,
Parascalops breweri,Talpidae,6,17.2,10.7,13.8,7.4,1,4.19
Scalopus aquaticus,Talpidae,1,20,12.1,18.2,7.4,1,5.04
Sorex alpinus,Soricidae,,,,,,1,2.48
S. araneus,Soricidae,2,9.7,6.7,9.2,4.8,1,2.39
S. cinereus,Soricidae,29,8.8,5.9,7.8,4.7,1,2.15
S.fumeus,Soricidae,2,10.3,6.9,8.7,5.4,1,2.86
S. minutus,Soricidae,,,,,,1,1.85
Microsorex hoyi,Soricidae,7,7.8,4.9,6.2,3.8,1,1.91
Neomys anomalus,Soricidae,1,9.8,7,9.6,6,1,2.39
N.fodiens,Soricidae,4,11.1,7.4,10.3,6,1,2.59
Blarina brevicauda,Soricidae,40,11.8,7.5,11.6,6.3,1,3.18
Cryptotis parva,Soricidae,6,9.9,6,9.8,5.2,1,2.26
Anourosorex squamipes,Soricidae,7,11.2,6.8,11.9,6.3,1,1.87
Crocidura attenuata,Soricidae,1,10,5.6,8.8,4.4,1,
C. flavescens,Soricidae,26,13.8,7.3,11.1,5.6,4,1.89
C. hildegardeae,Soricidae,4,10.5,5.4,8.3,4.5,1,
C. russula,Soricidae,21,9.9,5.5,8.8,4.5,1,1.44
C. suaveolens,Soricidae,1,9.4,5.3,8.5,4.3,1,
Suncus   etruscus,Soricidae,6,6.7,3.8,5.8,2.8,1,0.97
S. murinus,Soricidae,13,14.4,7.1,10.8,5.1,1,2.24
Scutisorex somereni,Soricidae,4,14.8,8.1,11.9,7,1,2.16
Sylvisorex granti,Soricidae,6,9.2,5.2,7.9,4.5,1,1.45
S. megalura,Soricidae,11,10.2,5.3,7.9,4.6,1,1.68
Ruwenzorisorex suncoides,Soricidae,1,12.2,7,10.6,5.4,1,2.68
Myosorex babaulti,Soricidae,1,11.6,7.1,10.5,5.8,1,2.75
