"Species","Tree_Name","Tree_Clade","Individuals","Sex","Side","log10_mc1_mm","log10_pp1_mm","log10_dp1_mm","log10_mc2_mm","log10_pp2_mm","log10_ip2_mm","log10_dp2_mm","log10_mc3_mm","log10_pp3_mm","log10_ip3_mm","log10_dp3_mm","log10_mc4_mm","log10_pp4_mm","log10_ip4_mm","log10_dp4_mm","log10_mc5_mm","log10_pp5_mm","log10_ip5_mm","log10_dp5_mm","Bone_References","Bone_References_resolved","bone_data_restricted","log10_brain_g","brain_notes","log10_body_g","body_notes","log10_neocortex_cm3","log10_cerebellum_cm3","Brain_References","Brain_References_resolved","Tool_Use","Single_Individual","Captive_Only","Tool_Manufacture","True_Tool_Use","Binocularity","peak_workspace","relative_size","real_size"
"Colobus polykomos","Colobus_polykomos","owm","MVZ_121143;MCZ_47977;MVZ_137555;KNM-OM_6364","Both/Unspecified","Unspecified",1.3150251993126,,,1.58217703768841,,,,1.59350758933177,1.54270096944811,1.37100625584821,,1.58894364274001,,,,1.60791052538138,,,,"4;7;18","Patel 2010; Prang et al. 2021; Frost et al. 2015","FALSE",1.98227123303957,,3.83250891270624,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Darwinius masillae","Darwinius_masillae","strepsirrhine","PMO_214.2.14;PMO_214.214","Both/Unspecified","All_Right",0.863322860120456,0.957726976872594,0.747217536139993,,1.12548126570059,0.909556029241175,0.615950051656401,1.06333335895175,1.19375053333945,1.06295783408451,0.603144372620182,1.07003786660776,1.19479175772192,1.08893304077191,0.624282095835668,1.04453976039241,1.06660542412653,0.974971994298069,0.495544337546448,"1;2","Boyer et al. 2016; Boyer et al. 2013","FALSE",,,,,,,,,0,,,,,,,,
"Daubentonia madagascariensis","Daubentonia_madagascariensis","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.55509444857832,1.62428209583567,,,,,1.52288417392743,,1.32301993299933,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.654657755,,3.447158031,,1.36358377803611,0.81,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.72591163229505,-1.53760200210104,-1.09691001300806,1
"Dryomomys szalayi","Dryomomys_szalayi","nonprimate","UM_41870","Both/Unspecified","All_Left",,,,,,,,,,,,,,,,0.621176281775035,,,,"2","Boyer et al. 2013","FALSE",,,,,,,,,0,,,,,,,,
"Erythrocebus patas","Erythrocebus_patas","owm","AMNH-34712;KNM-OM_5093 (plus some measurements at taxon-level)","Both/Unspecified","Unspecified",1.33043438288614,1.00714455290443,,1.56312496033804,1.24061749602915,1.0040414688968,,1.57246498659219,1.30978956360938,1.13014197253649,,1.54580175715928,1.29336704941038,1.10151492781342,,1.51066019147352,,,,"4;6;18","Patel 2010; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Frost et al. 2015","FALSE",2.000867722,,3.867820908,,1.867,0.907000000000001,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,1,1,0,1,1.87157293554588,,,
"Eulemur coronatus","Eulemur_coronatus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.25285303097989,1.19865708695442,1.02530586526477,,,,,,,,,,"12","Kirk et al. 2008","FALSE",1.31494030563097,,3.07188200730613,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Eulemur fulvus","Eulemur_fulvus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.32221929473392,1.26007138798507,,,,,1.1091143090388,,1.28216877830464,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.367,,3.376027355,,1.08660894457295,0.522,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",1,0,1,0,1,1.72181061521255,-1.58502665202918,-1.04575749056068,0.845098040014257
"Eulemur macaco","Eulemur_macaco","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.3384564936046,1.28330122870355,,,,,1.1483558264494,,1.30285021270231,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.354108439,,3.319349002,,1.14476837276083,0.567613331805803,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,,-1.56863623584101,-1.04575749056068,0.8750612633917
"Eulemur mongoz","Eulemur_mongoz","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.28780172993023,1.22788670461367,,,,,1.08701196912244,,1.23975814551305,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.38081401,,3.192938963,,1.08026562733984,0.374014740291912,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,,-1.56863623584101,-1.04575749056068,0.812913356642856
"Eulemur rubriventer","Eulemur_rubriventer","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.34439227368511,1.30102999566398,1.10720996964787,,,,,,,,,,"12","Kirk et al. 2008","FALSE",1.396199347,,3.006466042,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Euoticus elegantulus","Euoticus_elegantulus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.04139268515823,1.07918124604762,,,,,0.949877704036875,,0.996730515435153,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.743092751629689,,2.43775056282039,,,,"27","Venditti et al. 2024",0,,,,,1.53402610605614,-1.50863830616573,-1.04575749056068,0.6232492903979
"Europolemur klatti","Europolemur_klatti","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",0.998259338423699,1.07773117965239,0.786751422145561,1.15956719323362,1.21906033244886,1.07040732174012,0.582063362911709,1.18554215485438,1.3003780648707,1.16256440652302,0.633468455579587,1.18269990333604,1.31407799177921,1.13924921757161,,1.14983469671578,1.23019337886905,1.02571538390134,,"1","Boyer et al. 2016","FALSE",,,,,,,,,0,,,,,,,,
"Sciurocheirus alleni","Sciurocheirus_alleni","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.01703333929878,1.03342375548695,,,,,0.974665180804628,,0.932811868611632,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.76715586608218,,2.43616264704076,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Galagoides demidoff","Galagoides_demidoff","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,0.781755374652469,0.811575005870593,,,,,0.737192642704737,,0.687863248196042,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.5289167,,1.908485019,,0.195235254806065,-0.384,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.57863920996807,-1.50863830616573,-1.09691001300806,0.322219294733919
"Galago moholi","Galago_moholi","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,0.916980047320382,0.912753303671323,,,,,0.811575005870593,,0.798880735242388,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.568817240971523,,2.17137272373975,,,,"27","Venditti et al. 2024",0,,,,,1.55870857053317,-1.53760200210104,-1.09691001300806,0.397940008672038
"Galago senegalensis","Galago_senegalensis","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,0.919078092376074,0.931457870689005,,,,,0.823800153749878,,0.818005830532529,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.770852012,,2.477603536,,0.195899652409234,-0.173,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",1,1,0,0,0,,-1.55284196865778,-1.09691001300806,0.397940008672038
"Paragalago zanzibaricus","Paragalago_zanzibaricus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,0.951337518795918,0.93801909747621,0.79448804665917,,,,,,,,,,"12","Kirk et al. 2008","FALSE",0.544068044350276,,2.15533603746506,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Gorilla beringei","Gorilla_beringei","ape","USNM_397351;USNM_545041;USNM_545045;USNM_395636;USNM_239883;RMCA_8608;USNM_545046;AMNH_115609;RMCA_2257;AMNH_54091;RMCA_2263;AMNH_54090;AMNH_235603;MCZ_38017;RMCA_813;RMCA_807;RMCA_9581;FMNH_27551;MCZ_23182;RMCA_27839;RMCA_27222;RMCA_27755;RMCA_17785","Both/Unspecified","Unspecified",1.66889016900251,1.45002904523793,1.29312568833966,,,,,,1.75836547332291,1.60159240107166,,1.9086088300491,1.74124166873999,1.58910347436331,,1.89756016128198,,,,"5;7","Almecija et al. 2015; Prang et al. 2021","FALSE",2.69132024422385,,5.11394335230684,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Gorilla gorilla","Gorilla_gorilla","ape","CMNH_HTB_2767;CMNH_HTB_1725;CMNH_HTB_2741;CMNH_HTB_1710;CMNH_HTB_2826;MCZ_17684;CMNH_HTB_1430;CMNH_HTB_1431;CMNH_HTB_2739;CMNH_HTB_2000;CMNH_HTB_1732;MCZ_29048;CMNH_HTB_1709;CMNH_HTB_1057;MVZ_38931;USNM_220324_J;AMNH_54327;MVZ_38930;MCZ_38326;CMNH_HTB_1999;CMNH_HTB_1756;MVZ_174521;CMNH_HTB_2787;AMNH_214103;AMNH_167335;USNM_176225;EvoMorph_1-Gorilla_gorilla;AMNH_81652;AMNH_167338;AMNH_81651;AMNH_167340;CMNH_HTB_2784;CMNH_HTB_3405;CMNH_HTB_1997;RMCA_17202;RMCA_9291","Both/Unspecified","Unspecified",1.69319270456177,1.49341157504866,1.32060781057734,1.94939000664491,1.71642073384655,1.51949985285954,1.24612912566344,,1.77811603588991,1.62525403673417,,1.94938230176612,1.77216447707712,1.6268094629253,,1.93231166321417,,,,"5;7;9","Almecija et al. 2015; Prang et al. 2021; Feix et al. 2015","FALSE",2.657581662,,5.082695631,,2.474,1.799,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,0,1,1,1.90525604874845,-1.50863830616573,-1,1.45788189673399
"Hapalemur griseus","Hapalemur_griseus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.20411998265592,1.16435285578444,,,,,1.02160271602824,,1.17035951845401,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.14921911265538,,2.85064623518307,,,,"27","Venditti et al. 2024",0,,,,,1.74896286125616,-1.53760200210104,-1.04575749056068,0.707570176097936
"Prolemur simus","Prolemur_simus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.29003461136252,1.24797326636181,1.06818586174616,,,,,,,,,,"12","Kirk et al. 2008","FALSE",1.43368797937736,,3.33243845991561,,,,"27","Venditti et al. 2024",0,,,,,,,,
"HispanopithecusHispanopithecus laietanus","HispanopithecusHispanopithecus_laietanus","ape","taxon-level","Both/Unspecified","Unspecified",,,,,,,,,1.77524625974024,1.60205999132796,,1.81624129999178,1.79726754083072,1.6159500516564,,,,,,"6;7","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021","FALSE",,,,,,,,,0,,,,,,,,
"Homo naledi","Homo_naledi","hominin","Hand_1","Both/Unspecified","All_Right",1.57287160220048,1.38916608436453,1.18184358794477,1.72997428569956,1.50785587169583,1.25042000230889,1.10380372095596,1.69019608002851,1.55509444857832,1.3541084391474,1.15836249209525,1.63042787502502,1.51982799377572,1.34439227368511,1.14921911265538,1.60959440922522,1.42324587393681,1.19312459835446,1.09342168516224,"19","Kivell et al. 2015","FALSE",2.73639650227664,"Converted from volume using 1g = 1cm3. Average value calculated from a range.",4.5436542334739,"Average value from a range of representative sizes (using the first of 1000 randomly sampled datasets).",,,"31","Puschel et al. 2024",0,,,,,,,,
"Homo neanderthalensis","Homo_neanderthalensis","hominin","Shanidar_4","Both/Unspecified","Unspecified",1.63548374681491,1.45636603312904,1.43136376415899,1.83632411570675,1.64048143697042,1.41329976408125,1.33445375115093,1.7996850909091,1.60205999132796,1.43136376415899,,1.75050839485135,1.62541535215441,1.4432629874587,,1.71767050300226,,,,"5;6;7;9;20","Almecija et al. 2015; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Feix et al. 2015; Ward et al. 2014","FALSE",3.13783345457065,"Converted from volume using 1g = 1cm3. Average value calculated from a range.",4.85645424642135,"Average value from a range of representative sizes (using the first of 1000 randomly sampled datasets).",,,"31","Puschel et al. 2024",0,,,,,,-1.36653154442041,-1.09691001300806,0.477121254719662
"Homo sapiens","Homo_sapiens","hominin","CMNH_HTH_545;CMNH_HTH_589;CMNH_HTH_603;CMNH_HTH_612;CMNH_HTH_529;CMNH_HTH_311;CMNH_HTH_631;CMNH_HTH_704;CMNH_HTH_152;CMNH_HTH_205;CMNH_HTH_0088;CMNH_HTH_228;CMNH_HTH_252;CMNH_HTH_269;CMNH_HTH_306;CMNH_HTH1012;AMNH_98/258;AMNH_98/228;AMNH98/219;CMNH_HTH_1556;CMNH_HTH_1514;CMNH_HTH_1429;AMNH_98/286;AMNH_98/290;AMNH_98/291;AMNH_98/294;AMNH_98/272;AMNH_98/275;AMNH_98/276;AMNH_98/260;CMNH_HTH_1577;CMNH_HTH_1521;PAHMA_9044;PAHMA_6977;CMNH_HTH_0096;CMNH_HTH_248;CMNH_HTH_263;CMNH_HTH_584;CMNH_HTH_669;CMNH_HTH_707;CMNH_HTH_723;CMNH_HTH_732;CMNH_HTH_735;CMNH_HTH_754;PAHMA_9046;PAHMA_9047;PAHMA_10449;PAHMA_10448;PAHMA_10465;AMNH_98/285;CMNH_HTH_0118;CMNH_HTH_243;CMNH_HTH_626;PAHMA_5879;PAHMA_5391;PAHMA_6812;PAHMA_5994;CMNH_HTH_204;CMNH_HTH_287;CMNH_HTH_385;CMNH_HTH_402;PAHMA_9092;PAHMA_9802;PAHMA_6094 (plus other measurements at taxon-level)","Both/Unspecified","Unspecified",1.64841421544716,1.48527160486971,1.34869419026554,1.81354293163646,1.60395927011482,1.38056039364046,1.23148043572734,1.81249769272059,1.65607405264092,1.47084630440806,,1.75930028085157,1.62621675017005,1.4508551592226,,1.72706203877614,,,,"5;6;7;9;10;20","Almecija et al. 2015; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Feix et al. 2015; Almecija et al. 2014; Ward et al. 2014","FALSE",3.097058888,,4.813866803,,3.001,2.144,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,0,1,1,,,-1.36653154442041,-1.09691001300806,1
"Hoolock hoolock","Hoolock_hoolock","ape","AMNH_83423;AMNH_83420;AMNH_112720;MVZ_99336;AMNH_80068;AMNH_11092;USNM_545009;AMNH_112676","Both/Unspecified","Unspecified",1.49288256080305,,,,,,,,1.63826456376247,1.51454775266029,,1.71802395138773,,,,1.66138669778177,,,,"7","Prang et al. 2021","FALSE",2.04407055168241,,3.8279021200674,,,,"27","Venditti et al. 2024",1,0,1,0,1,,,,
"Hylobates agilis","Hylobates_agilis","ape","CMNH_HTB_1048;AMNH_106575;AMNH_103667;AMNH_103664;USNM_49694-123155","Both/Unspecified","Unspecified",1.5229438845673,1.31386722036915,1.01283722470517,,,,,,1.65991620006985,1.52330414546054,,1.73117226593784,1.59439255037543,1.43616264704076,,1.68584917961594,,,,"5;7","Almecija et al. 2015; Prang et al. 2021","FALSE",1.944975908,,3.742626952,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Hylobates klossii","Hylobates_klossii","ape","USNM_49657;AMNH_103344;AMNH_119601Z;USNM_49656;AMNH_103347","Both/Unspecified","Unspecified",1.4726687041948,,,,,,,,1.58541560565975,1.43917473984347,,1.66929828083241,,,,1.60726196053894,,,,"7","Prang et al. 2021","FALSE",1.94443949965234,,3.76305344029961,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Hylobates lar","Hylobates_lar","ape","taxon-level","Both/Unspecified","Mix/Unspecified",1.54251421628165,1.28478784911919,0.985426474083002,1.80951632399315,1.60157521252804,1.41445819234754,1.07261747654524,1.78322766245893,1.65087655571828,1.50449976780316,,1.74718762816104,1.5995511260713,1.44771782135467,,1.6969646324301,,,,"5;6;7;8;9;10;11","Almecija et al. 2015; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Tague 1997; Feix et al. 2015; Almecija et al. 2014; Hart 2018","FALSE",1.973100132,,3.744292983,,1.804,1.103,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,0,1,1,1.86628733908419,-1.56863623584101,-0.958607314841775,1.34635297445064
"Hylobates moloch","Hylobates_moloch","ape","Naturalis_42095","male","Unspecified",1.48995847942483,1.29446622616159,1.01283722470517,,,,,,,,,1.72754125702856,1.61278385671974,1.46389298898591,,,,,,"5","Almecija et al. 2015","FALSE",2.01283722470517,,3.81802784185926,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Hylobates muelleri","Hylobates_muelleri","ape","USNM_198840;MCZ_37378","Both/Unspecified","Unspecified",1.51041094801018,1.28103336724773,1.04139268515823,,,,,,1.63883854879553,1.51308436046514,,1.70651864950169,1.58433122436753,1.45939248775923,,1.66167073604036,,,,"5;7","Almecija et al. 2015; Prang et al. 2021","FALSE",1.979149861,,3.77487265,,,,"27","Venditti et al. 2024",0,,,,,1.88986172125819,,,
"Hylobates pileatus","Hylobates_pileatus","ape","AMNH_140230","male","Unspecified",1.55022835305509,1.32633586092875,1.06818586174616,,,,,,,,,1.73878055848437,1.62013605497376,1.46982201597816,,,,,,"5","Almecija et al. 2015","FALSE",1.92780744158241,,3.73798732633343,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Indri indri","Indri_indri","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.71264970162721,1.63346845557959,,,,,1.4625726789352,,1.71076592368989,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.583198774,,3.795880017,,1.30349844579231,0.741,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.75358305889291,-1.56863623584101,-1,1.24797326636181
"Lagothrix lagotricha","Lagothrix_lagotricha","nwm","taxon-level","Both/Unspecified","Unspecified",1.34537373055909,,,1.50242711998443,,,,1.52439612210384,1.50506854046951,1.31783359924359,,1.51982799377572,,,,1.48429983934679,,,,"7;8","Prang et al. 2021; Tague 1997","FALSE",1.951094557,,3.591621038,,1.799,1.066,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,,,,
"Lemur catta","Lemur_catta","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.32428245529769,1.25285303097989,,,,,1.11333045345588,,1.2724604801459,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",1.335123442,,3.320146286,,1.04453976039241,0.427972713608209,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",1,0,1,0,1,1.71011736511182,-1.58502665202918,-1.04575749056068,0.832508912706236
"Leontopithecus rosalia","Leontopithecus_rosalia","nwm","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.33445375115093,1.17897694729317,1,,,,,,,,,,"12","Kirk et al. 2008","FALSE",1.115610512,,2.709587931,,,,"27","Venditti et al. 2024",1,0,1,0,1,1.79309160017658,,,
"Lepilemur leucopus","Lepilemur_leucopus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.12057393120585,1.11058971029925,,,,,0.998695158311656,,1.08451669984494,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.836936718151197,,2.78211414747907,,,,"27","Venditti et al. 2024",0,,,,,,-1.53760200210104,-1.09691001300806,0.602059991327962
"Lepilemur mustelinus","Lepilemur_mustelinus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.2405492482826,1.2148438480477,0.999130541287371,,,,,,,,,,"12","Kirk et al. 2008","FALSE",0.881,,2.825445592,,0.516138576717075,0.0660000000000003,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.66275783168157,,,
"Lepilemur ruficaudatus","Lepilemur_ruficaudatus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,1.0899051114394,1.11727129565576,0.887054378050957,,,,,,,,,,"12","Kirk et al. 2008","FALSE",0.880813592280791,,2.96142109406645,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Leptadapis magnus","Leptadapis_magnus","adapiform","NMB Q.D. 735","Both/Unspecified","Unspecified",,,,1.44607093570101,,,,1.48862121312943,1.43616264704076,,,1.53243586450671,1.49596039488171,,,1.45803319249651,1.42045085910607,,,"2","Boyer et al. 2013","FALSE",,,,,,,,,0,,,,,1.75587485567249,,,
"Loris tardigradus","Loris_tardigradus","strepsirrhine","taxon-level","Both/Unspecified","Unspecified",,,,,,,,0.894316062684438,0.925827574624742,,,,,0.758587509600443,,0.807341707575163,,,,"6;12;40","Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Kirk et al. 2008; Lemelin 1996 (restricted)","TRUE",0.77815125,,2.507855872,,0.547000000000001,-0.138,"27;32","Venditti et al. 2024; Frahm et al. 1982; Stephan et al. 1981; Stephan et al. 1984",0,,,,,1.73559889969818,-1.53760200210104,-1.04575749056068,0.462397997898956
"Macaca arctoides","Macaca_arctoides","papionini","taxon-level","female","Unspecified",,,,1.48401496266756,,,,1.5092025223311,,,,1.47538059314336,,,,,,,,"4","Patel 2010","FALSE",2.003029471,,3.882524538,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Macaca assamensis","Macaca_assamensis","papionini","taxon-level","male","Unspecified",,,,1.55557807277295,,,,1.54592532935584,,,,1.51982799377572,,,,,,,,"4","Patel 2010","FALSE",1.956648579,,3.562887381,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Macaca fascicularis","Macaca_fascicularis","papionini","taxon-level","Both/Unspecified","Mix/Unspecified",1.24427712080184,1.05269394192497,0.757396028793024,1.46336300263226,1.2670336159891,1.04463197707858,0.813698699500449,1.44947430844554,1.35679046035172,1.19303179047252,,1.43079658987897,1.32973677479916,1.17801718009172,,1.39317728332193,,,,"5;7;8;9;11","Almecija et al. 2015; Prang et al. 2021; Tague 1997; Feix et al. 2015; Hart 2018","FALSE",1.825603128,,3.492684213,,,,"27","Venditti et al. 2024",1,0,0,1,1,,-1.55284196865778,-1,1
"Macaca fuscata","Macaca_fuscata","papionini","taxon-level","male","Unspecified",1.36735592102602,1.14144977340047,0.939519252618618,1.54777470538782,,,,1.5556988947189,,,,1.51798720302508,1.41413736218448,1.21879799811174,,,,,,"4;5","Patel 2010; Almecija et al. 2015","FALSE",1.959,,3.978,,,,"27","Venditti et al. 2024",1,0,0,0,1,,,,
"Macaca maura","Macaca_maura","papionini","MVZ_20898","Both/Unspecified","Unspecified",1.3883676671573,1.10720996964787,0.806179973983887,1.57495677576451,,,,1.58342550040651,1.48000694295715,1.26078666865498,,1.56359972888153,1.37839790094814,1.20411998265592,,1.58489634413745,,,,"4;5;7","Patel 2010; Almecija et al. 2015; Prang et al. 2021","FALSE",1.975339885,,3.835436895,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Macaca mulatta","Macaca_mulatta","papionini","taxon-level","Both/Unspecified","Unspecified",1.33959012683406,1.09066229185432,0.796376070489843,1.55894633235553,1.32305681092499,1.09492270027881,0.906181063969085,1.56457271327583,1.40084186397473,1.2102314913981,,1.55511583827528,1.38497505207774,1.19626238378042,,1.52128937079521,,,,"4;6;7;9","Patel 2010; Rolian (pers. comm.; Rolian 2009; Nelson et al. 2011); Prang et al. 2021; Feix et al. 2015","FALSE",1.944453938,,3.663962533,,1.743,0.859000000000001,"27;28","Venditti et al. 2024; Barton & Venditti 2014",1,0,1,0,1,,-1.55284196865778,-1,1.05690485133647
"Macaca nemestrina","Macaca_nemestrina","papionini","MVZ_20899;AMNH-106564;MCZ_35670;MCZ_35602;USNM-49691;MCZ_35631;USNM-305069;MCZ_35687;MVZ_134148;USNM-49874","Both/Unspecified","Unspecified",1.41780372263988,1.18752072083646,0.884228769632604,1.60238559010511,,,,1.60086403630984,1.45089032278975,1.28209317651458,,1.60112058978166,1.4483197649335,1.26892882243261,,1.5887757562041,,,,"4;5;7;10;18","Patel 2010; Almecija et al. 2015; Prang et al. 2021; Almecija et al. 2014; Frost et al. 2015","FALSE",2.041392685,,3.648945182,,,,"27","Venditti et al. 2024",1,0,1,0,1,1.8750612633917,,,
"Macaca nigra","Macaca_nigra","papionini","MVZ_122335","Both/Unspecified","Unspecified",1.39451004981789,1.15228834438306,0.869231719730976,1.580468783951,,,,1.56241183294973,1.46568021159828,1.29666519026153,,1.54195347445824,1.41329976408125,1.23552844690755,,1.58927922123597,,,,"4;5;7","Patel 2010; Almecija et al. 2015; Prang et al. 2021","FALSE",1.989004616,,3.538070787,,,,"27","Venditti et al. 2024",1,1,1,1,1,1.90741136077459,,,
"Macaca ochreata","Macaca_ochreata","papionini","taxon-level","male","Unspecified",,,,1.58058287681437,,,,1.56264967221192,,,,,,,,,,,,"4","Patel 2010","FALSE",1.99113743512031,,3.53147891704225,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Macaca silenus","Macaca_silenus","papionini","taxon-level","Both/Unspecified","Unspecified",1.33545790068938,1.11226976841727,0.812913356642856,,,,,,,,,1.52955867302116,1.42488163663107,1.26481782300954,,,,,,"5","Almecija et al. 2015","FALSE",1.92941892571429,,3.8750612633917,,,,"27","Venditti et al. 2024",1,0,0,1,1,,,,
"Macaca sinica","Macaca_sinica","papionini","taxon-level","male","Unspecified",1.34044411484012,1.04532297878666,0.755874855672491,,,,,,,,,1.50242711998443,1.38738982633873,1.22788670461367,,,,,,"5","Almecija et al. 2015","FALSE",1.764549719,,3.294466226,,,,"27","Venditti et al. 2024",0,,,,,,,,
"Macaca sylvanus","Macaca_sylvanus","papionini","taxon-level","Both/Unspecified","Unspecified",1.44922119190599,1.20502382165417,0.8731267636145,1.58591171031943,,,,1.60010125569139,,,,1.5856862784525,1.46736141743051,1.31104711642151,,,,,,"4;5","Patel 2010; Almecija et al. 2015","FALSE",1.942999593,,4.049218023,,1.834,0.863,"27;28","Venditti et al. 2024; Barton & Venditti 2014",0,,,,,1.85125834871908,,,
"Macaca thibetana","Macaca_thibetana","papionini","AMNH-60160;USNM-241163;USNM-258651;USNM-258649;USNM-258686","male","Unspecified",1.33679316532894,,,1.57588031568065,,,,1.57042617835897,,,,1.56976393611805,,,,1.55071742346928,,,,"4;18","Patel 2010; Frost et al. 2015","FALSE",,,,,,,,,0,,,,,,,,
"Macaca tonkeana","Macaca_tonkeana","papionini","taxon-level","male","Unspecified",,,,1.60465797204787,,,,1.60195140413352,,,,,,,,,,,,"4","Patel 2010","FALSE",1.97173959088778,,3.95424250943933,,,,"27","Venditti et al. 2024",1,0,0,0,1,,,,
