Species,Area_striata_grey_matter_current,Area_striata_grey_matter_current_source,Body_weight_current,Body_weight_current_source,Species_Frahm98,Area_striata_grey_matter_1998,Area_striata_grey_matter_1998_new,Body_weight_1998,Brain_weight_1998,Corpus_geniculatum_laterale_1998,Corpus_geniculatum_laterale_1998_new,Middle_temporal_visual_area,Number_MT_1998
AAAA_Anatomy_code,,,,,,AS,,BoW,BrW,CGL,,MT,
AAAA_Reference,ALL,ALL,ALL,ALL,Frahm_1998,Frahm_1998,Frahm_1998,Frahm_1998,Frahm_1998,Frahm_1998,Frahm_1998,Frahm_1998,Frahm_1998
Saguinus midas,841,deSousa_2010,340,Stephan_1981,Saguinus midas,841,,340,10300,36,,91,
Saguinus oedipus,807,deSousa_2010,380,Stephan_1981,Saguinus oedipus,807,,380,10000,34.2,,103.1,
Saimiri sciureus,1884,deSousa_2010,660,Stephan_1981,,,,,,,,,
Scutisorex somereni,,,,,,,,,,,,,
Setifer setosus,,,237,Frahm_1994,,,,,,,,,
Solenodon paradoxus,,,900,Stephan_1981,,,,,,,,,
Sorex araneus,,,10.3,Stephan_1981,,,,,,,,,
Sorex cinereus,,,,,,,,,,,,,
Sorex fumeus,,,,,,,,,,,,,
Sorex minutus,,,5.3,Stephan_1981,,,,,,,,,
Spalax ehrenbergi,,,112.9,Stephan_1981,,,,,,,,,
Suncus etruscus,,,,,,,,,,,,,
Suncus megalura,,,,,,,,,,,,,
Suncus murinus,,,35.5,Stephan_1981,,,,,,,,,
Sylvisorex granti,,,,,,,,,,,,,
Symphalangus syndactylus,5468.9,deSousa_2010,11900,Bauernfeind_2013,,,,,,,,,
Talpa europaea,,,76,Stephan_1981,,,,,,,,,
Tarsius sp.,349,deSousa_2010,125,Stephan_1981,Tarsius spec.,349,,125,3600,20.8,,49.7,
Tenrec ecaudatus,,,832,Stephan_1981,,,,,,,,,
Trachypithecus francoisi,,,7700,Bauernfeind_2013,,,,,,,,,
Tupaia glis,,Frahm_1984,170,Stephan_1981,,,,,,,,,
Tupaia minor,,Frahm_1984,70,Stephan_1981,,,,,,,,,
Urogale everetti,,Frahm_1984,275,Stephan_1981,,,,,,,,,
Varecia variegata,1745,deSousa_2010,3000,Stephan_1981,,,,,,,,,
