Species,Body_weight_current,Body_weight_current_source,Species_Matano1985a,code_Matano1985a,Body_weight_1985a,Cerebellar_nuclei_total,Interpositus_cerebellar_nuclei,Lateral_cerebellar_nuclei,Medial_cerebellar_nuclei,Number_cerebellar_nuclei
AAAA_Anatomy_code,,,,,BoW,TCN,ICN,LCN,MCN,
AAAA_Reference,ALL,ALL,Matano_1985a,Matano_1985a,Matano_1985a,Matano_1985a,Matano_1985a,Matano_1985a,Matano_1985a,Matano_1985a
Pan troglodytes,46503.33333,Bauernfeind_2013,Pan troglodytes,3549,"46,000",601.42,87.27,455.83,58.32,1
Papio anubis,25000,Stephan_1981,Papio anubis,3415,"25,000",379.04,99.91,220.35,58.78,2
Perodicticus potto,1150,Stephan_1981,Perodicticus potto,3259,"1,150",29.44,8.43,12.25,8.76,2
Piliocolobus badius,7000,Stephan_1981,Colobus badius,3477,"7,000",190.92,57.76,98.52,34.64,2
Pithecia monachus,1500,Stephan_1981,Pithecia monachus,3341,"1,500",109.36,31.78,53.67,23.91,2
Pithecia pithecia,1580,Bauernfeind_2013,,,,,,,,
Pongo sp.,61700,Bauernfeind_2013,,,,,,,,
Potamogale velox,660,Stephan_1981,,,,,,,,
Propithecus verreauxi,3480,Stephan_1981,Propithecus verreauxi,3247,"3,480",97.12,30.94,39.46,26.72,2
Pygathrix nemaeus,7500,Stephan_1981,Pygathrix nemaeus,3493,"7,500",265.75,80.76,137.05,47.94,1
Rattus norvegicus,233.7,Stephan_1981,,,,6.002,,,,
Rhynchocyon cirnei,490,Stephan_1981,,,,,,,,
Ruwenzorisorex suncoides,,,,,,,,,,
Saguinus geoffroyi,482,Bauernfeind_2013,,,,,,,,
Saguinus midas,340,Stephan_1981,Saguinus midas,3305,340,21.57,6.94,7.75,6.88,2
Saguinus oedipus,380,Stephan_1981,Saguinus oedipus,3311,380,24.6,7.19,8.8,8.61,2
Saimiri sciureus,660,Stephan_1981,Saimiri sciureus,3335,660,73.22,21.93,27.2,24.09,2
Scutisorex somereni,,,,,,,,,,
Setifer setosus,237,Frahm_1994,Setifer setosus,579,248,4.19,1.78,1.21,1.2,1
Solenodon paradoxus,900,Stephan_1981,,,,,,,,
Sorex araneus,10.3,Stephan_1981,Sorex araneus,715,10.2,0.58,0.18,0.21,0.18,1
Sorex cinereus,,,,,,,,,,
Sorex fumeus,,,,,,,,,,
Sorex minutus,5.3,Stephan_1981,Sorex minutus,769,4.42,0.35,0.13,0.13,0.09,1
Spalax ehrenbergi,112.9,Stephan_1981,,,,9.36,,,,
Suncus etruscus,,,,,,,,,,
Suncus megalura,,,,,,,,,,
Suncus murinus,35.5,Stephan_1981,Suncus murinus,137,33,1.06,0.38,0.44,0.23,1
Sylvisorex granti,,,,,,,,,,
Symphalangus syndactylus,11900,Bauernfeind_2013,,,,,,,,
Talpa europaea,76,Stephan_1981,,,,,,,,
Tarsius sp.,125,Stephan_1981,Tarsius spp.,3282,125,8.06,1.82,3.37,2.87,4
Tenrec ecaudatus,832,Stephan_1981,Tenrec ecaudatus,577,832,9.82,4.43,3.33,2.06,1
Trachypithecus francoisi,7700,Bauernfeind_2013,,,,,,,,
Tupaia glis,170,Stephan_1981,Tupaia glis,1263,170,12.46,3.4,5.13,3.93,2
Tupaia minor,70,Stephan_1981,,,,,,,,
Urogale everetti,275,Stephan_1981,Urogale everetti,1289,275,15.07,3.94,7,4.13,1
Varecia variegata,3000,Stephan_1981,Varecia variegata,3227,"3,000",94.67,28.83,37.45,28.39,1
