Species,Brain,Area 10
Human,"1,158,300","14,217.7"
Chimpanzee,"393,000","2,239.2"
Bonobo,"378,400","2,804.9"
Gorilla,"362,900","1,942.5"
Orangutan,"356,200","1,611.1"
Gibbon,"88,800",203.5
