Species,Suborder,Family,Brain mass (g),Body mass (g),Encephalisation quotient,Water temp. (°C),Source
Platanista gangetica,Odontocete,Platanistidae,295,59000,1.83,,9
Platanista minor,Odontocete,Platanistidae,164,18300,2.38,,2
Lipotes vexillifer,Odontocete,Lipotidae,558,180000,1.53,9–17,2
Pontoporia blainvillei,Odontocete,Pontoporiidae,220,34900,1.99,15–25,2
Inia geoffrensis,Odontocete,Iniidae,610,62400,3.63,22–32,2
Delphinapterus leucas,Odontocete,Monodontidae,2083,636000,2.28,−1–9,3
Monodon monoceros,Odontocete,Monodontidae,2997,1578330,1.69,−1–7,5
Phocoena phocoena,Odontocete,Phocoenidae,477,52300,3.23,2–19,2
Neophocaena phocaenoides,Odontocete,Phocoenidae,468,32400,4.49,12–28,2
Neophocaena asiaeorientalis,Odontocete,Phocoenidae,422,34000,3.91,,2
Phocoenoides dalli,Odontocete,Phocoenidae,867,112000,3.36,4–19,9
Phocoenoides truei,Odontocete,Phocoenidae,876,78400,4.41,,2
Sotalia fluviatilis,Odontocete,Delphinidae,688,42200,5.44,20–32,2
Lagenorhynchus albirostris,Odontocete,Delphinidae,1126,67500,6.32,2–17,2
Lagenorhynchus acutus,Odontocete,Delphinidae,1200,120000,4.43,3–21,2
Lagenorhynchus obliquidens,Odontocete,Delphinidae,1140,90000,5.19,4–14,2
Grampus griseus,Odontocete,Delphinidae,2551,400000,3.91,9–29,3
Tursiops truncatus,Odontocete,Delphinidae,1530,165000,4.47,13–29,4
Stenella coeruleoalba,Odontocete,Delphinidae,820,56300,5.25,15–29,2
Delphinus delphis,Odontocete,Delphinidae,765,52000,5.19,13–29,2
Orcinus orca,Odontocete,Delphinidae,5617,2049000,2.62,,3
Globicephala melas,Odontocete,Delphinidae,2673,1061000,2.01,4–20,3
Ziphius cavirostris,Odontocete,Ziphiidae,2004,2273000,0.87,,3
Mesoplodon mirus,Odontocete,Ziphiidae,2355,929000,1.95,8–18,5
Mesoplodon europaeus,Odontocete,Ziphiidae,2149,732000,2.12,8–18,5
Mesoplodon densirostris,Odontocete,Ziphiidae,1463,767000,1.39,18–29,5
Kogia breviceps,Odontocete,Physeteridae,1012,305000,1.89,13–23,5
Kogia simus,Odontocete,Physeteridae,622,168500,1.79,18–26,5
Physeter catadon,Odontocete,Physeteridae,7818,37093000,0.44,15–23,3
Eschrichtius robustus,Mysticete,Eschrichtiidae,4316.67,30000000,0.28,−1–4,6
Balaenoptera borealis,Mysticete,Balaenopteridae,4900,20000000,0.43,2–8,8
Balaenoptera physalus,Mysticete,Balaenopteridae,7111.43,33221430,0.43,,6
Balaenoptera musculus,Mysticete,Balaenopteridae,3636,50904000,0.16,−1–5,9
Megaptera novaeangliae,Mysticete,Megapteridae,6439,39311330,0.35,−1–5,6
