Species,ref_column,Variable,reference,merged,status,ratio,likely,merge_source,merge_year,beat
Pongo sp.,Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,321.5,254.75,DIFFERS,0.7923794712286159,NA,Bauernfeind_etal_2013_Table1,2013,NA
Pongo sp.,Agranular_volume_L,Agranular_insular_cortex_left_Vol.mm3,188,254.75,DIFFERS,1.3550531914893618,NA,Bauernfeind_etal_2013_Table1,2013,NA
Gorilla sp.,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,9129,12062,DIFFERS,1.3212838207908861,NA,Frahm_etal_1984_Table1,1984,NA
Homo sapiens,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,15247.5,14787,DIFFERS,0.9697983275946876,NA,Frahm_etal_1984_Table1,1984,NA
Hylobates lar,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,4086.7,4574,DIFFERS,1.1192404629652286,NA,Frahm_etal_1984_Table1,1984,NA
Pan troglodytes,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,8268.3,10593,DIFFERS,1.2811581582671168,NA,Frahm_etal_1984_Table1,1984,NA
Pongo sp.,ASG_Sousa,Area_striata_grey_matter_Vol.mm3,8233.7,8400,DIFFERS,1.0201974810838383,NA,Zilles_Rehkämper_1988_Table12-2,1988,NA
Alouatta seniculus,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,0.54,543,DIFFERS,1005.5555555555555,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Ateles geoffroyi,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,0.99,985,DIFFERS,994.9494949494949,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Cebus albifrons,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,0.94,939,DIFFERS,998.936170212766,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
Cercopithecus ascanius,Primary.visual.White.Smaers,Area_striata_white_matter_Vol.mm3,0.83,834,DIFFERS,1004.8192771084338,x1000 (cm3 vs mm3),Frahm_etal_1984_Table1,1984,NA
