taxon,sp,dec_region,our_term,dec_value,ref_ids,status_original,matched_value_original,status_expanded,matched_value_expanded
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,18900.0,61,value_diff,14706.933333333334,value_diff,14706.933333333334
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1700.0,61,value_diff,1873.0,value_diff,1873.0
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,19700.0,61,value_diff,14706.933333333334,value_diff,14706.933333333334
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1800.0,61,value_diff,1873.0,value_diff,1873.0
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,22100.0,61,value_diff,14706.933333333334,value_diff,14706.933333333334
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1800.0,61,value_diff,1873.0,value_diff,1873.0
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,16195.0,"24,51-52",value_diff,14706.933333333334,value_diff,14706.933333333334
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1873.0,"24,51-52",match,1873.0,match,1873.0
Aotus_trivirgatus,aotus trivirgatus,Mesencephalon,Mesencephalon_Vol.mm3,409.0,"24,51-52",match,409.0,match,409.0
Aotus_trivirgatus,aotus trivirgatus,Diencephalon,Diencephalon_Vol.mm3,1098.0,"24,51-52",match,1098.0,match,1098.0
Aotus_trivirgatus,aotus trivirgatus,Telencephalon,Telencephalon_Vol.mm3,12128.0,"24,51-52",match,12128.0,match,12128.0
Aotus_trivirgatus,aotus trivirgatus,MOB,Bulbus_olfactorius_Vol.mm3,56.0,"24,51-52",match,56.0,match,56.0
Aotus_trivirgatus,aotus trivirgatus,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,0.222,"24,51-52",match,0.222,match,0.222
Aotus_trivirgatus,aotus trivirgatus,Piriform Lobe,Lobus_piriformis_Vol.mm3,394.0,"24,51-52",match,394.0,match,394.0
Aotus_trivirgatus,aotus trivirgatus,Septum,Septum_Vol.mm3,83.3,"24,51-52",match,83.8,match,83.8
Aotus_trivirgatus,aotus trivirgatus,Striatum,Striatum_Vol.mm3,862.0,"24,51-52",match,862.0,match,862.0
Aotus_trivirgatus,aotus trivirgatus,Schizocortex,Schizo_cortex_Vol.mm3,243.0,"24,51-52",match,243.0,match,243.0
Aotus_trivirgatus,aotus trivirgatus,Hippocampus,Hippocampus_Vol.mm3,539.0,"24,51-52",match,538.8,match,538.8
Aotus_trivirgatus,aotus trivirgatus,Neocortex (GM+WM),Neocortex_Vol.mm3,9950.0,"24,51-52",match,9950.0,match,9950.0
Aotus_trivirgatus,aotus trivirgatus,LGN,Corpus_geniculatum_laterale_Vol.mm3,36.0,"24,51-52",value_diff,32.9,value_diff,32.9
Aotus_trivirgatus,aotus trivirgatus,Paleocortex,Palaeocortex_Vol.mm3,203.0,"24,51-52",match,203.0,match,203.0
Aotus_trivirgatus,aotus trivirgatus,Amygdala,Amygdala_Vol.mm3,201.0,"24,51-52",value_diff,193.6,value_diff,193.6
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,11420.0,54-55,value_diff,14706.933333333334,value_diff,14706.933333333334
Aotus_trivirgatus,aotus trivirgatus,Neocortex (GM+WM),Neocortex_Vol.mm3,6970.000000000001,54-55,value_diff,9950.0,value_diff,9950.0
Aotus_trivirgatus,aotus trivirgatus,Neocortex (GM),Neocortex_grey_matter_Vol.mm3,5230.0,54-55,value_diff,6275.5,value_diff,6275.5
Aotus_trivirgatus,aotus trivirgatus,V1 (GM),Area_striata_grey_matter_Vol.mm3,630.0,54-55,value_diff,874.0,value_diff,874.0
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,103939.97893997893,34,match,102253.775,match,102253.775
Ateles_geoffroyi,ateles geoffroyi,V1 (GM),Area_striata_grey_matter_Vol.mm3,3753.0,34,match,3753.0,match,3753.0
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,102700.0,43,match,102253.775,match,102253.775
Ateles_geoffroyi,ateles geoffroyi,Granular Insula,Granular_insular_cortex_left_Vol.mm3,200.0,43,value_diff,100.0,value_diff,100.0
Ateles_geoffroyi,ateles geoffroyi,Dysgranular Insula,Dysgranular_insular_cortex_left_Vol.mm3,362.0,43,value_diff,181.0,value_diff,181.0
Ateles_geoffroyi,ateles geoffroyi,Insula (GM),Insula_left_Vol.mm3,832.0,43,value_diff,416.0,value_diff,416.0
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,101033.517,53,match,102253.775,match,102253.775
Ateles_geoffroyi,ateles geoffroyi,Medulla,Medulla_oblongata_Vol.mm3,1833.67,53,match,1833.835,match,1833.835
Ateles_geoffroyi,ateles geoffroyi,Vmo,Trigeminal_motor_nucleus_left_Vol.mm3,3.6,53,value_diff,1.8,value_diff,1.8
Ateles_geoffroyi,ateles geoffroyi,VII,Facial_motor_nucleus_left_Vol.mm3,3.3,53,value_diff,1.65,value_diff,1.65
Ateles_geoffroyi,ateles geoffroyi,XII,Hypoglossal_nucleus_left_Vol.mm3,3.56,53,value_diff,1.78,value_diff,1.78
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,101034.0,"24,51-52",match,102253.775,match,102253.775
Ateles_geoffroyi,ateles geoffroyi,Cerebellum,Cerebellum_Vol.mm3,12438.0,"24,51-52",match,12438.0,match,12438.0
Ateles_geoffroyi,ateles geoffroyi,Mesencephalon,Mesencephalon_Vol.mm3,1482.0,"24,51-52",match,1482.0,match,1482.0
Ateles_geoffroyi,ateles geoffroyi,Diencephalon,Diencephalon_Vol.mm3,5334.0,"24,51-52",match,5334.0,match,5334.0
Ateles_geoffroyi,ateles geoffroyi,Telencephalon,Telencephalon_Vol.mm3,79946.0,"24,51-52",match,79946.0,match,79946.0
Ateles_geoffroyi,ateles geoffroyi,MOB,Bulbus_olfactorius_Vol.mm3,90.4,"24,51-52",match,90.4,match,90.4
Ateles_geoffroyi,ateles geoffroyi,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,2.19,"24,51-52",match,2.19,match,2.19
Ateles_geoffroyi,ateles geoffroyi,Piriform Lobe,Lobus_piriformis_Vol.mm3,1625.0,"24,51-52",match,1625.0,match,1625.0
Ateles_geoffroyi,ateles geoffroyi,Septum,Septum_Vol.mm3,324.0,"24,51-52",match,324.0,match,324.0
Ateles_geoffroyi,ateles geoffroyi,Striatum,Striatum_Vol.mm3,4950.0,"24,51-52",match,4950.0,match,4950.0
Ateles_geoffroyi,ateles geoffroyi,Schizocortex,Schizo_cortex_Vol.mm3,732.0,"24,51-52",match,732.0,match,732.0
Ateles_geoffroyi,ateles geoffroyi,Hippocampus,Hippocampus_Vol.mm3,1366.0,"24,51-52",match,1366.01,match,1366.01
Ateles_geoffroyi,ateles geoffroyi,Neocortex (GM+WM),Neocortex_Vol.mm3,70856.0,"24,51-52",match,70856.0,match,70856.0
Ateles_geoffroyi,ateles geoffroyi,Epithalamus,Epithalamus_Vol.mm3,30.5,"24,51-52",match,30.5,match,30.5
Ateles_geoffroyi,ateles geoffroyi,Thalamus,Thalamus_Vol.mm3,2930.0,"24,51-52",match,2930.0,match,2930.0
Ateles_geoffroyi,ateles geoffroyi,Hypothalamus,Hypothalamus_Vol.mm3,629.0,"24,51-52",match,629.0,match,629.0
Ateles_geoffroyi,ateles geoffroyi,Subthalamus,Subthalamus_Vol.mm3,860.0,"24,51-52",match,860.0,match,860.0
Ateles_geoffroyi,ateles geoffroyi,Pallidum,Pallidum_Vol.mm3,807.0,"24,51-52",match,807.0,match,807.0
Ateles_geoffroyi,ateles geoffroyi,Subthalamic Nucleus,Nucleus_subthalamicus_Vol.mm3,52.8,"24,51-52",match,52.8,match,52.8
Ateles_geoffroyi,ateles geoffroyi,Optic Tract,Tractus_opticus_Vol.mm3,204.0,"24,51-52",match,204.0,match,204.0
Ateles_geoffroyi,ateles geoffroyi,LGN,Corpus_geniculatum_laterale_Vol.mm3,151.0,"24,51-52",match,151.0,match,151.0
Ateles_geoffroyi,ateles geoffroyi,BV,Total_brain_net_volume_Vol.mm3,72410.0,54-55,value_diff,102253.775,value_diff,102253.775
Ateles_geoffroyi,ateles geoffroyi,Neocortex (GM+WM),Neocortex_Vol.mm3,48879.99999999999,54-55,value_diff,70856.0,value_diff,70856.0
Ateles_geoffroyi,ateles geoffroyi,Neocortex (GM),Neocortex_grey_matter_Vol.mm3,30930.0,54-55,decasien_only,,decasien_only,
Ateles_geoffroyi,ateles geoffroyi,V1 (GM),Area_striata_grey_matter_Vol.mm3,3130.0,54-55,value_diff,3753.0,value_diff,3753.0
Ateles_geoffroyi,ateles geoffroyi,LGN,Corpus_geniculatum_laterale_Vol.mm3,120.0,54-55,value_diff,151.0,value_diff,151.0
Ateles_paniscus,ateles paniscus,BV,Total_brain_net_volume_Vol.mm3,71800.0,61,decasien_only,,decasien_only,
Ateles_paniscus,ateles paniscus,Cerebellum,Cerebellum_Vol.mm3,8700.0,61,decasien_only,,decasien_only,
Ateles_paniscus,ateles paniscus,BV,Total_brain_net_volume_Vol.mm3,93000.0,61,decasien_only,,decasien_only,
Ateles_paniscus,ateles paniscus,Cerebellum,Cerebellum_Vol.mm3,11700.0,61,decasien_only,,decasien_only,
