Species,Variable,Value,Source,Team,Year
Crocidura olivieri,Striatum_Vol.mm3,16.8,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Crocidura olivieri,Schizo_cortex_Vol.mm3,13.3,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Crocidura olivieri,Hippocampus_Vol.mm3,38.5,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Crocidura olivieri,Neocortex_Vol.mm3,59.1,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Body_Mass.g,35,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Brain_Mass.mg,380,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Total_brain_net_volume_Vol.mm3,354,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Medulla_oblongata_Vol.mm3,50.5,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Cerebellum_Vol.mm3,44.8,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Mesencephalon_Vol.mm3,24.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Diencephalon_Vol.mm3,26,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Telencephalon_Vol.mm3,209,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Bulbus_olfactorius_Vol.mm3,34.4,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Palaeocortex_plus_amygdala_Vol.mm3,56.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Septum_Vol.mm3,5.5,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Striatum_Vol.mm3,14.8,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Schizo_cortex_Vol.mm3,12.6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Hippocampus_Vol.mm3,31.2,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Suncus murinus,Neocortex_Vol.mm3,54.1,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Body_Mass.g,87.5,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Brain_Mass.mg,620,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Total_brain_net_volume_Vol.mm3,569,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Medulla_oblongata_Vol.mm3,102,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Cerebellum_Vol.mm3,56,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Mesencephalon_Vol.mm3,45.5,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Diencephalon_Vol.mm3,40,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Telencephalon_Vol.mm3,326,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Bulbus_olfactorius_Vol.mm3,65.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Palaeocortex_plus_amygdala_Vol.mm3,118,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Septum_Vol.mm3,11,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Striatum_Vol.mm3,24.1,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Schizo_cortex_Vol.mm3,9.6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Hippocampus_Vol.mm3,49.6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Echinops telfairi,Neocortex_Vol.mm3,48.5,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Body_Mass.g,110,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Brain_Mass.mg,830,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Total_brain_net_volume_Vol.mm3,757,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Medulla_oblongata_Vol.mm3,108,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Cerebellum_Vol.mm3,117,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Mesencephalon_Vol.mm3,44.8,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Diencephalon_Vol.mm3,48.5,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Telencephalon_Vol.mm3,438,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Bulbus_olfactorius_Vol.mm3,93.8,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Palaeocortex_plus_amygdala_Vol.mm3,148,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Septum_Vol.mm3,12.8,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Striatum_Vol.mm3,29.8,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Schizo_cortex_Vol.mm3,17.4,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Hippocampus_Vol.mm3,63.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Hemicentetes semispinosus,Neocortex_Vol.mm3,73.4,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Body_Mass.g,248,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Brain_Mass.mg,1510,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Total_brain_net_volume_Vol.mm3,1404,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Medulla_oblongata_Vol.mm3,183,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Cerebellum_Vol.mm3,142,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Mesencephalon_Vol.mm3,75.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Diencephalon_Vol.mm3,99.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Telencephalon_Vol.mm3,903,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Bulbus_olfactorius_Vol.mm3,210,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Palaeocortex_plus_amygdala_Vol.mm3,338,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Septum_Vol.mm3,26,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Striatum_Vol.mm3,55.6,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Schizo_cortex_Vol.mm3,41.9,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Hippocampus_Vol.mm3,97.7,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Setifer setosus,Neocortex_Vol.mm3,134,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Body_Mass.g,832,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Brain_Mass.mg,2570,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Total_brain_net_volume_Vol.mm3,2336,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Medulla_oblongata_Vol.mm3,309,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Cerebellum_Vol.mm3,339,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Mesencephalon_Vol.mm3,137,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Diencephalon_Vol.mm3,169,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Telencephalon_Vol.mm3,1381,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Bulbus_olfactorius_Vol.mm3,293,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
Tenrec ecaudatus,Palaeocortex_plus_amygdala_Vol.mm3,452,Stephan_etal_1970_Tables1-6,Stephan_collection,1970
