Species,Cerebellum_grey_matter_Vol.mm3,Cerebellum_white_matter_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_white_matter_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Fascia_dentata_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Palaeocortex_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Telencephalon_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3
Avahi laniger laniger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.1,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.5,14.4,NA,NA,NA,NA,16.8,NA,4.2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avahi laniger occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.4,10.9,NA,NA,NA,NA,13.5,NA,3.2,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avahi occidentalis,NA,NA,3666,777,7,860,9670,18,13,38,9190.4,2.553,0.481,0.828,1.244,121.1,527,450,64.6,385,77.2,70.1,2.55,175.41,9.13,90.39,29.66,1383,NA,34.6,86.5,25.9,40.2,29.3,0.652,0.0942,0.188,861,72.03,NA,NA,56.15,30.86,475.58,419.43,10.18,11.3,265,8.18,508,345,NA,4443,582.7,3083,6.4,2.04,0.988,0.27,10.8,7.57,15.5,6.37,NA,NA,NA,222,69.3,478,41.61,NA,6026,NA,NA,60.3,73.7,105,6.52,137,5.94,74.5,80.5,489,38.3,NA,NA,NA,NA,NA
Blarina brevicauda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA,28.8,NA,NA,NA,NA,NA,NA,1.5,5,5.9,8.09,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,0.45,0.666,0.223,0.994,0.325,NA,23.4,6.9,NA,NA,NA,NA,1.5,NA,1.4,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus moloch,NA,NA,NA,NA,NA,900,19000,NA,NA,NA,18141.9,0.325,0.019,0.09,0.216,254.1,1524,1201,NA,NA,324,19.2,0.325,174.88,22.9,129.11,61.41,1622,28.6,74.6,179.5,36.2,64.7,54.2,2.9,0.154,0.135,1375,79.44,NA,NA,101.92,37.33,588.29,486.37,19.47,21.24,454,20.7,787,530,92.1,11163,NA,NA,16.3,2.66,0.89,NA,17.1,10.8,25.8,11,NA,96.7,4.4,234,86.4,920,42.71,27.2,13465,8,34.7,105.9,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callicebus sp.,833,249,5120,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callimico goeldii,NA,NA,NA,NA,NA,480,11000,NA,NA,NA,10510,0.512,0.034,0.166,0.312,146.9,NA,987,NA,NA,NA,27,0.512,83.53,7.84,60.81,NA,1240,16.8,35.6,111.2,23.2,36.6,31.7,NA,NA,NA,739,49.73,NA,NA,49.34,12.08,280.9,231.56,NA,NA,253,NA,460,340,113.7,6476,NA,NA,11.6,NA,NA,NA,8.84,7.96,12.8,6.98,NA,41.5,3.3,138,63.5,493,17.57,9.6,7733,5.4,29.3,NA,47.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix jacchus,NA,NA,3564,807.1,NA,280,7600,NA,NA,NA,7288.45,0.326,0.05,0.111,0.165,106.1,685,566,57.8,508,119,22.8,0.326,73.07,7.49,42.82,20.96,757,14.1,30.5,75.6,16.3,27.3,25.1,0.486,0.0789,0.133,554,33.34,NA,NA,40.63,12.29,221.12,180.49,5.44,7.93,191,7.59,318,295,68.2,4371,441.8,3122,7.7,1.63,0.44,0.195,5.37,6.46,10.6,4.9,99.3,34.6,2.7,90,49.8,372,11.48,10.1,5318,3.6,19.4,38.8,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix pygmaea,NA,NA,2139,395.3,1,140,4500,7,3,11,4217.133333333333,0.386,0.047,0.128,0.211,75.4,415,363,29.7,334,51.4,11.4,0.386,38.83,4.11,26.95,11.48,468,6.1,17.5,57.9,10.8,22.1,16.9,NA,NA,NA,342,17.67,NA,NA,22.84,4.49,122.34,99.5,3.2,4.35,133,3.93,201,192,41.9,2534.5,223.7,1915,7.1,NA,NA,0.11,3.76,5.97,8.27,4.1,NA,24.5,2.1,81.8,29.2,174,7.45,5.8,3099,1.3,7.8,17.5,24.5,21.8,3.68,69.2,1.95,25.8,27.7,190,23.8,NA,NA,NA,NA,NA
Canis latrans,4170,1340,30400,15500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
