Species,Cerebellum_grey_matter_Vol.mm3,Cerebellum_white_matter_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_white_matter_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Fascia_dentata_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Palaeocortex_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Telencephalon_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3
Chinchilla laniger,792,173,1160,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Choloepus didactylus,2300,682,7910,2630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysochloris asiatica,NA,NA,NA,NA,NA,49,700,NA,NA,NA,657,0.132,0.017,0.037,0.078,20,NA,NA,NA,NA,NA,58.5,0.132,NA,NA,NA,NA,72.6,2.4,9.1,11,NA,NA,NA,0.0251,0.00811,0.0147,52.8,NA,NA,NA,NA,NA,66.3,NA,NA,NA,115,NA,58.5,43.2,NA,113,NA,NA,1.6,0.449,0.485,0.83,NA,NA,NA,NA,NA,52.3,14.1,20.9,12.1,44.3,NA,2.3,430,3,20.7,NA,8.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysochloris stuhlmanni,NA,NA,NA,NA,NA,39.8,740,NA,NA,NA,693,0.204,0.028,0.067,0.109,23.3,NA,NA,NA,NA,NA,60.6,0.204,NA,NA,NA,NA,74.7,2.6,12.2,11.1,14.4,3.06,NA,0.096,0,0.0191,51.8,NA,NA,NA,NA,NA,59.1,NA,NA,NA,131,NA,68.3,42,NA,129,NA,NA,2.1,0.38,0.395,0.96,0.8,0.507,1.29,0.459,NA,60,15,21.4,11.3,43.5,NA,2.4,457,3.3,24.6,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colobus angolensis,NA,NA,NA,NA,32,9680,74.4,152,38,222,71815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crocidura flavescens,NA,NA,54.12,4.99,NA,28,440,NA,NA,NA,408,0.221,0.041,0.085,0.095,13,NA,NA,NA,NA,NA,36.2,0.221,NA,NA,NA,1.17,51.3,2,6.4,6.6,10.8,2.21,0.28,0.0391,5.76e-4,0.0186,28.4,NA,NA,NA,NA,NA,38.5,NA,0.42,0.47,68.4,0.27,59.8,27.7,NA,59.11,16.15,37.97,1.2,0.2,0.274,0.43,0.57,0.434,0.951,0.253,23.4,28.4,8.4,13.3,6.94,16.8,NA,1.7,241,1.7,7.4,NA,2.67,2.19,0.657,9.77,0.142,1.63,1.78,14.6,0.252,NA,NA,NA,NA,NA
Crocidura hildegardeae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA,NA,19.4,NA,NA,NA,NA,NA,NA,0.66,3.5,3.4,6.81,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,NA,NA,0.34,0.47,0.237,0.674,0.185,NA,17.9,4.5,NA,NA,NA,NA,0.62,NA,0.71,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crocidura jacksoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,19.3,NA,NA,NA,NA,NA,NA,0.95,3.5,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,0.24,NA,NA,NA,NA,NA,18.6,4.5,NA,NA,NA,NA,0.55,NA,1,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crocidura russula,NA,NA,23.98,1.487,NA,11,190,NA,NA,NA,178,0.043,0.007,0.012,0.024,6.3,NA,NA,NA,NA,NA,15.5,0.0431,NA,NA,NA,0.58,21.8,0.57,3.1,3.2,5.29,1.2,0.08,0.0278,7.66e-4,0.00986,15,NA,NA,NA,NA,NA,15.9,NA,0.23,0.23,30.2,0.12,23.6,11.7,NA,25.46,6.872,17.1,0.73,0.134,0.12,0.23,0.348,0.172,0.547,0.132,45.1,13,3.5,6.05,3.64,8.17,NA,0.71,106,0.64,4.4,NA,1.67,0.727,0.368,4.61,0.0889,0.781,0.87,7.48,0.116,NA,NA,NA,NA,NA
Crocuta crocuta,8340,3120,56100,28900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daubentonia madagascariensis,NA,NA,17074,5053,NA,2800,45150,NA,NA,NA,43096.05,8.311,1.897,2.945,3.469,481.7,1355,1113,189,923,242,684.9,8.31,577.11,35.54,316.55,126.08,6461,43.5,124.6,357.1,71.9,91.8,58.5,3.32,1.83,0.593,3539,324.55,NA,NA,328.2,94.14,1776.1,1447.9,36.11,61.03,1538,28.94,1517,897,NA,22127,2738,14336,25.3,7.75,2.65,3.6,27.6,13.4,36.7,14.1,1065,524.1,130.1,1044,254,2765,100.01,92.3,30196,26.4,240,304.8,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmana moschata,NA,NA,NA,NA,NA,440,4000,NA,NA,NA,3620,0.218,0.03,0.096,0.092,90.8,NA,NA,NA,NA,NA,141.4,0.218,NA,NA,NA,NA,514,4.4,40.9,49.9,97,19.5,NA,0.459,0.0278,0.0352,344,NA,NA,NA,NA,NA,267,NA,NA,NA,320,NA,402,219,NA,983,NA,NA,12.2,1.05,1.06,0.09,6.49,2.54,8.12,2.34,NA,135.8,34.3,163,42.6,222,NA,8.4,2140,6.7,40,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Didelphis marsupialis,670,160,939,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Echinops telfairi,NA,NA,46.23,5.224,NA,87.5,620,NA,NA,NA,566,0.249,0.033,0.111,0.105,22.4,NA,NA,NA,NA,NA,71.2,0.249,12.21,3.11,13.67,1.71,57.9,2.4,11.1,11.3,12.7,3.83,0.37,0.243,2.12e-4,0.029,40.1,8.72,NA,NA,4.65,2.3,46.66,42.01,0.87,0.46,116,0.39,89.9,43.8,NA,51.46,15.25,30.98,3.2,0.365,0.338,0.7,1.11,0.622,1.47,0.631,93.1,58.1,12.3,13.1,11.5,24.1,2,3.2,335,2.9,15.1,0.49,8.34,2.23,0.977,16.4,0.242,2.44,2.68,17.9,0.605,NA,NA,NA,NA,NA
Echinosorex gymnura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elephantulus fuscipes,NA,NA,NA,NA,NA,57,1330,NA,NA,NA,1233,0.662,0.179,0.142,0.341,35.6,NA,NA,NA,NA,NA,63.3,0.662,NA,NA,NA,NA,183,2.8,15.9,19.7,NA,NA,NA,0.336,0.124,0.0709,112,NA,NA,NA,NA,NA,173,NA,NA,NA,120,NA,120,117,NA,236,NA,NA,1.3,0.415,0.289,0.91,NA,NA,NA,NA,NA,48.7,10,46.8,16.8,44.5,NA,2.5,700,2.9,17.5,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equus burchelli,27400,9600,149000,88400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erinaceus europaeus,NA,NA,454.1,68.35,NA,860,3350,NA,NA,NA,3050,1.943,0.377,0.634,0.932,108.1,NA,NA,NA,NA,NA,332,1.94,NA,NA,NA,12.65,394,23.3,44.8,63.3,44.8,15.8,3.9,0.423,0.0312,0.0592,241,NA,NA,NA,NA,NA,237,NA,5.53,3.83,505,3.3,333,151,NA,522.5,129.1,325,11.5,1.17,0.887,3.7,3.96,3.24,6.41,2.22,379,227.6,61.6,134,51.7,147,NA,13.2,1931,14.7,56.2,NA,105,18.8,3.71,79.9,0.903,13.3,14.2,117,3.94,NA,NA,NA,NA,NA
Erythrocebus patas,NA,NA,NA,NA,NA,7800,108000,NA,NA,NA,103167,NA,NA,NA,NA,688.4,NA,7775,NA,NA,NA,51.8,0,345.54,39.46,327.74,295.09,8738,180,199.4,489,89.5,161,266.8,NA,NA,NA,5423,195.13,11220,5430,504.92,101.09,1590.53,1085.61,95.07,126.31,1339,73.71,2616,1621,335.4,77141,NA,NA,63.7,NA,NA,NA,35.6,32.7,64.3,28.1,NA,235,25,693,330,3624,76.65,59.8,84770,29.7,121.2,814.5,561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur albifrons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.7,NA,NA,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.5,39,NA,NA,NA,NA,14.6,NA,12.4,92.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eulemur fulvus,NA,NA,9172,3035,NA,1400,23300,NA,NA,NA,22298.15,3.211,1.124,0.769,1.318,260.7,1519,1253,138,1114,267,207,3.21,258.65,19.52,171.72,86.28,3328,NA,75.2,185.5,36.6,58.9,51.8,1.85,0.174,0.527,1713,106.06,NA,NA,96.46,37.46,752.1,655.64,27.58,32.05,641,26.65,909,590,NA,12207,1298,7874,20,4.02,1.4,1.5,17.8,9.76,18.8,12.5,389,NA,NA,422,119,1215,62.23,NA,15566,NA,NA,136.9,194,248,12.2,239,13.9,212,225,1028,108,NA,NA,NA,NA,NA
Eulemur mongoz,1880,486,8230,3830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galago senegalensis,354,63.4,1200,195,NA,186,4800,NA,NA,NA,4572.6,2.577,0.688,0.685,1.204,73.2,334,301,NA,NA,32.6,79.2,2.58,99.58,5.96,52.43,12.6,672,4.3,21.7,51.5,16.7,20.6,16,0.741,0.0382,0.0668,382,50.72,NA,NA,15.47,13.48,260.78,245.31,3.77,4.4,163,4.43,254,205,39.8,2139,NA,NA,4.2,0.998,0.588,0.55,5.82,3.52,8.09,3.21,NA,50.3,11.1,107,35.7,210,23.14,5.2,2997,3.1,15.2,21,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galagoides demidoff,NA,NA,1417,150.6,2,81,3380,5,5,12,3216.9333333333334,1.259,0.494,0.247,0.518,57.9,237,214,25.6,189,22.4,83.1,1.26,53.7,3.08,28.64,8.22,413,3.4,17.6,40.4,12.2,12.5,10.9,0.375,0.0266,0.024,246,24.66,NA,NA,21.76,7,152.24,130.48,2.08,3.06,181,3.08,169,135,19.7,1568,202.2,1215,3.2,0.78,0.45,0.73,3.82,1.7,5,2.02,122,83.9,7.4,59.9,25.7,169,13.4,6.3,2240,2.6,19.4,13.6,30.4,18.4,2.09,45.1,1.4,17,18.3,153,11.5,NA,NA,NA,NA,NA
Galemys pyrenaicus,NA,NA,NA,NA,NA,57.5,1330,NA,NA,NA,1230,0.206,0.028,0.05,0.128,36.5,NA,NA,NA,NA,NA,39,0.206,NA,NA,NA,NA,184,0.93,15,21.5,32.3,6.16,NA,0.0707,0.00545,0.0379,105,NA,NA,NA,NA,NA,109,NA,NA,NA,107,NA,147,62.2,NA,339,NA,NA,5.7,0.422,0.444,0.23,2.09,0.794,2.61,0.667,NA,36.5,8,44.9,20.1,74.4,NA,4.1,733,1.8,18.8,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Galictis vittatus,1440,324,9090,2720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorilla gorilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71110,35330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61650,7000,NA,NA,NA
Gorilla sp.,NA,NA,NA,NA,570,105000,500000,948.75,394.5,2145.5,423597.5333333333,NA,NA,NA,NA,2029.3,15185,10595.5,NA,NA,3123,315.7,0,1405.57,130.65,951.51,740.4,69249,236,754.5,1998.1,353,251,344.15,7.96,1.41,1.3,19370,415.98,NA,NA,1475.05,210.02,4780.48,3305.43,112.36,534.6,4871,93.44,7509,4352,NA,312572,NA,NA,227.5,23.9,5.79,NA,49.9,38.1,101.5,61.7,NA,798.2,56.4,2729,1173,14567,191.7,287.8,369878,129.4,610.2,5400.6,3608,2471,106,2215,178,2604,2782,10547,671,NA,NA,232,NA,NA
Hemicentetes semispinosus,NA,NA,67.57,5.865,NA,110,830,NA,NA,NA,757,0.196,0.011,0.087,0.098,22.4,NA,NA,NA,NA,NA,93.6,0.196,12.1,2.81,19.03,3.23,117,3.4,10.4,12.1,17.2,5.27,0.37,0.181,0.00382,0.032,48.5,14.16,NA,NA,10.35,3.32,63.11,52.76,1.52,1.16,148,0.55,108,44.8,NA,73.43,22.94,44.63,2.4,0.425,0.338,1.3,1.69,0.921,1.97,0.692,125,74.7,16,17.4,12.8,29.8,1.34,4.8,438,4.5,21.7,NA,15.5,2.81,1.16,17.1,0.188,3.12,3.31,19,0.507,NA,NA,NA,NA,NA
Hemiechinus auritus,NA,NA,278.7,30.8,NA,250,1900,NA,NA,NA,1710,1.346,0.299,0.429,0.618,71.8,NA,NA,NA,NA,NA,175.1,1.35,NA,NA,NA,NA,198,7.8,29.9,41.9,23.9,8.68,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,130,NA,NA,NA,279,NA,187,110,NA,309.5,75.03,203.7,4.9,NA,NA,2.8,2.3,1.73,3.46,1.19,NA,128.8,21.8,68.7,28.4,81.1,NA,6.5,1073,6.9,35.8,NA,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,NA,NA,584706,421819,1200.6,65000,1330000,2960.2,1873.8,6479,1291724.5083333324,NA,NA,NA,NA,4545.8,20226,15017.25,1704,13083,5439,113.5,0,2793.05,229.52,2357.63,1513.78,137218.8333333335,848.6,1306.4,3980.2,400.9,339,375.5,142,0.0203,0.508,33319,834.47,204165,191781.25,2853.78,397.17,10287.38,7433.6,190.48,1166.9,9032,156.4,9622,8087,NA,998762.5,75316,509391,349.9,17,0.524,0,87.8,42.3,130.3,78.4,6016,1674.8,109.5,6142,2610,28689,821.76,211.8,1063399,148.3,692.2,10477.9,18732,7008,133,3555,469,4711,5180,18222,823,125183.333333333,11833.3333333333,444.6,NA,NA
Hylobates lar,12800,2930,45873,20527,40,5700,102000,131,117,289,92912.4,NA,NA,NA,NA,594.1,5750,4330.35,562,4012,1176,43.9,0,866.51,76.73,547,242.09,11851.5,109.2,156,510.2,103.2,119,170.6,NA,NA,NA,5716,372.03,13610,5800,444.65,226.25,2672.56,2227.91,65.6,141.08,1264,35.41,2251,1459,NA,67050,6279,40367,84.6,NA,NA,NA,29.8,11.5,49.1,28.9,NA,215.4,19,1136,302,4784,139.39,96.5,76001,17.3,139.9,1167.9,555,693,31.2,629,61.6,715,777,3226,302,9675,1950,NA,NA,NA
Hylobates muelleri,NA,NA,NA,NA,142,5710,101.8,286,111,539,98263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hylomys suillus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indri indri,NA,NA,15891,4223,33,6250,38300,85,50,167,35245.03333333333,2.317,0.308,0.79,1.219,398.5,1961,1648,279,1369,313,167.4,2.32,477.66,35.77,336.04,141.3,5504,34.1,120.8,277.7,65.6,92.7,94.5,5.63,0.366,0.553,2911,165.35,NA,NA,358.58,57.87,1529.38,1170.8,46.96,56.31,838,38.03,1342,978,161.6,20114,2702,13189,26,7.15,4.96,0.99,23.9,18.4,35.1,15.3,NA,221.2,33,848,205,1855,98.11,49,25551,10.9,91.5,186.3,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagothrix lagothricha,NA,NA,49147,16727,NA,5200,101000,NA,NA,NA,96496.65,1.429,0.195,0.543,0.691,753.2,6082,4856,604,4252,1226,73.4,1.43,400.11,49.57,332.56,212.95,11268,61.5,188,565.2,107,104,164,10.6,0.885,0.583,5721,192.28,11780,5480,458.9,73.93,1585.69,1126.79,60.23,108.57,1395,44.15,2110,1582,NA,65873,7664,41483,74.6,7.01,2.6,NA,27.8,15.8,43,17.6,NA,342.9,16.1,680,266,4947,78.34,82.7,74822,23.2,115.5,725.6,1090,612,31,624,63.8,845,909,2959,203,NA,NA,NA,NA,NA
Lemur catta,2270,409,8960,2120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leontopithecus rosalia,NA,NA,NA,NA,12,598,12.7,21,4,37,12259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepilemur ruficaudatus,NA,NA,2805,476.6,NA,915,7600,NA,NA,NA,7255.45,2.722,0.58,0.833,1.309,133.9,358,326,52.5,274,31.4,112.7,2.72,128.48,7.28,78.29,23.07,1165,6,42.5,91.4,22.2,33,15.6,0.731,0.132,0.121,593,61.3,NA,NA,72.73,12.62,392.28,319.55,6.41,9.35,302,7.31,449,260,NA,3282,488.6,2317,7.8,1.75,0.888,0.64,9.91,5.22,12.8,5.03,170,104,14.3,194,56.7,366,31.58,12.4,4708,4.8,27.1,26.2,76.5,63,4.89,114,2.91,55.2,58.1,337,20.7,NA,NA,NA,NA,NA
Lophocebus albigena,NA,NA,NA,NA,95,7900,104000,270,171,536,101549.7,NA,NA,NA,NA,781.3,6831,5420,NA,NA,1411,121.4,0,395.87,38.15,304.2,232.63,10726,185.2,265.4,515.9,108.7,170,182,11.9,0.233,0.658,5351,156.25,13310,6670,426.37,69.9,1464.21,1037.84,74.6,113.33,1639,44.7,2708,1770,362.7,68733,NA,NA,83.5,6,1.69,NA,49.2,23,65.1,32.8,NA,364,22.2,630,294,4146,73.47,67.9,77049,59.7,158.5,873.3,742,708,27.9,681,52.4,674,726,2933,308,NA,NA,NA,NA,NA
Loris tardigradus,NA,NA,NA,NA,3,322,6600,6,3,12,6417.233333333334,2.3,0.853,0.652,0.795,104.1,588,529,NA,NA,59.6,85.8,2.3,57.6,4.87,49.81,17.99,728,7.9,31.6,72.5,15.6,16.1,24.6,0.335,0.103,0.207,538,33.34,NA,NA,24.56,8,191.14,166.58,5.58,5.76,256,6.65,233,220,32.9,3524,NA,NA,6,1.15,0.822,0.47,4.32,2.23,6.92,2.59,NA,100,11.1,99.7,41.1,351,12.96,7.9,4551,2.5,22.5,28.9,51.6,46.3,3.21,80.9,3.79,41.4,45.2,348,15.7,NA,NA,NA,NA,NA
