Species,Variable,Value,Teams
Acrobates pygmaeus,CerebellarCortex_Vol.mm3,36.8,Ashwell
Acrobates pygmaeus,CerebellarHemisphere_Vol.mm3,17.5,Ashwell
Acrobates pygmaeus,CerebellarVermis_Vol.mm3,16.5,Ashwell
Acrobates pygmaeus,Cerebellar_nuclei_total_Vol.mm3,1.18,Ashwell
Acrobates pygmaeus,Cerebellum_Vol.mm3,40.0,Ashwell
Acrobates pygmaeus,Cerebellum_white_matter_Vol.mm3,1.97,Ashwell
Acrobates pygmaeus,FlocculonodularLobe_Vol.mm3,2.82,Ashwell
Acrobates pygmaeus,Pontine_and_reticulotegmental_nuclei_Vol.mm3,1.16,Ashwell
Acrobates pygmaeus,Total_brain_net_volume_Vol.mm3,272.0,Ashwell
Aepyprymnus rufescens,CerebellarCortex_Vol.mm3,1169.0,Ashwell
Aepyprymnus rufescens,CerebellarHemisphere_Vol.mm3,554.0,Ashwell
Aepyprymnus rufescens,CerebellarVermis_Vol.mm3,524.0,Ashwell
Aepyprymnus rufescens,Cerebellar_nuclei_total_Vol.mm3,60.5,Ashwell
Aepyprymnus rufescens,Cerebellum_Vol.mm3,1523.0,Ashwell
Aepyprymnus rufescens,Cerebellum_white_matter_Vol.mm3,294.0,Ashwell
Aepyprymnus rufescens,FlocculonodularLobe_Vol.mm3,90.8,Ashwell
Aepyprymnus rufescens,Pontine_and_reticulotegmental_nuclei_Vol.mm3,66.2,Ashwell
Aepyprymnus rufescens,Total_brain_net_volume_Vol.mm3,13783.0,Ashwell
Ailurus fulgens,CerebellarCortex_Vol.mm3,1255.0,Ashwell
Ailurus fulgens,CerebellarHemisphere_Vol.mm3,625.0,Ashwell
Ailurus fulgens,CerebellarVermis_Vol.mm3,559.0,Ashwell
Ailurus fulgens,Cerebellar_nuclei_total_Vol.mm3,69.8,Ashwell
Ailurus fulgens,Cerebellum_Vol.mm3,1649.0,Ashwell
Ailurus fulgens,Cerebellum_grey_matter_Vol.mm3,3970.0,Bush
Ailurus fulgens,Cerebellum_white_matter_Vol.mm3,712.0,Ashwell; Bush
Ailurus fulgens,FlocculonodularLobe_Vol.mm3,70.8,Ashwell
Ailurus fulgens,Neocortex_grey_matter_Vol.mm3,13800.0,Bush
Ailurus fulgens,Neocortex_white_matter_Vol.mm3,6250.0,Bush
Ailurus fulgens,Pontine_and_reticulotegmental_nuclei_Vol.mm3,48.7,Ashwell
Ailurus fulgens,Total_brain_net_volume_Vol.mm3,12085.0,Ashwell
Alouatta caraya,Agranular_insular_cortex_Vol.mm3,84.0,Zilles
Alouatta caraya,Agranular_insular_cortex_left_Vol.mm3,42.0,Zilles
Alouatta caraya,Body_Mass.g,6420.0,Zilles
Alouatta caraya,Brain_Mass.mg,55.8,Zilles
Alouatta caraya,Dysgranular_insular_cortex_Vol.mm3,282.0,Zilles
Alouatta caraya,Dysgranular_insular_cortex_left_Vol.mm3,141.0,Zilles
Alouatta caraya,Granular_insular_cortex_Vol.mm3,178.0,Zilles
Alouatta caraya,Granular_insular_cortex_left_Vol.mm3,89.0,Zilles
Alouatta caraya,Insula_Vol.mm3,544.0,Zilles
Alouatta caraya,Insula_left_Vol.mm3,272.0,Zilles
Alouatta caraya,Total_brain_net_volume_Vol.mm3,53861.0,Zilles
Alouatta palliata,Area_striata_grey_matter_Vol.mm3,1860.0,Bush
Alouatta palliata,CerebellarCortex_Vol.mm3,3462.0,Ashwell
Alouatta palliata,CerebellarHemisphere_Vol.mm3,2203.0,Ashwell
Alouatta palliata,CerebellarVermis_Vol.mm3,1202.0,Ashwell
Alouatta palliata,Cerebellar_nuclei_total_Vol.mm3,107.0,Ashwell
Alouatta palliata,Cerebellum_Vol.mm3,4280.0,Ashwell
Alouatta palliata,Cerebellum_grey_matter_Vol.mm3,3320.0,Bush
Alouatta palliata,Cerebellum_white_matter_Vol.mm3,880.0,Ashwell; Bush
Alouatta palliata,Corpus_geniculatum_laterale_Vol.mm3,90.0,Bush
Alouatta palliata,FlocculonodularLobe_Vol.mm3,53.5,Ashwell
Alouatta palliata,Neocortex_grey_matter_Vol.mm3,17275.0,Bush
Alouatta palliata,Neocortex_white_matter_Vol.mm3,11505.0,Bush
Alouatta palliata,Pontine_and_reticulotegmental_nuclei_Vol.mm3,157.0,Ashwell
Alouatta palliata,Total_brain_net_volume_Vol.mm3,38888.5,Ashwell; Bush
Alouatta seniculus,AccessoryOlfactoryBulb_Vol.mm3,0.595,Stephan_collection
Alouatta seniculus,AccessoryOlfactoryBulb_layer_6_Vol.mm3,0.049,Stephan_collection
Alouatta seniculus,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,0.19,Stephan_collection
Alouatta seniculus,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,0.356,Stephan_collection
Alouatta seniculus,Amygdala_Vol.mm3,426.0,Stephan_collection
Alouatta seniculus,Area_striata_Vol.mm3,2461.0,Stephan_collection
Alouatta seniculus,Area_striata_grey_matter_Vol.mm3,1918.0,Stephan_collection; Zilles
Alouatta seniculus,Area_striata_lamina_1_Vol.mm3,220.0,Stephan_collection
Alouatta seniculus,Area_striata_laminae_2_6_Vol.mm3,1698.0,Stephan_collection
Alouatta seniculus,Area_striata_white_matter_Vol.mm3,543.0,Stephan_collection
Alouatta seniculus,Body_Mass.g,6400.0,Stephan_collection
Alouatta seniculus,Brain_Mass.mg,52000.0,Stephan_collection
Alouatta seniculus,Bulbus_olfactorius_Vol.mm3,41.4,Stephan_collection
Alouatta seniculus,Bulbus_olfactorius_accessorius_Vol.mm3,0.595,Stephan_collection
Alouatta seniculus,CA1_Vol.mm3,362.93,Stephan_collection
Alouatta seniculus,CA2_Vol.mm3,56.59,Stephan_collection
Alouatta seniculus,CA3_Vol.mm3,236.05,Stephan_collection
Alouatta seniculus,Cerebellar_nuclei_total_Vol.mm3,113.79,Stephan_collection
Alouatta seniculus,Cerebellum_Vol.mm3,5699.0,Stephan_collection
Alouatta seniculus,Commissura_anterior_Vol.mm3,79.8,Stephan_collection
Alouatta seniculus,Complexus_centromedialis_Vol.mm3,101.7,Stephan_collection
Alouatta seniculus,Complexus_corticobasolateralis_Vol.mm3,324.3,Stephan_collection
Alouatta seniculus,Complexus_sensorius_trigeminalis_Vol.mm3,79.1,Stephan_collection
Alouatta seniculus,Complexus_vestibularis_Vol.mm3,76.8,Stephan_collection
Alouatta seniculus,Corpus_geniculatum_laterale_Vol.mm3,87.4,Stephan_collection; Zilles
Alouatta seniculus,Corpus_pineal_Vol.mm3,0.254,Stephan_collection
Alouatta seniculus,Corpus_subcommissurale_Vol.mm3,0.402,Stephan_collection
Alouatta seniculus,Corpus_subfornicale_Vol.mm3,0.372,Stephan_collection
Alouatta seniculus,Diencephalon_Vol.mm3,3344.0,Stephan_collection
Alouatta seniculus,Facial_motor_nucleus_left_Vol.mm3,1.73,Sherwood
Alouatta seniculus,Fascia_dentata_Vol.mm3,163.64,Stephan_collection
Alouatta seniculus,FrontalCortex_grey_matter_Vol.mm3,5510.0,Zilles
Alouatta seniculus,FrontalCortex_white_matter_Vol.mm3,2780.0,Zilles
Alouatta seniculus,HP_HS_fibers_Vol.mm3,315.03,Stephan_collection
Alouatta seniculus,Hilus_Vol.mm3,67.88,Stephan_collection
Alouatta seniculus,Hippocampus_Vol.mm3,1319.79,Stephan_collection
Alouatta seniculus,Hippocampus_retrocommissuralis_Vol.mm3,1004.76,Stephan_collection
Alouatta seniculus,Hypoglossal_nucleus_left_Vol.mm3,1.62,Sherwood
Alouatta seniculus,Interpositus_cerebellar_nuclei_Vol.mm3,26.57,Stephan_collection
Alouatta seniculus,Lateral_cerebellar_nuclei_Vol.mm3,59.75,Stephan_collection
Alouatta seniculus,Lobus_piriformis_Vol.mm3,827.0,Stephan_collection
Alouatta seniculus,Medial_cerebellar_nuclei_Vol.mm3,27.47,Stephan_collection
Alouatta seniculus,Medulla_oblongata_Vol.mm3,1593.125,Sherwood; Stephan_collection
Alouatta seniculus,Mesencephalon_Vol.mm3,986.0,Stephan_collection
Alouatta seniculus,Middle_temporal_visual_area_Vol.mm3,220.0,Stephan_collection
Alouatta seniculus,Neocortex_Vol.mm3,31660.0,Stephan_collection; Zilles
Alouatta seniculus,Neocortex_grey_matter_Vol.mm3,21791.0,Stephan_collection
