Species_Name,n_sources,Sources
Alouatta caraya,1,Bauernfeind_etal_2013_Table1
Alouatta palliata,1,Bush_Allman_2004_b_TABLE1
Alouatta seniculus,5,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table2; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6
Alouatta sp.,1,Stephan_etal_1981_TablesI-VI
Aotus trivirgatus,7,Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_Table2; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Atelerix algirus,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Ateles geoffroyi,6,Bauernfeind_etal_2013_Table1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Ateles paniscus,1,MacLeod_etal_2003_Table2
Ateles sp.,1,Bush_Allman_2004_b_TABLE1
Avahi l. laniger,1,Stephan_etal_1981_TablesI-VI
Avahi laniger,4,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6
Avahi laniger occidentalis,1,Stephan_etal_1981_TablesI-VI
Avahi occidentalis,3,Bauernfeind_etal_2013_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1
Callicebus sp.,1,Bush_Allman_2004_b_TABLE1
Callimico goeldii,2,Sherwood_etal_2005_Table1; Stephan_etal_1981_TablesI-VI
Callithrix jacchus,5,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Callithrix pygmaea,3,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1
Carlito syrichta,2,Bush_Allman_2004_b_TABLE1; Stephan_etal_1970_Tables1-6
Cebuella pygmaea,2,Bauernfeind_etal_2013_Table1; Stephan_etal_1981_TablesI-VI
Cebus albifrons,5,Bauernfeind_etal_2013_Table1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6
Cebus sp.,3,MacLeod_etal_2003_Table2; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Cercocebus agilis,1,Bauernfeind_etal_2013_Table1
Cercocebus torquatus,4,Bush_Allman_2004_b_TABLE1; MacLeod_etal_2003_; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1
Cercopithecus ascanius,5,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Cercopithecus mitis,6,Bauernfeind_etal_2013_Table1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Cercopithecus nictitans,1,Bush_Allman_2004_b_TABLE1
Cercopithecus sp.,1,MacLeod_etal_2003_Table2
Cheirogaleus major,5,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Cheirogaleus medius,5,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Chlorotalpa stuhlmanni,1,Stephan_etal_1981_TablesI-VI
Chrysochloris asiatica,1,Stephan_etal_1981_TablesI-VI
Chrysochloris stuhlmanni,1,Stephan_etal_1970_Tables1-6
Colobus angolensis,1,Bauernfeind_etal_2013_Table1
Crocidura olivieri,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Crocidura russula,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Daubentonia madagascar.,1,Stephan_etal_1981_TablesI-VI
Daubentonia madagascariensis,4,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6
Desmana moschata,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Echinops telfairi,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Elephantulus fuscipes,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Erinaceus europaeus,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Erythrocebus patas,3,MacLeod_etal_2003_Table2; Sherwood_etal_2005_Table1; Stephan_etal_1981_TablesI-VI
Eulemur fulvus,5,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Eulemur mongoz,1,Bush_Allman_2004_b_TABLE1
Galago senegalensis,6,Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Galagoides demidoff,6,Bauernfeind_etal_2013_Table1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Galemys pyrenaicus,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Gorilla beringei,3,Barks_etal_2014_Fig4A; Barks_etal_2014_TABLE1; Sherwood_etal_2004_TABLEI
Gorilla gorilla,7,Barks_etal_2014_Fig4A; Barks_etal_2014_TABLE1; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Sherwood_etal_2004_TABLEI; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Gorilla sp.,8,Barger_etal_2007_TABLE1; Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_; MacLeod_etal_2003_Table2; Sherwood_etal_2005_Table1
Hemicentetes semispinosus,2,Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Hemiechinus auritus,1,Stephan_etal_1981_TablesI-VI
Homo sapiens,12,Barger_etal_2007_TABLE1; Bauernfeind_etal_2013_Table1; Bauernfeind_etal_2013_Table2; Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_; MacLeod_etal_2003_Table2; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6
Homo sapiens sapiens,1,Stephan_etal_1981_TablesI-VI
Hylobates lar,11,Barger_etal_2007_TABLE1; Bauernfeind_etal_2013_Table1; Bush_Allman_2004_b_TABLE1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; MacLeod_etal_2003_; MacLeod_etal_2003_Table2; Rilling_Insel_1998_Table1; Rilling_Insel_1999_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1981_TablesI-VI
Hylobates muelleri,1,Bauernfeind_etal_2013_Table1
Indri indri,6,Bauernfeind_etal_2013_Table1; deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6; Stephan_etal_1981_TablesI-VI
Lagothrix lagothricha,4,deSousa_etal_2010_Table1; Frahm_etal_1984_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Tables1-6
Lagothrix lagotricha,1,Stephan_etal_1981_TablesI-VI
