smaers2017_species,smaers2017_variable,smaers2017_value,matched_source,matched_variable,matched_value,pct_diff
Alouatta_seniculus,prefrontal_gray,1.015,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,1010,0.5
Ateles_geoffroyi,prefrontal_gray,2.773,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,2770,0.11
Cebus_albifrons,prefrontal_gray,1.434,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,1430,0.28
Cercopithecus_ascanius,prefrontal_gray,1.154,Stephan_etal_1970_Tables1-6,Hippocampus_Vol.mm3,1154,0
Cercopithecus_mitis,prefrontal_gray,1.38,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,1380,0
Erythrocebus_patas,prefrontal_gray,1.56,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,1560,0
Gorilla_gorilla_gorilla,prefrontal_gray,11.642,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,11640,0.02
Homo_sapiens,prefrontal_gray,46.323,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,46323.75,0
Hylobates_lar,prefrontal_gray,2.588,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,2580,0.31
Lagothrix_lagotricha,prefrontal_gray,1.887,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,1890,0.16
Lophocebus_albigena,prefrontal_gray,2.311,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,2310,0.04
Miopithecus_talapoin,prefrontal_gray,1.018,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,1010,0.79
Nasalis_larvatus,prefrontal_gray,0.813,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,820,0.85
Pan_paniscus,prefrontal_gray,7.956,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,7950,0.08
Pan_troglodytes_troglodytes,prefrontal_gray,14.209,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,14210,0.01
Papio_anubis,prefrontal_gray,3.921,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,3920,0.03
Piliocolobus_badius,prefrontal_gray,1.591,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,1590,0.06
Pithecia_pithecia,prefrontal_gray,0.6,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,600,0
Pongo_pygmaeus,prefrontal_gray,8.596,Smaers_etal_2011_SupplementaryTable2,sec5_grey_total_cm3,8600,0.05
Alouatta_seniculus,prefrontal_white,0.177,(no match),,NA,NA
Ateles_geoffroyi,prefrontal_white,0.286,Smaers_etal_2011_SupplementaryTable2,sec5_white_total_cm3,290,1.38
Cebus_albifrons,prefrontal_white,0.257,(no match),,NA,NA
Cercopithecus_ascanius,prefrontal_white,0.159,Smaers_etal_2011_SupplementaryTable2,sec5_white_total_cm3,160,0.62
Cercopithecus_mitis,prefrontal_white,0.205,(no match),,NA,NA
Erythrocebus_patas,prefrontal_white,0.272,Smaers_etal_2011_SupplementaryTable2,sec5_white_total_cm3,270,0.74
Gorilla_gorilla_gorilla,prefrontal_white,2.608,Smaers_etal_2011_SupplementaryTable2,sec5_white_total_cm3,2610,0.08
Homo_sapiens,prefrontal_white,28.135,Smaers_etal_2011_SupplementaryTable2,sec5_white_total_cm3,28136.25,0
Hylobates_lar,prefrontal_white,0.51,Smaers_etal_2011_SupplementaryTable2,sec5_white_total_cm3,510,0
Lagothrix_lagotricha,prefrontal_white,0.226,Smaers_etal_2011_SupplementaryTable2,sec5_white_total_cm3,230,1.74
Lophocebus_albigena,prefrontal_white,0.424,Frahm_Zilles_1994_Table1,HP_HS_fibers_Vol.mm3,426.37,0.56
Miopithecus_talapoin,prefrontal_white,0.152,(no match),,NA,NA
Nasalis_larvatus,prefrontal_white,0.074,(no match),,NA,NA
Pan_paniscus,prefrontal_white,2.056,Smaers_etal_2011_SupplementaryTable2,sec5_white_total_cm3,2050,0.29
Pan_troglodytes_troglodytes,prefrontal_white,4.607,Smaers_etal_2011_SupplementaryTable2,sec5_white_total_cm3,4610,0.07
Papio_anubis,prefrontal_white,0.845,Smaers_etal_2011_SupplementaryTable2,sec5_white_total_cm3,850,0.59
Piliocolobus_badius,prefrontal_white,0.201,Stephan_etal_1981_TablesI-VI,Tractus_opticus_Vol.mm3,201,0
Pithecia_pithecia,prefrontal_white,0.081,(no match),,NA,NA
Pongo_pygmaeus,prefrontal_white,2.52,Smaers_etal_2011_SupplementaryTable2,sec5_white_total_cm3,2520,0
Alouatta_seniculus,primary_visual_gray,1.918,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,1918,0
Ateles_geoffroyi,primary_visual_gray,3.753,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,3753,0
Cebus_albifrons,primary_visual_gray,3.764,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,3764,0
Cercopithecus_ascanius,primary_visual_gray,4.272,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,4272,0
Cercopithecus_mitis,primary_visual_gray,4.232,Stephan_etal_1970_Tables1-6,Diencephalon_Vol.mm3,4232,0
Gorilla_gorilla_gorilla,primary_visual_gray,12.062,(no match),,NA,NA
Homo_sapiens,primary_visual_gray,14.787,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,14787,0
Hylobates_lar,primary_visual_gray,4.574,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,4574,0
Lagothrix_lagotricha,primary_visual_gray,4.856,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,4856,0
Lophocebus_albigena,primary_visual_gray,5.42,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,5420,0
Miopithecus_talapoin,primary_visual_gray,2.339,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,2339,0
Pan_troglodytes_troglodytes,primary_visual_gray,10.593,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,10593,0
Papio_anubis,primary_visual_gray,10.001,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,10001,0
Piliocolobus_badius,primary_visual_gray,3.053,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,3053,0
Pithecia_pithecia,primary_visual_gray,1.679,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,1679,0
Pongo_pygmaeus,primary_visual_gray,7.008,(no match),,NA,NA
Alouatta_seniculus,primary_visual_white,0.543,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,543,0
Ateles_geoffroyi,primary_visual_white,0.985,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,985,0
Cebus_albifrons,primary_visual_white,0.939,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,939,0
Cercopithecus_ascanius,primary_visual_white,0.834,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,834,0
Cercopithecus_mitis,primary_visual_white,1.042,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,1042,0
Gorilla_gorilla_gorilla,primary_visual_white,3.123,(no match),,NA,NA
Homo_sapiens,primary_visual_white,5.439,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,5439,0
Hylobates_lar,primary_visual_white,1.176,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,1176,0
Lagothrix_lagotricha,primary_visual_white,1.226,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,1226,0
Lophocebus_albigena,primary_visual_white,1.411,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,1411,0
Miopithecus_talapoin,primary_visual_white,0.709,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,709,0
Pan_troglodytes_troglodytes,primary_visual_white,4.004,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,4004,0
Papio_anubis,primary_visual_white,3.74,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,3740,0
Piliocolobus_badius,primary_visual_white,0.926,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,926,0
Pithecia_pithecia,primary_visual_white,0.451,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,451,0
