Source,Species_raw,curated,NCBI_id,NCBI_name,Species_final,name_source,flag_curated_overrides_ncbi,flag_unresolved
Ashwell__2020_SupplementaryTable,Dorcopsis luctuosa,NA,NA,NA,Dorcopsis luctuosa,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Dromiciops gliroides,NA,33562,Dromiciops gliroides,Dromiciops gliroides,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Echymipera kalubu,NA,42733,Echymipera kalubu,Echymipera kalubu,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Elephantulus myurus,NA,113277,Elephantulus myurus,Elephantulus myurus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Equus quagga burchellii,Equus burchelli,89252,Equus quagga burchellii,Equus burchelli,curated,TRUE,FALSE
Ashwell__2020_SupplementaryTable,Erinaceus europaeus,NA,9365,Erinaceus europaeus,Erinaceus europaeus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Erithizon dorsatum,Erethizon dorsatum,NA,NA,Erethizon dorsatum,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Eulemur mongoz,NA,34828,Eulemur mongoz,Eulemur mongoz,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Felis cattus,Felis catus,NA,NA,Felis catus,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Galictis vittata,Galictis vittatus,204265,Galictis vittata,Galictis vittatus,curated,TRUE,FALSE
Ashwell__2020_SupplementaryTable,Gymnobelideus leadbeateri,NA,38618,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Hemibelideus lemuroides,NA,596256,Hemibelideus lemuroides,Hemibelideus lemuroides,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Hypsiprymnodon moschatus,NA,65631,Hypsiprymnodon moschatus,Hypsiprymnodon moschatus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Isoodon macrourus,NA,37698,Isoodon macrourus,Isoodon macrourus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Isoodon obesulus,NA,65612,Isoodon obesulus,Isoodon obesulus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Lagorchestes conspicillatus,NA,65624,Lagorchestes conspicillatus,Lagorchestes conspicillatus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Lama glama,NA,9844,Lama glama,Lama glama,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Lasiorhinus latifrons,NA,30668,Lasiorhinus latifrons,Lasiorhinus latifrons,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus agilis,NA,9313,Notamacropus agilis,Notamacropus agilis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus antilopinus,NA,9314,Osphranter antilopinus,Osphranter antilopinus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus bernardus,NA,9323,Osphranter bernardus,Osphranter bernardus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus dorsalis,NA,651581,Notamacropus dorsalis,Notamacropus dorsalis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus eugenii,NA,9315,Notamacropus eugenii,Notamacropus eugenii,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus irma,NA,196387,Notamacropus irma,Notamacropus irma,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus parma,Notamacropus parma,413582,Notamacropus parma,Notamacropus parma,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Macropus parryi,NA,NA,NA,Macropus parryi,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Macropus rufus,Osphranter rufus,9321,Osphranter rufus,Osphranter rufus,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Mandrillus sphinx,NA,9561,Mandrillus sphinx,Mandrillus sphinx,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Marmosa impavida,NA,NA,NA,Marmosa impavida,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Monodelphis brevicaudata,NA,203680,Monodelphis brevicaudata,Monodelphis brevicaudata,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Mustela erminea,NA,36723,Mustela erminea,Mustela erminea,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Mustela putorius,NA,9668,Mustela putorius,Mustela putorius,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Myrmecophagia tridactyla,Myrmecophaga tridactyla,NA,NA,Myrmecophaga tridactyla,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Nasua narica,NA,352831,Nasua narica,Nasua narica,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Neovison vison,Mustela vison,452646,Neogale vison,Mustela vison,curated,TRUE,FALSE
Ashwell__2020_SupplementaryTable,Odocoileus virginianus,NA,9874,Odocoileus virginianus,Odocoileus virginianus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Onychogalea fraenata,NA,114227,Onychogalea fraenata,Onychogalea fraenata,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Onychogalea unguifera,NA,65626,Onychogalea unguifera,Onychogalea unguifera,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Ornithorhynchus anatinus,NA,9258,Ornithorhynchus anatinus,Ornithorhynchus anatinus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Oryctolagus cuniculus,NA,9986,Oryctolagus cuniculus,Oryctolagus cuniculus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Pan troglodytes,NA,9598,Pan troglodytes,Pan troglodytes,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Panthera leo,NA,9689,Panthera leo,Panthera leo,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Pecaru tacaju,Tayassu tajacu,NA,NA,Tayassu tajacu,curated,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Perameles gunnii,NA,37737,Perameles gunnii,Perameles gunnii,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Perameles nasuta,NA,9344,Perameles nasuta,Perameles nasuta,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Perodicticus potto,NA,9472,Perodicticus potto,Perodicticus potto,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Petaurus australis,NA,282342,Petaurus australis,Petaurus australis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Petaurus norfolcensis,NA,122272,Petaurus norfolcensis,Petaurus norfolcensis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Petrogale brachyotis,NA,54079,Petrogale brachyotis,Petrogale brachyotis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Petrogale concinna,NA,859894,Petrogale concinna,Petrogale concinna,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Petrogale godmani,NA,54082,Petrogale godmani,Petrogale godmani,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Petrogale herberti,NA,54083,Petrogale herberti,Petrogale herberti,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Petrogale inornata,NA,54084,Petrogale inornata,Petrogale inornata,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Petrogale lateralis,NA,54085,Petrogale lateralis,Petrogale lateralis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Petrogale penicillata,NA,54088,Petrogale penicillata,Petrogale penicillata,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Petrogale puella (assimilis),NA,NA,NA,Petrogale puella (assimilis),unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Petrogale purpureicollis,NA,175627,Petrogale purpureicollis,Petrogale purpureicollis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Petropseudes dahli,NA,596258,Petropseudes dahli,Petropseudes dahli,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Phalanger gymnotis,NA,65615,Phalanger gymnotis,Phalanger gymnotis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Phalanger maculatus,NA,88213,Phalanger maculatus,Phalanger maculatus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Phalanger vestitus,NA,175809,Phalanger vestitus,Phalanger vestitus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Phascogale tapoatafa,NA,9293,Phascogale tapoatafa,Phascogale tapoatafa,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Phascolarctos cinereus,NA,38626,Phascolarctos cinereus,Phascolarctos cinereus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Phoca vitulina,NA,9720,Phoca vitulina,Phoca vitulina,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Planigale maculata,NA,9297,Planigale maculata,Planigale maculata,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Potorous tridactylus,NA,9310,Potorous tridactylus,Potorous tridactylus,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Procavia capensis,NA,9813,Procavia capensis,Procavia capensis,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Pseudantechinus bilarni,NA,479705,Pseudantechinus bilarni,Pseudantechinus bilarni,NCBI,FALSE,FALSE
Ashwell__2020_SupplementaryTable,Pseudocheirus canescens,NA,NA,NA,Pseudocheirus canescens,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Pseudocheirus cinereus,NA,NA,NA,Pseudocheirus cinereus,unresolved_raw,FALSE,TRUE
Ashwell__2020_SupplementaryTable,Pseudocheirus forbesi,NA,65616,Pseudochirulus forbesi,Pseudochirulus forbesi,NCBI,FALSE,FALSE
