Species,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Amygdala_Vol.mm3,Amygdala_accessory_basal_nucleus_Vol.mm3,Amygdala_basal_nucleus_Vol.mm3,Amygdala_basolateral_division_Vol.mm3,Amygdala_lateral_nucleus_Vol.mm3,Area_10_right_Vol.mm3,Area_13_right_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Capsula_interna_Vol.mm3,CerebellarCortex_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Cerebellum_grey_matter_Vol.mm3,Cerebellum_white_matter_Vol.mm3,Cerebral_hemispheres_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,EntorhinalCortex_Vol.mm3,Epithalamus_Vol.mm3,Facial_motor_nucleus_left_Vol.mm3,Fascia_dentata_Vol.mm3,FlocculonodularLobe_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Hypoglossal_nucleus_left_Vol.mm3,Hypothalamus_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Insula_right_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Neocortex_white_matter_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Palaeocortex_plus_amygdala_Vol.mm3,Pallidum_Vol.mm3,Pons_Vol.mm3,Pontine_and_reticulotegmental_nuclei_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Subthalamus_Vol.mm3,Telencephalon_Vol.mm3,Thalamus_Vol.mm3,Total_brain_net_volume_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Tractus_opticus_Vol.mm3,Trigeminal_motor_nucleus_left_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3
Cercocebus agilis,,,,,210.0,105.0,,,,,,,,,,,,,,5660.0,95.3,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,116.0,,,,,,,,,316.0,158.0,,,,,,,,758.0,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91988.0,,,,,,,,,
Cercocebus torquatus,,,,,,,,,,,,,,,,5120.0,,,,10500.0,,,,,,,,,,,,9200.0,4470.0,1960.0,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63900.0,45305.0,,,40380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108390.0,,,,,,,,,
Cercocebus torquatus atys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6375.0,2300.0,,8650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98850.0,,,,,,,,,
Cercopithecus ascanius,,,,,,,,572.5,,,,,,,5106.0,4272.0,416.0,3855.0,834.0,3400.0,67000.0,99.5,0.0,362.05,23.02,240.6,421.0,,,,143.98,5828.0,,,,101.8,139.3,433.2,68.0,112.0,52.0,147.0,4.66,0.217,0.509,3605.0,,,,,17.9,2.64,150.46,,7940.0,2990.0,,,,249.6,85.7,1189.0,939.4,1.99,410.0,,,,41.7,67.67,1052.0,34.61,1717.045,1162.0,237.1,45166.0,32114.0,4009.0,28104.0,13052.0,45.6,4.23,2.13,25.7,0.0,38.6,17.2,13.2,5.88,41.5,20.8,18.7,8.21,450.0,1136.0,405.0,,,223.3,12.5,694.0,251.0,2827.0,77.57,30.1,431.0,51279.0,1916.0,64088.4,24.9,320.0,2.07,86.5,520.2,240.0,,,
Cercopithecus mitis,,,,,178.0,89.0,,704.0,,,,,,,5275.0,4232.0,,,1042.0,6300.0,75000.0,116.7,0.0,378.84,30.44,288.47,,,,,171.16,6758.0,,,,152.4,210.9,493.1,84.5,137.0,,154.3,15.3,0.258,0.432,4176.0,782.0,391.0,,,,3.07,125.58,,10190.0,4740.0,268.0,134.0,,379.53,86.05,1366.39,986.86,2.07,,1228.0,614.0,,54.55,82.38,1265.0,34.23,1998.95,1354.0,242.8,49933.0,,,,,66.4,5.38,1.96,,,40.6,,19.9,,50.9,,26.0,,,1282.0,,,,191.8,24.6,617.0,246.0,2733.0,77.48,55.0,,56277.0,,70658.45,33.7,,2.14,103.6,517.6,467.0,,,
Cercopithecus nictitans,,,,,,,,,,,,,,,,4140.0,,,,,,,,,,,,,,,,,3840.0,965.0,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35995.0,,,11805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64739.99999999999,,,,,,,,,
Cheirogaleus major,4.043,1.075,1.39,1.578,,,,102.3,,,,,,,477.0,433.0,,,44.8,450.0,6800.0,157.5,4.04,107.42,8.32,92.66,48.6,,,,19.45,947.0,,,,10.0,33.6,68.8,25.6,23.9,11.1,21.5,0.789,0.032,0.256,489.0,,,,,4.83,0.78,61.26,,,,,,,45.57,13.22,347.35,301.78,0.92,101.0,,,,3.85,9.95,332.0,5.65,381.81,241.0,52.1,2938.0,,,,,8.8,1.75,0.917,2.27,0.95,7.17,3.27,3.83,1.78,8.92,4.18,3.97,1.86,233.0,315.0,31.6,,,144.0,19.4,149.0,58.9,327.0,18.9,11.8,33.8,4314.0,271.0,6468.35,5.1,18.0,0.52,39.4,27.4,83.4,,,
Cheirogaleus medius,2.663,0.796,0.844,1.023,,,,64.9,,,,,,,216.0,199.0,,,17.6,177.0,3140.0,102.0,2.66,54.4,4.72,44.89,,,,,9.45,437.0,,,,5.7,24.1,40.8,14.3,12.3,,10.8,0.691,0.0432,0.171,235.0,,,,,,0.52,30.44,,,,,,,23.75,6.19,174.36,150.61,0.57,,,,,1.94,4.27,198.0,3.24,202.19,145.0,,1221.0,,,,,3.9,1.06,0.385,,0.55,3.08,,2.25,,4.65,,2.28,,135.0,181.0,,,,75.1,14.0,65.3,32.5,145.0,9.97,6.9,,1941.0,,2995.95,3.2,,0.3,27.5,13.0,24.6,,,
Chincella lanigera,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.0,408.0,389.0,50.8,1039.0,,151.0,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,,,,,,,5881.0,,,,,,,,,
Chinchilla laniger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.0,,,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choloepus didactylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1841.0,1029.0,760.0,76.6,2337.0,2300.0,551.0,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,7910.0,,,2630.0,,,,,,,,,,,,,,,,,,89.8,,,,,,,,,,,27404.0,,,,,,,,,
Chrysochloris asiatica,0.132,0.017,0.037,0.078,,,,20.0,,,,,,,,,,,,49.0,700.0,58.5,0.132,,,,,,,,,72.6,,,,2.4,9.1,11.0,,,,,0.0251,0.00811,0.0147,52.8,,,,,,,,,,,,,,,,66.3,,,,,,,,,115.0,,58.5,43.2,,113.0,,,,,1.6,0.449,0.485,,0.83,,,,,,,,,,,,,,52.3,14.1,20.9,12.1,44.3,,2.3,,430.0,,657.0,3.0,,,20.7,,8.12,,,
Chrysochloris stuhlmanni,0.204,0.028,0.067,0.109,,,,23.3,,,,,,,,,,,,39.8,740.0,60.6,0.204,,,,,,,,,74.7,,,,2.6,12.2,11.1,14.4,3.06,,,0.096,0.0,0.0191,51.8,,,,,,,,,,,,,,,,59.1,,,,,,,,,131.0,,68.3,42.0,,129.0,,,,,2.1,0.38,0.395,,0.96,0.8,,0.507,,1.29,,0.459,,,131.0,,,,60.0,15.0,21.4,11.3,43.5,,2.4,,457.0,,693.0,3.3,,,24.6,,7.0,,,
Colobus angolensis,,,,,64.0,32.0,,,,,,,,,,,,,,9680.0,37237.2,,,,,,,,,,,,,,,,,,,,,103.0,,,,,304.0,152.0,,,,,,,,,76.0,38.0,,,,,,,,444.0,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71815.0,,,,,,,,,
Crocidura flavescens,0.221,0.041,0.085,0.095,,,,13.0,,,,,,,,,,,,28.0,440.0,36.2,0.221,,,,2.19,,,,1.17,51.3,,,,2.0,6.4,6.6,10.8,2.21,1.32,0.28,0.0391,0.000576,0.0186,28.4,,,,,0.657,,,,,,,,,,,38.5,,,9.77,,,,0.42,0.47,68.4,0.27,59.8,27.7,,59.11,54.12,16.15,37.97,4.99,1.2,0.2,0.274,0.142,0.43,0.57,0.389,0.434,0.222,0.951,0.543,0.253,0.171,23.4,,1.63,,,28.4,8.4,13.3,6.94,16.8,,1.7,1.78,241.0,14.6,408.0,1.7,0.252,,7.4,,2.67,,,
Crocidura hildegardeae,,,,,,,,6.9,,,,,,,,,,,,,,19.4,,,,,,,,,,,,,,0.66,3.5,3.4,6.81,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,0.34,0.47,,0.237,,0.674,,0.185,,,,,,,17.9,4.5,,,,,0.62,,,,,0.71,,,6.1,,,,,
Crocidura jacksoni,,,,,,,,7.6,,,,,,,,,,,,,,19.3,,,,,,,,,,,,,,0.95,3.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,0.24,,,,,,,,,,,,,,18.6,4.5,,,,,0.55,,,,,1.0,,,5.3,,,,,
Crocidura occidentalis,,,,,,,,,,,,,,,,,,,,28.0,440.0,37.8,,,,,,,,,,51.3,,,,,,,,,,,,,,28.4,,,,,,,,,,,,,,,,38.5,,,,,,,,,,,59.8,27.7,,59.1,,,,,,,,,,,,,,,,,,,68.4,,,,,,13.3,6.9,16.8,,,,241.0,,408.0,,,,,,,,,
Crocidura russula,0.043,0.007,0.012,0.024,,,,6.3,,,,,,,,,,,,11.0,190.0,15.5,0.0431,,,,0.727,,,,0.58,21.8,,,,0.57,3.1,3.2,5.29,1.2,0.563,0.08,0.0278,0.000766,0.00986,15.0,,,,,0.368,,,,,,,,,,,15.9,,,4.61,,,,0.23,0.23,30.2,0.12,23.6,11.7,,25.46,23.98,6.872,17.1,1.487,0.73,0.134,0.12,0.0889,0.23,0.348,0.167,0.172,0.084,0.547,0.235,0.132,0.077,45.1,30.2,0.781,,,13.0,3.5,6.05,3.64,8.17,,0.71,0.87,106.0,7.48,178.0,0.64,0.116,,4.4,,1.67,,,
Crocuta crocuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,6913.0,3930.0,2667.0,110.0,8649.0,8340.0,2373.0,,,,,,,,,,,,,,,,,,,,317.0,,,,,,,,,,,,,,,,,,,,,,,56100.0,,,28900.0,,,,,,,,,,,,,,,,,,298.0,,,,,,,,,,,91041.0,,,,,,,,,
Cynictis penicillata,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154.0,476.0,634.0,121.0,1523.0,,248.0,,,,,,,,,,,,,,,,,,,,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8,,,,,,,,,,,10669.0,,,,,,,,,
Cynocephalus volans,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.0,224.0,305.0,23.8,675.0,,94.5,,,,,,,,,,,,,,,,,,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,,,,,5769.0,,,,,,,,,
Dasycercus blythi,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,63.0,82.7,7.65,196.0,,33.7,,,,,,,,,,,,,,,,,,,,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,1548.0,,,,,,,,,
Dasykaluta rosamundae,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,7.12,18.7,0.81,34.8,,4.54,,,,,,,,,,,,,,,,,,,,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,504.0,,,,,,,,,
Dasypus novemcinctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,2042.0,1172.0,818.0,88.6,2562.0,,431.0,,,,,,,,,,,,,,,,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,,,,,,,,,,,10450.0,,,,,,,,,
Dasyuroides byrnei,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,42.6,50.9,5.37,132.0,,25.8,,,,,,,,,,,,,,,,,,,,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,,,,,,,,,,1101.0,,,,,,,,,
Dasyurus geoffroyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.0,266.0,257.0,23.8,674.0,,95.0,,,,,,,,,,,,,,,,,,,,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,,,,,,,,,,,5268.0,,,,,,,,,
Dasyurus hallucatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,103.0,128.0,9.55,328.0,,70.6,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99,,,,,,,,,,,2966.0,,,,,,,,,
Dasyurus maculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.0,378.0,533.0,41.2,1220.0,,210.0,,,,,,,,,,,,,,,,,,,,56.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,,,,,,,,,,,8641.0,,,,,,,,,
Dasyurus viverrinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,237.0,283.0,19.9,676.0,,106.0,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,,,,,,,,4947.0,,,,,,,,,
Daubentonia madagascariensis,8.311,1.897,2.945,3.469,,,,481.7,,,,,,,1355.0,1113.0,189.0,923.0,242.0,2800.0,45150.0,684.9,8.31,577.11,35.54,316.55,,,,,126.08,6461.0,,,,43.5,124.6,357.1,71.9,91.8,,58.5,3.32,1.83,0.593,3539.0,,,,,,2.0,324.55,,,,,,,328.2,94.14,1776.1,1447.9,2.19,,,,,36.11,61.03,1538.0,28.94,1517.05,897.0,,22127.0,17074.0,2738.0,14336.0,5053.0,25.3,7.75,2.65,,3.6,27.6,,13.4,,36.7,,14.1,,1065.0,1538.0,,,,524.1,130.1,1044.0,254.0,2765.0,100.01,92.3,,30196.0,,43096.05,26.4,,1.91,240.0,304.8,392.0,,,
Dendrolagus goodfellowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,3966.0,1832.0,1833.0,87.5,4975.0,,921.0,,,,,,,,,,,,,,,,,,,,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,32826.0,,,,,,,,,
Dendrolagus lumholtzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647.0,717.0,785.0,66.9,2175.0,,462.0,,,,,,,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,,,20635.0,,,,,,,,,
Desmana moschata,0.218,0.03,0.096,0.092,,,,90.8,,,,,,,,,,,,440.0,4000.0,141.4,0.218,,,,,,,,,514.0,,,,4.4,40.9,49.9,97.0,19.5,,,0.459,0.0278,0.0352,344.0,,,,,,,,,,,,,,,,267.0,,,,,,,,,320.0,,402.0,219.0,,983.0,,,,,12.2,1.05,1.06,,0.09,6.49,,2.54,,8.12,,2.34,,,320.0,,,,135.8,34.3,163.0,42.6,222.0,,8.4,,2140.0,,3620.0,6.7,,,40.0,,138.0,,,
Didelphis albiventris,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.0,274.0,431.0,21.6,912.0,,163.0,,,,,,,,,,,,,,,,,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8108.0,,,,,,,,,
Didelphis marsupialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.0,316.0,460.0,23.9,979.0,670.0,160.0,,,,,,,,,,,,,,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,939.0,,,151.0,,,,,,,,,,,,,,,,,,22.2,,,,,,,,,,,8034.0,,,,,,,,,
Didelphis virginiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.0,182.0,283.0,21.0,563.0,,55.3,,,,,,,,,,,,,,,,,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,5769.0,,,,,,,,,
Distoechurus pennatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,43.7,55.7,3.03,124.0,,12.2,,,,,,,,,,,,,,,,,,,,9.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,940.0,,,,,,,,,
Dorcopsis luctuosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569.0,718.0,721.0,77.3,2042.0,,395.0,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,,,,,,,,,,,14486.0,,,,,,,,,
Dromiciops gliroides,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,45.6,57.2,4.83,129.0,,18.1,,,,,,,,,,,,,,,,,,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,,,,,,,,,,,912.0,,,,,,,,,
Echinops telfairi,0.249,0.033,0.111,0.105,,,,22.4,,,,,,,,,,,,87.5,620.0,71.2,0.249,12.21,3.11,13.67,2.23,,,,1.71,57.9,,,,2.4,11.1,11.3,12.7,3.83,1.69,0.37,0.243,0.000212,0.029,40.1,,,,,0.977,,8.72,,,,,,,4.65,2.3,46.66,42.01,,16.4,,,,0.87,0.46,116.0,0.39,89.9,43.8,,51.46,46.23,15.25,30.98,5.224,3.2,0.365,0.338,0.242,0.7,1.11,0.505,0.622,0.281,1.47,0.615,0.631,0.291,93.1,118.0,2.44,,,58.1,12.3,13.1,11.5,24.1,2.0,3.2,2.68,335.0,17.9,566.0,2.9,0.605,,15.1,0.49,8.34,,,
Echinosorex gymnura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echymipera kalubu,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.0,134.0,161.0,8.74,375.0,,45.4,,,,,,,,,,,,,,,,,,,,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,2628.0,,,,,,,,,
Elephantulus fuscipes,0.662,0.179,0.142,0.341,,,,35.6,,,,,,,,,,,,57.0,1330.0,63.3,0.662,,,,,,,,,183.0,,,,2.8,15.9,19.7,,,,,0.336,0.124,0.0709,112.0,,,,,,,,,,,,,,,,173.0,,,,,,,,,120.0,,120.0,117.0,,236.0,,,,,1.3,0.415,0.289,,0.91,,,,,,,,,,121.0,,,,48.7,10.0,46.8,16.8,44.5,,2.5,,700.0,,1233.0,2.9,,,17.5,,18.1,,,
Elephantulus myurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.0,207.0,188.0,19.5,497.0,,61.7,,,,,,,,,,,,,,,,,,,,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,,,,,,,1250.0,,,,,,,,,
Equus burchelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27400.0,9600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000.0,,,88400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equus quagga burchellii,,,,,,,,,,,,,,,,,,,,,,,,,,,,30943.0,15169.0,14478.0,1744.0,41084.0,,8397.0,,,,,,,,,,,,,,,,,,,,1296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.0,,,,,,,,,,,561050.0,,,,,,,,,
Erinaceus europaeus,1.943,0.377,0.634,0.932,,,,108.1,,,,,,,,,,,,860.0,3350.0,332.0,1.94,,,,18.8,370.0,159.0,193.0,15.675,408.0,,33.8,,23.3,44.8,63.3,44.8,15.8,7.54,3.9,0.423,0.0312,0.0592,241.0,,,,,3.71,,,17.1,,,,,,,,237.0,,,79.9,,,,5.53,3.83,505.0,3.3,333.0,151.0,,522.5,454.1,129.1,325.0,68.35,11.5,1.17,0.887,0.903,3.7,3.96,1.77,3.24,1.72,6.41,2.85,2.22,1.21,379.0,507.0,13.3,,7.21,227.6,61.6,134.0,51.7,147.0,,13.2,14.2,1931.0,117.0,3135.5,14.7,3.94,,56.2,,105.0,,,
Erithizon dorsatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,1044.0,699.0,92.8,2380.0,,487.0,,,,,,,,,,,,,,,,,,,,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7,,,,,,,,,,,19769.0,,,,,,,,,
Erythrocebus patas,,,,,,,,688.4,,,,,,,,7775.0,,,,7800.0,108000.0,51.8,0.0,345.54,39.46,327.74,,,,,295.09,8738.0,,,,180.0,199.4,489.0,89.5,161.0,,266.8,,,,5423.0,,,,,,4.59,195.13,,11220.0,5430.0,,,,504.92,101.09,1590.53,1085.61,2.4,,,,,95.07,126.31,1339.0,73.71,2615.835,1621.0,335.4,77141.0,,,,,63.7,,,,,35.6,,32.7,,64.3,,28.1,,,,,,,235.0,25.0,693.0,330.0,3624.0,76.65,59.8,,84770.0,,103167.0,29.7,,2.33,121.2,814.5,561.0,,,
Eulemur albifrons,,,,,,,,,,,,,,,,,,,,,,206.7,,,,,,,,,,,,,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.5,39.0,,,,,14.6,,,,,12.4,,,92.6,,,,,
Eulemur fulvus,3.211,1.124,0.769,1.318,,,,260.7,,,,,,,1519.0,1253.0,138.0,1114.0,267.0,1400.0,23300.0,207.0,3.21,258.65,19.52,171.72,248.0,,,,86.28,3328.0,,,,,75.2,185.5,36.6,58.9,31.1,51.8,1.85,0.174,0.527,1713.0,,,,,12.2,1.39,106.06,,,,,,,96.46,37.46,752.1,655.64,1.52,239.0,,,,27.58,32.05,641.0,26.65,909.1949999999999,590.0,,12207.0,9172.0,1298.0,7874.0,3035.0,20.0,4.02,1.4,13.9,1.5,17.8,9.27,9.76,5.9,18.8,9.75,12.5,6.22,389.0,638.0,212.0,,,,,422.0,119.0,1215.0,62.23,,225.0,15566.0,1028.0,22298.15,,108.0,1.04,,136.9,194.0,,,
Eulemur mongoz,,,,,,,,,,,,,,,,1060.0,,,,,,,,,,,,2270.0,1252.0,975.0,90.6,2721.0,1880.0,423.0,,,,,,,,50.0,,,,,,,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,8215.0,,,3830.0,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,20801.0,,,,,,,,,
Felis cattus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.0,728.0,853.0,131.0,2433.0,,605.0,,,,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,24038.0,,,,,,,,,
Galago senegalensis,2.577,0.688,0.685,1.204,,,,73.2,,,,,,,334.0,274.0,,,32.6,186.0,4800.0,79.2,2.58,99.58,5.96,52.43,,,,,12.6,672.0,354.0,63.4,,4.3,21.7,51.5,16.7,20.6,,14.0,0.741,0.0382,0.0668,382.0,,,,,,0.59,50.72,,,,,,,15.47,13.48,260.78,245.31,0.35,,,,,3.77,4.4,163.0,4.43,254.15,205.0,39.8,2139.0,1270.0,,,212.5,4.2,0.998,0.588,,0.55,5.82,,3.52,,8.09,,3.21,,,163.0,,,,50.3,11.1,107.0,35.7,210.0,23.14,5.2,,2997.0,,4241.733333333334,3.1,,0.29,15.2,21.0,40.2,,,
