Species,AccessoryOlfactoryBulb_Vol.mm3,AccessoryOlfactoryBulb_layer_6_Vol.mm3,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Amygdala_Vol.mm3,Amygdala_accessory_basal_nucleus_Vol.mm3,Amygdala_basal_nucleus_Vol.mm3,Amygdala_basolateral_division_Vol.mm3,Amygdala_lateral_nucleus_Vol.mm3,Area_10_right_Vol.mm3,Area_13_right_Vol.mm3,Area_striata_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CA1_Vol.mm3,CA2_Vol.mm3,CA3_Vol.mm3,Capsula_interna_Vol.mm3,CerebellarCortex_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellar_nuclei_total_Vol.mm3,Cerebellum_Vol.mm3,Cerebellum_grey_matter_Vol.mm3,Cerebellum_white_matter_Vol.mm3,Cerebral_hemispheres_Vol.mm3,Commissura_anterior_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Complexus_sensorius_trigeminalis_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,EntorhinalCortex_Vol.mm3,Epithalamus_Vol.mm3,Facial_motor_nucleus_left_Vol.mm3,Fascia_dentata_Vol.mm3,FlocculonodularLobe_Vol.mm3,FrontalCortex_grey_matter_Vol.mm3,FrontalCortex_white_matter_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,HP_HS_fibers_Vol.mm3,Hilus_Vol.mm3,Hippocampus_Vol.mm3,Hippocampus_retrocommissuralis_Vol.mm3,Hypoglossal_nucleus_left_Vol.mm3,Hypothalamus_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Insula_right_Vol.mm3,Interpositus_cerebellar_nuclei_Vol.mm3,Lateral_cerebellar_nuclei_Vol.mm3,Lobus_piriformis_Vol.mm3,Medial_cerebellar_nuclei_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Middle_temporal_visual_area_Vol.mm3,Neocortex_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_lamina_1_Vol.mm3,Neocortex_laminae_2_6_Vol.mm3,Neocortex_white_matter_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Palaeocortex_Vol.mm3,Palaeocortex_plus_amygdala_Vol.mm3,Pallidum_Vol.mm3,Pons_Vol.mm3,Pontine_and_reticulotegmental_nuclei_Vol.mm3,Prepiriform_cortex_Vol.mm3,Retrobulbar_cortex_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Subiculum_Vol.mm3,Substantia_innominata_Vol.mm3,Subthalamus_Vol.mm3,Telencephalon_Vol.mm3,Thalamus_Vol.mm3,Total_brain_net_volume_Vol.mm3,Tractus_olfactorius_lateralis_Vol.mm3,Tractus_opticus_Vol.mm3,Trigeminal_motor_nucleus_left_Vol.mm3,Tuberculum_olfactorium_Vol.mm3,Ventral_pons_Vol.mm3,Ventricles_Vol.mm3,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3
Aotus trivirgatus,0.222,0.01,0.086,0.126,,,,193.6,,,,,,,1203.0,874.0,113.0,883.0,207.0,830.0,17100.0,56.0,0.222,150.16,20.83,97.14,,,,,41.45,1873.0,753.0,174.0,,26.3,56.6,136.9,33.5,51.9,,32.9,1.55,0.14,0.162,1098.0,,,,,,1.24,76.23,,,,,,,133.49,33.52,538.8,405.31,0.87,,,,,11.42,17.02,394.0,13.01,680.65,409.0,99.5,9950.0,6275.5,1039.0,6737.0,1894.5,14.6,3.21,0.964,,0.21,11.0,,9.54,,20.7,,10.7,,203.0,394.0,,,,90.6,9.7,243.0,83.8,862.0,27.43,18.7,,12128.0,,14706.933333333334,13.0,,0.86,42.3,112.1,105.0,,,
Aplodontia rufa,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.0,351.0,290.0,37.3,821.0,665.0,131.5,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,1480.0,,,376.0,,,,,,,,,,,,,,,,,,20.8,,,,,,,,,,,4373.0,,,,,,,,,
Atelerix algirus,1.934,0.508,0.676,0.75,,,,101.3,,,,,,,,,,,,790.0,3200.0,284.5,1.93,,,,,,,,,358.0,,,,13.6,45.9,55.4,39.9,15.3,,5.02,0.297,0.0222,0.0621,246.0,,,,,,,,,,,,,,,,227.0,,,,,,,,,459.0,,336.0,153.0,,500.3,436.7,117.0,319.7,63.6,7.5,0.93,1.18,,3.1,4.68,,2.35,,6.29,,1.93,,,504.0,,,,216.4,52.8,109.0,42.9,140.0,,9.0,,1766.0,,2859.0,12.8,,,53.3,,121.0,,,
Ateles geoffroyi,2.189,0.37,0.85,0.969,270.0,135.0,,868.8,,,,,,,4738.0,3753.0,,,985.0,8000.0,108000.0,90.4,2.19,388.3,51.79,263.35,570.0,,,,209.17,12438.0,,,,98.1,224.3,644.5,89.2,96.4,49.7,151.0,3.1,0.608,0.443,5334.0,362.0,181.0,,,30.5,1.65,150.28,,16010.000000000002,5310.0,200.0,100.0,,370.37,69.29,1366.01,995.64,1.78,629.0,832.0,416.0,,59.75,114.79,1625.0,34.63,1833.835,1482.0,,70856.0,,,,,74.7,7.29,3.18,52.8,,24.2,11.9,12.8,6.81,46.6,23.8,12.8,7.2,,1625.0,807.0,,,324.8,9.5,732.0,324.0,4950.0,72.63,134.1,860.0,79946.0,2930.0,102253.775,26.3,204.0,1.8,163.7,813.3,1389.0,,,
Ateles sp.,,,,,,,,,,,,,,,,3130.0,,,,,,,,,,,,,,,,,5970.0,1680.0,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29915.0,,,17825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72410.0,,,,,,,,,
Avahi laniger,3.013,0.708,0.816,1.489,,,,113.2,,,,,,,542.0,466.65,,,66.5,1285.0,10490.0,89.2,3.01,178.89,15.29,112.49,,,,,37.89,1489.0,,,,,39.5,73.8,26.3,44.0,,28.15,0.7,0.14,0.116,862.0,,,,,,1.07,78.82,,,,,,,67.7,24.93,526.25,458.55,0.74,,,,,11.28,14.46,284.0,12.15,553.175,343.0,,4813.0,,,,,5.4,2.21,1.29,,1.1,10.7,,8.55,,17.1,,7.65,,,236.0,,,,,,241.0,69.7,524.0,48.13,,,6550.0,,9697.9,,,0.88,,60.9,172.0,,,
Avahi laniger laniger,,,,,,,,,,,,,,,,,,,,,,89.1,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5,14.4,,,,,16.8,,,,,4.2,,,33.0,,,,,
Avahi laniger occidentalis,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4,10.9,,,,,13.5,,,,,3.2,,,26.8,,,,,
Avahi occidentalis,2.553,0.481,0.828,1.244,14.0,7.0,,121.1,,,,,,,527.0,450.0,64.6,385.0,77.2,860.0,9670.0,70.1,2.55,175.41,9.13,90.39,105.0,,,,29.66,1383.0,,,,,34.6,86.5,25.9,40.2,18.1,29.3,0.652,0.0942,0.188,861.0,36.0,18.0,,,6.52,0.81,72.03,,,,26.0,13.0,,56.15,30.86,475.58,419.43,0.62,137.0,76.0,38.0,,10.18,11.3,265.0,8.18,508.23,345.0,,4443.0,3666.0,582.7,3083.0,777.0,6.4,2.04,0.988,5.94,0.27,10.8,4.81,7.57,3.32,15.5,6.86,6.37,3.1,,,74.5,,,,,222.0,69.3,478.0,41.61,,80.5,6026.0,489.0,9190.4,,38.3,0.82,,60.3,73.7,,,
Bassariscus astutus,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.0,623.0,770.0,83.6,1843.0,,292.0,,,,,,,,,,,,,,,,,,,,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.8,,,,,,,,,,,15090.0,,,,,,,,,
Bettongia gaimardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.0,445.0,444.0,41.6,1203.0,,214.0,,,,,,,,,,,,,,,,,,,,58.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,,,,,,,,,,,10612.0,,,,,,,,,
Blarina brevicauda,,,,,,,,10.9,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,1.5,5.0,5.9,8.09,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,0.45,0.666,,0.223,,0.994,,0.325,,,,,,,23.4,6.9,,,,,1.5,,,,,1.4,,,9.6,,,,,
Bos taurus indicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,23462.0,9304.0,13830.0,1383.0,31690.0,,6845.0,,,,,,,,,,,,,,,,,,,,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.0,,,,,,,,,,,402223.0,,,,,,,,,
Burramys parvus,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7,33.0,37.8,5.76,94.8,,14.4,,,,,,,,,,,,,,,,,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,,,,,,,,,,,899.0,,,,,,,,,
Callicebus moloch,0.325,0.019,0.09,0.216,,,,254.1,,,,,,,1524.0,1201.0,,,324.0,900.0,19000.0,19.2,0.325,174.88,22.9,129.11,,732.0,335.0,384.0,49.405,1250.5,,110.0,,28.6,74.6,179.5,36.2,64.7,,54.2,2.9,0.154,0.135,1375.0,,,,,,1.18,79.44,13.7,,,,,,101.92,37.33,588.29,486.37,0.98,,,,,19.47,21.24,454.0,20.7,786.9100000000001,530.0,92.1,11163.0,,,,,16.3,2.66,0.89,,,17.1,,10.8,,25.8,,11.0,,,425.0,,,23.8,96.7,4.4,234.0,86.4,920.0,42.71,27.2,,13465.0,,16868.266666666666,8.0,,1.0,34.7,105.9,279.0,,,
Callicebus sp.,,,,,,,,,,,,,,,,840.0,,,,,,,,,,,,,,,,,833.0,249.0,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120.0,,,1940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11900.0,,,,,,,,,
Callimico goeldii,0.512,0.034,0.166,0.312,,,,146.9,,,,,,,,987.0,,,,480.0,11000.0,27.0,0.512,83.53,7.84,60.81,,,,,,1240.0,,,,16.8,35.6,111.2,23.2,36.6,,31.7,,,,739.0,,,,,,0.48,49.73,,,,,,,49.34,12.08,280.9,231.56,0.54,,,,,,,253.0,,460.05,340.0,113.7,6476.0,,,,,11.6,,,,,8.84,,7.96,,12.8,,6.98,,,,,,,41.5,3.3,138.0,63.5,493.0,17.57,9.6,,7733.0,,10510.0,5.4,,0.55,29.3,,47.9,,,
Callithrix jacchus,0.326,0.05,0.111,0.165,,,,106.1,,,,,,,685.0,566.0,57.8,508.0,119.0,280.0,7600.0,22.8,0.326,73.07,7.49,42.82,,546.0,252.0,282.0,27.580000000000002,756.5,,176.0,,14.1,30.5,75.6,16.3,27.3,,25.1,0.486,0.0789,0.133,554.0,,,,,,0.54,33.34,12.5,,,,,,40.63,12.29,221.12,180.49,0.44,,,,,5.44,7.93,191.0,7.59,318.12,295.0,68.2,4371.0,3564.0,441.8,3122.0,807.1,7.7,1.63,0.44,,0.195,5.37,,6.46,,10.6,,4.9,,99.3,224.0,,,13.2,34.6,2.7,90.0,49.8,372.0,11.48,10.1,,5318.0,,6653.966666666667,3.6,,0.47,19.4,38.8,52.0,,,
Callithrix pygmaea,0.386,0.047,0.128,0.211,2.0,1.0,,75.4,,,,,,,415.0,363.0,29.7,334.0,51.4,140.0,4500.0,11.4,0.386,38.83,4.11,26.95,21.8,,,,11.48,468.0,,,,6.1,17.5,57.9,10.8,22.1,11.1,16.9,,,,342.0,14.0,7.0,,,3.68,0.27,17.67,,,,6.0,3.0,,22.84,4.49,122.34,99.5,0.28,69.2,22.0,11.0,,3.2,4.35,133.0,3.93,193.0,192.0,41.9,2534.5,2139.0,223.7,1915.0,395.3,7.1,,,1.95,0.11,3.76,1.96,5.97,2.94,8.27,4.11,4.1,2.1,,,25.8,,,24.5,2.1,81.8,29.2,174.0,7.45,5.8,27.7,3099.0,190.0,4238.35,1.3,23.8,0.28,7.8,17.5,24.5,,,
Caluromys derbianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.0,212.0,268.0,11.4,565.0,,59.2,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,,,,,6725.0,,,,,,,,,
Canis familiaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,2793.0,1442.0,1186.0,176.0,3667.0,,698.0,,,,,,,,,,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,,,,,,,,,,,46634.0,,,,,,,,,
Canis latrans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4170.0,1340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30400.0,,,15500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capra hircus domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,4731.0,1796.0,2573.0,232.0,5811.0,,848.0,,,,,,,,,,,,,,,,,,,,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,,,,,,,,125000.0,,,,,,,,,
Castor canadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343.0,1428.0,848.0,117.0,3085.0,,625.0,,,,,,,,,,,,,,,,,,,,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,,,,,,,,,,,21136.0,,,,,,,,,
Cavia porcellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.0,166.0,252.0,25.6,542.0,,74.9,,,,,,,,,,,,,,,,,,,,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,,,,,,5415.0,,,,,,,,,
Cebus albifrons,0.667,0.067,0.323,0.277,68.0,34.0,,458.2,,,,,,,4703.0,3764.0,365.0,3399.0,939.0,3100.0,71000.0,39.9,0.667,210.19,30.29,146.01,549.0,,,,173.18,7871.0,,,,84.4,120.4,337.8,74.2,105.0,50.2,137.0,3.8,0.425,0.41,3996.0,310.0,155.0,,,23.7,2.47,110.34,,9450.0,5220.0,216.0,108.0,,313.85,35.87,890.4,576.55,1.98,418.0,594.0,297.0,,38.98,99.52,931.0,34.68,1738.13,1221.0,152.4,46429.0,30630.0,3607.0,27023.0,15799.0,36.0,4.9,1.5,41.7,0.0,26.7,12.3,15.8,7.45,41.3,19.2,21.2,11.2,567.0,892.0,567.0,,,199.4,8.6,390.0,174.0,3258.0,43.85,63.6,609.0,52113.0,2163.0,69859.45,12.9,207.0,2.16,103.5,682.2,729.0,,,
Cebus apella,,,,,,,,,,,,,,,,,,,,3200.0,,,,,,,,,4650.0,1825.0,,6475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000.0,31900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66475.0,,,,,,,,,
Cebus capucinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,7301.0,5171.0,2036.0,168.0,8479.0,,1011.0,,,,,,,,,,,,,,,,,,,,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,,,,,,,,,,,78554.0,,,,,,,,,
Cebus sp.,,,,,,,,,,,,,,,,,,,,2600.0,73000.0,49.6,,,,,,,,,,8560.0,,,,,,,,,,,,,,3999.0,,,,,,,,,,,,,,,,892.0,,,,,,,,,,,1844.0,1153.0,,47045.0,,,,,,,,,,,,,,,,,,,1186.0,,,,,,436.0,212.0,3295.0,,,,53116.0,,68672.0,,,,,,,,,
Cercartetus lepidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6,15.3,16.4,1.5,40.2,,3.13,,,,,,,,,,,,,,,,,,,,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,,,,,,,,352.0,,,,,,,,,
Cercartetus nanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,16.8,23.6,2.18,51.9,,6.35,,,,,,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,460.0,,,,,,,,,
Cercarteus concinnus,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,12.8,20.0,2.2,42.0,,3.74,,,,,,,,,,,,,,,,,,,,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,,,346.0,,,,,,,,,
