Species_Name,n_sources,Sources
Callithrix jacchus,22,Ashwell__2020_SupplementaryTable; Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXVI; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Callithrix pygmaea,17,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXIII; Stephan_etal_1982_Table1; Stephan_etal_1987_Table1
Caluromys derbianus,1,Ashwell__2020_SupplementaryTable
Canis latrans,2,Bush_Allman_2003_Table1; Bush_Allman_2004_a_Table2
Canis lupus familiaris,1,Ashwell__2020_SupplementaryTable
Capra hircus domestica,1,Ashwell__2020_SupplementaryTable
Carlito syrichta,3,Bush_Allman_2004_b_TABLE1; Stephan_etal_1970_Table2; Stephan_etal_1970_Table5
Castor canadensis,1,Ashwell__2020_SupplementaryTable
Cavia porcellus,1,Ashwell__2020_SupplementaryTable
Cebuella pygmaea,1,Bauernfeind_etal_2013_Table1
Cebus albifrons,25,Baron_etal_1983_Table1; Baron_etal_1987_Table1; Baron_etal_1988_Table1; Baron_etal_1990_Table1; Bauernfeind_etal_2013_Table1; Frahm_etal_1982_Table2; Frahm_etal_1984_Table1; Frahm_etal_1998_Table1; Frahm_Zilles_1994_Table1; Matano_etal_1985_a_Table1; Matano_etal_1985_b_Table1; Sherwood_etal_2005_Table1; Smaers_etal_2011_SupplementaryTable1; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6; Stephan_etal_1981_TableIII; Stephan_etal_1981_TableIX; Stephan_etal_1981_TableVI; Stephan_etal_1981_TableVIII; Stephan_etal_1981_TableXI; Stephan_etal_1981_TableXIII; Stephan_etal_1981_TableXVI; Stephan_etal_1982_Table1; Stephan_etal_1984_Table1; Stephan_etal_1987_Table1
Cebus capucinus,1,Ashwell__2020_SupplementaryTable
Cebus sp.,3,MacLeod_etal_2003_Table2; Stephan_etal_1970_Table3; Stephan_etal_1970_Table6
Cercartetus concinnus,1,Ashwell__2020_SupplementaryTable
Cercartetus lepidus,1,Ashwell__2020_SupplementaryTable
