Species,Agranular_insular_cortex_Vol.mm3,Agranular_insular_cortex_left_Vol.mm3,Body_Mass.g,Brain_Mass.mg,Dysgranular_insular_cortex_Vol.mm3,Dysgranular_insular_cortex_left_Vol.mm3,Granular_insular_cortex_Vol.mm3,Granular_insular_cortex_left_Vol.mm3,Insula_Vol.mm3,Insula_left_Vol.mm3,Total_brain_net_volume_Vol.mm3,Area_striata_grey_matter_Vol.mm3,Corpus_geniculatum_laterale_Vol.mm3,Neocortex_grey_matter_Vol.mm3,Neocortex_white_matter_Vol.mm3,Amygdala_Vol.mm3,Area_striata_Vol.mm3,Area_striata_lamina_1_Vol.mm3,Area_striata_laminae_2_6_Vol.mm3,Area_striata_white_matter_Vol.mm3,Bulbus_olfactorius_Vol.mm3,Bulbus_olfactorius_accessorius_Vol.mm3,CerebellarHemisphere_Vol.mm3,CerebellarVermis_Vol.mm3,Cerebellum_Vol.mm3,Complexus_centromedialis_Vol.mm3,Complexus_corticobasolateralis_Vol.mm3,Corpus_pineal_Vol.mm3,Corpus_subcommissurale_Vol.mm3,Corpus_subfornicale_Vol.mm3,Diencephalon_Vol.mm3,Facial_motor_nucleus_Vol.mm3,Facial_motor_nucleus_left_Vol.mm3,Hippocampus_Vol.mm3,Hypoglossal_nucleus_Vol.mm3,Hypoglossal_nucleus_left_Vol.mm3,Lobus_piriformis_Vol.mm3,Medulla_oblongata_Vol.mm3,Mesencephalon_Vol.mm3,Neocortex_Vol.mm3,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,Nucleus_habenularis_medialis_Vol.mm3,Nucleus_septalis_triangularis_Vol.mm3,Nucleus_tractus_olfactorius_Vol.mm3,Palaeocortex_Vol.mm3,Palaeocortex_plus_amygdala_Vol.mm3,Schizo_cortex_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,Telencephalon_Vol.mm3,Trigeminal_motor_nucleus_Vol.mm3,Trigeminal_motor_nucleus_left_Vol.mm3,Ventricles_Vol.mm3,Capsula_interna_Vol.mm3,Complexus_vestibularis_Vol.mm3,Complexus_vestibularis_unilateral_Vol.mm3,Epithalamus_Vol.mm3,Hypothalamus_Vol.mm3,Nucleus_subthalamicus_Vol.mm3,Nucleus_vestibularis_descendens_Vol.mm3,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,Nucleus_vestibularis_lateralis_Vol.mm3,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,Nucleus_vestibularis_medialis_Vol.mm3,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,Nucleus_vestibularis_superior_Vol.mm3,Nucleus_vestibularis_superior_unilateral_Vol.mm3,Pallidum_Vol.mm3,Subthalamus_Vol.mm3,Thalamus_Vol.mm3,Tractus_opticus_Vol.mm3,Body_Mass.g_SD,Neocortex_grey_matter_Vol.mm3_SD,Neocortex_white_matter_Vol.mm3_SD,Total_brain_net_volume_Vol.mm3_SD,Amygdala_accessory_basal_nucleus_Vol.mm3,Amygdala_basal_nucleus_Vol.mm3,Amygdala_lateral_nucleus_Vol.mm3,Agranular_insular_cortex_right_Vol.mm3,Amygdala_basolateral_division_Vol.mm3,Cerebral_hemispheres_Vol.mm3,Dysgranular_insular_cortex_right_Vol.mm3,Granular_insular_cortex_right_Vol.mm3,Insula_right_Vol.mm3,Spinal_cord_area.mm2,Spinal_cord_area.mm2_SD,fronto_insular_cortex_Vol.mm3,fronto_insular_cortex_left_Vol.mm3,fronto_insular_cortex_right_Vol.mm3,Amygdala_central_nucleus_Vol.mm3,EntorhinalCortex_Vol.mm3,Pons_Vol.mm3,Prepiriform_cortex_Vol.mm3
Alouatta caraya,84,42,6420,55.8,282,141,178,89,544,272,53861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta palliata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43520,1860,90,17150,11410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta seniculus,NA,NA,6400,52000,NA,NA,NA,NA,NA,NA,46402.775,1918,86.55000000000001,NA,NA,413,2461,220,1698,543,41.4,0.595,2700,1450,4924.5,94.9,318,0.254,0.402,0.372,3344,3.46,1.73,1320,3.24,1.62,827,1593.125,986,31660,30.7,3.3,1.72,0,488,943,510,200,2829,37388,4.52,2.26,616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus trivirgatus,NA,NA,830,17100,NA,NA,NA,NA,NA,NA,15143.466666666667,874,34.45,5230,1740,201,1203,113,883,207,56,0.222,950,900,1811.5,54.5,147,1.55,0.14,0.162,1098,2.48,1.24,539,1.74,0.87,394,680.65,409,9950,15.7,3.21,0.964,0.201,203,394,243,83.8,862,12128,1.72,0.86,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelerix algirus,NA,NA,790,3200,NA,NA,NA,NA,NA,NA,2859,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,1.93,NA,NA,358,NA,NA,0.297,0.0222,0.0621,246,NA,NA,227,NA,NA,459,336,153,500,NA,0.93,1.18,NA,NA,504,109,42.9,140,1766,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles geoffroyi,270,135,8000,108000,362,181,200,100,832,416,102253.775,3753,151,NA,NA,NA,4738,NA,NA,985,90.4,2.19,NA,NA,12438,NA,NA,3.1,0.608,0.443,5334,3.3,1.65,1366,3.56,1.78,1625,1833.835,1482,70856,NA,7.29,3.18,NA,NA,1625,732,324,4950,79946,3.6,1.8,1389,570,99.4,49.7,30.5,629,52.8,23.8,11.9,13.62,6.81,47.6,23.8,14.4,7.2,807,860,2930,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles paniscus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7300,3033.33333333333,10366.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72410,3130,120,30930,17950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avahi laniger,NA,NA,1285,10490,NA,NA,NA,NA,NA,NA,9697.9,466.65,28.049999999999997,NA,NA,NA,542,NA,NA,66.5,89.2,3.01,NA,NA,1489,NA,NA,0.7,0.14,0.116,862,2.14,1.07,526,1.48,0.74,284,553.175,343,4813,NA,2.21,1.29,NA,NA,236,241,69.7,524,6550,1.76,0.88,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avahi occidentalis,14,7,860,9670,36,18,26,13,76,38,9190.4,450,27.2,NA,NA,NA,527,64.6,385,77.2,70.1,2.55,NA,NA,1383,NA,NA,0.652,0.0942,0.188,861,1.62,0.81,476,1.24,0.62,265,508.23,345,4443,NA,2.04,0.988,NA,NA,NA,222,69.3,478,6026,1.64,0.82,73.7,105,36.2,18.1,6.52,137,5.94,9.62,4.81,6.64,3.32,13.72,6.86,6.2,3.1,74.5,80.5,489,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
