item,reference,folder,def_file,code,structure,measure,mapped,standardized_term,note,category
Baron_etal_1983_Table1,Baron_etal_1983_Table1,Baron_etal_1983,Baron_etal_1983/reference_tables/Baron_etal_1983_definitions.csv,SEM_pct,OlfactoryBulb,Vol.mm3,FALSE,NA,,stat_or_nonbrain
Baron_etal_1987_Table1,Baron_etal_1987_Table1,Baron_etal_1987,Baron_etal_1987/reference_tables/Baron_etal_1987_definitions.csv,BOL,OlfactoryBulb,Vol.mm3,TRUE,Bulbus_olfactorius_Vol.mm3,,mapped
Baron_etal_1987_Table1,Baron_etal_1987_Table1,Baron_etal_1987,Baron_etal_1987/reference_tables/Baron_etal_1987_definitions.csv,COA,AnteriorCommissure,Vol.mm3,TRUE,Commissura_anterior_Vol.mm3,,mapped
Baron_etal_1987_Table1,Baron_etal_1987_Table1,Baron_etal_1987,Baron_etal_1987/reference_tables/Baron_etal_1987_definitions.csv,PRPI,PrepiriformCortex,Vol.mm3,TRUE,Prepiriform_cortex_Vol.mm3,,mapped
Baron_etal_1987_Table1,Baron_etal_1987_Table1,Baron_etal_1987,Baron_etal_1987/reference_tables/Baron_etal_1987_definitions.csv,RB,RetrobulbarCortex,Vol.mm3,TRUE,Retrobulbar_cortex_Vol.mm3,,mapped
Baron_etal_1987_Table1,Baron_etal_1987_Table1,Baron_etal_1987,Baron_etal_1987/reference_tables/Baron_etal_1987_definitions.csv,SIN,SubstantiaInnominata,Vol.mm3,TRUE,Substantia_innominata_Vol.mm3,,mapped
Baron_etal_1987_Table1,Baron_etal_1987_Table1,Baron_etal_1987,Baron_etal_1987/reference_tables/Baron_etal_1987_definitions.csv,TOL,OlfactoryTubercle,Vol.mm3,TRUE,Tuberculum_olfactorium_Vol.mm3,,mapped
Baron_etal_1987_Table1,Baron_etal_1987_Table1,Baron_etal_1987,Baron_etal_1987/reference_tables/Baron_etal_1987_definitions.csv,TRL,LateralOlfactoryTract,Vol.mm3,TRUE,Tractus_olfactorius_lateralis_Vol.mm3,,mapped
Baron_etal_1988_Table1,Baron_etal_1988_Table1,Baron_etal_1988,Baron_etal_1988/reference_tables/Baron_etal_1988_definitions.csv,VC,VestibularComplex,Vol.mm3,TRUE,Complexus_vestibularis_Vol.mm3,,mapped
Baron_etal_1988_Table1,Baron_etal_1988_Table1,Baron_etal_1988,Baron_etal_1988/reference_tables/Baron_etal_1988_definitions.csv,VI,VestibularNucleusDescending,Vol.mm3,TRUE,Nucleus_vestibularis_descendens_Vol.mm3,,mapped
Baron_etal_1988_Table1,Baron_etal_1988_Table1,Baron_etal_1988,Baron_etal_1988/reference_tables/Baron_etal_1988_definitions.csv,VL,VestibularNucleusLateral,Vol.mm3,TRUE,Nucleus_vestibularis_lateralis_Vol.mm3,,mapped
Baron_etal_1988_Table1,Baron_etal_1988_Table1,Baron_etal_1988,Baron_etal_1988/reference_tables/Baron_etal_1988_definitions.csv,VM,VestibularNucleusMedial,Vol.mm3,TRUE,Nucleus_vestibularis_medialis_Vol.mm3,,mapped
Baron_etal_1988_Table1,Baron_etal_1988_Table1,Baron_etal_1988,Baron_etal_1988/reference_tables/Baron_etal_1988_definitions.csv,VS,VestibularNucleusSuperior,Vol.mm3,TRUE,Nucleus_vestibularis_superior_Vol.mm3,,mapped
Baron_etal_1990_Table1,Baron_etal_1990_Table1,Baron_etal_1990,Baron_etal_1990/reference_tables/Baron_etal_1990_Table1_definitions.csv,Complexus_sensorius_trigeminalis_mm3,Complexus_sensorius_trigeminalis,Vol.mm3,TRUE,Complexus_sensorius_trigeminalis_Vol.mm3,,mapped
Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013_Table1,Bauernfeind_etal_2013,Bauernfeind_etal_2013/reference_tables/Bauernfeind_etal_2013_Table1_definitions.csv,brain_volume_mm3,Total_brain_net_volume,Vol.mm3,TRUE,Total_brain_net_volume_Vol.mm3,,mapped
