Species,Variable,Value,Teams,n_teams
Aotus trivirgatus,Corpus_subcommissurale_Vol.mm3,0.14,Stephan_collection,1
Aotus trivirgatus,Corpus_subfornicale_Vol.mm3,0.162,Stephan_collection,1
Aotus trivirgatus,Diencephalon_Vol.mm3,1098,Stephan_collection,1
Aotus trivirgatus,Facial_motor_nucleus_Vol.mm3,2.48,Sherwood,1
Aotus trivirgatus,Facial_motor_nucleus_left_Vol.mm3,1.24,Sherwood,1
Aotus trivirgatus,Hippocampus_Vol.mm3,539,Stephan_collection,1
Aotus trivirgatus,Hypoglossal_nucleus_Vol.mm3,1.74,Sherwood,1
Aotus trivirgatus,Hypoglossal_nucleus_left_Vol.mm3,0.87,Sherwood,1
Aotus trivirgatus,Lobus_piriformis_Vol.mm3,394,Stephan_collection,1
Aotus trivirgatus,Medulla_oblongata_Vol.mm3,680.65,Sherwood; Stephan_collection,2
Aotus trivirgatus,Mesencephalon_Vol.mm3,409,Stephan_collection,1
Aotus trivirgatus,Neocortex_Vol.mm3,8460,Bush; Stephan_collection,2
Aotus trivirgatus,Neocortex_grey_matter_Vol.mm3,5230,Bush,1
Aotus trivirgatus,Neocortex_white_matter_Vol.mm3,1740,Bush,1
Aotus trivirgatus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,15.7,Stephan_collection,1
Aotus trivirgatus,Nucleus_habenularis_medialis_Vol.mm3,3.21,Stephan_collection,1
Aotus trivirgatus,Nucleus_septalis_triangularis_Vol.mm3,0.964,Stephan_collection,1
Aotus trivirgatus,Nucleus_tractus_olfactorius_Vol.mm3,0.201,Stephan_collection,1
Aotus trivirgatus,Palaeocortex_Vol.mm3,203,Stephan_collection,1
Aotus trivirgatus,Palaeocortex_plus_amygdala_Vol.mm3,394,Stephan_collection,1
Aotus trivirgatus,Schizo_cortex_Vol.mm3,243,Stephan_collection,1
Aotus trivirgatus,Septum_Vol.mm3,83.8,Stephan_collection,1
Aotus trivirgatus,Striatum_Vol.mm3,862,Stephan_collection,1
Aotus trivirgatus,Telencephalon_Vol.mm3,12128,Stephan_collection,1
Aotus trivirgatus,Total_brain_net_volume_Vol.mm3,15580,Bush; Stephan_collection; Zilles,3
Aotus trivirgatus,Trigeminal_motor_nucleus_Vol.mm3,1.72,Sherwood,1
Aotus trivirgatus,Trigeminal_motor_nucleus_left_Vol.mm3,0.86,Sherwood,1
Aotus trivirgatus,Ventricles_Vol.mm3,105,Stephan_collection,1
Applodontia rufa,Neocortex_Vol.mm3,1860,Bush,1
Applodontia rufa,Neocortex_grey_matter_Vol.mm3,1480,Bush,1
Applodontia rufa,Neocortex_white_matter_Vol.mm3,380,Bush,1
Applodontia rufa,Total_brain_net_volume_Vol.mm3,5600,Bush,1
Atelerix algirus,Body_Mass.g,790,Stephan_collection,1
Atelerix algirus,Brain_Mass.mg,3200,Stephan_collection,1
Atelerix algirus,Bulbus_olfactorius_Vol.mm3,285,Stephan_collection,1
Atelerix algirus,Bulbus_olfactorius_accessorius_Vol.mm3,1.93,Stephan_collection,1
Atelerix algirus,Cerebellum_Vol.mm3,358,Stephan_collection,1
Atelerix algirus,Corpus_pineal_Vol.mm3,0.297,Stephan_collection,1
Atelerix algirus,Corpus_subcommissurale_Vol.mm3,0.0222,Stephan_collection,1
Atelerix algirus,Corpus_subfornicale_Vol.mm3,0.0621,Stephan_collection,1
Atelerix algirus,Diencephalon_Vol.mm3,246,Stephan_collection,1
Atelerix algirus,Hippocampus_Vol.mm3,227,Stephan_collection,1
Atelerix algirus,Lobus_piriformis_Vol.mm3,459,Stephan_collection,1
Atelerix algirus,Medulla_oblongata_Vol.mm3,336,Stephan_collection,1
Atelerix algirus,Mesencephalon_Vol.mm3,153,Stephan_collection,1
Atelerix algirus,Neocortex_Vol.mm3,500,Stephan_collection,1
Atelerix algirus,Nucleus_habenularis_medialis_Vol.mm3,0.93,Stephan_collection,1
Atelerix algirus,Nucleus_septalis_triangularis_Vol.mm3,1.18,Stephan_collection,1
Atelerix algirus,Palaeocortex_plus_amygdala_Vol.mm3,504,Stephan_collection,1
Atelerix algirus,Schizo_cortex_Vol.mm3,109,Stephan_collection,1
Atelerix algirus,Septum_Vol.mm3,42.9,Stephan_collection,1
Atelerix algirus,Striatum_Vol.mm3,140,Stephan_collection,1
Atelerix algirus,Telencephalon_Vol.mm3,1766,Stephan_collection,1
Atelerix algirus,Total_brain_net_volume_Vol.mm3,2859,Stephan_collection,1
Atelerix algirus,Ventricles_Vol.mm3,121,Stephan_collection,1
Ateles geoffroyi,Agranular_insular_cortex_Vol.mm3,270,Zilles,1
Ateles geoffroyi,Agranular_insular_cortex_left_Vol.mm3,135,Zilles,1
Ateles geoffroyi,Area_striata_Vol.mm3,4738,Stephan_collection,1
Ateles geoffroyi,Area_striata_grey_matter_Vol.mm3,3753,Stephan_collection,1
Ateles geoffroyi,Area_striata_white_matter_Vol.mm3,985,Stephan_collection,1
Ateles geoffroyi,Body_Mass.g,8000,Stephan_collection; Zilles,2
Ateles geoffroyi,Brain_Mass.mg,108000,Stephan_collection; Zilles,2
Ateles geoffroyi,Bulbus_olfactorius_Vol.mm3,90.4,Stephan_collection,1
Ateles geoffroyi,Bulbus_olfactorius_accessorius_Vol.mm3,2.19,Stephan_collection,1
Ateles geoffroyi,Capsula_interna_Vol.mm3,570,Stephan_collection,1
Ateles geoffroyi,Cerebellum_Vol.mm3,12438,Stephan_collection,1
Ateles geoffroyi,Complexus_vestibularis_Vol.mm3,99.4,Stephan_collection,1
Ateles geoffroyi,Complexus_vestibularis_unilateral_Vol.mm3,49.7,Stephan_collection,1
Ateles geoffroyi,Corpus_geniculatum_laterale_Vol.mm3,151,Stephan_collection,1
Ateles geoffroyi,Corpus_pineal_Vol.mm3,3.1,Stephan_collection,1
Ateles geoffroyi,Corpus_subcommissurale_Vol.mm3,0.608,Stephan_collection,1
Ateles geoffroyi,Corpus_subfornicale_Vol.mm3,0.443,Stephan_collection,1
Ateles geoffroyi,Diencephalon_Vol.mm3,5334,Stephan_collection,1
Ateles geoffroyi,Dysgranular_insular_cortex_Vol.mm3,362,Zilles,1
Ateles geoffroyi,Dysgranular_insular_cortex_left_Vol.mm3,181,Zilles,1
Ateles geoffroyi,Epithalamus_Vol.mm3,30.5,Stephan_collection,1
Ateles geoffroyi,Facial_motor_nucleus_Vol.mm3,3.3,Sherwood,1
Ateles geoffroyi,Facial_motor_nucleus_left_Vol.mm3,1.65,Sherwood,1
Ateles geoffroyi,Granular_insular_cortex_Vol.mm3,200,Zilles,1
Ateles geoffroyi,Granular_insular_cortex_left_Vol.mm3,100,Zilles,1
Ateles geoffroyi,Hippocampus_Vol.mm3,1366,Stephan_collection,1
Ateles geoffroyi,Hypoglossal_nucleus_Vol.mm3,3.56,Sherwood,1
Ateles geoffroyi,Hypoglossal_nucleus_left_Vol.mm3,1.78,Sherwood,1
Ateles geoffroyi,Hypothalamus_Vol.mm3,629,Stephan_collection,1
Ateles geoffroyi,Insula_Vol.mm3,832,Zilles,1
Ateles geoffroyi,Insula_left_Vol.mm3,416,Zilles,1
Ateles geoffroyi,Lobus_piriformis_Vol.mm3,1625,Stephan_collection,1
Ateles geoffroyi,Medulla_oblongata_Vol.mm3,1833.835,Sherwood; Stephan_collection,2
Ateles geoffroyi,Mesencephalon_Vol.mm3,1482,Stephan_collection,1
Ateles geoffroyi,Neocortex_Vol.mm3,70856,Stephan_collection,1
Ateles geoffroyi,Nucleus_habenularis_medialis_Vol.mm3,7.29,Stephan_collection,1
Ateles geoffroyi,Nucleus_septalis_triangularis_Vol.mm3,3.18,Stephan_collection,1
Ateles geoffroyi,Nucleus_subthalamicus_Vol.mm3,52.8,Stephan_collection,1
Ateles geoffroyi,Nucleus_vestibularis_descendens_Vol.mm3,23.8,Stephan_collection,1
Ateles geoffroyi,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,11.9,Stephan_collection,1
Ateles geoffroyi,Nucleus_vestibularis_lateralis_Vol.mm3,13.62,Stephan_collection,1
Ateles geoffroyi,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,6.81,Stephan_collection,1
Ateles geoffroyi,Nucleus_vestibularis_medialis_Vol.mm3,47.6,Stephan_collection,1
Ateles geoffroyi,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,23.8,Stephan_collection,1
Ateles geoffroyi,Nucleus_vestibularis_superior_Vol.mm3,14.4,Stephan_collection,1
Ateles geoffroyi,Nucleus_vestibularis_superior_unilateral_Vol.mm3,7.2,Stephan_collection,1
Ateles geoffroyi,Palaeocortex_plus_amygdala_Vol.mm3,1625,Stephan_collection,1
Ateles geoffroyi,Pallidum_Vol.mm3,807,Stephan_collection,1
Ateles geoffroyi,Schizo_cortex_Vol.mm3,732,Stephan_collection,1
Ateles geoffroyi,Septum_Vol.mm3,324,Stephan_collection,1
Ateles geoffroyi,Striatum_Vol.mm3,4950,Stephan_collection,1
Ateles geoffroyi,Subthalamus_Vol.mm3,860,Stephan_collection,1
Ateles geoffroyi,Telencephalon_Vol.mm3,79946,Stephan_collection,1
Ateles geoffroyi,Thalamus_Vol.mm3,2930,Stephan_collection,1
Ateles geoffroyi,Total_brain_net_volume_Vol.mm3,101867,Stephan_collection; Zilles,2
Ateles geoffroyi,Tractus_opticus_Vol.mm3,204,Stephan_collection,1
Ateles geoffroyi,Trigeminal_motor_nucleus_Vol.mm3,3.6,Sherwood,1
Ateles geoffroyi,Trigeminal_motor_nucleus_left_Vol.mm3,1.8,Sherwood,1
Ateles geoffroyi,Ventricles_Vol.mm3,1389,Stephan_collection,1
Ateles paniscus,CerebellarHemisphere_Vol.mm3,7300,Zilles,1
Ateles paniscus,CerebellarVermis_Vol.mm3,3033.33333333333,Zilles,1
Ateles paniscus,Cerebellum_Vol.mm3,10366.6666666667,Zilles,1
Ateles paniscus,Total_brain_net_volume_Vol.mm3,90700,Zilles,1
Ateles sp.,Area_striata_grey_matter_Vol.mm3,3130,Bush,1
Ateles sp.,Corpus_geniculatum_laterale_Vol.mm3,120,Bush,1
Ateles sp.,Neocortex_Vol.mm3,48880,Bush,1
Ateles sp.,Neocortex_grey_matter_Vol.mm3,30930,Bush,1
Ateles sp.,Neocortex_white_matter_Vol.mm3,17950,Bush,1
Ateles sp.,Total_brain_net_volume_Vol.mm3,72410,Bush,1
Avahi laniger,Area_striata_Vol.mm3,542,Stephan_collection,1
Avahi laniger,Area_striata_grey_matter_Vol.mm3,475,Stephan_collection,1
Avahi laniger,Area_striata_white_matter_Vol.mm3,66.5,Stephan_collection,1
Avahi laniger,Body_Mass.g,1285,Stephan_collection,1
Avahi laniger,Brain_Mass.mg,10490,Stephan_collection,1
Avahi laniger,Bulbus_olfactorius_Vol.mm3,89.2,Stephan_collection,1
Avahi laniger,Bulbus_olfactorius_accessorius_Vol.mm3,3.01,Stephan_collection,1
Avahi laniger,Cerebellum_Vol.mm3,1489,Stephan_collection,1
Avahi laniger,Corpus_geniculatum_laterale_Vol.mm3,27.4,Stephan_collection,1
Avahi laniger,Corpus_pineal_Vol.mm3,0.7,Stephan_collection,1
Avahi laniger,Corpus_subcommissurale_Vol.mm3,0.14,Stephan_collection,1
Avahi laniger,Corpus_subfornicale_Vol.mm3,0.116,Stephan_collection,1
Avahi laniger,Diencephalon_Vol.mm3,862,Stephan_collection,1
Avahi laniger,Facial_motor_nucleus_Vol.mm3,2.14,Sherwood,1
Avahi laniger,Facial_motor_nucleus_left_Vol.mm3,1.07,Sherwood,1
Avahi laniger,Hippocampus_Vol.mm3,526,Stephan_collection,1
Avahi laniger,Hypoglossal_nucleus_Vol.mm3,1.48,Sherwood,1
Avahi laniger,Hypoglossal_nucleus_left_Vol.mm3,0.74,Sherwood,1
Avahi laniger,Lobus_piriformis_Vol.mm3,284,Stephan_collection,1
Avahi laniger,Medulla_oblongata_Vol.mm3,553.175,Sherwood; Stephan_collection,2
Avahi laniger,Mesencephalon_Vol.mm3,343,Stephan_collection,1
Avahi laniger,Neocortex_Vol.mm3,4813,Stephan_collection,1
Avahi laniger,Nucleus_habenularis_medialis_Vol.mm3,2.21,Stephan_collection,1
Avahi laniger,Nucleus_septalis_triangularis_Vol.mm3,1.29,Stephan_collection,1
Avahi laniger,Palaeocortex_plus_amygdala_Vol.mm3,236,Stephan_collection,1
Avahi laniger,Schizo_cortex_Vol.mm3,241,Stephan_collection,1
Avahi laniger,Septum_Vol.mm3,69.7,Stephan_collection,1
Avahi laniger,Striatum_Vol.mm3,524,Stephan_collection,1
Avahi laniger,Telencephalon_Vol.mm3,6550,Stephan_collection,1
Avahi laniger,Total_brain_net_volume_Vol.mm3,9798,Stephan_collection,1
Avahi laniger,Trigeminal_motor_nucleus_Vol.mm3,1.76,Sherwood,1
Avahi laniger,Trigeminal_motor_nucleus_left_Vol.mm3,0.88,Sherwood,1
Avahi laniger,Ventricles_Vol.mm3,172,Stephan_collection,1
Avahi occidentalis,Agranular_insular_cortex_Vol.mm3,14,Zilles,1
Avahi occidentalis,Agranular_insular_cortex_left_Vol.mm3,7,Zilles,1
Avahi occidentalis,Area_striata_Vol.mm3,527,Stephan_collection,1
Avahi occidentalis,Area_striata_grey_matter_Vol.mm3,450,Stephan_collection,1
Avahi occidentalis,Area_striata_lamina_1_Vol.mm3,64.6,Stephan_collection,1
Avahi occidentalis,Area_striata_laminae_2_6_Vol.mm3,385,Stephan_collection,1
Avahi occidentalis,Area_striata_white_matter_Vol.mm3,77.2,Stephan_collection,1
Avahi occidentalis,Body_Mass.g,860,Stephan_collection; Zilles,2
Avahi occidentalis,Brain_Mass.mg,9670,Stephan_collection; Zilles,2
Avahi occidentalis,Bulbus_olfactorius_Vol.mm3,70.1,Stephan_collection,1
Avahi occidentalis,Bulbus_olfactorius_accessorius_Vol.mm3,2.55,Stephan_collection,1
Avahi occidentalis,Capsula_interna_Vol.mm3,105,Stephan_collection,1
Avahi occidentalis,Cerebellum_Vol.mm3,1383,Stephan_collection,1
Avahi occidentalis,Complexus_vestibularis_Vol.mm3,36.2,Stephan_collection,1
Avahi occidentalis,Complexus_vestibularis_unilateral_Vol.mm3,18.1,Stephan_collection,1
Avahi occidentalis,Corpus_geniculatum_laterale_Vol.mm3,27.2,Stephan_collection,1
Avahi occidentalis,Corpus_pineal_Vol.mm3,0.652,Stephan_collection,1
Avahi occidentalis,Corpus_subcommissurale_Vol.mm3,0.0942,Stephan_collection,1
Avahi occidentalis,Corpus_subfornicale_Vol.mm3,0.188,Stephan_collection,1
Avahi occidentalis,Diencephalon_Vol.mm3,861,Stephan_collection,1
Avahi occidentalis,Dysgranular_insular_cortex_Vol.mm3,36,Zilles,1
Avahi occidentalis,Dysgranular_insular_cortex_left_Vol.mm3,18,Zilles,1
Avahi occidentalis,Epithalamus_Vol.mm3,6.52,Stephan_collection,1
Avahi occidentalis,Facial_motor_nucleus_Vol.mm3,1.62,Sherwood,1
Avahi occidentalis,Facial_motor_nucleus_left_Vol.mm3,0.81,Sherwood,1
Avahi occidentalis,Granular_insular_cortex_Vol.mm3,26,Zilles,1
Avahi occidentalis,Granular_insular_cortex_left_Vol.mm3,13,Zilles,1
Avahi occidentalis,Hippocampus_Vol.mm3,476,Stephan_collection,1
Avahi occidentalis,Hypoglossal_nucleus_Vol.mm3,1.24,Sherwood,1
Avahi occidentalis,Hypoglossal_nucleus_left_Vol.mm3,0.62,Sherwood,1
Avahi occidentalis,Hypothalamus_Vol.mm3,137,Stephan_collection,1
Avahi occidentalis,Insula_Vol.mm3,76,Zilles,1
Avahi occidentalis,Insula_left_Vol.mm3,38,Zilles,1
Avahi occidentalis,Lobus_piriformis_Vol.mm3,265,Stephan_collection,1
Avahi occidentalis,Medulla_oblongata_Vol.mm3,508.23,Sherwood; Stephan_collection,2
Avahi occidentalis,Mesencephalon_Vol.mm3,345,Stephan_collection,1
Avahi occidentalis,Neocortex_Vol.mm3,4443,Stephan_collection,1
Avahi occidentalis,Nucleus_habenularis_medialis_Vol.mm3,2.04,Stephan_collection,1
Avahi occidentalis,Nucleus_septalis_triangularis_Vol.mm3,0.988,Stephan_collection,1
Avahi occidentalis,Nucleus_subthalamicus_Vol.mm3,5.94,Stephan_collection,1
Avahi occidentalis,Nucleus_vestibularis_descendens_Vol.mm3,9.62,Stephan_collection,1
Avahi occidentalis,Nucleus_vestibularis_descendens_unilateral_Vol.mm3,4.81,Stephan_collection,1
Avahi occidentalis,Nucleus_vestibularis_lateralis_Vol.mm3,6.64,Stephan_collection,1
Avahi occidentalis,Nucleus_vestibularis_lateralis_unilateral_Vol.mm3,3.32,Stephan_collection,1
Avahi occidentalis,Nucleus_vestibularis_medialis_Vol.mm3,13.72,Stephan_collection,1
Avahi occidentalis,Nucleus_vestibularis_medialis_unilateral_Vol.mm3,6.86,Stephan_collection,1
Avahi occidentalis,Nucleus_vestibularis_superior_Vol.mm3,6.2,Stephan_collection,1
Avahi occidentalis,Nucleus_vestibularis_superior_unilateral_Vol.mm3,3.1,Stephan_collection,1
Avahi occidentalis,Pallidum_Vol.mm3,74.5,Stephan_collection,1
Avahi occidentalis,Schizo_cortex_Vol.mm3,222,Stephan_collection,1
Avahi occidentalis,Septum_Vol.mm3,69.3,Stephan_collection,1
Avahi occidentalis,Striatum_Vol.mm3,478,Stephan_collection,1
Avahi occidentalis,Subthalamus_Vol.mm3,80.5,Stephan_collection,1
Avahi occidentalis,Telencephalon_Vol.mm3,6026,Stephan_collection,1
Avahi occidentalis,Thalamus_Vol.mm3,489,Stephan_collection,1
Avahi occidentalis,Total_brain_net_volume_Vol.mm3,9190.4,Stephan_collection; Zilles,2
Avahi occidentalis,Tractus_opticus_Vol.mm3,38.3,Stephan_collection,1
Avahi occidentalis,Trigeminal_motor_nucleus_Vol.mm3,1.64,Sherwood,1
Avahi occidentalis,Trigeminal_motor_nucleus_left_Vol.mm3,0.82,Sherwood,1
Avahi occidentalis,Ventricles_Vol.mm3,73.7,Stephan_collection,1
Callicebus moloch,Area_striata_Vol.mm3,1524,Stephan_collection,1
Callicebus moloch,Area_striata_grey_matter_Vol.mm3,1201,Stephan_collection,1
Callicebus moloch,Area_striata_white_matter_Vol.mm3,324,Stephan_collection,1
Callicebus moloch,Body_Mass.g,900,Stephan_collection,1
Callicebus moloch,Brain_Mass.mg,19000,Stephan_collection,1
Callicebus moloch,Bulbus_olfactorius_Vol.mm3,19.2,Stephan_collection,1
Callicebus moloch,Bulbus_olfactorius_accessorius_Vol.mm3,0.325,Stephan_collection,1
Callicebus moloch,Cerebellum_Vol.mm3,1622,Stephan_collection,1
Callicebus moloch,Corpus_geniculatum_laterale_Vol.mm3,53.2,Stephan_collection,1
Callicebus moloch,Corpus_pineal_Vol.mm3,2.9,Stephan_collection,1
Callicebus moloch,Corpus_subcommissurale_Vol.mm3,0.154,Stephan_collection,1
Callicebus moloch,Corpus_subfornicale_Vol.mm3,0.135,Stephan_collection,1
Callicebus moloch,Diencephalon_Vol.mm3,1375,Stephan_collection,1
Callicebus moloch,Facial_motor_nucleus_Vol.mm3,2.36,Sherwood,1
Callicebus moloch,Facial_motor_nucleus_left_Vol.mm3,1.18,Sherwood,1
Callicebus moloch,Hippocampus_Vol.mm3,588,Stephan_collection,1
Callicebus moloch,Hypoglossal_nucleus_Vol.mm3,1.96,Sherwood,1
Callicebus moloch,Hypoglossal_nucleus_left_Vol.mm3,0.98,Sherwood,1
Callicebus moloch,Lobus_piriformis_Vol.mm3,454,Stephan_collection,1
Callicebus moloch,Medulla_oblongata_Vol.mm3,786.9100000000001,Sherwood; Stephan_collection,2
Callicebus moloch,Mesencephalon_Vol.mm3,530,Stephan_collection,1
Callicebus moloch,Neocortex_Vol.mm3,11163,Stephan_collection,1
Callicebus moloch,Nucleus_habenularis_medialis_Vol.mm3,2.66,Stephan_collection,1
Callicebus moloch,Nucleus_septalis_triangularis_Vol.mm3,0.89,Stephan_collection,1
Callicebus moloch,Palaeocortex_plus_amygdala_Vol.mm3,425,Stephan_collection,1
Callicebus moloch,Schizo_cortex_Vol.mm3,234,Stephan_collection,1
Callicebus moloch,Septum_Vol.mm3,86.4,Stephan_collection,1
Callicebus moloch,Striatum_Vol.mm3,920,Stephan_collection,1
Callicebus moloch,Telencephalon_Vol.mm3,13465,Stephan_collection,1
Callicebus moloch,Total_brain_net_volume_Vol.mm3,17944,Stephan_collection,1
Callicebus moloch,Trigeminal_motor_nucleus_Vol.mm3,2,Sherwood,1
Callicebus moloch,Trigeminal_motor_nucleus_left_Vol.mm3,1,Sherwood,1
Callicebus moloch,Ventricles_Vol.mm3,279,Stephan_collection,1
Callicebus sp.,Area_striata_grey_matter_Vol.mm3,840,Bush,1
Callicebus sp.,Corpus_geniculatum_laterale_Vol.mm3,30,Bush,1
Callicebus sp.,Neocortex_Vol.mm3,7060,Bush,1
Callicebus sp.,Neocortex_grey_matter_Vol.mm3,5120,Bush,1
Callicebus sp.,Neocortex_white_matter_Vol.mm3,1940,Bush,1
Callicebus sp.,Total_brain_net_volume_Vol.mm3,11900,Bush,1
Callimico goeldii,Body_Mass.g,480,Stephan_collection,1
Callimico goeldii,Brain_Mass.mg,11000,Stephan_collection,1
Callimico goeldii,Bulbus_olfactorius_Vol.mm3,27,Stephan_collection,1
