"Species","species_as_published","species_code","case","neurological_condition","region","total_cells","cell_density_per_cm2","total_neurons","neuron_density_per_cm2","pct_neurons","age_y","sex","body_weight_kg","brain_weight_g","hemisphere","cortical_surface_area_cm2","perfusion_method","specimen_duplicate_of","comparative_use","source"
"Papio cynocephalus anubis","Papio hamadryas anubis/cynocephalus hybrid","PHX","09-27","Normal","Cortex (all areas)",4670000000,25200000,2390000000,12900000,50,12.6,"Female",17.8,173.4,"Right",186,"0.9% PBS + 4% PFA (postfixed)","Collins_etal_2010_DatasetS1","exclude_duplicate_Collins2010","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis","PHA","11-31","Normal","Cortex (all areas)",4290000000,18600000,2260000000,9770000,51,13,"Female",21.7,NA,"Right",234,"0.9% PBS + 4% PFA (postfixed)","","include","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis","PHA","10-04","Epilepsy","Cortex (all areas)",4000000000,16500000,1610000000,6590000,39,14,"Female",18.6,165.3,"Right",242,"0.9% PBS + 4% PFA (postfixed)","","exclude_epileptic","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis/cynocephalus hybrid","PHX","11-45","Epilepsy","Cortex (all areas)",4240000000,22700000,1790000000,10000000,41,17,"Female",23.4,159.7,"Left",192,"0.9% PBS + 2% PFA","","exclude_epileptic","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis/cynocephalus hybrid","PHX","09-27","Normal","V1",878000000,29500000,652000000,22000000,75,12.6,"Female",17.8,173.4,"Right",186,"0.9% PBS + 4% PFA (postfixed)","Collins_etal_2010_DatasetS1","exclude_duplicate_Collins2010","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis","PHA","11-31","Normal","V1",804000000,24900000,587000000,17900000,72,13,"Female",21.7,NA,"Right",234,"0.9% PBS + 4% PFA (postfixed)","","include","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis","PHA","10-04","Epilepsy","V1",519000000,19400000,342000000,12800000,66,14,"Female",18.6,165.3,"Right",242,"0.9% PBS + 4% PFA (postfixed)","","exclude_epileptic","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis/cynocephalus hybrid","PHX","11-45","Epilepsy","V1",727000000,34400000,515000000,24200000,71,17,"Female",23.4,159.7,"Left",192,"0.9% PBS + 2% PFA","","exclude_epileptic","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis/cynocephalus hybrid","PHX","09-27","Normal","S1",74500000,22300000,41100000,11900000,55,12.6,"Female",17.8,173.4,"Right",186,"0.9% PBS + 4% PFA (postfixed)","Collins_etal_2010_DatasetS1","exclude_duplicate_Collins2010","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis","PHA","11-31","Normal","S1",80900000,17300000,48200000,10200000,59,13,"Female",21.7,NA,"Right",234,"0.9% PBS + 4% PFA (postfixed)","","include","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis","PHA","10-04","Epilepsy","S1",57500000,10300000,15500000,2820000,26,14,"Female",18.6,165.3,"Right",242,"0.9% PBS + 4% PFA (postfixed)","","exclude_epileptic","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis/cynocephalus hybrid","PHX","11-45","Epilepsy","S1",41200000,20000000,16200000,7830000,39,17,"Female",23.4,159.7,"Left",192,"0.9% PBS + 2% PFA","","exclude_epileptic","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis/cynocephalus hybrid","PHX","09-27","Normal","M1",153000000,22700000,55800000,8250000,36,12.6,"Female",17.8,173.4,"Right",186,"0.9% PBS + 4% PFA (postfixed)","Collins_etal_2010_DatasetS1","exclude_duplicate_Collins2010","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis","PHA","11-31","Normal","M1",152000000,23900000,62900000,9570000,40,13,"Female",21.7,NA,"Right",234,"0.9% PBS + 4% PFA (postfixed)","","include","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis","PHA","10-04","Epilepsy","M1",149000000,13900000,28100000,2610000,18,14,"Female",18.6,165.3,"Right",242,"0.9% PBS + 4% PFA (postfixed)","","exclude_epileptic","Young_etal_2013_b_Table1"
"Papio cynocephalus anubis","Papio hamadryas anubis/cynocephalus hybrid","PHX","11-45","Epilepsy","M1",81700000,16200000,19200000,3810000,24,17,"Female",23.4,159.7,"Left",192,"0.9% PBS + 2% PFA","","exclude_epileptic","Young_etal_2013_b_Table1"
