"Order","Species","Subspecies size","Sex","Body weight (g)","Body weight (g): Data Source","Spinal cord weight (mg)","Spinal cord weight (mg): Data Source","Body weight (mg)","Body weight (mg): Data Source","Spinal cord length (mm): Dissection: Sex (specified)","Spinal cord length (mm): Dissection","Spinal cord length (mm): Dissection: Data Source","Spinal cord length (mm): ΣDCL","Spinal cord length (mm): ΣDCL: Data Source"
"Primate","Daubentonia  madagascarensis",NA,"U",2800,"Martin & MacLarnon (unpublished data collection)",NA,NA,NA,NA,NA,NA,NA,223.15,"Nayak (1933)"
"Primate","Perodicticus  potto",NA,"U",953.5,"Nayak (1933)",NA,NA,NA,NA,NA,NA,NA,171.65,"Nayak (1933)"
"Primate","Galago  crassicaudatus",NA,"M",1165,"Martin & MacLarnon (unpublished data collection)",1924,"Present study (Formol–saline subset)",10650,"Martin & MacLarnon (unpublished data collection)",NA,195.5,"Present study (Formol–saline subset)",161.97,"Present study (Formol–saline subset)"
"Primate","Callithrix  jacchus",NA,"F",287,"Martin & MacLarnon (unpublished data collection)",720,"Present study (Non-Formol–saline subset)",7980,"Martin & MacLarnon (unpublished data collection)",NA,136,"Present study (Non-Formol–saline subset)",117.45,"Present study (Non-Formol–saline subset)"
"Primate","Saguinus  oedipus",NA,"M",325,"Present study (Formol–saline subset)",783,"Present study (Formol–saline subset)",9250,"Martin & MacLarnon (unpublished data collection)",NA,135.25,"Present study (Formol–saline subset)",112.35,"Present study (Formol–saline subset)"
"Primate","Aotus  trivirgatus",NA,"F",1200,"Present study (Formol–saline subset)",2320,"Present study (Formol–saline subset)",18110,"Present study (Formol–saline subset)",NA,202,"Present study (Formol–saline subset)",180.95,"Present study (Formol–saline subset)"
"Primate","Saimiri  sciureus",NA,"M",805,"Martin & MacLarnon (unpublished data collection)",1837,"Present study (Formol–saline subset)",24700,"Martin & MacLarnon (unpublished data collection)",NA,181,"Present study (Formol–saline subset)",167.45,"Present study (Formol–saline subset)"
"Primate","Lagothrix  lagotricha",NA,"M",8160,"Present study (Formol–saline subset)",6733,"Present study (Formol–saline subset)",86200,"Martin & MacLarnon (unpublished data collection)",NA,309.25,"Present study (Formol–saline subset)",264,"Present study (Formol–saline subset)"
"Primate","Presbytis  obscurus",NA,"F",6360,"Present study (Formol–saline subset)",8287,"Present study (Formol–saline subset)",60800,"Martin & MacLarnon (unpublished data collection)",NA,310.5,"Present study (Formol–saline subset)",258.65,"Present study (Formol–saline subset)"
"Primate","Miopithecus  talapoin",NA,"M",1460,"Present study (Formol–saline subset)",2685,"Present study (Formol–saline subset)",37450,"Present study (Formol–saline subset)",NA,NA,NA,192.15,"Present study (Formol–saline subset)"
"Primate","Cercopithecus  aethiops",NA,"M",4878,"Hopf & Claussen  (1971)",6300,"Hopf & Claussen  (1971)",71000,"Hopf & Claussen  (1971)",NA,NA,NA,NA,NA
"Primate","Cercopithecus  aethiops",NA,"F",3469,"Martin & MacLarnon (unpublished data collection)",5000,"Hopf & Claussen  (1971)",59000,"Hopf & Claussen  (1971)",NA,NA,NA,NA,NA
"Primate","Cercocebus  torquatus",NA,"F",7800,"Present study (Formol–saline subset)",8190,"Present study (Formol–saline subset)",110500,"Martin & MacLarnon (unpublished data collection)",NA,320.5,"Present study (Formol–saline subset)",267,"Present study (Formol–saline subset)"
"Primate","Macaca  fascicularis",NA,"F",3610,"Martin & MacLarnon (unpublished data collection)",3790,"Present study (Non-Formol–saline subset)",62100,"Martin & MacLarnon (unpublished data collection)",NA,240.3,"Present study (Non-Formol–saline subset)",210.2,"Present study (Non-Formol–saline subset)"
"Primate","Papio  anubis",NA,"M",21750,"Martin & MacLarnon (unpublished data collection)",13231,"Present study (Non-Formol–saline subset)",180900,"Martin & MacLarnon (unpublished data collection)",NA,433,"Present study (Non-Formol–saline subset)",365.65,"Present study (Non-Formol–saline subset)"
"Primate","Papio  hamadryas",NA,"M",17950,"Martin & MacLarnon (unpublished data collection)",9400,"Hopf & Claussen  (1971)",165500,"Martin & MacLarnon (unpublished data collection)",NA,NA,NA,NA,NA
"Primate","Papio  hamadryas",NA,"F",10000,"Martin & MacLarnon (unpublished data collection)",9200,"Hopf & Claussen  (1971)",147300,"Martin & MacLarnon (unpublished data collection)",NA,NA,NA,NA,NA
"Primate","Theropithecus  gelada",NA,"M",19410,"Martin & MacLarnon (unpublished data collection)",12500,"Hopf & Claussen  (1971)",121000,"Martin & MacLarnon (unpublished data collection)",NA,NA,NA,NA,NA
"Primate","Theropithecus  gelada",NA,"F",11690,"Martin & MacLarnon (unpublished data collection)",10200,"Hopf & Claussen  (1971)",114500,"Martin & MacLarnon (unpublished data collection)",NA,NA,NA,NA,NA
"Primate","Pan  troglodytes",NA,"F",34100,"Martin & MacLarnon (unpublished data collection)",16853,"Present study (Formol–saline subset)",374000,"Present study (Formol–saline subset)",NA,405,"Present study (Formol–saline subset)",334.45,"Present study (Formol–saline subset)"
"Primate","Homo  sapiens",NA,"U",60000,"Martin & MacLarnon (unpublished data collection)",29700,"Present study (Non-Formol–saline subset); Krompecher & Lipák (1966); Ravenel (1877)",1273700,"Martin & MacLarnon (unpublished data collection)","M",448,"Present study (Non-Formol–saline subset); Krompecher & Lipák (1966); Ravenel (1877)",367.1,"Present study (Non-Formol–saline subset); Krompecher & Lipák (1966); Ravenel (1877)"
"Primate","Homo  sapiens",NA,"U",60000,"Martin & MacLarnon (unpublished data collection)",29700,"Present study (Non-Formol–saline subset); Krompecher & Lipák (1966); Ravenel (1877)",1273700,"Martin & MacLarnon (unpublished data collection)","F",413,"Present study (Non-Formol–saline subset); Krompecher & Lipák (1966); Ravenel (1877)",367.1,"Present study (Non-Formol–saline subset); Krompecher & Lipák (1966); Ravenel (1877)"
"Cetacean","Lagenorhyncus  obliquidens",NA,"M",93000,"Ridgway et al. (1966)",33300,"Ridgway et al. (1966)",1157000,"Ridgway et al. (1966)",NA,NA,NA,NA,NA
"Cetacean","Lagenorhyncus  obliquidens",NA,"F",79000,"Ridgway et al. (1966)",31000,"Ridgway et al. (1966)",1079000,"Ridgway et al. (1966)",NA,NA,NA,NA,NA
"Cetacean","Phocoenoides  dalli",NA,"F",90000,"Ridgway et al. (1966)",29500,"Ridgway et al. (1966)",776500,"Ridgway et al. (1966)",NA,NA,NA,NA,NA
"Cetacean","Tursiops  truncatus",NA,"M",86000,"Ridgway et al. (1966)",35000,"Ridgway et al. (1966)",1495000,"Ridgway et al. (1966)",NA,NA,NA,NA,NA
"Cetacean","Tursiops  truncatus",NA,"F",70500,"Ridgway et al. (1966)",35300,"Ridgway et al. (1966)",1412000,"Ridgway et al. (1966)",NA,NA,NA,NA,NA
"Rodent","Mus  musculus",NA,"U",19.6,"Krompecher & Lipák  (1966)",85,"Krompecher & Lipák  (1966)",430,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
"Rodent","Rattus  norvegicus","Small","M",213.5,"Krompecher & Lipák  (1966)",530,"Krompecher & Lipák  (1966)",1930,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
"Rodent","Rattus  norvegicus","Small","F",211,"Krompecher & Lipák  (1966)",547,"Krompecher & Lipák  (1966)",1793,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
"Rodent","Rattus  norvegicus","Large","M",273,"Donaldson & Hatai (1911)",715,"Donaldson & Hatai (1911)",2278,"Donaldson & Hatai (1911)",NA,NA,NA,NA,NA
"Rodent","Rattus  norvegicus","Large","F",258,"Donaldson & Hatai (1911)",664,"Donaldson & Hatai (1911)",2164,"Donaldson & Hatai (1911)",NA,NA,NA,NA,NA
"Rodent","Cavia  porcellus",NA,"U",649.4,"Latimer (1950)",1100,"Latimer (1950)",4000,"Latimer (1950)","M",162.98,"Latimer (1950)",NA,"Latimer (1950)"
"Lagomorph","Oryctolagus  cuniculus","Small","M",1972,"Latimer & Sawin (1955)",3945,"Latimer & Sawin (1955)",9265,"Latimer & Sawin (1955)",NA,NA,NA,NA,NA
"Lagomorph","Oryctolagus  cuniculus","Small","F",2480,"Latimer & Sawin (1955)",4537,"Latimer & Sawin (1955)",9755,"Latimer & Sawin (1955)",NA,NA,NA,NA,NA
"Lagomorph","Oryctolagus  cuniculus","Large","M",3352,"Latimer & Sawin (1957)",5781,"Latimer & Sawin (1957)",11711,"Latimer & Sawin (1957)",NA,NA,NA,NA,NA
"Lagomorph","Oryctolagus  cuniculus","Large","F",3579,"Latimer & Sawin (1957)",5940,"Latimer & Sawin (1957)",11557,"Latimer & Sawin (1957)",NA,NA,NA,NA,NA
"Bird","Adapornis  personata",NA,"U",40,"Krompecher & Lipák  (1966)",120,"Krompecher & Lipák  (1966)",1920,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
"Bird","Passer  domesticus",NA,"U",27,"Krompecher & Lipák  (1966)",85,"Krompecher & Lipák  (1966)",1000,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
"Bird","Hirundo  rustica",NA,"U",18,"Krompecher & Lipák  (1966)",80,"Krompecher & Lipák  (1966)",535,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
"Bird","Hirundo  rustica",NA,"U",20,"Krompecher & Lipák  (1966)",75,"Krompecher & Lipák  (1966)",492,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
"Bird","Columba  domestica",NA,"U",335,"Krompecher & Lipák  (1966)",620,"Krompecher & Lipák  (1966)",2030,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
"Bird","Columba  domestica",NA,"U",326,"Krompecher & Lipák  (1966)",575,"Krompecher & Lipák  (1966)",1790,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
"Bird","Gallus  domesticus",NA,"F",1340,"Krompecher & Lipák  (1966)",1554,"Krompecher & Lipák  (1966)",3525,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
"Bird","Gallus  domesticus",NA,"M",1800,"Krompecher & Lipák  (1966)",2175,"Krompecher & Lipák  (1966)",3680,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
"Amphibian","Rana  esculenta",NA,"U",48,"Krompecher & Lipák  (1966)",54,"Krompecher & Lipák  (1966)",117,"Krompecher & Lipák  (1966)",NA,NA,NA,NA,NA
