Species,measure_class,Measure,Units,Value,Value_median,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,value_min,value_max
Abeomelomys sevia,mass,Brain_Mass,g,1.49,1.49,1,1,0,False,Burger,secondary,1.49,1.49
Acinonyx jubatus,mass,Brain_Mass,g,111.0,111.0,1,1,0,False,Burger,secondary,111.0,111.0
Acomys cahirinus,mass,Brain_Mass,g,0.7,0.7,1,1,0,False,Burger,secondary,0.7,0.7
Acomys wilsoni,mass,Brain_Mass,g,0.58,0.58,1,1,0,False,Burger,secondary,0.58,0.58
Acrobates pygmaeus,mass,Brain_Mass,g,0.35,0.35,1,1,0,False,Burger,secondary,0.35,0.35
Addax nasomaculatus,mass,Brain_Mass,g,185.0,185.0,1,1,0,False,Burger,secondary,185.0,185.0
Aepyceros melampus,mass,Brain_Mass,g,175.0,175.0,1,1,0,False,Burger,secondary,175.0,175.0
Aepyprymnus rufescens,mass,Brain_Mass,g,12.3,12.3,1,1,0,False,Burger,secondary,12.3,12.3
Aeromys tephromelas,mass,Brain_Mass,g,10.34,10.34,1,1,0,False,Burger,secondary,10.34,10.34
Aethomys chrysophilus,mass,Brain_Mass,g,1.25,1.25,1,1,0,False,Burger,secondary,1.25,1.25
Aethomys hindei,mass,Brain_Mass,g,1.42,1.42,1,1,0,False,Burger,secondary,1.42,1.42
Ailuropoda melanoleuca,mass,Brain_Mass,g,205.0,205.0,1,1,0,False,Burger,secondary,205.0,205.0
Ailurus fulgens,mass,Brain_Mass,g,46.8,46.8,1,1,0,False,Burger,secondary,46.8,46.8
Akodon azarae,mass,Brain_Mass,g,0.642,0.642,1,1,0,False,Burger,secondary,0.642,0.642
Alcelaphus buselaphus,mass,Brain_Mass,g,284.9,284.9,1,1,0,False,Burger,secondary,284.9,284.9
Alcelaphus lichtensteinii,mass,Brain_Mass,g,357.0,357.0,1,1,0,False,Burger,secondary,357.0,357.0
Alces alces,mass,Brain_Mass,g,436.0,436.0,1,1,0,False,Burger,secondary,436.0,436.0
Alces americanus,mass,Brain_Mass,g,407.0,407.0,1,1,0,False,Burger,secondary,407.0,407.0
Allactaga sibirica,mass,Brain_Mass,g,3.5,3.5,1,1,0,False,Burger,secondary,3.5,3.5
Allenopithecus nigroviridis,mass,Brain_Mass,g,58.021,58.021,1,1,0,False,Burger,secondary,58.021,58.021
Alouatta belzebul,mass,Brain_Mass,g,52.8438,52.8438,1,1,0,False,Burger,secondary,52.8438,52.8438
Alouatta caraya,mass,Brain_Mass,g,55.8,55.8,2,2,1,True,Burger; Zilles,primary; secondary,50.7,55.8
Alouatta guariba,mass,Brain_Mass,g,49.1,49.1,1,1,0,False,Burger,secondary,49.1,49.1
Alouatta macconnelli,mass,Brain_Mass,g,61.3308,61.3308,1,1,0,False,Burger,secondary,61.3308,61.3308
Alouatta palliata,mass,Brain_Mass,g,51.395,51.395,3,2,0,False,Burger; Lewitus,secondary,50.04,52.75
Alouatta pigra,mass,Brain_Mass,g,51.125,51.125,1,1,0,False,Burger,secondary,51.125,51.125
Alouatta sara,mass,Brain_Mass,g,59.0833,59.0833,1,1,0,False,Burger,secondary,59.0833,59.0833
Alouatta seniculus,mass,Brain_Mass,g,51.6,51.6,7,3,1,True,Burger; Lewitus; Stephan_collection,primary; secondary,45.5,54.95
