"Species","Brain_Mass_excl_olfactory_bulb.g","Brain_Mass_from_volume_or_ecv.g","Brain_Mass_mass_or_volume.g","Brain_Mass_measured.g","Brain_size_sum_of_structures.g"
"Callithrix aurita",,,7.2,,
"Callithrix geoffroyi",,,19.9,,
"Callithrix humeralifera",,,8.2,,
"Callithrix jacchus",7.78,,7.73,7.1899,
"Callithrix penicillata",,,7.3,,
"Callithrix pygmaea",,,4.64,4.2625,
"Callithrix sp.",,,7.78,7.5,
"Callorhinus ursinus",,,334.83,328.6,
"Callosciurus caniceps",,,6.02,,
"Callosciurus nigrovittatus",,,4.44,,
"Callosciurus notatus",,,4.91,,
"Callosciurus prevostii",,,6.52,,
"Caluromys derbianus",,,3.4,,
"Caluromys lanatus",,,3.1,,
"Caluromys philander",,,3.5,,
"Camelus bactrianus",,,575,,
"Camelus dromedarius",,,762,762,
"Canis adustus",,,50.8,,
"Canis aureus",,,72.2,,
"Canis latrans",,,84.5,86.235,
"Canis lupus",,,130,111.5267,
"Canis lupus familiaris",,,,52.9258,
"Canis mesomelas",,,54.8,,
"Capra hircus",,,115,105,
"Capra hircus domestica",,,,106,
"Capreolus capreolus",,,92.7,,
"Caracal caracal",,,51.9,55.3,
"Cardioderma cor",,,0.6725,,
"Carollia castanea",,,0.4485,,
"Carollia perspicillata",,,0.5087,,
"Casinycteris argynnis",,,0.8648,,
"Castor canadensis",,,52.21,41.1683,
"Castor fiber",,,44.978,,
"Cat (Felis domestica)",,,,32,
"Catopuma temminckii",,,68.03,,
"Cavia aperea",,,4.04,,
"Cavia porcellus",3.656,,3.656,4,
"Cebus albifrons",,,62.95,77.2333,
"Cebus capucinus",,,70.14,,
"Cebus libidinosus",,,64.6854,,
"Cebus nigritus",,,67.066,,
"Cebus olivaceus",,,72.5,,
"Cebus xanthosternos",,,66.0874,,
"Cephalophus dorsalis",,,92.897,,
"Cephalophus leucogaster",,,93,,
"Cephalophus natalensis",,,84.1,,
"Cephalophus nigrifrons",,,85,,
"Cephalophus silvicultor",,,170,,
"Cephalophus zebra",,,83,,
"Cephalorhynchus commersonii",,,725,,
"Cephalorhynchus heavisidii",,,763,,
"Ceratotherium simum",,,643,,
"Cercartetus caudatus",,,0.71,,
"Cercartetus concinnus",,,0.3,,
"Cercartetus lepidus",,,0.36,,
"Cercartetus nanus",,,0.43,,
"Cercocebus agilis",,,95.3,95.3,
"Cercocebus atys",,,86.8,,
"Cercocebus galeritus",,,99.0704,,
"Cercocebus torquatus",,,105.9883,,
"Cercopithecus albogularis",,,70.0998,,
"Cercopithecus ascanius",,,54.9,66,
"Cercopithecus campbelli",,,54.4,,
"Cercopithecus cephus",,,76,,
"Cercopithecus diana",,,55.2,,
"Cercopithecus doggetti",,,65.3565,,
"Cercopithecus erythrotis",,,65.4,,
"Cercopithecus hamlyni",,,65.9,,
"Cercopithecus lhoesti",,,74.2,,
"Cercopithecus lowei",,,51.2,,
"Cercopithecus mitis",,,75,73.975,
"Cercopithecus mona",,,67,,
"Cercopithecus neglectus",,,60.9,,
"Cercopithecus nictitans",,,71.125,,
"Cercopithecus petaurista",,,55.0766,,
"Cercopithecus pogonias",,,59.5648,,
"Cercopithecus sp.",,,,106,
"Cercopithecus wolfi",,,61.45,,
"Cerdocyon thous",,,49.5,,
"Cerkof monkey (Macacus sinicus)",,,,67.5,
"Cervus canadensis",,,,435,
"Cervus elaphus",,,409.3,,
"Cervus nippon",,,200,,
"Chaerephon jobensis",,,0.36,,
"Chaerephon plicatus",,,0.385,,
"Chaeropus ecaudatus",,,2.4,,
"Chaetodipus baileyi",,,0.7,,
"Chaetodipus californicus",,,0.62,,
