"Species","Brain_Mass_excl_olfactory_bulb.g","Brain_Mass_from_volume_or_ecv.g","Brain_Mass_mass_or_volume.g","Brain_Mass_measured.g","Brain_size_sum_of_structures.g"
"Lagorchestes leporides",,,12.6,,
"Lagostomus maximus",,,12.66,,
"Lagostrophus fasciatus",,,7,,
"Lagothrix cana",,,99.3441,,
"Lagothrix lagothricha",,,89.35,101,
"Lagothrix poeppigii",,,99.23,,
"Lagurus lagurus",,,0.42,,
"Lama glama",,,264.2,216.77,
"Lama glama domesticus",,,,216.7667,
"Lasiorhinus latifrons",,,55.5,,
"Lasiurus borealis",,,0.17,,
"Lavia frons",,,0.644,,
"Lemmus lemmus",,,0.86,,
"Lemmus sibiricus",,,1.49,,
"Lemmus trimucronatus",,,0.9,,
"Lemniscomys striatus",,,0.85,,
"Lemur catta",,,21.63,22.3,
"Leontopithecus chrysomelas",,,11.8427,,
"Leontopithecus rosalia",,,13.05,12.7,
"Leopardus geoffroyi",,,34,,
"Leopardus pardalis",,,63.1,,
"Leopoldamys edwardsi",,,4.81,,
"Leopoldamys sabanus",,,3.98,,
"Leopoldamys siporanus",,,3.39,,
"Lepilemur dorsalis",,,6.7,,
"Lepilemur edwardsi",,,7.25,,
"Lepilemur leucopus",,,6.8697,,
"Lepilemur microdon",,,9.75,,
"Lepilemur mustelinus",,,9.5599,,
"Lepilemur ruficaudatus",,,8.25,7.6,
"Leptailurus serval",,,54.1,,
"Leptonychotes weddellii",,,564.17,,
"Leptonycteris curasoae",,,0.5875,,
"Leptonycteris nivalis",,,0.5855,,
"Lepus americanus",,,9.72,,
"Lepus arcticus",,,15.8,,
"Lepus californicus",,,13.23,,
"Lepus capensis",,,10.78,,
"Lepus europaeus",,,14.35,,
"Lepus nigricollis",,,11.49,,
"Lepus timidus",,,15.1,,
"Liomys irroratus",,,1.06,,
"Liomys pictus",,,0.77,,
"Liomys salvini",,,0.77,,
"Lionycteris spurrelli",,,0.352,,
"Lipotes vexillifer",,,558,558,
"Lissodelphis borealis",,,1162,,
"Lissonycteris angolensis",,,1.762,,
"Litocranius walleri",,,117.5,,
"Lobodon carcinophaga",,,586.25,,
"Lonchophylla mordax",,,0.432,,
"Lonchophylla thomasi",,,0.3435,,
"Lonchorhina aurita",,,0.377,,
"Lonchorhina aurita (PHN)",,,,0.377,
"Lontra canadensis",,,50.5,,
"Lontra felina",,,38.9,,
"Lontra longicaudis",,,57.4,,
"Lophocebus albigena",,,96.8,107.25,
"Lophocebus aterrimus",,,101.5909,,
"Lophuromys flavopunctatus",,,1.01,,
"Lophuromys sikapusi",,,1.13,,
"Loris lydekkerianus",,,6.3,,
"Loris tardigradus",,,6,6.75,
"Loxodonta africana",4618.62,,4618,4835,
"Lutra lutra",,,39,,
"Lutreolina crassicaudata",,,3.41,,
"Lutrogale perspicillata",,,61,,
"Lycalopex culpaeus",,,51.4,,
"Lycalopex griseus",,,42.47,,
"Lycalopex gymnocercus",,,40,,
"Lycaon pictus",,,129,141.5,
"Lynx canadensis",,,69.5,,
"Lynx lynx",,,68.5,,
"Lynx rufus",,,65,,
"Macaca arctoides",,,100.7,,
"Macaca assamensis",,,90.5,,
"Macaca cyclopis",,,82,,
"Macaca fascicularis",46.162,,66.93,47.815,
"Macaca fuscata",,,96.8,109.1,
"Macaca hecki",,,94.6,,
"Macaca leonina",,,85.5981,,
"Macaca maura",,,94.48,83.3,
"Macaca mulatta",87.346,79.1,87.346,81.5854,
"Macaca nemestrina",,,110,36.4,
"Macaca nigra",,,97.5,94.9,
"Macaca ochreata",,,97.98,,
"Macaca radiata",61.47,,61.47,24.9,
"Macaca silenus",,,85,,
"Macaca sinica",,,58.15,,
"Macaca sylvanus",,,87.7,,
"Macaca tonkeana",,,93.7,,
"Macroderma gigas",,,1.7,1.704,
"Macroglossus minimus",,,0.607,,
"Macroglossus sobrinus",,,0.692,,
"Macronycteris commersoni",,,0.7448,,
"Macrophyllum macrophyllum",,,0.321,,
"Macropus agilis",,,33.3,,
"Macropus antilopinus",,,56.8,,
"Macropus dorsalis",,,29.2,,
"Macropus eugenii",,,23.7,23.7,
"Macropus fuliginosus",,,58,64.8,
"Macropus giganteus",,,69.8,,
"Macropus greyi",,,25,,
"Macropus irma",,,24.7,,
"Macropus parryi",,,41.3,,
"Macropus robustus",,,59,,
"Macrotis lagotis",,,6.57,,
"Macrotis leucura",,,4.3,,
"Macrotus californicus",,,0.39,,
"Madoqua kirkii",,,37,,
"Makalata didelphoides",,,3.45,,
"Makalata macrura",,,3.89,,
"Malacomys edwardsi",,,1.18,,
"Mandrillus leucophaeus",,,148,,
"Mandrillus sphinx",,,159.2,158,
"Manis javanica",,,13.7,,
"Manis pentadactyla",,,17.64,,
"Manis tricuspis",,,9.4,,
"Marmosa mexicana",,,1,,
"Marmosa murina",,,1.1,,
"Marmosa robinsoni",,,0.7,,
"Marmosa rubra",,,1.2,,
"Marmot (Arctomys marmota)",,,,13.2,
"Marmota baibacina",,,13.75,,
"Marmota bobak",,,12.56,,
"Marmota broweri",,,13.94,,
"Marmota caligata",,,14.63,,
"Marmota camtschatica",,,12.63,,
"Marmota caudata",,,14.28,,
"Marmota flaviventris",,,12.27,,
"Marmota himalayana",,,16.71,,
"Marmota marmota",,,14.25,,
"Marmota menzbieri",,,11.4,,
"Marmota monax",,,14.185,,
"Marmota olympus",,,15.43,,
"Marmota sibirica",,,13.74,,
"Marmota vancouverensis",,,13.68,,
"Martes americana",,,15.8,,
"Martes flavigula",,,34.12,,
"Martes foina",,,20.9,27,
"Martes martes",,,18,,
"Martes pennanti",,,29,,
"Martes zibellina",,,18.5,,
"Massoutiera mzabi",,,2.32,,
"Mastomys natalensis",,,0.719,,
"Maxomys surifer",,,2.54,,
"Maxomys whiteheadi",,,1.62,,
"Mazama americana",,,56,,
"Megaderma lyra",,,0.8935,,
"Megaderma spasma",,,0.667,,
"Megadontomys thomasi",,,1.26,,
"Megaerops ecaudatus",,,0.8223,,
"Megaerops niphanae",,,0.958,,
"Megaloglossus woermanni",,,0.6795,,
"Megaptera novaeangliae",,,6100,6439,
"Meles meles",,,45.5,,
"Mellivora capensis",,,72.97,,
"Melogale personata",,,61.4,,
"Melomys cervinipes",,,1.31,,
"Melomys rufescens",,,1.29,,
"Melonycteris melanops",,,1.288,,
"Melonycteris woodfordi",,,1.0185,,
"Melopsittacus undulatus",,,,1.3165,
"Melursus ursinus",,,267,,
"Mephitis mephitis",,,10.15,,
"Meriones hurrianae",,,0.97,,
"Meriones unguiculatus",,,1.13,,
"Mesechinus dauuricus",,,2.9,,
"Mesembriomys gouldii",,,4.59,,
"Mesocricetus auratus",0.965,,0.965,1.065,
"Mesomys hispidus",,,2.64,,
"Mesophylla macconnelli",,,0.3445,,
"Mesoplodon densirostris",,,1424.5,1463,
"Mesoplodon europaeus",,,2149,2149,
"Mesoplodon mirus",,,2355,2355,
"Metachirus nudicaudatus",,,3.5,,
"Micaelamys namaquensis",,,0.89,,
"Microcebus murinus",1.799,,1.84,1.78,
"Microcebus rufus",,,1.7164,,
"Microdipodops megacephalus",,,0.56,,
"Microdipodops pallidus",,,0.55,,
"Microgale cowani",,,0.42,0.42,
"Microgale mergulus",,,1.15,1.15,
"Micromys minutus",,,0.29,,
"Micronycteris megalotis",,,0.274,,
"Micronycteris minuta",,,0.286,,
"Micronycteris schmidtorum",,,0.308,,
"Microperoryctes longicauda",,,3.81,,
"Micropotamogale lamottei",,,0.8,0.8,
"Micropteropus pusillus",,,0.82,,
"Microtus agrestis",,,0.74,,
"Microtus arvalis",,,0.55,,
"Microtus californicus",,,0.78,,
"Microtus guentheri",,,0.69,,
"Microtus longicaudus",,,0.7,,
"Microtus montanus",,,0.69,,
"Microtus ochrogaster",,,0.71,,
"Microtus oregoni",,,0.52,,
"Microtus pennsylvanicus",,,0.74,,
"Microtus pinetorum",,,0.56,0.37,
"Microtus townsendii",,,0.88,,
"Mimon crenulatum",,,0.3337,,
"Miniopterus australis",,,0.17,,
"Miniopterus fuscus",,,0.265,,
"Miniopterus inflatus",,,0.3265,,
"Miniopterus magnater",,,0.324,,
"Miniopterus medius",,,0.2712,,
"Miniopterus pusillus",,,0.216,,
"Miniopterus schreibersii",,,0.2703,,
"Miniopterus tristis",,,0.333,,
"Miopithecus ogouensis",,,37.351,,
"Miopithecus talapoin",,,34.8,39.5,
"Mirounga angustirostris",,,670,,
"Mirounga leonina",,,1205,,
"Mirza coquereli",,,5.7959,,
"Molossops temminckii",,,0.181,,
"Molossus molossus",,,0.2847,,
"Monachus monachus",,,480,,
"Monachus schauinslandi",,,370,,
"Monodelphis brevicaudata",,,0.9,,
"Monodelphis domestica",,,,0.79,
"Monodon monoceros",,,2993.7,2997,
"Monophyllus plethodon",,,0.4125,,
"Mops condylurus",,,0.4223,,
"Mops leucostigma",,,0.39,,
"Mops mops",,,0.4725,,
"Mops niveiventer",,,0.432,,
"Mops pumilus",,,0.274,,
"Mormoops megalophylla",,,0.4003,,
"Mormopterus beccarii",,,0.233,,
"Mormopterus jugularis",,,0.22,,
"Moschiola meminna",,,16.93,,
"Mungos mungo",,,10.5,10.5,
"Muntiacus muntjak",,,124.5,,
"Murexechinus melanurus",,,0.65,,
"Murexia longicaudata",,,1.68,,
"Murina cyclotis",,,0.265,,
"Murina huttoni",,,0.258,,
"Murina tubinaris",,,0.217,,
"Mus booduga",,,0.31,,
"Mus musculoides",,,0.96,,
"Mus musculus",0.402,,0.402,0.5623,
"Mus platythrix",,,0.5,,
"Mus sp.",,,,0.5,
"Mustela altaica",,,4.48,,
"Mustela erminea",,,4.57,,
"Mustela frenata",,,4,,
"Mustela lutreola",,,8.5,,
"Mustela lutreolina",,,8.5,,
"Mustela nigripes",,,8.5,,
"Mustela nivalis",,,2,,
"Mustela putorius",,,7.87,10.7,
"Mustela putorius furo",,,,5.226,
"Mustela sibirica",,,6,,
"Mustela vison",,,7,,
"Mydaus javanensis",,,19.49,,
"Mydaus marchei",,,14.87,,
"Myiopsitta monachus",,,,3.4204,
"Myocastor coypus",,,17.09,,
"Myodes gapperi",,,0.56,,
"Myodes glareolus",,,0.52,,
"Myodes rufocanus",,,0.61,,
"Myodes rutilus",,,0.56,,
"Myoictis melas",,,2.05,,
"Myonycteris torquata",,,1.1159,,
"Myopus schisticolor",,,0.56,,
"Myotis adversus",,,0.2545,,
"Myotis albescens",,,0.126,,
"Myotis altarium",,,0.24,,
"Myotis annectans",,,0.221,,
"Myotis bechsteinii",,,0.26,,
"Myotis bocagii",,,0.2,,
"Myotis dasycneme",,,0.31,,
"Myotis daubentonii",,,0.23,,
"Myotis fortidens",,,0.1325,,
"Myotis hasseltii",,,0.188,,
"Myotis horsfieldii",,,0.197,,
"Myotis lucifugus",,,0.1613,,
"Myotis montivagus",,,0.17,,
"Myotis muricola",,,0.125,,
"Myotis myotis",,,0.489,,
"Myotis mystacinus",,,0.1572,,
"Myotis nattereri",,,0.22,,
"Myotis nigricans",,,0.127,,
"Myotis riparius",,,0.173,,
"Myotis siligorensis",,,0.103,,
"Myotis tricolor",,,0.259,,
"Myotis velifer",,,0.2,,
"Myotis yumanensis",,,0.13,,
"Myoxus glis",,,1.9,,
"Myrmecobius fasciatus",,,4.25,,
"Myrmecophaga tridactyla",,,84,76,
"Mystromys albicaudatus",,,1.39,,
"Nandinia binotata",,,17.3,,
"Nanger dama",,,150,,
"Nanger granti",,,139,,
"Napaeozapus insignis",,,0.48,,
"Nasalis larvatus",,,83.8,97,
"Nasua narica",,,44.17,,
"Nasua nasua",,,37.5,,
"Natalus tumidirostris",,,0.245,,
"Neofelis nebulosa",,,68.7,68.3,
"Neofiber alleni",,,2.72,,
"Neomys fodiens",,,0.31,0.32,
"Neophascogale lorentzi",,,2.45,,
"Neophoca cinerea",,,388.75,,
"Neophocaena asiaeorientalis",,,,422,
"Neophocaena phocaenoides",,,468,468,
"Neoromicia flavescens",,,0.19,,
"Neoromicia nanus",,,0.1,,
"Neotoma albigula",,,2.17,,
"Neotoma cinerea",,,2.65,,
"Neotoma floridana",,,3.04,,
"Neotoma fuscipes",,,2.66,,
"Neotoma micropus",,,2.66,,
"Neotragus moschatus",,,32,,
"Nesogale dobsoni",,,0.56,0.56,
"Nesogale talazaci",,,0.79,0.79,
"Nestor notabilis",,,,13.5916,
"Neurotrichus gibbsii",,,0.91,,
"Ningaui ridei",,,0.24,,
"Ningaui yvonnae",,,0.26,,
"Noctilio albiventris",,,0.5735,,
"Noctilio leporinus",,,1.184,,
"Nomascus gabriellae",,,119.375,,
"Notamacropus parma",,,18.7,,
"Notamacropus rufogriseus",,,36,28.2,
"Notiosorex crawfordi",,,0.15,,
"Notomys alexis",,,0.96,,
"Notopteris macdonaldi",,,1.4528,,
"Notoryctes caurinus",,,0.78,,
"Nyctalus noctula",,,0.362,,
"Nyctereutes procyonoides",,,28.5,,
"Nycteris arge",,,0.3557,,
"Nycteris grandis",,,0.7355,,
"Nycteris hispida",,,0.284,,
"Nycteris javanica",,,0.475,,
"Nycteris macrotis",,,0.389,,
"Nycteris nana",,,0.239,,
"Nycteris thebaica",,,0.2785,,
"Nycteris tragata",,,0.476,,
"Nycticebus bengalensis",,,13.5,,
"Nycticebus coucang",,,12.74,10.19,
"Nycticebus pygmaeus",,,7.8,,
"Nyctimene albiventer",,,0.825,,
"Nyctimene robinsoni",,,1.2307,,
"Nyctimene vizcaccia",,,0.988,,
"Nyctomys sumichrasti",,,1.08,,
"Nyctophilus geoffroyi",,,0.167,,
"Nyctophilus timoriensis",,,0.254,,
"Nymphicus hollandicus",,,,2.2053,
"Ochotona hyperborea",,,2.22,,
"Ochotona princeps",,,2.39,,
"Ochotona rufescens",,,2.75,,
"Ochrotomys nuttalli",,,0.7,,
"Octodon degus",,,2.1,,
"Odobenus rosmarus",,,1410.25,,
"Odocoileus hemionus",,,189.3,,
"Odocoileus virginianus",,,210,160,
"Odocoileus virginiatus",,,,160,
"Okapia johnstoni",,,501,,
"Oligoryzomys longicaudatus",,,0.67,,
"Ommatophoca rossii",,,495,,
"Ondatra zibethicus",,,5.03,,
"Onychogalea fraenata",,,14.7,,
"Onychogalea lunata",,,10.2,,
"Onychogalea unguifera",,,16.7,,
"Onychomys leucogaster",,,0.8,,
"Onychomys torridus",,,0.59,,
"Orcinus orca",,,6052,5617,
"Oreotragus oreotragus",,,59.4,,
"Ornithorhynchus anatinus",,,10.08,8.75,
"Orthogeomys cherriei",,,3.47,,
"Orthogeomys heterodus",,,4.31,,
"Orthogeomys hispidus",,,3.98,,
"Orycteropus afer",,,79.5,72,
"Oryctolagus cuniculus",9.132,,7.1,9.785,
"Oryx beisa",,,282,,
"Oryx gazella",,,292,,
"Oryzomys palustris",,,0.88,,
"Oryzorictes hova",,,0.58,0.58,
"Osphranter rufus",,,62.4,,
"Otaria flavescens",,,506.25,,
"Otocyon megalotis",,,26.09,,
"Otolemur crassicaudatus",,,11.7775,10.3,
"Otolemur garnettii",10.15,,11.4958,,
"Otolemur monteiri",,,11.4,,
"Otomops martiensseni",,,0.7555,,
"Otomys angoniensis",,,0.42,,
"Otomys irroratus",,,1.38,,
"Ototylomys phyllotis",,,1.33,,
"Ourebia ourebi",,,58.3,,
"Ovis ammon",,,140,,
"Ovis ammon f. aries",,,,111.7833,
"Ovis ammon musimon",,,,133.025,
"Ovis aries",,,175,118,
"P. cynoceph",,143.3,,,
"Pagophilus groenlandicus",,,275,276,
"Paguma larvata",,,30.9,,
"Pan paniscus",,332.42,329.7,353.3571,
"Pan troglodytes",,,354.81,373.5393,
"Panthera leo",,,259.5,259,
"Panthera onca",,,149,,
"Panthera pardus",,,135,,
"Panthera pardus orientalis",,,,125.5,
"Panthera tigris",,,269.73,,
"Panthera tigris altaica",,,,279.3,
"Papio anubis",,,152.4,187.65,
"Papio cynocephalus",151.194,,151.19,169.1,
"Papio cynocephalus anubis",,,,109.6417,
"Papio hamadryas",,,142,170.55,
"Papio papio",,,142.5,,
"Papio ursinus",,,165,214.4,
"Paracynictis selousi",,,15.8,,
"Paradoxurus hermaphroditus",,,25.95,,
"Paradoxurus zeylonensis",,,17.81,,
"Paraechinus hypomelas",,,2.4,,
"Paramelomys levipes",,,1.86,,
"Paramelomys rubex",,,1.27,,
"Paramurexia rothschildi",,,1.09,,
"Parantechinus apicalis",,,1.2,,
"Paranyctimene raptor",,,0.731,,
"Parascalops breweri",0.759,,,,
"Paraxerus cepapi",,,2.85,,
"Parus major",,,,0.9403,
"Pecari tajacu",,,101.5,,
"Pectinator spekei",,,1.93,,
"Pelea capreolus",,,121,,
"Penthetor lucasi",,,0.9475,,
"Penthetor lucasi (PTN)",,,,0.98,
"Perameles bougainville",,,3.21,,
"Perameles gunnii",,,4.5,,
"Perameles nasuta",,,4.96,,
"Perodicticus potto",,,12.07,12.75,
"Perognathus flavus",,,0.31,,
"Perognathus longimembris",,,0.33,,
"Perognathus parvus",,,0.49,,
"Peromyscus aztecus",,,0.92,,
"Peromyscus boylii",,,0.71,,
"Peromyscus californicus",,,0.91,,
"Peromyscus crinitus",,,0.53,,
"Peromyscus eremicus",,,0.54,,
"Peromyscus gossypinus",,,0.68,,
"Peromyscus grandis",,,1.53,,
"Peromyscus guatemalensis",,,1.16,,
"Peromyscus leucopus",,,0.6,,
"Peromyscus maniculatus",,,0.57,,
"Peromyscus megalops",,,1.12,,
"Peromyscus melanocarpus",,,1.03,,
"Peromyscus melanophrys",,,0.94,,
"Peromyscus melanotis",,,0.63,,
"Peromyscus merriami",,,0.56,,
"Peromyscus mexicanus",,,1.02,,
"Peromyscus polionotus",,,0.42,,
"Peromyscus truei",,,0.75,,
"Peromyscus yucatanicus",,,0.7,,
"Peropteryx macrotis",,,0.1566,,
"Peropteryx trinitatis",,,0.1495,,
"Peroryctes raffrayana",,,6.33,,
"Petaurista elegans",,,7.76,,
"Petaurista petaurista",,,11.77,,
"Petauroides volans",,,4.69,,
"Petaurus abidi",,,3.83,,
"Petaurus australis",,,5.71,,
"Petaurus biacensis",,,1.68,,
"Petaurus breviceps",,,2.09,,
"Petaurus norfolcensis",,,3.02,,
"Petrodromus tetradactylus",2.44,,,,
"Petrogale assimilis",,,17.5,,
"Petrogale brachyotis",,,15.75,,
"Petrogale concinna",,,11,,
"Petrogale godmani",,,18,,
"Petrogale herberti",,,21.2,,
"Petrogale inornata",,,17,,
"Petrogale lateralis",,,19.2,,
"Petrogale mareeba",,,17,,
"Petrogale penicillata",,,23.9,,
"Petrogale persephone",,,21.5,,
"Petrogale xanthopus",,,23,,
"Petropseudes dahli",,,5.038,,
"Phacochoerus aethiopicus",,,125,,
"Phacochoerus africanus",,,132.5,,
"Phalanger carmelitae",,,8.49,,
"Phalanger gymnotis",,,13,,
"Phalanger intercastellanus",,,7.35,,
"Phalanger lullulae",,,6.09,,
"Phalanger mimicus",,,8.13,,
"Phalanger orientalis",,,7.37,,
"Phalanger ornatus",,,7.02,,
"Phalanger rothschildi",,,6.14,,
"Phalanger sericeus",,,9.96,,
"Phalanger vestitus",,,9.54,,
"Phaner electromontis",,,7.2,,
"Phaner furcifer",,,6.47,,
"Phaner pallescens",,,6.6814,,
"Phascogale calura",,,0.91,,
"Phascogale tapoatafa",,,1.81,,
"Phascolarctos cinereus",,,20.2,,
"Phascolosorex dorsalis",,,1.11,,
"Phascomurexia naso",,,0.77,,
"Philander opossum",,,3.83,,
"Philantomba maxwellii",,,38,,
"Philantomba monticola",,,48,,
"Phoca largha",,,253.75,,
"Phoca sp.",,,,187,
"Phoca vitulina",,,315,273.75,
"Phocarctos hookeri",,,393.75,,
"Phocoena phocoena",,,1735,455,
"Phocoena spinipinnis",,,597,,
"Phocoenoides dalli",,,833.67,867,
"Phocoenoides truei",,,,876,
"Phoniscus atrox",,,0.188,,
"Phylloderma stenops",,,1.338,,
"Phyllostomus discolor",,,1.1013,,
"Phyllostomus elongatus",,,0.885,,
"Phyllostomus hastatus",,,1.5318,,
"Physeter catadon",,,,7818,
"Physeter catodon",,,8183,,
"Pica pica",,,,5.4253,
"Pigeon (Columba domest.)",,,,1.91,
"Piliocolobus badius",,,78,76.9625,
"Piliocolobus kirkii",,,57.25,,
"Piliocolobus tephrosceles",,,70.9519,,
"Pipistrellus ceylonicus",,,0.182,,
"Pipistrellus coromandra",,,0.105,,
"Pipistrellus javanicus",,,0.119,,
"Pipistrellus kuhlii",,,0.166,,
"Pipistrellus papuanus",,,0.11,,
"Pipistrellus subflavus",,,0.125,,
"Pipistrellus tenuis",,,0.113,,
"Pith VIII /Sangiran 17",,949.01,,,
"Pithecia irrorata",,,39.5,,
"Pithecia monachus",,,35,35,
"Pithecia pithecia",,,32.6,30,
"Planigale gilesi",,,0.17,,
"Planigale ingrami",,,0.15,,
"Planigale maculata",,,0.2,,
"Planigale novaeguineae",,,0.27,,
"Planigale tenuirostris",,,0.14,,
"Platanista gangetica",,,290.5,295,
"Platanista minor",,,,164,
"Platycercus eximius",,,,2.7159,
"Platyrrhinus brachycephalus",,,0.583,,
"Platyrrhinus helleri",,,0.4897,,
"Platyrrhinus infuscus",,,1.11,,
"Platyrrhinus lineatus",,,0.741,,
"Platyrrhinus vittatus",,,1.175,,
"Plecotus auritus",,,0.238,,
"Podomys floridanus",,,0.94,,
"Poecilogale albinucha",,,4.5,,
"Pogonomys macrourus",,,1.43,,
"Pogonomys sylvestris",,,1.13,,
"Pongo",,433.13,,,
"Pongo pygmaeus",,,341.99,376.6112,
"Pongo sp.",,,389.495,345.9,
"Pontoporia blainvillei",,,,220,
"Potamochoerus porcus",,,138,,
"Potamogale velox",,,4.05,4.12,
"Potorous platyops",,,6.3,,
"Potorous tridactylus",,,9.53,,
"Potos flavus",,,33.08,,
"Praomys daltoni",,,0.68,,
"Praomys morio",,,0.84,,
"Praomys tullbergi",,,0.86,,
"Presbytis chrysomelas",,,72.1121,,
"Presbytis comata",,,80.3,,
"Presbytis femoralis",,,73.7357,,
"Presbytis frontata",,,81.0169,,
"Presbytis hosei",,,60,,
"Presbytis melalophos",,,59.2,,
"Presbytis natunae",,,57.19,,
"Presbytis potenziani",,,57,,
"Presbytis rubicunda",,,71.0151,,
"Presbytis siamensis",,,60.9421,,
"Presbytis thomasi",,,72.9324,,
"Priodontes maximus",,,81,,
"Prionailurus bengalensis",,,29.37,,
"Prionailurus planiceps",,,21.98,,
"Prionailurus rubiginosus",,,18.92,,
"Prionailurus viverrinus",,,46.53,,
"Prionodon linsang",,,8.5,,
"Prionodon pardicolor",,,9.03,,
"Procavia capensis",16.853,,19.47,15.26,
"Procavia sp.",,,4.317,,
"Procolobus verus",,,52.6004,,
"Procyon cancrivorus",,,61.56,,
"Procyon lotor",,,41.07,31.87,
"Proechimys brevicauda",,,2.95,,
"Proechimys guyannensis",2.078,,,,
"Proechimys semispinosus",,,6.87,,
"Profelis aurata",,,57.97,,
"Prolemur simus",,,27.1449,,
"Propithecus coquereli",,,30.1941,,
"Propithecus deckenii",,,30.1512,,
"Propithecus diadema",,,39.7993,,
"Propithecus edwardsi",,,39.5,,
"Propithecus verreauxi",,,26.7,26.7,
"Proteles cristata",,,35.2,,
"Protoxerus stangeri",,,11.33,,
"Psammomys obesus",,,1.3,,
"Pseudantechinus bilarni",,,0.65,,
"Pseudantechinus macdonnellensis",,,0.49,,
"Pseudantechinus roryi",,,0.42,,
"Pseudocheirus peregrinus",,,4.52,,
"Pseudochirops albertisii",,,4.68,,
"Pseudochirops archeri",,,5.87,,
"Pseudochirops corinnae",,,5.36,,
"Pseudochirops coronatus",,,5.13,,
"Pseudochirops cupreus",,,7.54,,
"Pseudochirulus canescens",,,1.8,,
"Pseudochirulus caroli",,,3.2,,
"Pseudochirulus forbesi",,,3.36,,
"Pseudochirulus herbertensis",,,4.32,,
"Pseudochirulus mayeri",,,2.01,,
"Pseudochirulus schlegeli",,,2.8,,
"Pseudomys australis",,,1.16,,
"Pseudomys hermannsburgensis",,,1.08,,
"Pseudorca crassidens",,,4307,4444.5,
"Psittacula eupatria",,,,5.6994,
"Psittacus erithacus",,,,8.8273,
"Pteromyscus pulverulentus",,,3.55,,
"Pteronotus davyi",,,0.32,,
"Pteronotus gymnonotus",,,0.343,,
"Pteronotus parnellii",,,0.5315,,
"Pteronotus personatus",,,0.234,,
"Pteronura brasiliensis",,,85.6,,
"Pteropus alecto",,,7.0397,,
"Pteropus conspicillatus",,,8.35,,
"Pteropus giganteus",,,7.78,9,
"Pteropus hypomelanus",,,5.302,,
"Pteropus lylei",,,6.1297,,
"Pteropus macrotis",,,6.1297,,
"Pteropus mahaganus",,,5.28,,
"Pteropus melanotus",,,10.6,,
"Pteropus neohibernicus",,,9.114,,
"Pteropus poliocephalus",,,7.2298,7.2258,
"Pteropus rufus",,,7.25,,
"Pteropus samoensis",,,5.792,,
"Pteropus scapulatus",,,5.36,,
"Pteropus temminckii",,,4.89,,
"Pteropus tonganus",,,6.075,,
"Pteropus vampyrus",,,9.654,,
"Puma concolor",,,154,,
"Puma yagouaroundi",,,40.9,,
"Pusa caspica",,,162.5,,
"Pusa hispida",,,196.25,,
"Pusa sibirica",,,187.5,,
"Pygathrix nemaeus",,,77,77,
"Pygathrix nigripes",,,82.7476,,
"Rabbit (Race III) (Oryctolagus cuniculus)",,,,11.7,
"Rabbit (Race X) (Oryctolagus cuniculus)",,,,9.1,
"Rangifer tarandus",,,278,252.9,
"Raphicerus campestris",,,51.3,,
"Raphicerus melanotis",,,55,,
"Rattus exulans",,,0.89,,
"Rattus fuscipes",,,1.69,,
"Rattus lutreolus",,,1.64,,
"Rattus morotaiensis",,,1.92,,
"Rattus niobe",,,1.1,,
"Rattus nitidus",,,1.7,,
"Rattus norvegicus",1.724,,1.724,1.6395,
"Rattus sordidus",,,1.7,,
"Rattus sp.",,,,1.79,
"Rattus tunneyi",,,1.41,,
"Rattus verecundus",,,1.48,,
"Ratufa affinis",,,9.85,,
"Ratufa bicolor",,,11.01,,
"Ratufa indica",,,11.4,,
"Redunca arundinum",,,136.8,,
"Redunca fulvorufula",,,109,,
"Redunca redunca",,,123,,
"Regulus regulus",,,,0.3566,
"Reithrodontomys megalotis",,,0.4,,
"Rhabdomys pumilio",,,0.69,,
"Rhinoceros unicornis",,,786,,
"Rhinolophus acuminatus",,,0.302,,
"Rhinolophus affinis",,,0.3475,,
"Rhinolophus capensis",,,0.256,,
"Rhinolophus clivosus",,,0.242,,
"Rhinolophus coelophyllus",,,0.259,,
"Rhinolophus cornutus",,,0.194,,
"Rhinolophus eloquens",,,0.4045,,
"Rhinolophus ferrumequinum",,,0.35,,
"Rhinolophus hildebrandtii",,,0.63,,
"Rhinolophus hipposideros",,,0.1495,,
"Rhinolophus landeri",,,0.276,,
"Rhinolophus lepidus",,,0.1883,,
"Rhinolophus luctus",,,0.5905,,
"Rhinolophus macrotis",,,0.208,,
"Rhinolophus malayanus",,,0.202,,
"Rhinolophus megaphyllus",,,0.2605,,
"Rhinolophus mehelyi",,,0.31,,
"Rhinolophus paradoxolophus",,,0.267,,
"Rhinolophus pearsonii",,,0.332,,
"Rhinolophus pusillus",,,0.164,,
"Rhinolophus robinsoni",,,0.2785,,
"Rhinolophus stheno",,,0.285,,
"Rhinolophus thomasi",,,0.233,,
"Rhinolophus trifoliatus",,,0.351,,
"Rhinolophus yunanensis",,,0.439,,
"Rhinonicteris aurantia",,,0.249,,
"Rhinophylla pumilio",,,0.356,,
"Rhinopithecus roxellana",,,117.757,,
"Rhinopoma hardwickii",,,0.275,,
"Rhinopoma microphyllum",,,0.4035,,
"Rhinosciurus laticaudatus",,,4.28,,
"Rhogeessa parvula",,,0.111,,
"Rhogeessa tumida",,,0.1055,,
"Rhynchocyon cirnei",,,5.9,6.1,
"Rhynchocyon petersi",,,5.4,,
"Rhynchogale melleri",,,16.95,,
