"Species","n_bases","Brain_Mass_excl_olfactory_bulb","Brain_Mass_from_volume_or_ecv","Brain_Mass_mass_or_volume","Brain_Mass_measured","Brain_size_sum_of_structures","ratio_max_over_min","flag"
"Indri indri",2,"","","38.3","36","",1.064,""
"Inia geoffrensis",2,"","","633.645","610","",1.039,""
"Kogia breviceps",2,"","","1019","1012","",1.007,""
"Lagenorhynchus acutus",2,"","","1103.17","1200","",1.088,""
"Lagenorhynchus albirostris",2,"","","1126","1126","",1,""
"Lagenorhynchus obliquidens",2,"","","1136.75","1140","",1.003,""
"Lagothrix lagothricha",2,"","","89.35","101","",1.13,""
"Lama glama",2,"","","264.2","216.77","",1.219,""
"Lemur catta",2,"","","21.63","22.3","",1.031,""
"Leontopithecus rosalia",2,"","","13.05","12.7","",1.028,""
"Lepilemur ruficaudatus",2,"","","8.25","7.6","",1.086,""
"Lipotes vexillifer",2,"","","558","558","",1,""
"Lophocebus albigena",2,"","","96.8","107.25","",1.108,""
"Loris tardigradus",2,"","","6","6.75","",1.125,""
"Loxodonta africana",3,"4618.62","","4618","4835","",1.047,""
"Lycaon pictus",2,"","","129","141.5","",1.097,""
"Macaca fascicularis",3,"46.162","","66.93","47.815","",1.45,""
"Macaca fuscata",2,"","","96.8","109.1","",1.127,""
"Macaca maura",2,"","","94.48","83.3","",1.134,""
"Macaca mulatta",4,"87.346","79.1","87.346","81.5854","",1.104,""
"Macaca nemestrina",2,"","","110","36.4","",3.022,"DISAGREEMENT>2x"
"Macaca nigra",2,"","","97.5","94.9","",1.027,""
"Macaca radiata",3,"61.47","","61.47","24.9","",2.469,"DISAGREEMENT>2x"
"Macroderma gigas",2,"","","1.7","1.704","",1.002,""
"Macropus eugenii",2,"","","23.7","23.7","",1,""
"Macropus fuliginosus",2,"","","58","64.8","",1.117,""
"Mandrillus sphinx",2,"","","159.2","158","",1.008,""
"Martes foina",2,"","","20.9","27","",1.292,""
"Megaptera novaeangliae",2,"","","6100","6439","",1.056,""
"Mesocricetus auratus",3,"0.965","","0.965","1.065","",1.104,""
"Mesoplodon densirostris",2,"","","1424.5","1463","",1.027,""
"Mesoplodon europaeus",2,"","","2149","2149","",1,""
"Mesoplodon mirus",2,"","","2355","2355","",1,""
"Microcebus murinus",3,"1.799","","1.84","1.78","",1.034,""
"Microgale cowani",2,"","","0.42","0.42","",1,""
"Microgale mergulus",2,"","","1.15","1.15","",1,""
"Micropotamogale lamottei",2,"","","0.8","0.8","",1,""
"Microtus pinetorum",2,"","","0.56","0.37","",1.514,""
"Miopithecus talapoin",2,"","","34.8","39.5","",1.135,""
"Monodon monoceros",2,"","","2993.7","2997","",1.001,""
"Mungos mungo",2,"","","10.5","10.5","",1,""
"Mus musculus",3,"0.402","","0.402","0.5623","",1.399,""
"Mustela putorius",2,"","","7.87","10.7","",1.36,""
"Myrmecophaga tridactyla",2,"","","84","76","",1.105,""
"Nasalis larvatus",2,"","","83.8","97","",1.158,""
"Neofelis nebulosa",2,"","","68.7","68.3","",1.006,""
"Neomys fodiens",2,"","","0.31","0.32","",1.032,""
"Neophocaena phocaenoides",2,"","","468","468","",1,""
"Nesogale dobsoni",2,"","","0.56","0.56","",1,""
"Nesogale talazaci",2,"","","0.79","0.79","",1,""
"Notamacropus rufogriseus",2,"","","36","28.2","",1.277,""
"Nycticebus coucang",2,"","","12.74","10.19","",1.25,""
"Odocoileus virginianus",2,"","","210","160","",1.313,""
"Orcinus orca",2,"","","6052","5617","",1.077,""
"Ornithorhynchus anatinus",2,"","","10.08","8.75","",1.152,""
"Orycteropus afer",2,"","","79.5","72","",1.104,""
"Oryctolagus cuniculus",3,"9.132","","7.1","9.785","",1.378,""
"Oryzorictes hova",2,"","","0.58","0.58","",1,""
"Otolemur crassicaudatus",2,"","","11.7775","10.3","",1.143,""
"Otolemur garnettii",2,"10.15","","11.4958","","",1.133,""
"Ovis aries",2,"","","175","118","",1.483,""
"Pagophilus groenlandicus",2,"","","275","276","",1.004,""
"Pan paniscus",3,"","332.42","329.7","353.3571","",1.072,""
"Pan troglodytes",2,"","","354.81","373.5393","",1.053,""
"Panthera leo",2,"","","259.5","259","",1.002,""
"Papio anubis",2,"","","152.4","187.65","",1.231,""
"Papio cynocephalus",3,"151.194","","151.19","169.1","",1.118,""
"Papio hamadryas",2,"","","142","170.55","",1.201,""
"Papio ursinus",2,"","","165","214.4","",1.299,""
"Perodicticus potto",2,"","","12.07","12.75","",1.056,""
"Phoca vitulina",2,"","","315","273.75","",1.151,""
"Phocoena phocoena",2,"","","1735","455","",3.813,"DISAGREEMENT>2x"
"Phocoenoides dalli",2,"","","833.67","867","",1.04,""
"Piliocolobus badius",2,"","","78","76.9625","",1.013,""
"Pithecia monachus",2,"","","35","35","",1,""
"Pithecia pithecia",2,"","","32.6","30","",1.087,""
"Platanista gangetica",2,"","","290.5","295","",1.015,""
"Pongo pygmaeus",2,"","","341.99","376.6112","",1.101,""
"Pongo sp.",2,"","","389.495","345.9","",1.126,""
"Potamogale velox",2,"","","4.05","4.12","",1.017,""
"Procavia capensis",3,"16.853","","19.47","15.26","",1.276,""
"Procyon lotor",2,"","","41.07","31.87","",1.289,""
"Propithecus verreauxi",2,"","","26.7","26.7","",1,""
"Pseudorca crassidens",2,"","","4307","4444.5","",1.032,""
"Pteropus giganteus",2,"","","7.78","9","",1.157,""
"Pteropus poliocephalus",2,"","","7.2298","7.2258","",1.001,""
"Pygathrix nemaeus",2,"","","77","77","",1,""
"Rangifer tarandus",2,"","","278","252.9","",1.099,""
"Rattus norvegicus",3,"1.724","","1.724","1.6395","",1.052,""
"Rhynchocyon cirnei",2,"","","5.9","6.1","",1.034,""
"Saguinus geoffroyi",2,"","","14.27","10.5","",1.359,""
"Saguinus midas",2,"","","9.7839","10.3","",1.053,""
"Saguinus mystax",2,"","","11.1","10.1","",1.099,""
"Saguinus oedipus",2,"","","9.64","9.65","",1.001,""
"Saimiri boliviensis",2,"","","24.06","25.5","",1.06,""
"Saimiri sciureus",3,"30.216","","30.216","22.2173","",1.36,""
"Sapajus apella",2,"52.208","","52.508","","",1.006,""
"Sarcophilus harrisii",2,"","","16.09","15.2","",1.059,""
"Scalopus aquaticus",3,"0.999","","0.999","0.57","",1.753,""
"Sciurus carolinensis",3,"5.548","","7.41","5.817","",1.336,""
"Setifer setosus",2,"","","1.51","1.51","",1,""
"Solenodon paradoxus",2,"","","4.67","4.67","",1,""
"Sorex araneus",2,"","","0.23","0.2","",1.15,""
"Sorex cinereus",2,"","","0.17","0.17","",1,""
"Sorex fumeus",2,"0.176","","0.21","","",1.193,""
"Sorex minutus",2,"","","0.13","0.11","",1.182,""
"Sorex palustris",2,"","","0.31","0.28","",1.107,""
"Sotalia fluviatilis",2,"","","688","688","",1,""
"Spermophilus tridecemlineatus",2,"","","2.27","1.53","",1.484,""
"Stenella coeruleoalba",2,"","","883.75","820","",1.078,""
"Suncus murinus",2,"","","0.39","0.38","",1.026,""
"Sus scrofa",2,"","","64.18","112","",1.745,""
"Sus scrofa domesticus",2,"62.5745","","","137.65","",2.2,"DISAGREEMENT>2x"
"Symphalangus syndactylus",2,"","","134.8","138.7","",1.029,""
"Tachyglossus aculeatus",2,"","","20.73","11","",1.885,""
"Talpa europaea",2,"","","1.4","1.41","",1.007,""
"Tarsius bancanus",2,"","","2.7","3","",1.111,""
"Tarsius syrichta",2,"","","3.3587","3.63","",1.081,""
"Tenrec ecaudatus",2,"","","2.84","2.585","",1.099,""
"Trachypithecus francoisi",2,"","","94.4","102.1","",1.082,""
"Tragelaphus strepsiceros",2,"307.2755","","361","","",1.175,""
"Trichechus manatus",2,"","","364","350","",1.04,""
"Trichosurus vulpecula",2,"","","11","12.5","",1.136,""
"Tupaia glis",3,"2.752","","3.2","2.8233","",1.163,""
"Tupaia minor",2,"","","2.58","2.58","",1,""
"Tursiops truncatus",2,"","","1573","1509.5","",1.042,""
"Urogale everetti",2,"","","4.28","4.28","",1,""
"Ursus arctos",2,"","","335.97","385","",1.146,""
"Ursus maritimus",2,"","","507","472.68","",1.073,""
"Varecia variegata",2,"","","31.2","31.5","",1.01,""
"Vulpes vulpes",2,"","","49.64","45.6283","",1.088,""
"Zalophus californianus",2,"","","405","363","",1.116,""
"Ziphius cavirostris",2,"","","2004","2004","",1,""
