"Species","n_bases","Brain_Mass_excl_olfactory_bulb","Brain_Mass_from_volume_or_ecv","Brain_Mass_mass_or_volume","Brain_Mass_measured","Brain_size_sum_of_structures","ratio_max_over_min","flag"
"Alouatta caraya",2,"","","50.7","55.8","",1.101,""
"Alouatta palliata",2,"","","50.04","52.75","",1.054,""
"Alouatta seniculus",2,"","","45.5","51.5","",1.132,""
"Antidorcas marsupialis",2,"105.081","","135","","",1.285,""
"Aotus trivirgatus",3,"15.73","","15.75","17.0292","",1.083,""
"Atelerix albiventris",2,"","","2.24","2.2865","",1.021,""
"Atelerix algirus",2,"","","3.2","3.4333","",1.073,""
"Ateles geoffroyi",2,"","","104.96","107.2","",1.021,""
"Ateles paniscus",2,"","","108.96","108.5","",1.004,""
"Avahi laniger",2,"","","10.49","9.7717","",1.074,""
"Avahi occidentalis",2,"","","7.95","9.67","",1.216,""
"Axis axis",2,"","","219","219","",1,""
"Balaenoptera acutorostrata",2,"2683.9","","2850","","",1.062,""
"Balaenoptera borealis",2,"","","4900","4900","",1,""
"Balaenoptera musculus",2,"","","3636","3636","",1,""
"Balaenoptera physalus",2,"","","5100","7111.43","",1.394,""
"Bathyergus suillus",2,"","","3.75","","3.78",1.008,""
"Bettongia penicillata",2,"","","9.56","9.6","",1.004,""
"Blarina brevicauda",3,"0.347","","0.34","0.39","",1.147,""
"Bos taurus",2,"","","486","540","",1.111,""
"Callicebus moloch",2,"","","19","17.25","",1.101,""
"Callimico goeldii",2,"","","11.4","11","",1.036,""
"Callithrix jacchus",3,"7.78","","7.73","7.1899","",1.082,""
"Callithrix pygmaea",2,"","","4.64","4.2625","",1.089,""
"Callithrix sp.",2,"","","7.78","7.5","",1.037,""
"Callorhinus ursinus",2,"","","334.83","328.6","",1.019,""
"Camelus dromedarius",2,"","","762","762","",1,""
"Canis latrans",2,"","","84.5","86.235","",1.021,""
"Canis lupus",2,"","","130","111.5267","",1.166,""
"Capra hircus",2,"","","115","105","",1.095,""
"Caracal caracal",2,"","","51.9","55.3","",1.066,""
"Castor canadensis",2,"","","52.21","41.1683","",1.268,""
"Cavia porcellus",3,"3.656","","3.656","4","",1.094,""
"Cebus albifrons",2,"","","62.95","77.2333","",1.227,""
"Cercocebus agilis",2,"","","95.3","95.3","",1,""
"Cercopithecus ascanius",2,"","","54.9","66","",1.202,""
"Cercopithecus mitis",2,"","","75","73.975","",1.014,""
"Cheirogaleus major",2,"","","6.8","6.8","",1,""
"Cheirogaleus medius",2,"","","3.34","3.14","",1.064,""
"Chlorocebus aethiops",2,"","","64.13","36.54","",1.755,""
"Chlorocebus pygerythrus",2,"","","62.5774","71.8","",1.147,""
"Choloepus didactylus",2,"","","28.2","36","",1.277,""
"Chrysochloris asiatica",2,"","","0.7","0.7","",1,""
"Chrysochloris stuhlmanni",2,"","","1.06","0.74","",1.432,""
"Colobus angolensis",2,"","","74.4","74.4","",1,""
"Condylura cristata",3,"0.802","","0.802","1.077","",1.343,""
"Crocidura russula",2,"","","0.19","0.19","",1,""
"Crocuta crocuta",2,"","","175","153.2675","",1.142,""
"Cryptomys hottentotus",2,"","","1.17","","0.85",1.376,""
"Cryptotis parva",2,"","","0.12","0.165","",1.375,""
"Cynictis penicillata",2,"","","10.5","12.51","",1.191,""
"Dasyprocta leporina",2,"","","21.26","17.2","",1.236,""
"Dasypus novemcinctus",2,"","","8.5","7.54","",1.127,""
"Dasyurus hallucatus",2,"","","3.38","4.666","",1.38,""
"Daubentonia madagascariensis",2,"","","45.15","45.15","",1,""
"Delphinapterus leucas",2,"","","1921","2083","",1.084,""
"Delphinus delphis",2,"","","797.26","873","",1.095,""
"Desmana moschata",2,"","","4","4","",1,""
"Didelphis marsupialis",2,"","","6.35","5.736","",1.107,""
"Didelphis virginiana",2,"","","6.72","4.36","",1.541,""
"Dinomys branickii",2,"","","26.95","36.3","",1.347,""
"Echinops telfairi",2,"","","0.62","1.2593","",2.031,"DISAGREEMENT>2x"
"Elephantulus fuscipes",2,"","","1.33","1.33","",1,""
"Elephantulus myurus",3,"1.04","","1.37","1.37","",1.317,""
"Equus burchelli",2,"","","587","520.5","",1.128,""
"Equus caballus",2,"","","693","590","",1.175,""
"Erinaceus europaeus",2,"","","3.23","3.225","",1.002,""
"Erythrocebus patas",2,"","","100.2","108","",1.078,""
"Eschrichtius robustus",2,"","","4316.67","4316.67","",1,""
"Eulemur fulvus",2,"","","25.8","23.3","",1.107,""
"Eulemur macaco",2,"","","22.6","28.3","",1.252,""
"Eulemur mongoz",2,"","","24.03","20.75","",1.158,""
"Felis catus",2,"","","25.6","26.7929","",1.047,""
"Galago senegalensis",2,"","","5.9","3.9233","",1.504,""
"Galagoides demidoff",2,"","","3.38","3.34","",1.012,""
"Galemys pyrenaicus",2,"","","1.33","1.33","",1,""
"Giraffa camelopardalis",3,"534.92","","537","675","",1.262,""
"Globicephala macrorhynchus",2,"","","2466","2886.296","",1.17,""
"Globicephala melas",2,"","","2673","2673","",1,""
"Gorilla gorilla",3,"","313.14","454.55","443.119","",1.452,""
"Grampus griseus",2,"","","2551","2098.084","",1.216,""
"Hapalemur griseus",2,"","","14.1","14.7","",1.043,""
"Heliophobius argenteocinereus",2,"","","1.43","","1.65",1.154,""
"Hemicentetes semispinosus",2,"","","0.83","0.83","",1,""
"Hemiechinus auritus",2,"","","1.9","1.4325","",1.326,""
"Heterocephalus glaber",3,"0.392","","0.52","","0.44",1.327,""
"Hippopotamus amphibius",2,"","","720","590","",1.22,""
"Homo sapiens",3,"1508.91","","1509","1365.0984","",1.105,""
"Hydrochoerus hydrochaeris",2,"74.734","","","63.5","",1.177,""
"Hylobates lar",2,"","","93.99","102.25","",1.088,""
"Hylobates muelleri",2,"","","95.31","101.8","",1.068,""
