"Species","Measure","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Callithrix jacchus","Brain_Mass_measured",10,5,7.1899,1.44,"","Nudo1995(Nudo,primary)=5.48 | Finlay2006(Finlay,primary)=7.90 | Changizi2005(Changizi,primary)=7.78 | Changizi2005(Changizi,primary)=7.78 | Stephan1981(Stephan_collection,primary)=7.60 | Lewitus2014(Lewitus,secondary)=7.61 | Lewitus2013(Lewitus,secondary)=7.61 | Stephan1970(Stephan_collection,primary)=7.60 | Stephan1970(Stephan_collection,primary)=7.60 | Frahm1998(Stephan_collection,secondary)=7.60"
"Pongo pygmaeus","Brain_Mass_measured",10,5,376.6112,1.39,"","Krompecher1966(Krompecher,secondary)=316.00 | deSousa2010(Zilles,primary)=440.00 | deSousa2010(Zilles,primary)=369.00 | deSousa2010(Zilles,primary)=345.00 | Bauernfeind2013(Zilles,primary)=376.00 | Bauernfeind2013(Zilles,primary)=345.00 | deSousa2009(deSousa,secondary)=369.00 | Sherwood2003(Sherwood,secondary)=413.30 | deSousa2013(Zilles,secondary)=384.67 | Lewitus2014(Lewitus,secondary)=347.75"
"Erinaceus europaeus","Brain_Mass_measured",9,6,3.225,1.77,"","Nudo1995(Nudo,primary)=2.26 | Garwicz2009(Garwicz,secondary)=3.50 | Finlay2006(Finlay,primary)=3.29 | Stephan1981(Stephan_collection,primary)=3.35 | Lewitus2014(Lewitus,secondary)=3.50 | Lewitus2013(Lewitus,secondary)=3.50 | Stephan1970(Stephan_collection,primary)=3.35 | Stephan1970(Stephan_collection,primary)=3.35 | Brodmann1913(Brodmann,primary)=4.00"
"Galago senegalensis","Brain_Mass_measured",9,5,3.9233,2,"","Nudo1995(Nudo,primary)=2.40 | Sherwood2003(Sherwood,secondary)=4.80 | Changizi2005(Changizi,primary)=4.57 | Stephan1981(Stephan_collection,primary)=4.80 | Lewitus2014(Lewitus,secondary)=4.80 | Lewitus2013(Lewitus,secondary)=4.80 | Stephan1970(Stephan_collection,primary)=4.80 | Stephan1970(Stephan_collection,primary)=4.80 | Frahm1998(Stephan_collection,secondary)=4.80"
"Saimiri sciureus","Brain_Mass_measured",9,6,22.2173,1.46,"","Karl2024(Karl,primary)=24.90 | Nudo1995(Nudo,primary)=17.04 | Finlay2006(Finlay,primary)=24.00 | Changizi2005(Changizi,primary)=22.48 | Stephan1981(Stephan_collection,primary)=24.00 | Lewitus2014(Lewitus,secondary)=22.98 | Lewitus2013(Lewitus,secondary)=22.98 | Stephan1970(Stephan_collection,primary)=22.00 | Stephan1970(Stephan_collection,primary)=22.00"
"Cebus albifrons","Brain_Mass_measured",8,3,77.2333,1.13,"","Bauernfeind2013(Zilles,primary)=79.80 | Stephan1981(Stephan_collection,primary)=71.00 | Lewitus2014(Lewitus,secondary)=71.23 | Stephan1970(Stephan_collection,primary)=73.00 | Stephan1970(Stephan_collection,primary)=80.00 | Stephan1970(Stephan_collection,primary)=73.00 | Stephan1970(Stephan_collection,primary)=80.00 | Frahm1998(Stephan_collection,secondary)=71.00"
"Felis catus","Brain_Mass_measured",8,6,26.7929,1.63,"","Nudo1995(Nudo,primary)=19.08 | Garwicz2009(Garwicz,secondary)=28.40 | Finlay2006(Finlay,primary)=30.00 | Changizi2005(Changizi,primary)=27.09 | Changizi2005(Changizi,primary)=27.09 | Lewitus2014(Lewitus,secondary)=31.18 | Lewitus2013(Lewitus,secondary)=31.18 | Brodmann1913(Brodmann,primary)=31.00"
"Lophocebus albigena","Brain_Mass_measured",8,3,107.25,1.07,"","Bauernfeind2013(Zilles,primary)=110.50 | Stephan1981(Stephan_collection,primary)=104.00 | deSousa2013(Zilles,secondary)=110.50 | Lewitus2014(Lewitus,secondary)=103.38 | Lewitus2013(Lewitus,secondary)=103.38 | Stephan1970(Stephan_collection,primary)=104.00 | Stephan1970(Stephan_collection,primary)=104.00 | Frahm1998(Stephan_collection,secondary)=104.00"
"Loris tardigradus","Brain_Mass_measured",8,4,6.75,1.05,"","Bauernfeind2013(Zilles,primary)=6.90 | Sherwood2003(Sherwood,secondary)=6.60 | Stephan1981(Stephan_collection,primary)=6.60 | Lewitus2014(Lewitus,secondary)=6.63 | Lewitus2013(Lewitus,secondary)=6.63 | Stephan1970(Stephan_collection,primary)=6.60 | Stephan1970(Stephan_collection,primary)=6.60 | Frahm1998(Stephan_collection,secondary)=6.60"
"Saguinus oedipus","Brain_Mass_measured",8,4,9.65,1.12,"","Jacobs2018(Jacobs,info)=8.90 | Jacobs2018(Jacobs,info)=8.90 | Bauernfeind2013(Zilles,primary)=9.30 | Stephan1981(Stephan_collection,primary)=10.00 | Lewitus2014(Lewitus,secondary)=9.80 | Stephan1970(Stephan_collection,primary)=10.00 | Stephan1970(Stephan_collection,primary)=10.00 | Frahm1998(Stephan_collection,secondary)=10.00"
"Cercopithecus ascanius","Brain_Mass_measured",7,3,66,1.15,"","Jacobs2018(Jacobs,info)=58.40 | Jacobs2018(Jacobs,info)=58.40 | Stephan1981(Stephan_collection,primary)=67.00 | deSousa2013(Zilles,secondary)=61.50 | Stephan1970(Stephan_collection,primary)=65.00 | Stephan1970(Stephan_collection,primary)=65.00 | Frahm1998(Stephan_collection,secondary)=67.00"
"Cercopithecus mitis","Brain_Mass_measured",7,3,73.975,1.13,"","Bauernfeind2013(Zilles,primary)=71.60 | Stephan1981(Stephan_collection,primary)=75.00 | deSousa2013(Zilles,secondary)=73.30 | Lewitus2014(Lewitus,secondary)=67.00 | Stephan1970(Stephan_collection,primary)=76.00 | Stephan1970(Stephan_collection,primary)=76.00 | Frahm1998(Stephan_collection,secondary)=75.00"
"Galagoides demidoff","Brain_Mass_measured",7,3,3.34,1.02,"","Bauernfeind2013(Zilles,primary)=3.30 | Stephan1981(Stephan_collection,primary)=3.38 | Lewitus2014(Lewitus,secondary)=3.35 | Lewitus2013(Lewitus,secondary)=3.35 | Stephan1970(Stephan_collection,primary)=3.38 | Stephan1970(Stephan_collection,primary)=3.38 | Frahm1998(Stephan_collection,secondary)=3.38"
"Indri indri","Brain_Mass_measured",7,3,36,1.14,"","Bauernfeind2013(Zilles,primary)=33.70 | Stephan1981(Stephan_collection,primary)=38.30 | Lewitus2014(Lewitus,secondary)=37.35 | Lewitus2013(Lewitus,secondary)=37.35 | Stephan1970(Stephan_collection,primary)=38.30 | Stephan1970(Stephan_collection,primary)=38.30 | Frahm1998(Stephan_collection,secondary)=38.30"
"Miopithecus talapoin","Brain_Mass_measured",7,3,39.5,1.05,"","Stephan1981(Stephan_collection,primary)=40.00 | deSousa2013(Zilles,secondary)=41.10 | Lewitus2014(Lewitus,secondary)=39.10 | Lewitus2013(Lewitus,secondary)=39.10 | Stephan1970(Stephan_collection,primary)=39.00 | Stephan1970(Stephan_collection,primary)=39.00 | Frahm1998(Stephan_collection,secondary)=40.00"
"Otolemur crassicaudatus","Brain_Mass_measured",7,3,10.3,1.15,"","Sherwood2003(Sherwood,secondary)=11.80 | Stephan1981(Stephan_collection,primary)=10.30 | Lewitus2014(Lewitus,secondary)=10.60 | Lewitus2013(Lewitus,secondary)=10.60 | Stephan1970(Stephan_collection,primary)=10.30 | Stephan1970(Stephan_collection,primary)=10.30 | Frahm1998(Stephan_collection,secondary)=10.30"
"Perodicticus potto","Brain_Mass_measured",7,4,12.75,1.24,"","Bauernfeind2013(Zilles,primary)=11.50 | Sherwood2003(Sherwood,secondary)=14.30 | Stephan1981(Stephan_collection,primary)=14.00 | Lewitus2014(Lewitus,secondary)=13.54 | Lewitus2013(Lewitus,secondary)=13.54 | Stephan1970(Stephan_collection,primary)=14.00 | Stephan1970(Stephan_collection,primary)=14.00"
"Piliocolobus badius","Brain_Mass_measured",7,3,76.9625,1.04,"","Bauernfeind2013(Zilles,primary)=75.00 | Stephan1981(Stephan_collection,primary)=78.00 | deSousa2013(Zilles,secondary)=76.85 | Lewitus2014(Lewitus,secondary)=76.75 | Lewitus2013(Lewitus,secondary)=76.75 | Stephan1970(Stephan_collection,primary)=78.00 | Stephan1970(Stephan_collection,primary)=78.00"
"Tupaia glis","Brain_Mass_measured",7,4,2.8233,1.29,"","Nudo1995(Nudo,primary)=2.48 | Sherwood2003(Sherwood,secondary)=3.20 | Stephan1981(Stephan_collection,primary)=3.20 | Lewitus2014(Lewitus,secondary)=3.03 | Lewitus2013(Lewitus,secondary)=3.03 | Stephan1970(Stephan_collection,primary)=3.15 | Stephan1970(Stephan_collection,primary)=3.15"
"Alouatta seniculus","Brain_Mass_measured",6,3,51.5,1.08,"","Sherwood2003(Sherwood,secondary)=52.00 | Stephan1981(Stephan_collection,primary)=52.00 | Lewitus2014(Lewitus,secondary)=54.95 | Stephan1970(Stephan_collection,primary)=51.00 | Stephan1970(Stephan_collection,primary)=51.00 | Frahm1998(Stephan_collection,secondary)=52.00"
"Avahi laniger","Brain_Mass_measured",6,3,9.7717,1.11,"","Bauernfeind2013(Zilles,primary)=9.60 | Stephan1981(Stephan_collection,primary)=10.49 | Lewitus2014(Lewitus,secondary)=10.65 | Lewitus2013(Lewitus,secondary)=10.65 | Stephan1970(Stephan_collection,primary)=9.67 | Stephan1970(Stephan_collection,primary)=9.67"
"Callicebus moloch","Brain_Mass_measured",6,2,17.25,1.23,"","Stephan1981(Stephan_collection,primary)=19.00 | Lewitus2014(Lewitus,secondary)=19.00 | Lewitus2013(Lewitus,secondary)=19.00 | Stephan1970(Stephan_collection,primary)=15.50 | Stephan1970(Stephan_collection,primary)=15.50 | Frahm1998(Stephan_collection,secondary)=19.00"
"Cheirogaleus major","Brain_Mass_measured",6,2,6.8,1.06,"","Stephan1981(Stephan_collection,primary)=6.80 | Lewitus2014(Lewitus,secondary)=6.43 | Lewitus2013(Lewitus,secondary)=6.43 | Stephan1970(Stephan_collection,primary)=6.80 | Stephan1970(Stephan_collection,primary)=6.80 | Frahm1998(Stephan_collection,secondary)=6.80"
"Daubentonia madagascariensis","Brain_Mass_measured",6,3,45.15,1.01,"","Sherwood2003(Sherwood,secondary)=45.20 | Stephan1981(Stephan_collection,primary)=45.15 | Lewitus2014(Lewitus,secondary)=44.89 | Lewitus2013(Lewitus,secondary)=44.89 | Stephan1970(Stephan_collection,primary)=45.15 | Stephan1970(Stephan_collection,primary)=45.15"
"Erythrocebus patas","Brain_Mass_measured",6,4,108,1.15,"","Sherwood2003(Sherwood,secondary)=106.60 | Stephan1981(Stephan_collection,primary)=108.00 | deSousa2013(Zilles,secondary)=94.20 | Lewitus2014(Lewitus,secondary)=105.65 | Lewitus2013(Lewitus,secondary)=105.65 | Frahm1998(Stephan_collection,secondary)=108.00"
"Lagothrix lagothricha","Brain_Mass_measured",6,3,101,1.06,"","Sherwood2003(Sherwood,secondary)=101.00 | Stephan1981(Stephan_collection,primary)=101.00 | Lewitus2014(Lewitus,secondary)=95.58 | Lewitus2013(Lewitus,secondary)=95.58 | Stephan1970(Stephan_collection,primary)=101.00 | Stephan1970(Stephan_collection,primary)=101.00"
"Microcebus murinus","Brain_Mass_measured",6,2,1.78,1.04,"","Stephan1981(Stephan_collection,primary)=1.78 | Lewitus2014(Lewitus,secondary)=1.85 | Lewitus2013(Lewitus,secondary)=1.85 | Stephan1970(Stephan_collection,primary)=1.78 | Stephan1970(Stephan_collection,primary)=1.78 | Frahm1998(Stephan_collection,secondary)=1.78"
"Nycticebus coucang","Brain_Mass_measured",6,3,10.19,1.59,"","Nudo1995(Nudo,primary)=7.88 | Stephan1981(Stephan_collection,primary)=12.50 | Lewitus2014(Lewitus,secondary)=11.73 | Lewitus2013(Lewitus,secondary)=11.73 | Stephan1970(Stephan_collection,primary)=12.50 | Stephan1970(Stephan_collection,primary)=12.50"
"Ovis ammon f. aries","Brain_Mass_measured",6,1,111.7833,1.25,"","Ebinger1974(Ebinger,primary)=125.00 | Ebinger1974(Ebinger,primary)=120.00 | Ebinger1974(Ebinger,primary)=113.90 | Ebinger1974(Ebinger,primary)=102.40 | Ebinger1974(Ebinger,primary)=109.60 | Ebinger1974(Ebinger,primary)=99.80"
"Propithecus verreauxi","Brain_Mass_measured",6,3,26.7,1.01,"","Sherwood2003(Sherwood,secondary)=26.70 | Stephan1981(Stephan_collection,primary)=26.70 | Lewitus2014(Lewitus,secondary)=26.90 | Lewitus2013(Lewitus,secondary)=26.90 | Stephan1970(Stephan_collection,primary)=26.70 | Stephan1970(Stephan_collection,primary)=26.70"
"Saguinus midas","Brain_Mass_measured",6,2,10.3,1.02,"","Stephan1981(Stephan_collection,primary)=10.30 | Lewitus2014(Lewitus,secondary)=10.50 | Lewitus2013(Lewitus,secondary)=10.50 | Stephan1970(Stephan_collection,primary)=10.30 | Stephan1970(Stephan_collection,primary)=10.30 | Frahm1998(Stephan_collection,secondary)=10.30"
"Varecia variegata","Brain_Mass_measured",6,3,31.5,1.58,"","Bauernfeind2013(Zilles,primary)=31.50 | Stephan1981(Stephan_collection,primary)=31.50 | Lewitus2014(Lewitus,secondary)=49.83 | Lewitus2013(Lewitus,secondary)=49.83 | Stephan1970(Stephan_collection,primary)=31.50 | Stephan1970(Stephan_collection,primary)=31.50"
"Callithrix pygmaea","Brain_Mass_measured",5,3,4.2625,1.1,"","Jacobs2018(Jacobs,info)=4.10 | Jacobs2018(Jacobs,info)=4.10 | Bauernfeind2013(Zilles,primary)=4.20 | Stephan1981(Stephan_collection,primary)=4.50 | Frahm1998(Stephan_collection,secondary)=4.15"
"Cheirogaleus medius","Brain_Mass_measured",5,2,3.14,1.04,"","Stephan1981(Stephan_collection,primary)=3.14 | Lewitus2014(Lewitus,secondary)=3.01 | Lewitus2013(Lewitus,secondary)=3.01 | Stephan1970(Stephan_collection,primary)=3.14 | Stephan1970(Stephan_collection,primary)=3.14"
"Echinops telfairi","Brain_Mass_measured",5,3,1.2593,4.09,"DISAGREEMENT>2x","Finlay2006(Finlay,primary)=0.62 | Changizi2005(Changizi,primary)=2.54 | Stephan1981(Stephan_collection,primary)=0.62 | Stephan1970(Stephan_collection,primary)=0.62 | Stephan1970(Stephan_collection,primary)=0.62"
"Eulemur fulvus","Brain_Mass_measured",5,2,23.3,1.21,"","Stephan1981(Stephan_collection,primary)=23.30 | Lewitus2014(Lewitus,secondary)=28.10 | Lewitus2013(Lewitus,secondary)=28.10 | Stephan1970(Stephan_collection,primary)=23.30 | Stephan1970(Stephan_collection,primary)=23.30"
"Lepilemur ruficaudatus","Brain_Mass_measured",5,2,7.6,1.01,"","Stephan1981(Stephan_collection,primary)=7.60 | Lewitus2014(Lewitus,secondary)=7.50 | Lewitus2013(Lewitus,secondary)=7.50 | Stephan1970(Stephan_collection,primary)=7.60 | Stephan1970(Stephan_collection,primary)=7.60"
"Macaca fascicularis","Brain_Mass_measured",5,4,47.815,1.82,"","Nudo1995(Nudo,primary)=38.03 | deSousa2010(Zilles,primary)=57.60 | deSousa2009(deSousa,secondary)=58.00 | Sherwood2003(Sherwood,secondary)=69.20 | deSousa2013(Zilles,secondary)=57.60"
"Mus musculus","Brain_Mass_measured",5,5,0.5623,2,"","Karl2024(Karl,primary)=0.40 | Garwicz2009(Garwicz,secondary)=0.45 | Changizi2005(Changizi,primary)=0.49 | Lewitus2014(Lewitus,secondary)=0.55 | Brodmann1913(Brodmann,primary)=0.80"
"Panthera leo","Brain_Mass_measured",5,3,259,110.61,"DISAGREEMENT>2x","Jacobs2018(Jacobs,info)=223.50 | Jacobs2018(Jacobs,info)=223.50 | Lewitus2014(Lewitus,secondary)=247.21 | Lewitus2013(Lewitus,secondary)=24721.00 | Brodmann1913(Brodmann,primary)=259.00"
"Papio anubis","Brain_Mass_measured",5,4,187.65,1.18,"","Karl2024(Karl,primary)=174.30 | Sherwood2003(Sherwood,secondary)=175.10 | Stephan1981(Stephan_collection,primary)=201.00 | deSousa2013(Zilles,secondary)=206.50 | Frahm1998(Stephan_collection,secondary)=201.00"
"Procyon lotor","Brain_Mass_measured",5,3,31.87,1.26,"","Jacobs2018(Jacobs,info)=40.00 | Jacobs2018(Jacobs,info)=40.00 | Nudo1995(Nudo,primary)=31.87 | Lewitus2014(Lewitus,secondary)=40.02 | Lewitus2013(Lewitus,secondary)=40.02"
"Rattus norvegicus","Brain_Mass_measured",5,4,1.6395,1.6,"","Nudo1995(Nudo,primary)=1.50 | Garwicz2009(Garwicz,secondary)=2.00 | Changizi2005(Changizi,primary)=1.78 | Changizi2005(Changizi,primary)=1.78 | Lewitus2014(Lewitus,secondary)=2.41"
"Sorex araneus","Brain_Mass_measured",5,2,0.2,1,"","Stephan1981(Stephan_collection,primary)=0.20 | Lewitus2014(Lewitus,secondary)=0.20 | Lewitus2013(Lewitus,secondary)=0.20 | Stephan1970(Stephan_collection,primary)=0.20 | Stephan1970(Stephan_collection,primary)=0.20"
"Talpa europaea","Brain_Mass_measured",5,3,1.41,1.76,"","Stephan1981(Stephan_collection,primary)=1.02 | Lewitus2014(Lewitus,secondary)=1.02 | Stephan1970(Stephan_collection,primary)=1.02 | Stephan1970(Stephan_collection,primary)=1.02 | Brodmann1913(Brodmann,primary)=1.80"
"Ateles geoffroyi","Brain_Mass_measured",4,2,107.2,1.02,"","Bauernfeind2013(Zilles,primary)=106.40 | Stephan1981(Stephan_collection,primary)=108.00 | Stephan1970(Stephan_collection,primary)=108.00 | Stephan1970(Stephan_collection,primary)=108.00"
"Callimico goeldii","Brain_Mass_measured",4,2,11,1,"","Stephan1981(Stephan_collection,primary)=11.00 | Lewitus2014(Lewitus,secondary)=10.95 | Lewitus2013(Lewitus,secondary)=10.95 | Frahm1998(Stephan_collection,secondary)=11.00"
"Crocidura flavescens","Brain_Mass_measured",4,2,0.44,1.07,"","Stephan1981(Stephan_collection,primary)=0.44 | Lewitus2014(Lewitus,secondary)=0.41 | Stephan1970(Stephan_collection,primary)=0.44 | Stephan1970(Stephan_collection,primary)=0.44"
"Dasypus novemcinctus","Brain_Mass_measured",4,3,7.54,1.59,"","Nudo1995(Nudo,primary)=7.54 | Garwicz2009(Garwicz,secondary)=12.00 | Lewitus2014(Lewitus,secondary)=10.75 | Lewitus2013(Lewitus,secondary)=10.75"
"Elephantulus fuscipes","Brain_Mass_measured",4,2,1.33,1,"","Stephan1981(Stephan_collection,primary)=1.33 | Lewitus2014(Lewitus,secondary)=1.33 | Stephan1970(Stephan_collection,primary)=1.33 | Stephan1970(Stephan_collection,primary)=1.33"
"Equus caballus","Brain_Mass_measured",4,3,590,1.22,"","Garwicz2009(Garwicz,secondary)=585.00 | Lewitus2014(Lewitus,secondary)=712.00 | Lewitus2013(Lewitus,secondary)=712.00 | Brodmann1913(Brodmann,primary)=590.00"
"Galemys pyrenaicus","Brain_Mass_measured",4,2,1.33,1,"","Stephan1981(Stephan_collection,primary)=1.33 | Lewitus2014(Lewitus,secondary)=1.33 | Stephan1970(Stephan_collection,primary)=1.33 | Stephan1970(Stephan_collection,primary)=1.33"
"Mustela putorius","Brain_Mass_measured",4,3,10.7,1.3,"","Jacobs2018(Jacobs,info)=8.30 | Jacobs2018(Jacobs,info)=8.30 | Lewitus2014(Lewitus,secondary)=8.25 | Brodmann1913(Brodmann,primary)=10.70"
"Neomys fodiens","Brain_Mass_measured",4,2,0.32,1,"","Stephan1981(Stephan_collection,primary)=0.32 | Lewitus2014(Lewitus,secondary)=0.32 | Stephan1970(Stephan_collection,primary)=0.32 | Stephan1970(Stephan_collection,primary)=0.32"
"Oryctolagus cuniculus","Brain_Mass_measured",4,3,9.785,1.85,"","Nudo1995(Nudo,primary)=7.57 | Lewitus2014(Lewitus,secondary)=6.50 | Lewitus2013(Lewitus,secondary)=6.50 | Brodmann1913(Brodmann,primary)=12.00"
"Ovis ammon musimon","Brain_Mass_measured",4,1,133.025,1.02,"","Ebinger1974(Ebinger,primary)=135.00 | Ebinger1974(Ebinger,primary)=132.40 | Ebinger1974(Ebinger,primary)=132.50 | Ebinger1974(Ebinger,primary)=132.20"
"Pithecia monachus","Brain_Mass_measured",4,1,35,1,"","Stephan1981(Stephan_collection,primary)=35.00 | Stephan1970(Stephan_collection,primary)=35.00 | Stephan1970(Stephan_collection,primary)=35.00 | Frahm1998(Stephan_collection,secondary)=35.00"
"Potamogale velox","Brain_Mass_measured",4,2,4.12,1.07,"","Stephan1981(Stephan_collection,primary)=4.16 | Lewitus2014(Lewitus,secondary)=3.88 | Stephan1970(Stephan_collection,primary)=4.10 | Stephan1970(Stephan_collection,primary)=4.10"
"Procavia capensis","Brain_Mass_measured",4,3,15.26,1.54,"","Karl2024(Karl,primary)=18.10 | Nudo1995(Nudo,primary)=12.42 | Lewitus2014(Lewitus,secondary)=19.17 | Lewitus2013(Lewitus,secondary)=19.17"
"Pteropus poliocephalus","Brain_Mass_measured",4,3,7.2258,1,"","Finlay2006(Finlay,primary)=7.23 | Sherwood2003(Sherwood,secondary)=7.20 | Changizi2005(Changizi,primary)=7.22 | Changizi2005(Changizi,primary)=7.22"
"Pygathrix nemaeus","Brain_Mass_measured",4,3,77,1.23,"","Stephan1981(Stephan_collection,primary)=77.00 | deSousa2013(Zilles,secondary)=69.00 | Lewitus2014(Lewitus,secondary)=84.83 | Lewitus2013(Lewitus,secondary)=84.83"
"Sciurus carolinensis","Brain_Mass_measured",4,3,5.817,1.32,"","Nudo1995(Nudo,primary)=4.93 | Finlay2006(Finlay,primary)=6.00 | Changizi2005(Changizi,primary)=6.52 | Changizi2005(Changizi,primary)=6.52"
"Sorex minutus","Brain_Mass_measured",4,2,0.11,1,"","Stephan1981(Stephan_collection,primary)=0.11 | Lewitus2014(Lewitus,secondary)=0.11 | Stephan1970(Stephan_collection,primary)=0.11 | Stephan1970(Stephan_collection,primary)=0.11"
"Tarsius syrichta","Brain_Mass_measured",4,3,3.63,1.1,"","Sherwood2003(Sherwood,secondary)=4.00 | Lewitus2014(Lewitus,secondary)=3.83 | Stephan1970(Stephan_collection,primary)=3.63 | Stephan1970(Stephan_collection,primary)=3.63"
"Tenrec ecaudatus","Brain_Mass_measured",4,2,2.585,1.01,"","Stephan1981(Stephan_collection,primary)=2.57 | Stephan1970(Stephan_collection,primary)=2.57 | Stephan1970(Stephan_collection,primary)=2.57 | Brodmann1913(Brodmann,primary)=2.60"
"Tupaia belangeri","Brain_Mass_measured",4,3,2.806,1.26,"","Garwicz2009(Garwicz,secondary)=3.15 | Finlay2006(Finlay,primary)=2.50 | Changizi2005(Changizi,primary)=3.11 | Changizi2005(Changizi,primary)=3.11"
"Antidorcas marsupialis","Brain_Mass_excl_olfactory_bulb",3,2,105.081,1.04,"","HerculanoHouzel2015(HerculanoHouzel,primary)=106.07 | Kazu2014(Kazu,primary)=102.10 | Kazu2015(Kazu,primary)=106.07"
"Atelerix algirus","Brain_Mass_measured",3,1,3.4333,1.11,"","Stephan1981(Stephan_collection,primary)=3.20 | Stephan1970(Stephan_collection,primary)=3.55 | Stephan1970(Stephan_collection,primary)=3.55"
"Avahi occidentalis","Brain_Mass_measured",3,2,9.67,1,"","Stephan1981(Stephan_collection,primary)=9.67 | Lewitus2014(Lewitus,secondary)=9.69 | Lewitus2013(Lewitus,secondary)=9.69"
"Bos taurus","Brain_Mass_measured",3,3,540,1.18,"","Garwicz2009(Garwicz,secondary)=456.00 | Lewitus2013(Lewitus,secondary)=462.00 | Brodmann1913(Brodmann,primary)=540.00"
"Choloepus didactylus","Brain_Mass_measured",3,2,36,10,"DISAGREEMENT>2x","Karl2024(Karl,primary)=36.00 | Lewitus2014(Lewitus,secondary)=7.70 | Lewitus2013(Lewitus,secondary)=77.00"
"Chrysochloris stuhlmanni","Brain_Mass_measured",3,1,0.74,1,"","Stephan1981(Stephan_collection,primary)=0.74 | Stephan1970(Stephan_collection,primary)=0.74 | Stephan1970(Stephan_collection,primary)=0.74"
"Crocidura russula","Brain_Mass_measured",3,1,0.19,1,"","Stephan1981(Stephan_collection,primary)=0.19 | Stephan1970(Stephan_collection,primary)=0.19 | Stephan1970(Stephan_collection,primary)=0.19"
"Damaliscus pygargus phillipsi","Brain_Mass_excl_olfactory_bulb",3,2,154.805,1,"","HerculanoHouzel2015(HerculanoHouzel,primary)=154.72 | Kazu2014(Kazu,primary)=155.07 | Kazu2015(Kazu,primary)=154.72"
"Desmana moschata","Brain_Mass_measured",3,1,4,1,"","Stephan1981(Stephan_collection,primary)=4.00 | Stephan1970(Stephan_collection,primary)=4.00 | Stephan1970(Stephan_collection,primary)=4.00"
"Didelphis marsupialis","Brain_Mass_measured",3,2,5.736,1.22,"","Finlay2006(Finlay,primary)=6.30 | Changizi2005(Changizi,primary)=5.17 | Changizi2005(Changizi,primary)=5.17"
"Didelphis virginiana","Brain_Mass_measured",3,2,4.36,1.54,"","Nudo1995(Nudo,primary)=4.36 | Lewitus2014(Lewitus,secondary)=6.72 | Lewitus2013(Lewitus,secondary)=6.72"
"Giraffa camelopardalis","Brain_Mass_excl_olfactory_bulb",3,2,534.92,1.02,"","HerculanoHouzel2015(HerculanoHouzel,primary)=537.22 | Kazu2014(Kazu,primary)=528.03 | Kazu2015(Kazu,primary)=537.22"
"Hemicentetes semispinosus","Brain_Mass_measured",3,1,0.83,1,"","Stephan1981(Stephan_collection,primary)=0.83 | Stephan1970(Stephan_collection,primary)=0.83 | Stephan1970(Stephan_collection,primary)=0.83"
"Lemur catta","Brain_Mass_measured",3,3,22.3,1.15,"","Karl2024(Karl,primary)=22.30 | Sherwood2003(Sherwood,secondary)=25.60 | Lewitus2014(Lewitus,secondary)=23.05"
"Leontopithecus rosalia","Brain_Mass_measured",3,2,12.7,1.01,"","Jacobs2018(Jacobs,info)=12.80 | Jacobs2018(Jacobs,info)=12.80 | Bauernfeind2013(Zilles,primary)=12.70"
"Loxodonta africana","Brain_Mass_measured",3,3,4835,1.17,"","Karl2024(Karl,primary)=4835.00 | Garwicz2009(Garwicz,secondary)=4480.00 | Lewitus2014(Lewitus,secondary)=5253.56"
"Microgale mergulus","Brain_Mass_measured",3,1,1.15,1,"","Stephan1981(Stephan_collection,primary)=1.15 | Stephan1970(Stephan_collection,primary)=1.15 | Stephan1970(Stephan_collection,primary)=1.15"
"Mustela putorius furo","Brain_Mass_measured",3,3,5.226,1.58,"","Garwicz2009(Garwicz,secondary)=7.10 | Changizi2005(Changizi,primary)=5.23 | Lewitus2013(Lewitus,secondary)=8.25"
"Nasalis larvatus","Brain_Mass_measured",3,2,97,1.51,"","Stephan1981(Stephan_collection,primary)=97.00 | deSousa2013(Zilles,secondary)=64.25 | Frahm1998(Stephan_collection,secondary)=97.00"
"Nesogale talazaci","Brain_Mass_measured",3,1,0.79,1,"","Stephan1981(Stephan_collection,primary)=0.79 | Stephan1970(Stephan_collection,primary)=0.79 | Stephan1970(Stephan_collection,primary)=0.79"
"Ovis aries","Brain_Mass_measured",3,3,118,1.19,"","Garwicz2009(Garwicz,secondary)=140.00 | Lewitus2014(Lewitus,secondary)=125.00 | Brodmann1913(Brodmann,primary)=118.00"
"Papio hamadryas","Brain_Mass_measured",3,2,170.55,1.14,"","Jacobs2018(Jacobs,info)=159.10 | Jacobs2018(Jacobs,info)=159.10 | Lewitus2014(Lewitus,secondary)=182.00"
"Phocoena phocoena","Brain_Mass_measured",3,3,455,1.18,"","Manger2006(Manger,secondary)=477.00 | Lewitus2014(Lewitus,secondary)=537.00 | Brodmann1913(Brodmann,primary)=455.00"
"Rattus norvegicus","Brain_Mass_mass_or_volume",3,2,1.724,5.74,"DISAGREEMENT>2x","Burger2019(Burger,secondary)=1.40 | Burger2019(Burger,secondary)=8.03 | HerculanoHouzel2015(HerculanoHouzel,primary)=1.72"
"Rhynchocyon cirnei","Brain_Mass_measured",3,1,6.1,1,"","Stephan1981(Stephan_collection,primary)=6.10 | Stephan1970(Stephan_collection,primary)=6.10 | Stephan1970(Stephan_collection,primary)=6.10"
