"Species","Measure","n_sources","n_teams","pooled_g","spread_max_over_min","flag","per_source"
"Homo sapiens","Brain_Mass_mass_or_volume",2,2,1509,1.21,"","Burger2019(Burger,secondary)=1250.43 | HerculanoHouzel2015(HerculanoHouzel,primary)=1509.00"
"Hydrochoerus hydrochaeris","Brain_Mass_measured",2,1,63.5,1,"","Lewitus2014(Lewitus,secondary)=63.50 | Lewitus2013(Lewitus,secondary)=63.50"
"Hylobates muelleri","Brain_Mass_measured",2,1,101.8,1,"","Bauernfeind2013(Zilles,primary)=101.80 | deSousa2013(Zilles,secondary)=101.80"
"Loxodonta africana","Brain_Mass_mass_or_volume",2,2,4618,1.18,"","Burger2019(Burger,secondary)=5436.40 | HerculanoHouzel2015(HerculanoHouzel,primary)=4618.00"
"Lycaon pictus","Brain_Mass_measured",2,1,141.5,1,"","Jacobs2018(Jacobs,info)=141.50 | Jacobs2018(Jacobs,info)=141.50"
"Macaca mulatta","Brain_Mass_mass_or_volume",2,2,87.346,1.01,"","Burger2019(Burger,secondary)=87.99 | HerculanoHouzel2015(HerculanoHouzel,primary)=87.35"
"Macaca radiata","Brain_Mass_mass_or_volume",2,2,61.47,1.13,"","Burger2019(Burger,secondary)=69.40 | HerculanoHouzel2015(HerculanoHouzel,primary)=61.47"
"Macaca radiata","Brain_Mass_measured",2,1,24.9,1.01,"","Turner2016(Turner,info)=25.00 | Turner2016(Turner,info)=24.80"
"Macropus fuliginosus","Brain_Mass_measured",2,1,64.8,1,"","Lewitus2014(Lewitus,secondary)=64.80 | Lewitus2013(Lewitus,secondary)=64.80"
"Mandrillus sphinx","Brain_Mass_measured",2,2,158,1.01,"","Lewitus2014(Lewitus,secondary)=159.40 | Brodmann1913(Brodmann,primary)=158.00"
"Mesocricetus auratus","Brain_Mass_mass_or_volume",2,2,0.965,1.04,"","Burger2019(Burger,secondary)=1.00 | HerculanoHouzel2015(HerculanoHouzel,primary)=0.96"
"Mesocricetus auratus","Brain_Mass_measured",2,2,1.065,1.11,"","Garwicz2009(Garwicz,secondary)=1.12 | Lewitus2014(Lewitus,secondary)=1.01"
