"Species","Measure","Units","Value_g","raw_value","raw_unit","Source","first_author","Year","Team","role","paper","column","poolable_group","basis","measure_emitted"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1890,"1890","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1890,"1890","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1890,"1890","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1200,"1200","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1200,"1200","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1200,"1200","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1500,"1500","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1500,"1500","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1500,"1500","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Hylobates lar","Brain_Mass","g",101.9,"101.9","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Gorilla gorilla","Brain_Mass","g",540,"540","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Pan troglodytes","Brain_Mass","g",405.5,"405.5","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
"Homo sapiens","Brain_Mass","g",1500,"1500","g","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Armstrong","1979","Armstrong","secondary","Armstrong__1979","brain_mass_g","mass_measured","mass_fresh_or_fixed_mixed","Brain_Mass_measured"
