record_id,Species,Species_printed,Compilation,Table,source_row,source_snapshot_row,Region,Region_raw,Subregion_raw,Measure,measure_class,Value_raw,Units_raw,Value,SD,n,Units,conscious,condition_group,include_in_primary_merge,source_granularity,arm_identity_status,arm_ambiguity_group_id,derivation_role,exclusion_reason,primary_reference_ids,primary_references,primary_reference_raw,source_reference_ids,source_references,source_reference_levels,source_reference_types,reference_resolution_status,ref_raw,ref_keys_str
1,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,82,82,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,40,mL/100g/min,40.0,,7.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,michenfelder1974,"(Michenfelder, 1974)","(Michenfelder, 1974)",michenfelder1974,"(Michenfelder, 1974)",primary,journal_article,resolved,"(Michenfelder, 1974)",michenfelder1974
2,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,83,83,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,50.9,mL/100g/min,50.9,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,roald1986,"(Roald etal., 1986a)","(Roald etal., 1986a)",roald1986,"(Roald etal., 1986a)",primary,journal_article,resolved,"(Roald etal., 1986a)",roald1986
3,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,84,84,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,45.6,mL/100g/min,45.6,,13.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,zimmer1975,"(Zimmer, 1975)","(Zimmer, 1975)",zimmer1975,"(Zimmer, 1975)",primary,journal_article,resolved,"(Zimmer, 1975)",zimmer1975
4,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,85,85,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,60.3,mL/100g/min,60.3,,10.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,hamer1978,"(Hamer etal., 1978)","(Hamer etal., 1978)",hamer1978,"(Hamer etal., 1978)",primary,journal_article,resolved,"(Hamer etal., 1978)",hamer1978
5,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,88,88,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,19.6,mL/100g/min,19.6,,12.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,astrup1981,"(Astrup et al., 1981)","(Astrup et al., 1981)",astrup1981,"(Astrup et al., 1981)",primary,journal_article,resolved,"(Astrup et al., 1981)",astrup1981
6,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,89,89,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,66,mL/100g/min,66.0,,5.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,mcpherson1997,"(McPherson et al., 1997)","(McPherson et al., 1997)",mcpherson1997,"(McPherson et al., 1997)",primary,journal_article,resolved,"(McPherson et al., 1997)",mcpherson1997
7,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,90,90,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,74,mL/100g/min,74.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,mcpherson1997,"(McPherson et al., 1997)","(McPherson et al., 1997)",mcpherson1997,"(McPherson et al., 1997)",primary,journal_article,resolved,"(McPherson et al., 1997)",mcpherson1997
8,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,91,91,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,45,mL/100g/min,45.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,roald1986,"(Roald et al., 1986b)","(Roald et al., 1986b)",roald1986,"(Roald et al., 1986b)",primary,journal_article,resolved,"(Roald et al., 1986b)",roald1986
9,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,92,92,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,62.7,mL/100g/min,62.7,,16.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,sakabe1974,"(Sakabe et al., 1974)","(Sakabe et al., 1974)",sakabe1974,"(Sakabe et al., 1974)",primary,journal_article,resolved,"(Sakabe et al., 1974)",sakabe1974
10,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,93,93,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,63,mL/100g/min,63.0,,7.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,nakanishi1997,"(Nakanishi et al., 1997)","(Nakanishi et al., 1997)",nakanishi1997,"(Nakanishi et al., 1997)",primary,journal_article,resolved,"(Nakanishi et al., 1997)",nakanishi1997
11,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,94,94,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,173,mL/100g/min,173.0,,7.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,nakanishi1997,"(Nakanishi et al., 1997)","(Nakanishi et al., 1997)",nakanishi1997,"(Nakanishi et al., 1997)",primary,journal_article,resolved,"(Nakanishi et al., 1997)",nakanishi1997
12,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,95,95,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,66,mL/100g/min,66.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,lanier1994,"(Lanier et al., 1994)","(Lanier et al., 1994)",lanier1994,"(Lanier et al., 1994)",primary,journal_article,resolved,"(Lanier et al., 1994)",lanier1994
13,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,96,96,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,70,mL/100g/min,70.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,lanier1990,"(Lanier et al., 1990)","(Lanier et al., 1990)",lanier1990,"(Lanier et al., 1990)",primary,journal_article,resolved,"(Lanier et al., 1990)",lanier1990
14,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,97,97,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,103,mL/100g/min,103.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,roald1991,"(Roald et al., 1991)","(Roald et al., 1991)",roald1991,"(Roald et al., 1991)",primary,journal_article,resolved,"(Roald et al., 1991)",roald1991
15,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,98,98,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,83,mL/100g/min,83.0,,18.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,milde1990,"(Milde et al., 1990)","(Milde et al., 1990)",milde1990,"(Milde et al., 1990)",primary,journal_article,resolved,"(Milde et al., 1990)",milde1990
16,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,99,99,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,51.5,mL/100g/min,51.5,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,roald1988,"(Roald etal., 1988)","(Roald etal., 1988)",roald1988,"(Roald etal., 1988)",primary,journal_article,resolved,"(Roald etal., 1988)",roald1988
17,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,100,100,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,58.8,mL/100g/min,58.8,,5.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,roald1989,"(Roald et al., 1989)","(Roald et al., 1989)",roald1989,"(Roald et al., 1989)",primary,journal_article,resolved,"(Roald et al., 1989)",roald1989
18,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,101,101,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,66,mL/100g/min,66.0,,9.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,fleischer1988,"(Fleischer et al., 1988)","(Fleischer et al., 1988)",fleischer1988,"(Fleischer et al., 1988)",primary,journal_article,resolved,"(Fleischer et al., 1988)",fleischer1988
19,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,103,103,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,69.5,mL/100g/min,69.5,,12.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,anon1988,1988),1988),anon1988,1988),primary,journal_article,resolved,1988),anon1988
20,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,104,104,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,145,mL/100g/min,145.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,milde1985,"(Milde et al., 1985)","(Milde et al., 1985)",milde1985,"(Milde et al., 1985)",primary,journal_article,resolved,"(Milde et al., 1985)",milde1985
21,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,105,105,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,62.6,mL/100g/min,62.6,,12.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,lanier1985,"(Lanier et al., 1985)","(Lanier et al., 1985)",lanier1985,"(Lanier et al., 1985)",primary,journal_article,resolved,"(Lanier et al., 1985)",lanier1985
22,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,106,106,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,67,mL/100g/min,67.0,,12.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,lanier1986,"(Lanier et al., 1986)","(Lanier et al., 1986)",lanier1986,"(Lanier et al., 1986)",primary,journal_article,resolved,"(Lanier et al., 1986)",lanier1986
23,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,107,107,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,112,mL/100g/min,112.0,,12.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,nugent1982,"(Nugent et al., 1982)","(Nugent et al., 1982)",nugent1982,"(Nugent et al., 1982)",primary,journal_article,resolved,"(Nugent et al., 1982)",nugent1982
24,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,108,108,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,56,mL/100g/min,56.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,steen1983,"(Steen et al., 1983)","(Steen et al., 1983)",steen1983,"(Steen et al., 1983)",primary,journal_article,resolved,"(Steen et al., 1983)",steen1983
25,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,109,109,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,59,mL/100g/min,59.0,,10.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,miyauchi1985,"(Miyauchi et al., 1985)","(Miyauchi et al., 1985)",miyauchi1985,"(Miyauchi et al., 1985)",primary,journal_article,resolved,"(Miyauchi et al., 1985)",miyauchi1985
26,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,110,110,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,78,mL/100g/min,78.0,,14.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,artru1980,"(Artru and Michenfelder, 1980)","(Artru and Michenfelder, 1980)",artru1980,"(Artru and Michenfelder, 1980)",primary,journal_article,resolved,"(Artru and Michenfelder, 1980)",artru1980
27,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,111,111,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,57,mL/100g/min,57.0,,10.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,boarini1984,"(Boarini et al., 1984)","(Boarini et al., 1984)",boarini1984,"(Boarini et al., 1984)",primary,journal_article,resolved,"(Boarini et al., 1984)",boarini1984
28,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,112,112,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,68,mL/100g/min,68.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,kassell1983,"(Kassell et al., 1983)","(Kassell et al., 1983)",kassell1983,"(Kassell et al., 1983)",primary,journal_article,resolved,"(Kassell et al., 1983)",kassell1983
29,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,113,113,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,22.9,mL/100g/min,22.9,,10.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,qureshi1999,"(Qureshi et al., 1999)","(Qureshi et al., 1999)",qureshi1999,"(Qureshi et al., 1999)",primary,journal_article,resolved,"(Qureshi et al., 1999)",qureshi1999
30,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,114,114,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,39.9,mL/100g/min,39.9,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,rhodes1981,"(Rhodes et al., 1981)","(Rhodes et al., 1981)",rhodes1981,"(Rhodes et al., 1981)",primary,journal_article,resolved,"(Rhodes et al., 1981)",rhodes1981
31,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,115,115,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,62,mL/100g/min,62.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,forsman1986,"(Forsman et al., 1986)","(Forsman et al., 1986)",forsman1986,"(Forsman et al., 1986)",primary,journal_article,resolved,"(Forsman et al., 1986)",forsman1986
32,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,116,116,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,124,mL/100g/min,124.0,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,artru1981,"(Artru and Michenfelder, 1981)","(Artru and Michenfelder, 1981)",artru1981,"(Artru and Michenfelder, 1981)",primary,journal_article,resolved,"(Artru and Michenfelder, 1981)",artru1981
33,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,117,117,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,49.5,mL/100g/min,49.5,,9.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,chen1984,"(Chen et al., 1984)","(Chen et al., 1984)",chen1984,"(Chen et al., 1984)",primary,journal_article,resolved,"(Chen et al., 1984)",chen1984
34,Canis lupus familiaris,Canis,Kaufman__2004,TableA14,119,119,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,30.8,mL/100g/min,30.8,,12.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,roth1970,"(Roth et al., 1970)","(Roth et al., 1970)",roth1970,"(Roth et al., 1970)",primary,journal_article,resolved,"(Roth et al., 1970)",roth1970
35,Equus caballus,Equus,Kaufman__2004,TableA14,187,187,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,68.8,mL/100g/min,68.8,,6.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,wagerle1983,"(Wagerle et al., 1983)","(Wagerle et al., 1983)",wagerle1983,"(Wagerle et al., 1983)",primary,journal_article,resolved,"(Wagerle et al., 1983)",wagerle1983
36,Equus caballus,Equus,Kaufman__2004,TableA14,188,188,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,62,mL/100g/min,62.0,,12.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,busija1980,"(Busija et al., 1980)","(Busija et al., 1980)",busija1980,"(Busija et al., 1980)",primary,journal_article,resolved,"(Busija et al., 1980)",busija1980
37,Felis catus,Felis,Kaufman__2004,TableA14,132,132,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,38,mL/100g/min,38.0,,7.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,haller1990,"(Haller et al., 1990)","(Haller et al., 1990)",haller1990,"(Haller et al., 1990)",primary,journal_article,resolved,"(Haller et al., 1990)",haller1990
38,Felis catus,Felis,Kaufman__2004,TableA14,133,133,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,29.6,mL/100g/min,29.6,,7.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,unterberg1988,"(Unterberg et al., 1988)","(Unterberg et al., 1988)",unterberg1988,"(Unterberg et al., 1988)",primary,journal_article,resolved,"(Unterberg et al., 1988)",unterberg1988
39,Felis catus,Felis,Kaufman__2004,TableA14,134,134,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,29.9,mL/100g/min,29.9,,24.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,andersen1988,"(Andersen et al., 1988)","(Andersen et al., 1988)",andersen1988,"(Andersen et al., 1988)",primary,journal_article,resolved,"(Andersen et al., 1988)",andersen1988
40,Felis catus,Felis,Kaufman__2004,TableA14,135,135,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,38,mL/100g/min,38.0,,5.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,fiat1993,"(Fiat and Kang, 1993)","(Fiat and Kang, 1993)",fiat1993,"(Fiat and Kang, 1993)",primary,journal_article,resolved,"(Fiat and Kang, 1993)",fiat1993
41,Felis catus,Felis,Kaufman__2004,TableA14,136,136,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,60,mL/100g/min,60.0,,20.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,kobayashi1992,"(Kobayashi et al., 1992)","(Kobayashi et al., 1992)",kobayashi1992,"(Kobayashi et al., 1992)",primary,journal_article,resolved,"(Kobayashi et al., 1992)",kobayashi1992
42,Felis catus,Felis,Kaufman__2004,TableA14,137,137,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,76,mL/100g/min,76.0,,9.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,stingele1996,"(Stingele et al., 1996)","(Stingele et al., 1996)",stingele1996,"(Stingele et al., 1996)",primary,journal_article,resolved,"(Stingele et al., 1996)",stingele1996
43,Felis catus,Felis,Kaufman__2004,TableA14,138,138,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,52.6,mL/100g/min,52.6,,6.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,frewen1989,"(Frewen et al., 1989)","(Frewen et al., 1989)",frewen1989,"(Frewen et al., 1989)",primary,journal_article,resolved,"(Frewen et al., 1989)",frewen1989
44,Felis catus,Felis,Kaufman__2004,TableA14,139,139,Whole_brain,Whole Brain (direct measurement),,CBF,cerebral_perfusion,51,mL/100g/min,51.0,,18.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,todd1984,"(Todd and Drummond, 1984)","(Todd and Drummond, 1984)",todd1984,"(Todd and Drummond, 1984)",primary,journal_article,resolved,"(Todd and Drummond, 1984)",todd1984
45,Homo sapiens,Homo,Kaufman__2004,TableA1,30,30,Basal_ganglia,Basal Ganglia,,CBF,cerebral_perfusion,50.4,mL/100g/min,50.4,,3.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,de1997,"(De Voider et al., 1997)","(De Voider et al., 1997)",de1997,"(De Voider et al., 1997)",primary,journal_article,resolved,"(De Voider et al., 1997)",de1997
46,Homo sapiens,Homo,Kaufman__2004,TableA1,31,31,Basal_ganglia,Basal Ganglia,,CBF,cerebral_perfusion,50.1,mL/100g/min,50.1,,7.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,hatazawa1988,"(Hatazawa et al., 1988)","(Hatazawa et al., 1988)",hatazawa1988,"(Hatazawa et al., 1988)",primary,journal_article,resolved,"(Hatazawa et al., 1988)",hatazawa1988
47,Homo sapiens,Homo,Kaufman__2004,TableA1,32,32,Basal_ganglia,Basal Ganglia,,CBF,cerebral_perfusion,40.1,mL/100g/min,40.1,,8.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,herold1988,"(Herold et al., 1988)","(Herold et al., 1988)",herold1988,"(Herold et al., 1988)",primary,journal_article,resolved,"(Herold et al., 1988)",herold1988
48,Homo sapiens,Homo,Kaufman__2004,TableA1,33,33,Basal_ganglia,Basal Ganglia,,CBF,cerebral_perfusion,42.4,mL/100g/min,42.4,,34.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,leenders1990,"(Leenders etal., 1990)","(Leenders etal., 1990)",leenders1990,"(Leenders etal., 1990)",primary,journal_article,resolved,"(Leenders etal., 1990)",leenders1990
49,Homo sapiens,Homo,Kaufman__2004,TableA4,22,22,Cerebellum,Cerebellum,,CBF,cerebral_perfusion,52.7,mL/100g/min,52.7,,3.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,de1997,"(De Voider et al., 1997)","(De Voider et al., 1997)",de1997,"(De Voider et al., 1997)",primary,journal_article,resolved,"(De Voider et al., 1997)",de1997
50,Homo sapiens,Homo,Kaufman__2004,TableA4,23,23,Cerebellum,Cerebellum,,CBF,cerebral_perfusion,51.1,mL/100g/min,51.1,,14.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,yamaguchi1992,"(Yamaguchi et a l, 1992a)","(Yamaguchi et a l, 1992a)",yamaguchi1992,"(Yamaguchi et a l, 1992a)",primary,journal_article,resolved,"(Yamaguchi et a l, 1992a)",yamaguchi1992
51,Homo sapiens,Homo,Kaufman__2004,TableA4,24,24,Cerebellum,Cerebellum,,CBF,cerebral_perfusion,49.4,mL/100g/min,49.4,,34.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,leenders1990,"(Leenders et al., 1990)","(Leenders et al., 1990)",leenders1990,"(Leenders et al., 1990)",primary,journal_article,resolved,"(Leenders et al., 1990)",leenders1990
52,Homo sapiens,Homo,Kaufman__2004,TableA4,25,25,Cerebellum,Cerebellum,,CBF,cerebral_perfusion,87.1,mL/100g/min,87.1,,14.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,ishii1996,"(Ishii et al., 1996b)","(Ishii et al., 1996b)",ishii1996,"(Ishii et al., 1996b)",primary,journal_article,resolved,"(Ishii et al., 1996b)",ishii1996
53,Homo sapiens,Homo,Kaufman__2004,TableA4,26,26,Cerebellum,Cerebellum,,CBF,cerebral_perfusion,48.4,mL/100g/min,48.4,,8.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,kaisti2003,"(Kaisti et al., 2003)","(Kaisti et al., 2003)",kaisti2003,"(Kaisti et al., 2003)",primary,journal_article,resolved,"(Kaisti et al., 2003)",kaisti2003
54,Homo sapiens,Homo,Kaufman__2004,TableA4,27,27,Cerebellum,Cerebellum,,CBF,cerebral_perfusion,35.4,mL/100g/min,35.4,,8.0,mL/100g/min,anesthetized,resting_anesthetized,FALSE,single_primary_reference,single,,reported_via_secondary_compilation,anesthetized,kaisti2003,"(Kaisti et al., 2003)","(Kaisti et al., 2003)",kaisti2003,"(Kaisti et al., 2003)",primary,journal_article,resolved,"(Kaisti et al., 2003)",kaisti2003
55,Homo sapiens,Homo,Kaufman__2004,TableA2,9,9,Hippocampus,Hippocampus,,CBF,cerebral_perfusion,42.2,mL/100g/min,42.2,,14.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,yamaguchi1986,"(Yamaguchi et al., 1986)","(Yamaguchi et al., 1986)",yamaguchi1986,"(Yamaguchi et al., 1986)",primary,journal_article,resolved,"(Yamaguchi et al., 1986)",yamaguchi1986
56,Homo sapiens,Homo,Kaufman__2004,TableA2,10,10,Hippocampus,Hippocampus,,CBF,cerebral_perfusion,52.6,mL/100g/min,52.6,,26.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,seitz1992,"(Seitz and Roland, 1992)","(Seitz and Roland, 1992)",seitz1992,"(Seitz and Roland, 1992)",primary,journal_article,resolved,"(Seitz and Roland, 1992)",seitz1992
57,Homo sapiens,Homo,Kaufman__2004,TableA6,44,44,Neocortex,Neocortex,,CBF,cerebral_perfusion,48.9,mL/100g/min,48.9,,3.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,de1997,"(De Voider et al., 1997)","(De Voider et al., 1997)",de1997,"(De Voider et al., 1997)",primary,journal_article,resolved,"(De Voider et al., 1997)",de1997
58,Homo sapiens,Homo,Kaufman__2004,TableA6,45,45,Neocortex,Neocortex,,CBF,cerebral_perfusion,43.9,mL/100g/min,43.9,,7.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,frackowiak1988,"(Frackowiak et al., 1988)","(Frackowiak et al., 1988)",frackowiak1988,"(Frackowiak et al., 1988)",primary,journal_article,resolved,"(Frackowiak et al., 1988)",frackowiak1988
59,Homo sapiens,Homo,Kaufman__2004,TableA6,46,46,Neocortex,Neocortex,,CBF,cerebral_perfusion,44.2,mL/100g/min,44.2,,7.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,hatazawa1988,"(Hatazawa et al., 1988)","(Hatazawa et al., 1988)",hatazawa1988,"(Hatazawa et al., 1988)",primary,journal_article,resolved,"(Hatazawa et al., 1988)",hatazawa1988
60,Homo sapiens,Homo,Kaufman__2004,TableA6,47,47,Neocortex,Neocortex,,CBF,cerebral_perfusion,43,mL/100g/min,43.0,,20.0,mL/100g/min,conscious,resting_conscious,TRUE,single_primary_reference,single,,reported_via_secondary_compilation,,yamaki1996,"(Yamaki et al., 1996)","(Yamaki et al., 1996)",yamaki1996,"(Yamaki et al., 1996)",primary,journal_article,resolved,"(Yamaki et al., 1996)",yamaki1996
