species,stephan1987_AMY_mm3,barger2007_ACtotal_mean_mm3,barger_n,ratio_stephan_over_barger,pct_diff,merged_mean_mm3
Homo sapiens,5286.6,3805.0,1,1.389,38.9,4545.8
Pan troglodytes,1421.8,1315.0,3,1.081,8.1,1368.4
Gorilla gorilla,2752.6,1306.0,1,2.108,110.8,2029.3
Hylobates lar,666.2,522.0,2,1.276,27.6,594.1
