Species_binomial,Kaufman_genus,weighting,region,measure,units,N,Mean,SD,CV,CVstar
Canis_familiaris,Canis,unweighted,Whole Brain,CBF,mL/100g/min,1,30.8,6.6,21.43,26.79
Canis_familiaris,Canis,unweighted,Whole Brain,CMRO2,umol/100g/min,1,205.4,22.3,10.86,13.57
Canis_familiaris,Canis,unweighted,Whole Brain,CMRgl,umol/100g/min,1,44.5,5,11.24,14.04
Canis_familiaris,Canis,weighted,Whole Brain,CBF,mL/100g/min,12,30.8,6.6,21.43,21.88
Canis_familiaris,Canis,weighted,Whole Brain,CMRO2,umol/100g/min,8,205.4,22.3,10.86,11.2
Canis_familiaris,Canis,weighted,Whole Brain,CMRgl,umol/100g/min,8,44.5,5,11.24,11.59
Capra_aegagrus,Capra,unweighted,Whole Brain,CBF,mL/100g/min,1,77,7,9.09,11.36
Capra_aegagrus,Capra,unweighted,Whole Brain,CMRO2,umol/100g/min,2,173.43,26.83,15.47,17.4
Capra_aegagrus,Capra,unweighted,Whole Brain,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Capra_aegagrus,Capra,weighted,Whole Brain,CBF,mL/100g/min,17,77,7,9.09,9.22
Capra_aegagrus,Capra,weighted,Whole Brain,CMRO2,umol/100g/min,23,182.5,14.03,7.69,7.77
Capra_aegagrus,Capra,weighted,Whole Brain,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Equus_caballus,Equus,unweighted,Whole Brain,CBF,mL/100g/min,2,65.4,4.81,7.35,8.27
Equus_caballus,Equus,unweighted,Whole Brain,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Equus_caballus,Equus,unweighted,Whole Brain,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Equus_caballus,Equus,weighted,Whole Brain,CBF,mL/100g/min,18,64.27,14.17,22.05,22.35
Equus_caballus,Equus,weighted,Whole Brain,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Equus_caballus,Equus,weighted,Whole Brain,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Auditory Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Basal Ganglia,CBF,mL/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Basal Ganglia,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Basal Ganglia,CMRgl,umol/100g/min,2,54.55,6.86,12.57,14.15
Felis_catus,Felis,unweighted,Cerebellum,CBF,mL/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Cerebellum,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Cerebellum,CMRgl,umol/100g/min,1,31.5,6,19.05,23.81
Felis_catus,Felis,unweighted,Cingulate Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Cingulate Cortex,CMRgl,umol/100g/min,1,47,10,21.28,26.6
Felis_catus,Felis,unweighted,Cortex,CBF,mL/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Cortex,CMRgl,umol/100g/min,2,62.3,21.64,34.73,39.07
Felis_catus,Felis,unweighted,Frontal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Frontal Cortex,CMRgl,umol/100g/min,1,49,16,32.65,40.82
Felis_catus,Felis,unweighted,Hippocampus,CBF,mL/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Hippocampus,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Hippocampus,CMRgl,umol/100g/min,2,50,2.83,5.66,6.36
Felis_catus,Felis,unweighted,Occipital Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Occipital Cortex,CMRgl,umol/100g/min,1,58,8,13.79,17.24
Felis_catus,Felis,unweighted,Parietal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Parietal Cortex,CMRgl,umol/100g/min,1,45,16,35.56,44.44
Felis_catus,Felis,unweighted,Sensorimotor Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Sensorimotor Cortex,CMRgl,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Temporal Cortex,CMRO2,umol/100g/min,NA,NA,NA,NA,NA
Felis_catus,Felis,unweighted,Temporal Cortex,CMRgl,umol/100g/min,1,46,16,34.78,43.48
Felis_catus,Felis,unweighted,Thalamus,CBF,mL/100g/min,NA,NA,NA,NA,NA
