status,match,Species_binomial,weighting,region,measure,stat,value_src,value_comp,in_src,in_comp,real_src,real_cmp,tol
both_absent,TRUE,Canis_familiaris,weighted,Cingulate Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Cingulate Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Cingulate Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Cingulate Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Cingulate Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Cortex,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Cortex,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Cortex,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Cortex,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Frontal Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Frontal Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Frontal Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Frontal Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Frontal Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Frontal Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Frontal Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Frontal Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Hippocampus,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Hippocampus,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Hippocampus,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Hippocampus,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Hippocampus,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Hippocampus,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Hippocampus,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Hippocampus,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Hippocampus,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Hippocampus,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Hippocampus,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Hippocampus,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Occipital Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Occipital Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Occipital Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Occipital Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Occipital Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Occipital Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Occipital Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Occipital Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Parietal Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Parietal Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Parietal Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Parietal Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Parietal Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Parietal Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Parietal Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Parietal Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Sensorimotor Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Sensorimotor Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Sensorimotor Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Sensorimotor Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Sensorimotor Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Sensorimotor Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Sensorimotor Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Sensorimotor Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Temporal Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Temporal Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Temporal Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Temporal Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Temporal Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Temporal Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Temporal Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Temporal Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Thalamus,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Thalamus,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Thalamus,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Thalamus,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Thalamus,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Thalamus,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Thalamus,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Thalamus,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,Thalamus,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,Thalamus,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,Thalamus,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,Thalamus,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,White Matter,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,White Matter,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,White Matter,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,White Matter,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,White Matter,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,White Matter,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,White Matter,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,White Matter,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,unweighted,White Matter,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,unweighted,White Matter,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Canis_familiaris,weighted,White Matter,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Canis_familiaris,weighted,White Matter,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
compared,TRUE,Canis_familiaris,unweighted,Whole Brain,CBF,Mean,30.8,30.8,TRUE,TRUE,TRUE,TRUE,0.05
compared,TRUE,Canis_familiaris,unweighted,Whole Brain,CBF,N,1,1,TRUE,TRUE,TRUE,TRUE,0
compared,TRUE,Canis_familiaris,weighted,Whole Brain,CBF,Mean,30.8,30.8,TRUE,TRUE,TRUE,TRUE,0.05
compared,TRUE,Canis_familiaris,weighted,Whole Brain,CBF,N,12,12,TRUE,TRUE,TRUE,TRUE,0
compared,TRUE,Canis_familiaris,unweighted,Whole Brain,CMRO2,Mean,205.4,205.4,TRUE,TRUE,TRUE,TRUE,0.05
compared,TRUE,Canis_familiaris,unweighted,Whole Brain,CMRO2,N,1,1,TRUE,TRUE,TRUE,TRUE,0
compared,TRUE,Canis_familiaris,weighted,Whole Brain,CMRO2,Mean,205.4,205.4,TRUE,TRUE,TRUE,TRUE,0.05
