status,genus,weighting,region,measure,stat,built,manual,diff,real_built,real_manual,tol
both_absent,Felis,weighted,Cerebellum,CMRO2,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cerebellum,CMRO2,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cerebellum,CMRO2,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,weighted,Cerebellum,CMRO2,SD,NA,NA,NA,FALSE,FALSE,0.011
match,Felis,unweighted,Cerebellum,CMRgl,CV,19.05,19.05,0,TRUE,TRUE,0.011
match,Felis,unweighted,Cerebellum,CMRgl,CVstar,23.81,23.81,0,TRUE,TRUE,0.011
match,Felis,unweighted,Cerebellum,CMRgl,Mean,31.5,31.5,0,TRUE,TRUE,0.011
match,Felis,unweighted,Cerebellum,CMRgl,N,1,1,0,TRUE,TRUE,0
match,Felis,unweighted,Cerebellum,CMRgl,SD,6,6,0,TRUE,TRUE,0.011
match,Felis,weighted,Cerebellum,CMRgl,CV,19.05,19.05,0,TRUE,TRUE,0.011
match,Felis,weighted,Cerebellum,CMRgl,CVstar,20.24,20.24,0,TRUE,TRUE,0.011
match,Felis,weighted,Cerebellum,CMRgl,Mean,31.5,31.5,0,TRUE,TRUE,0.011
match,Felis,weighted,Cerebellum,CMRgl,N,4,4,0,TRUE,TRUE,0
match,Felis,weighted,Cerebellum,CMRgl,SD,6,6,0,TRUE,TRUE,0.011
both_absent,Felis,unweighted,Cingulate Cortex,CMRO2,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Cingulate Cortex,CMRO2,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Cingulate Cortex,CMRO2,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Cingulate Cortex,CMRO2,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,unweighted,Cingulate Cortex,CMRO2,SD,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cingulate Cortex,CMRO2,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cingulate Cortex,CMRO2,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cingulate Cortex,CMRO2,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cingulate Cortex,CMRO2,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,weighted,Cingulate Cortex,CMRO2,SD,NA,NA,NA,FALSE,FALSE,0.011
match,Felis,unweighted,Cingulate Cortex,CMRgl,CV,21.28,21.28,0,TRUE,TRUE,0.011
match,Felis,unweighted,Cingulate Cortex,CMRgl,CVstar,26.6,26.6,0,TRUE,TRUE,0.011
match,Felis,unweighted,Cingulate Cortex,CMRgl,Mean,47,47,0,TRUE,TRUE,0.011
match,Felis,unweighted,Cingulate Cortex,CMRgl,N,1,1,0,TRUE,TRUE,0
match,Felis,unweighted,Cingulate Cortex,CMRgl,SD,10,10,0,TRUE,TRUE,0.011
match,Felis,weighted,Cingulate Cortex,CMRgl,CV,21.28,21.28,0,TRUE,TRUE,0.011
match,Felis,weighted,Cingulate Cortex,CMRgl,CVstar,22.61,22.61,0,TRUE,TRUE,0.011
match,Felis,weighted,Cingulate Cortex,CMRgl,Mean,47,47,0,TRUE,TRUE,0.011
match,Felis,weighted,Cingulate Cortex,CMRgl,N,4,4,0,TRUE,TRUE,0
match,Felis,weighted,Cingulate Cortex,CMRgl,SD,10,10,0,TRUE,TRUE,0.011
both_absent,Felis,unweighted,Cortex,CBF,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Cortex,CBF,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Cortex,CBF,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Cortex,CBF,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,unweighted,Cortex,CBF,SD,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cortex,CBF,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cortex,CBF,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cortex,CBF,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cortex,CBF,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,weighted,Cortex,CBF,SD,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Cortex,CMRO2,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Cortex,CMRO2,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Cortex,CMRO2,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Cortex,CMRO2,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,unweighted,Cortex,CMRO2,SD,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cortex,CMRO2,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cortex,CMRO2,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cortex,CMRO2,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Cortex,CMRO2,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,weighted,Cortex,CMRO2,SD,NA,NA,NA,FALSE,FALSE,0.011
match,Felis,unweighted,Cortex,CMRgl,CV,34.73,34.73,0,TRUE,TRUE,0.011
match,Felis,unweighted,Cortex,CMRgl,CVstar,39.07,39.07,0,TRUE,TRUE,0.011
match,Felis,unweighted,Cortex,CMRgl,Mean,62.3,62.3,0,TRUE,TRUE,0.011
match,Felis,unweighted,Cortex,CMRgl,N,2,2,0,TRUE,TRUE,0
match,Felis,unweighted,Cortex,CMRgl,SD,21.64,21.64,0,TRUE,TRUE,0.011
match,Felis,weighted,Cortex,CMRgl,CV,18.34,18.34,0,TRUE,TRUE,0.011
match,Felis,weighted,Cortex,CMRgl,CVstar,18.76,18.76,0,TRUE,TRUE,0.011
match,Felis,weighted,Cortex,CMRgl,Mean,66.47,66.47,0,TRUE,TRUE,0.011
match,Felis,weighted,Cortex,CMRgl,N,11,11,0,TRUE,TRUE,0
match,Felis,weighted,Cortex,CMRgl,SD,12.19,12.19,0,TRUE,TRUE,0.011
both_absent,Felis,unweighted,Frontal Cortex,CMRO2,CV,NA,NA,NA,FALSE,FALSE,0.011
