"Species","Measure","Value","Medium","Source_item","Study_key","shared_study","kept_from","kept_value","agrees"
"Felis catus","Visual_acuity.cdeg",8.85,"air","Veilleux_Kirk_2014_SupplementalTable1","jacobson1976|s","jacobson1976","Heffner_Heffner_1992_a_Table1",9,"TRUE"
"Meriones unguiculatus","Visual_acuity.cdeg",1.8,"air","Veilleux_Kirk_2014_SupplementalTable1","wilkinson1984|f+baker1983|a","baker1983","Heffner_Heffner_1992_a_Table1",2,"FALSE"
