"Species","Measure","Value","Medium","population","Source_item","Study_key","value_origin","Data_role","note"
"Tursiops truncatus","Sound_localization_threshold.deg",1.1,"air","dolphin","Heffner_Heffner_1992_a_Table1","renaud1975","published","secondary",""
"Elephas maximus","Binocular_field.deg",80,"air","elephant","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:elephant","published","primary",""
"Elephas maximus","Sound_localization_threshold.deg",1.2,"air","elephant","Heffner_Heffner_1992_a_Table1","heffner1982|r","published","secondary",""
"Homo sapiens","Field_of_best_vision.deg",0.7,"air","man","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:man","published","primary",""
"Homo sapiens","Binocular_field.deg",105,"air","man","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:man","published","primary",""
"Homo sapiens","Sound_localization_threshold.deg",1.3,"air","man","Heffner_Heffner_1992_a_Table1","heffner1988c|r","published","secondary",""
"Homo sapiens","Visual_acuity.cdeg",67,"air","man","Heffner_Heffner_1992_a_Table1","cavonius1973","published","secondary",""
"Phoca vitulina","Sound_localization_threshold.deg",3.2,"air","seal","Heffner_Heffner_1992_a_Table1","terhune1974","published","secondary",""
"Phoca vitulina","Visual_acuity.cdeg",3.6,"air","seal","Heffner_Heffner_1992_a_Table1","schusterman1972","published","secondary",""
"Didelphis virginiana","Field_of_best_vision.deg",15.8,"air","opossum","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:opossum","published","primary",""
"Didelphis virginiana","Binocular_field.deg",77,"air","opossum","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:opossum","published","primary",""
"Didelphis virginiana","Sound_localization_threshold.deg",4.6,"air","opossum","Heffner_Heffner_1992_a_Table1","ravizza1972","published","secondary",""
"Didelphis virginiana","Visual_acuity.cdeg",1.8,"air","opossum","Heffner_Heffner_1992_a_Table1","silveira1982","published","secondary",""
"Sus scrofa","Field_of_best_vision.deg",11.6,"air","pig","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:pig","published","primary",""
"Sus scrofa","Binocular_field.deg",47,"air","pig","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:pig","published","primary",""
"Sus scrofa","Sound_localization_threshold.deg",4.6,"air","pig","Heffner_Heffner_1992_a_Table1","heffner1989|r","published","secondary",""
"Sus scrofa","Visual_acuity.cdeg",8,"air","pig","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:pig","published","secondary",""
"Felis catus","Field_of_best_vision.deg",4.9,"air","cat","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:cat","published","primary",""
"Felis catus","Binocular_field.deg",105,"air","cat","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:cat","published","primary",""
"Felis catus","Sound_localization_threshold.deg",5.7,"air","cat","Heffner_Heffner_1992_a_Table1","casseday1973+heffner1988c|r","published","secondary",""
"Felis catus","Visual_acuity.cdeg",9,"air","cat","Heffner_Heffner_1992_a_Table1","belleville1986+jacobson1976","published","secondary",""
"Canis lupus familiaris","Field_of_best_vision.deg",5.1,"air","dog","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:dog","published","primary",""
"Canis lupus familiaris","Binocular_field.deg",75,"air","dog","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:dog","published","primary",""
"Canis lupus familiaris","Sound_localization_threshold.deg",8,"air","dog","Heffner_Heffner_1992_a_Table1","heffnerINPRESS|r","published","secondary",""
"Canis lupus familiaris","Visual_acuity.cdeg",8.3,"air","dog","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:dog","published","secondary",""
"Mustela putorius","Sound_localization_threshold.deg",8.5,"air","ferret","Heffner_Heffner_1992_a_Table1","kavanagh1987","published","secondary",""
"Zalophus californianus","Sound_localization_threshold.deg",8.8,"air","sea lion","Heffner_Heffner_1992_a_Table1","moore1975","published","secondary",""
"Zalophus californianus","Visual_acuity.cdeg",4.3,"air","sea lion","Heffner_Heffner_1992_a_Table1","schusterman1972","published","secondary",""
"Rattus norvegicus","Binocular_field.deg",76,"air","norway rat domestic","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:norway rat domestic","published","primary",""
"Rattus norvegicus","Sound_localization_threshold.deg",11.1,"air","norway rat domestic","Heffner_Heffner_1992_a_Table1","kavanagh1986+kelly1980","published","secondary",""
"Mustela nivalis","Field_of_best_vision.deg",23,"air","least weasel","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:least weasel","published","primary",""
"Mustela nivalis","Binocular_field.deg",69,"air","least weasel","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:least weasel","published","primary",""
"Mustela nivalis","Sound_localization_threshold.deg",12,"air","least weasel","Heffner_Heffner_1992_a_Table1","heffner1987|r","published","secondary",""
"Mustela nivalis","Visual_acuity.cdeg",2.2,"air","least weasel","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:least weasel","published","secondary",""
"Rattus norvegicus","Field_of_best_vision.deg",52.8,"air","norway rat wild","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:norway rat wild","published","primary",""
"Rattus norvegicus","Binocular_field.deg",35,"air","norway rat wild","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:norway rat wild","published","primary",""
"Rattus norvegicus","Sound_localization_threshold.deg",12.8,"air","norway rat wild","Heffner_Heffner_1992_a_Table1","heffner1985|h","published","secondary",""
"Rattus norvegicus","Visual_acuity.cdeg",1.5,"air","norway rat wild","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:norway rat wild","published","secondary",""
"Capra hircus","Binocular_field.deg",23,"air","goat","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:goat","published","primary",""
"Capra hircus","Sound_localization_threshold.deg",18,"air","goat","Heffner_Heffner_1992_a_Table1","heffnerINPRESS|r","published","secondary",""
"Capra hircus","Visual_acuity.cdeg",12.5,"air","goat","Heffner_Heffner_1992_a_Table1","hughes1973","published","secondary",""
"Neotoma floridana","Field_of_best_vision.deg",156.2,"air","wood rat","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:wood rat","published","primary",""
"Neotoma floridana","Binocular_field.deg",85,"air","wood rat","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:wood rat","published","primary",""
"Neotoma floridana","Sound_localization_threshold.deg",19,"air","wood rat","Heffner_Heffner_1992_a_Table1","heffner1988a|r","published","secondary",""
"Neotoma floridana","Visual_acuity.cdeg",2.3,"air","wood rat","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:wood rat","published","secondary",""
"Paraechinus hypomelas","Binocular_field.deg",35,"air","hedgehog","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:hedgehog","published","primary",""
"Paraechinus hypomelas","Sound_localization_threshold.deg",19,"air","hedgehog","Heffner_Heffner_1992_a_Table1","chambers1971","published","secondary",""
"Acomys cahirinus","Binocular_field.deg",75,"air","spiny mouse","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:spiny mouse","published","primary",""
"Acomys cahirinus","Sound_localization_threshold.deg",19,"air","spiny mouse","Heffner_Heffner_1992_a_Table1","mooney1991","published","secondary",""
"Onychomys leucogaster","Field_of_best_vision.deg",68.5,"air","grasshopper mouse","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:grasshopper mouse","published","primary",""
"Onychomys leucogaster","Binocular_field.deg",52,"air","grasshopper mouse","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:grasshopper mouse","published","primary",""
"Onychomys leucogaster","Sound_localization_threshold.deg",19.3,"air","grasshopper mouse","Heffner_Heffner_1992_a_Table1","heffner1988a|r","published","secondary",""
"Onychomys leucogaster","Visual_acuity.cdeg",2.3,"air","grasshopper mouse","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:grasshopper mouse","published","secondary",""
"Equus caballus","Binocular_field.deg",28,"air","horse","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:horse","published","primary",""
"Equus caballus","Sound_localization_threshold.deg",25,"air","horse","Heffner_Heffner_1992_a_Table1","heffner1984|h","published","secondary",""
"Bos taurus","Field_of_best_vision.deg",132,"air","cow","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:cow","published","primary",""
"Bos taurus","Binocular_field.deg",20,"air","cow","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:cow","published","primary",""
"Bos taurus","Sound_localization_threshold.deg",30,"air","cow","Heffner_Heffner_1992_a_Table1","heffnerINPRESS|r","published","secondary",""
"Bos taurus","Visual_acuity.cdeg",12.4,"air","cow","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:cow","published","secondary",""
"Meriones unguiculatus","Field_of_best_vision.deg",200,"air","gerbil","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:gerbil","published","primary",""
"Meriones unguiculatus","Binocular_field.deg",48,"air","gerbil","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:gerbil","published","primary",""
"Meriones unguiculatus","Sound_localization_threshold.deg",27,"air","gerbil","Heffner_Heffner_1992_a_Table1","heffner1988b|r","published","secondary",""
"Meriones unguiculatus","Visual_acuity.cdeg",2,"air","gerbil","Heffner_Heffner_1992_a_Table1","baker1983","published","secondary",""
"Dipodomys merriami","Binocular_field.deg",20,"air","kangaroo rat","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:kangaroo rat","published","primary",""
"Dipodomys merriami","Sound_localization_threshold.deg",27,"air","kangaroo rat","Heffner_Heffner_1992_a_Table1","heffner1980|h","published","secondary",""
"Geomys bursarius","Field_of_best_vision.deg",166,"air","gopher","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:gopher","published","primary",""
"Geomys bursarius","Binocular_field.deg",4,"air","gopher","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:gopher","published","primary",""
"Geomys bursarius","Sound_localization_threshold.deg",90,"air","gopher","Heffner_Heffner_1992_a_Table1","heffner1990|r","published","secondary",""
"Geomys bursarius","Visual_acuity.cdeg",1.7,"air","gopher","Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:gopher","published","secondary",""
"Bos taurus","Visual_acuity.cdeg",10.31,"air","","Veilleux_Kirk_2014_SupplementalTable1","hebel1976|r+howland2004|h","published","secondary",""
"Camelus bactrianus","Visual_acuity.cdeg",10,"air","","Veilleux_Kirk_2014_SupplementalTable1","harman2001|a","published","secondary",""
"Camelus dromedarius","Visual_acuity.cdeg",10.4,"air","","Veilleux_Kirk_2014_SupplementalTable1","harman2001|a","published","secondary",""
"Capra hircus","Visual_acuity.cdeg",8.43,"air","","Veilleux_Kirk_2014_SupplementalTable1","ribeiro2010|a+gonzalez1997|j","published","secondary",""
"Dama dama","Visual_acuity.cdeg",18.48,"air","","Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+hughes1977|a","published","secondary",""
"Giraffa camelopardalis","Visual_acuity.cdeg",25.46,"air","","Veilleux_Kirk_2014_SupplementalTable1","coimbra2013|j","published","secondary",""
"Ovis aries","Visual_acuity.cdeg",5.61,"air","","Veilleux_Kirk_2014_SupplementalTable1","tanaka1995|t","published","secondary",""
"Sus scrofa","Visual_acuity.cdeg",9.92,"air","","Veilleux_Kirk_2014_SupplementalTable1","garcá2005|m+guthoff1987|r","published","secondary",""
"Acinonyx jubatus","Visual_acuity.cdeg",23.02,"air","","Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+hughes1977|a","published","secondary",""
"Canis lupus","Visual_acuity.cdeg",14.57,"air","","Veilleux_Kirk_2014_SupplementalTable1","peichl1992|l","published","secondary",""
"Crocuta crocuta","Visual_acuity.cdeg",8.4,"air","","Veilleux_Kirk_2014_SupplementalTable1","calderone2003|j","published","secondary",""
"Enhydra lutris","Visual_acuity.cdeg",4.2,"air","","Veilleux_Kirk_2014_SupplementalTable1","mass2000|a","published","secondary",""
"Felis catus","Visual_acuity.cdeg",8.85,"air","","Veilleux_Kirk_2014_SupplementalTable1","jacobson1976|s","published","secondary",""
"Lynx lynx","Visual_acuity.cdeg",8,"air","","Veilleux_Kirk_2014_SupplementalTable1","maffei1990|l","published","secondary",""
"Mustela nivalis","Visual_acuity.cdeg",2.2,"air","","Veilleux_Kirk_2014_SupplementalTable1","heffner1992|r","published","secondary",""
"Mustela putorius","Visual_acuity.cdeg",3.57,"air","","Veilleux_Kirk_2014_SupplementalTable1","pontenagel1980|v","published","secondary",""
"Odobenus rosmarus","Visual_acuity.cdeg",3.8,"air","","Veilleux_Kirk_2014_SupplementalTable1","mass1992|a","published","secondary",""
"Suricata suricatta","Visual_acuity.cdeg",6.3,"air","","Veilleux_Kirk_2014_SupplementalTable1","moran1983|g","published","secondary",""
"Artibeus cinereus","Visual_acuity.cdeg",1.4,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","published","secondary",""
"Artibeus jamaicensis","Visual_acuity.cdeg",0.167,"air","","Veilleux_Kirk_2014_SupplementalTable1","suthers1966|r","published","secondary",""
"Carollia perspicillata","Visual_acuity.cdeg",0.94,"air","","Veilleux_Kirk_2014_SupplementalTable1","heffner2007|r","published","secondary",""
"Desmodus rotundus","Visual_acuity.cdeg",0.625,"air","","Veilleux_Kirk_2014_SupplementalTable1","manske1976|u","published","secondary",""
"Eptesicus fuscus","Visual_acuity.cdeg",0.5,"air","","Veilleux_Kirk_2014_SupplementalTable1","bell1986|g","published","secondary",""
"Macroderma gigas","Visual_acuity.cdeg",1.9,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","published","secondary",""
"Megaderma lyra","Visual_acuity.cdeg",1.5,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","published","secondary",""
