"Species","Measure","Units","Value","Medium","n_studies","Sources","Study_keys","Data_role","value_origin","value_range"
"Pteropus scapulatus","Visual_acuity.cdeg","c/deg",4,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","secondary","published",""
"Pusa hispida","Audible_freq_high_60dB.kHz","kHz",60.740618,"underwater",1,"Koay_etal_1998_Figure6","terhune1975","secondary","digitised_from_figure",""
"Rattus norvegicus","Audible_freq_high_60dB.kHz","kHz",70.704095,"air",2,"Koay_etal_1998_Figure6","heffner1994|h; kelly1977","secondary","digitised_from_figure",""
"Rattus norvegicus","Binocular_field.deg","deg",55.5,"air",2,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:norway rat domestic; SELF:Heffner_Heffner_1992_a_Table1:norway rat wild","primary","published",""
"Rattus norvegicus","Field_of_best_vision.deg","deg",52.8,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:norway rat wild","primary","published",""
"Rattus norvegicus","Sound_localization_threshold.deg","deg",11.95,"air",2,"Heffner_Heffner_1992_a_Table1","heffner1985|h; kavanagh1986+kelly1980","secondary","published",""
"Rattus norvegicus","Visual_acuity.cdeg","c/deg",1.55,"air",2,"Heffner_Heffner_1992_a_Table1; Veilleux_Kirk_2014_SupplementalTable1","SELF:Heffner_Heffner_1992_a_Table1:norway rat wild; seymoure1997|p","secondary","published",""
"Rhinolophus ferrumequinum","Audible_freq_high_60dB.kHz","kHz",102.896205,"air",1,"Koay_etal_1998_Figure6","long1975","secondary","digitised_from_figure",""
"Rhinolophus rouxii","Visual_acuity.cdeg","c/deg",0.4,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","secondary","published",""
"Rousettus aegyptiacus","Audible_freq_high_60dB.kHz","kHz",64.02819,"air",1,"Koay_etal_1998_Figure6","SELF:Koay_etal_1998_Figure6:Egyptian fruit bat","primary","digitised_from_figure",""
"Rousettus madagascariensis","Visual_acuity.cdeg","c/deg",3,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","secondary","published",""
"Saguinus midas","Visual_acuity.cdeg","c/deg",24.87,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+franco2000|b","secondary","published",""
"Saimiri sciureus","Audible_freq_high_60dB.kHz","kHz",43.120234,"air",1,"Koay_etal_1998_Figure6","beecher1974b","secondary","digitised_from_figure",""
"Saimiri sciureus","Visual_acuity.cdeg","c/deg",40.5,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","cowey1967|a","secondary","published",""
"Sarcophilus harrisii","Visual_acuity.cdeg","c/deg",4.75,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+tancred1981|e","secondary","published",""
"Sciurus carolinensis","Visual_acuity.cdeg","c/deg",3.9,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","jacobs1982|g","secondary","published",""
"Sciurus niger","Audible_freq_high_60dB.kHz","kHz",48.870822,"air",1,"Koay_etal_1998_Figure6","jackson1997","secondary","digitised_from_figure",""
"Sciurus niger","Visual_acuity.cdeg","c/deg",3.9,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","jacobs1982|g","secondary","published",""
"Setonix brachyurus","Visual_acuity.cdeg","c/deg",4,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","arrese1999|c+fleming1997|p","secondary","published",""
"Sigmodon hispidus","Audible_freq_high_60dB.kHz","kHz",72.090537,"air",1,"Koay_etal_1998_Figure6","heffner1980|h","secondary","digitised_from_figure",""
"Sminthopsis crassicaudata","Visual_acuity.cdeg","c/deg",2.36,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","arrese1999|c","secondary","published",""
"Spermophilus beecheyi","Visual_acuity.cdeg","c/deg",4,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","drickamer1970|l","secondary","published",""
"Suricata suricatta","Visual_acuity.cdeg","c/deg",6.3,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","moran1983|g","secondary","published",""
"Sus scrofa","Audible_freq_high_60dB.kHz","kHz",40.906196,"air",1,"Koay_etal_1998_Figure6","heffner1990a|r","secondary","digitised_from_figure",""
"Sus scrofa","Binocular_field.deg","deg",47,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:pig","primary","published",""
"Sus scrofa","Field_of_best_vision.deg","deg",11.6,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:pig","primary","published",""
"Sus scrofa","Sound_localization_threshold.deg","deg",4.6,"air",1,"Heffner_Heffner_1992_a_Table1","heffner1989|r","secondary","published",""
"Sus scrofa","Visual_acuity.cdeg","c/deg",8.96,"air",2,"Heffner_Heffner_1992_a_Table1; Veilleux_Kirk_2014_SupplementalTable1","garcá2005|m+guthoff1987|r; SELF:Heffner_Heffner_1992_a_Table1:pig","secondary","published",""
"Sylvilagus floridanus","Audible_freq_high_60dB.kHz","kHz",56,"air",1,"Heffner_etal_2020_Figure3","SELF:Heffner_etal_2020_Figure3","primary","published",""
"Sylvilagus floridanus","Audible_freq_low_60dB.kHz","kHz",0.3,"air",1,"Heffner_etal_2020_Figure3","SELF:Heffner_etal_2020_Figure3","primary","published",""
"Sylvilagus floridanus","Hearing_range.octaves","octaves",7.544321,"air",0,"DERIVED from the merged limits","","derived","recomputed",""
"Sylvilagus floridanus","Sound_localization_threshold.deg","deg",27.6,"air",1,"Heffner_etal_2020_Figure3","SELF:Heffner_etal_2020_Figure3","primary","published",""
"Tachyglossus aculeatus","Visual_acuity.cdeg","c/deg",1.69,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","howland2004|h+stone1983|j","secondary","published",""
"Tamias striatus","Audible_freq_high_60dB.kHz","kHz",52.544367,"air",1,"Koay_etal_1998_Figure6","heffner1989|r","secondary","digitised_from_figure",""
"Taphozous georgianus","Visual_acuity.cdeg","c/deg",1.3,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","secondary","published",""
"Tarsipes rostratus","Visual_acuity.cdeg","c/deg",0.63,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","arrese2002|c","secondary","published",""
"Tarsius syrichta","Visual_acuity.cdeg","c/deg",8.89,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","veilleux2009|c","secondary","published",""
"Thylamys elegans","Audible_freq_high_60dB.kHz","kHz",78.021856,"air",1,"Koay_etal_1998_Figure6","frost1994","secondary","digitised_from_figure",""
"Trichosurus vulpecula","Visual_acuity.cdeg","c/deg",4.8,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","freeman1978|b","secondary","published",""
"Tupaia belangeri","Visual_acuity.cdeg","c/deg",2.4,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","petry1984|h","secondary","published",""
"Tupaia glis","Audible_freq_high_60dB.kHz","kHz",61.142151,"air",1,"Koay_etal_1998_Figure6","heffner1969a|h","secondary","digitised_from_figure",""
"Tupaia glis","Visual_acuity.cdeg","c/deg",4.7,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","schäfer1969|d","secondary","published",""
"Tursiops truncatus","Audible_freq_high_60dB.kHz","kHz",143.045583,"underwater",1,"Koay_etal_1998_Figure6","johnson1967","secondary","digitised_from_figure",""
"Tursiops truncatus","Sound_localization_threshold.deg","deg",1.1,"air",1,"Heffner_Heffner_1992_a_Table1","renaud1975","secondary","published",""
"Zalophus californianus","Audible_freq_high_60dB.kHz","kHz",32.696257,"air",1,"Koay_etal_1998_Figure6","schusterman1972","secondary","digitised_from_figure",""
"Zalophus californianus","Sound_localization_threshold.deg","deg",8.8,"air",1,"Heffner_Heffner_1992_a_Table1","moore1975","secondary","published",""
"Zalophus californianus","Visual_acuity.cdeg","c/deg",4.3,"air",1,"Heffner_Heffner_1992_a_Table1","schusterman1972","secondary","published",""
