"Species","Measure","Units","Value","Medium","n_studies","Sources","Study_keys","Data_role","value_origin","value_range"
"Crocuta crocuta","Visual_acuity.cdeg","c/deg",8.4,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","calderone2003|j","secondary","published",""
"Cuniculus paca","Visual_acuity.cdeg","c/deg",2.8,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","silveira1989|c","secondary","published",""
"Cynomys leucurus","Audible_freq_high_60dB.kHz","kHz",26.134065,"air",1,"Koay_etal_1998_Figure6","heffner1994|r","secondary","digitised_from_figure",""
"Cynomys ludovicianus","Audible_freq_high_60dB.kHz","kHz",26.134065,"air",1,"Koay_etal_1998_Figure6","heffner1994|r","secondary","digitised_from_figure",""
"Dama dama","Visual_acuity.cdeg","c/deg",18.48,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+hughes1977|a","secondary","published",""
"Dasyprocta leporina","Visual_acuity.cdeg","c/deg",6.21,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","silveira1989|c","secondary","published",""
"Dasyurus hallucatus","Visual_acuity.cdeg","c/deg",2.8,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","harman1986|a","secondary","published",""
"Desmodus rotundus","Visual_acuity.cdeg","c/deg",0.625,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","manske1976|u","secondary","published",""
"Diceros bicornis","Visual_acuity.cdeg","c/deg",6,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pettigrew2008|j","secondary","published",""
"Didelphis marsupialis","Visual_acuity.cdeg","c/deg",1.25,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","silveira1982|l","secondary","published",""
"Didelphis virginiana","Audible_freq_high_60dB.kHz","kHz",68.841091,"air",1,"Koay_etal_1998_Figure6","ravizza1969a","secondary","digitised_from_figure",""
"Didelphis virginiana","Binocular_field.deg","deg",77,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:opossum","primary","published",""
"Didelphis virginiana","Field_of_best_vision.deg","deg",15.8,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:opossum","primary","published",""
"Didelphis virginiana","Sound_localization_threshold.deg","deg",4.6,"air",1,"Heffner_Heffner_1992_a_Table1","ravizza1972","secondary","published",""
"Didelphis virginiana","Visual_acuity.cdeg","c/deg",2.145,"air",2,"Heffner_Heffner_1992_a_Table1; Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+kolb1985|h; silveira1982","secondary","published",""
"Dipodomys merriami","Audible_freq_high_60dB.kHz","kHz",51.856496,"air",1,"Koay_etal_1998_Figure6","heffner1980|h","secondary","digitised_from_figure",""
"Dipodomys merriami","Binocular_field.deg","deg",20,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:kangaroo rat","primary","published",""
"Dipodomys merriami","Sound_localization_threshold.deg","deg",27,"air",1,"Heffner_Heffner_1992_a_Table1","heffner1980|h","secondary","published",""
"Elephas maximus","Audible_freq_high_60dB.kHz","kHz",10.458231,"air",1,"Koay_etal_1998_Figure6","heffner1980|r","secondary","digitised_from_figure",""
"Elephas maximus","Binocular_field.deg","deg",80,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:elephant","primary","published",""
"Elephas maximus","Sound_localization_threshold.deg","deg",1.2,"air",1,"Heffner_Heffner_1992_a_Table1","heffner1982|r","secondary","published",""
"Ellobius lutescens","Visual_acuity.cdeg","c/deg",0.4,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","herbin1994|m","secondary","published",""
"Ellobius talpinus","Visual_acuity.cdeg","c/deg",0.9,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","herbin1994|m","secondary","published",""
"Enhydra lutris","Visual_acuity.cdeg","c/deg",4.2,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","mass2000|a","secondary","published",""
"Eptesicus fuscus","Audible_freq_high_60dB.kHz","kHz",106.3425,"air",1,"Koay_etal_1998_Figure6","koay1997","secondary","digitised_from_figure",""
"Eptesicus fuscus","Visual_acuity.cdeg","c/deg",0.5,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","bell1986|g","secondary","published",""
"Equus caballus","Audible_freq_high_60dB.kHz","kHz",33.348979,"air",1,"Koay_etal_1998_Figure6","heffner1983|r","secondary","digitised_from_figure",""
"Equus caballus","Binocular_field.deg","deg",28,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:horse","primary","published",""
"Equus caballus","Sound_localization_threshold.deg","deg",25,"air",1,"Heffner_Heffner_1992_a_Table1","heffner1984|h","secondary","published",""
"Equus caballus","Visual_acuity.cdeg","c/deg",23.3,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","timney1992|b","secondary","published",""
"Eulemur fulvus","Audible_freq_high_60dB.kHz","kHz",43.405285,"air",1,"Koay_etal_1998_Figure6","sutherland1988","secondary","digitised_from_figure",""
"Eulemur macaco","Visual_acuity.cdeg","c/deg",5.14,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","veilleux2009|c","secondary","published",""
"Felis catus","Audible_freq_high_60dB.kHz","kHz",79.579423,"air",1,"Koay_etal_1998_Figure6","heffner1985b|r","secondary","digitised_from_figure",""
"Felis catus","Binocular_field.deg","deg",105,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:cat","primary","published",""
"Felis catus","Field_of_best_vision.deg","deg",4.9,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:cat","primary","published",""
"Felis catus","Sound_localization_threshold.deg","deg",5.7,"air",1,"Heffner_Heffner_1992_a_Table1","casseday1973+heffner1988c|r","secondary","published",""
"Felis catus","Visual_acuity.cdeg","c/deg",9,"air",1,"Heffner_Heffner_1992_a_Table1","belleville1986+jacobson1976","secondary","published",""
"Galago senegalensis","Audible_freq_high_60dB.kHz","kHz",65.738113,"air",1,"Koay_etal_1998_Figure6","heffner1969b|h","secondary","digitised_from_figure",""
"Galago senegalensis","Visual_acuity.cdeg","c/deg",6.7,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","treff1967|h","secondary","published",""
"Geomys bursarius","Audible_freq_high_60dB.kHz","kHz",8.753821,"air",1,"Koay_etal_1998_Figure6","heffner1990b|r","secondary","digitised_from_figure",""
"Geomys bursarius","Binocular_field.deg","deg",4,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:gopher","primary","published",""
"Geomys bursarius","Field_of_best_vision.deg","deg",166,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:gopher","primary","published",""
"Geomys bursarius","Sound_localization_threshold.deg","deg",90,"air",1,"Heffner_Heffner_1992_a_Table1","heffner1990|r","secondary","published",""
"Geomys bursarius","Visual_acuity.cdeg","c/deg",1.7,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:gopher","secondary","published",""
"Giraffa camelopardalis","Visual_acuity.cdeg","c/deg",25.46,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","coimbra2013|j","secondary","published",""
"Hemiechinus auritus","Audible_freq_high_60dB.kHz","kHz",59.551774,"air",1,"Koay_etal_1998_Figure6","ravizza1969b","secondary","digitised_from_figure",""
"Heterocephalus glaber","Audible_freq_high_60dB.kHz","kHz",11.468833,"air",1,"Koay_etal_1998_Figure6","heffner1993|r","secondary","digitised_from_figure",""
"Heterocephalus glaber","Visual_acuity.cdeg","c/deg",0.44,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","heffner1993|r","secondary","published",""
"Homo sapiens","Audible_freq_high_60dB.kHz","kHz",17.716518,"air",1,"Koay_etal_1998_Figure6","heffner1991|r","secondary","digitised_from_figure",""
