"Species","Species Generic Name","Depth","Depth_Ref","Length","Length_Ref","Dexterity","Arboreality","Diet","Hand–eye"
"Ateles ater","Spider monkey","5 ","51","8 ","53",4,4,0,2
"Canis familiaris","Dog","3 ","6","6 ","6",2,0,2,1
"Capra hircus","Goat","1 ","28","1 ","28",1,0,0,0
"Cebus apella","Capuchin monkey","5 ","52","8 ","53",5,3,2,2
"Cercopithecus pygerythrus","Vervet","5 ","52","8 ","53",6,3,1,2
"Dasypus novemcinctus","Nine-banded armadillo","3 ","18","2 ","18",1,0,3,1
"Didelphis virginiana","Virginia opossum","3 ","2","2 ","42",3,2,2,0
"Felis domesticus","Cat","3 ","51","7 ","51",2,1,4,2
"Galago crassicaudatus","Greater bushbaby","4 ","17","7 ","17",5,4,2,1
"Homo sapiens","Human","5 ","39","8 ","39",7,1,2,2
"Hylobates lar","Gibbon","5 ","52","7 ","53",6,4,0,2
"Lagothrix lagotricha","Woolly monkey","5 ","53","8 ","53",5,4,1,2
"Macaca mulatta","Rhesus macaque","5 ","52","8 ","53",6,3,2,2
"Myocastor coypus","Coypu","1 ","25","7 ","25",3,0,0,1
"Nycticebus coucang","Slow  loris","5 ","8","7 ","7",5,4,3,2
"Pan troglodytes","Chimpanzee","5 ","53","8 ","53",6,2,2,2
"Potorous tridactylus","Potoroo","2 ","43","4 ","43",2,0,0,1
"Potos flavus","Kinkajou","5 ","29","6 ","29",3,3,1,2
"Procyon lotor","Raccoon","5 ","54","7 ","62",3,2,2,2
"Rattus norvegicus","Norway rat","3 ","26","7 ","26",3,1,1,1
"Saguinus oedipus","Cotton-top marmoset","1 ","60","7 ","60",4,4,2,2
"Saimiri sciureus","Squirrel monkey","4 ","29","7 ","64",5,4,1,2
"Setonix brachyurus","Quokka","1 ","65","3 ","65",3,0,0,1
"Trichosurus vulpecula","Brush-tailed possum","3 ","44","4 ","44",3,2,1,1
"Tupaia glis","Tree shrew","1 ","37","4 ","61",3,2,3,1
