"ref_number","citation"
1,"Badyaev AV, Leaf ES. Habitat associations of song characteristics in Phylloscopus and Hippolais warblers. Auk 1997;114:40–6."
2,"Bautista NS, Matzke HA. A degeneration study of the course and extent of the pyramidal tract of the opossum. J Comp Neurol 1965;124:367–75."
3,"Bjorklund M. Are comparative methods always necessary? Oikos 1997;80:607–12."
4,"Bortoff GA, Strick PL. Corticospinal terminations in two New- World primates: further evidence that corticomotoneuronal connections provide part of the neural substrate for manual dexterity. J Neurosci 1993;13:5105–18."
5,"Broere G. Corticofugal fibers in Chiroptera. Acta Morph Neerl- Scand 1966;6:324."
6,"Buxton DF, Goodman DC. Motor function and the corticospinal tract in the dog and raccoon. J Comp Neurol 1967;129:341–60."
7,"Campbell CBG. Pyramidal tracts in primate taxonomy. Diss Abstr 1967;27:2574."
8,"Campbell CBG, Yashon D, Jane JA. The origin, course, and termination of corticospinal fibers in the slow loris Nycticebus coucang (Boddaert). J Comp Neurol 1966;127:101–12."
9,"Cartmill M. Climbing. In: Hildebrand M, Bramble DM, Liem KF, Wake DB, editors. Functional Vertebrate Morphology. Cambridge, MA: Harvard University Press, 1985:73–88."
10,"Cheverud JM, Dow MM, Leutenegger W. The quantitative assessment of phylogenetic constraints in comparative analyses: sexual dimorphism in body weight among primates. Evolution 1985;39:1335–51."
11,"Christel MI. Catarrhine primates grasping small objects: techniques and hand preferences. In: Anderson JR, Roeder JJ, Thierry B, Horenschmidt N Jr., editors. Current Primatology, Behavioural Neuroscience, Physiology and Reproduction, vol. III. Strasbourg: Universite Louis Pasteur, 1994:37–50."
12,"Devoogd TJ, Krebs JR, Healy SD, Purvis A. Relations between song repertoire size and the volume of brain nuclei related to song: comparative analyses amongst oscine birds. Proc Roy Soc Lond Ser B 1993;254:75–82."
13,"Diaz-Uriarte R, Garland T Jr. Testing hypotheses of correlated evolution using phylogenetically independent contrasts: sensitivity to deviations from Brownian motion. Syst Biol 1996;45:27– 47."
14,"Eisenberg JF, Leyhausen P. The phylogenesis of predatory behavior in mammals. Z Tierpsychol 1972;30:59–93."
15,"Fa JE, Purvis A. Body size, diet and population density in Afrotropical forest mammals: a comparison with neotropical species. J Anim Ecol 1997;66:98–112."
16,"Felsenstein J. Phylogenies and the comparative method. Am Nat 1985;125:1–15."
17,"Ferrer NG. Pyramidal system of greater galago. Anat Rec 1971;169:314."
18,"Fisher AM, Harting JK, Martin GF, Stuber MI. The origin, course and termination of corticospinal fibers in the armadillo (Dasypus no6emcinctus mexicanus). J Neurol Sci 1969;8:347–61."
19,"Garland T Jr., Carter PA. Evolutionary physiology. Ann Rev Physiol 1994;56:579–621."
20,"Garland T Jr., Dickerman AW, Janis CM, Jones JA. Phylogenetic analysis of covariance by computer simulation. Syst Biol 1993;42:265–92."
21,"Garland T Jr., Harvey PH, Ives AR. Procedures for the analysis of comparative data using phylogenetically independent contrasts. Syst Biol 1992;41:18–32."
22,"Gittleman JL. Carnivore brain size, behavioral ecology, and phylogeny. J Mamm 1986;67:23–36."
23,"Gittleman JL, Luh H-K. On comparing comparative methods. Ann Rev Ecol Syst 1992;23:383–404."
24,"Goldby F. An experimental investigation of the motor cortex and pyramidal tract of Echidna aculeata. J Anat 1939;73:509–24."
25,"Goldby F, Kacker GN. A survey of the pyramidal system on the coypu rat, Myocastor coypus. J Anat 1963;97:517–31."
26,"Goodman DC, Jarrard LE, Nelson JF. Corticospinal pathways and their sites of termination in the albino rat. Anat Rec 1966;154:462."
27,"Grillner S. Neurobiology of vertebrate motor behavior—from flexion reflexes and locomotion to manipulative movements. In: Edelman GM, Gall WE, Cowan WM, editors. Signal and Sense: Local and Global Order in Perceptual Maps. New York: Wiley, 1990:187–208."
28,"Haartsen AB, Verhaart WJC. Cortical projections to brainstem and spinal cord in the goat by way of the pyramidal tract and the bundle of Bagley. J Comp Neurol 1967;129:189–202."
29,"Harting JK, Noback CR. Corticospinal projections from the preand postcentral gyri in the squirrel monkey (Saimiri sciureus). Brain Res 1970;24:322–8."
30,"Harvey PH, Pagel MD. The Comparative Method in Evolutionary Biology. Oxford: Oxford University Press, 1991."
31,"Heffner RS, Masterton RB. The role of the corticospinal tract in the evolution of human digital dexterity. Brain Behav Evol 1983;23:165–83."
32,"Heffner RS, Masterton RB. Variation in form of the corticospinal tract and its relationship to digital dexterity. Brain Behav Evol 1975;12:161–200."
33,"Ivanco TL, Pellis SM, Whishaw IQ. Skilled forelimb movements in prey catching and in reaching by rats (Rattus nor6egicus) and opossums (Monodelphis domestica): relations to anatomical differences in motor systems. Behav Brain Res 1996;79:163–81."
34,"Iwaniuk AN, Nelson, JE. Brain size and manual dexterity in marsupials (in preparation)."
35,"Iwaniuk AN, Nelson JE, Pellis SM, Whishaw IQ. Reaching, grasping and manipulation of food objects by two tree kangaroo species, Dendrolagus lumholtzi and Dendrolagus matschiei. Austr J Zool 1998;46:235–48."
36,"Iwaniuk AN, Whishaw IQ How skilled are the skilled limb movements of the raccoon (Procyon lotor)? Behav Brain Res 1999; in press."
37,"Jane JA, Campbell CBG, Yashon D. The origin of the corticospinal tract of the tree shrew (Tupaia glis) with observations on its brainstem and spinal terminations. Brain Behav Evol 1969;2:160–82."
38,"Jeannerod M, Arbib MA, Rizzolatti G, Sakata H. Grasping objects: the cortical mechanisms of visuomotor transformation. Trends Neurosci 1995;18:314–20."
39,"Kuypers HGJM. Anatomy of the descending pathways. In: Brookhart JM, Mountcastle VB, Brooks VB, Geiger SR, editors. Handbook of Physiology, Section I.: The Nervous System. Motor Control, Part I, vol. II. Baltimore, MA: Williams and Wilkins, 1981:597–666."
40,"Luh H-K, Gittleman JL, Kot M. Phylogenetic Autocorrelation (PA): A Manual. available from the authors at the Department of Zoology, University of Tennessee, 1995."
41,"Maier MA, Olivier E, Baker SN, Kirkwood PA, Morris T, Lemon RN. Direct and indirect corticospinal control of arm and hand motoneurones in the squirrel monkey (Saimiri sciureus). J Neurophysiol 1997;78:721–33."
42,"Martin GF, Fisher OM. A further examination of the origin, the course and the termination of the opossum corticospinal tract. J Neurol Sci 1968;7:177–87."
