"species_sci","Species","Order","Family","Captive_or_wild","Arboreal_terrestrial","Body_Mass.g","Intermembral_index","Locomotor_diversity_index","Citation"
"Lepilemur edwardsi","Lepilemur edwardsi","Primates","Lepilemuridae","W","A",931,60,1.15243525834186,"(Warren & Crompton, 1997)"
"Avahi occidentalis","Avahi occidentalis","Primates","Indriidae","W","A",801.5,NA,1.14885486473691,"(Warren & Crompton, 1997)"
"Propithecus diadema","Propithecus diadema","Primates","Indriidae","W","A",6130,64,0.422365483073509,"(Dagosto & Yamashita, 1998)"
"Propithecus diadema","Propithecus diadema","Primates","Indriidae","W","A",6130,64,0.548153076997243,"(Dagosto & Yamashita, 1998)"
"Propithecus verreauxi","Propithecus verreauxi","Primates","Indriidae","C","A",2955,59,1.37244158736962,"(Gebo, 1987)"
"Propithecus verreauxi verreauxi","Propithecus verreauxi verreauxi","Primates","Indriidae","W","A",2955,59,1.00425154506567,"(Lawler, 2006)"
"Propithecus verreauxi verreauxi","Propithecus verreauxi verreauxi","Primates","Indriidae","W","A",2955,59,0.971287708335438,"(Furnell et al., 2015)"
"Propithecus verreauxi verreauxi","Propithecus verreauxi verreauxi","Primates","Indriidae","W","A",2955,59,0.873376471896216,"(Furnell et al., 2015)"
"Tarsius bancanus","Tarsius bancanus","Primates","Tarsiidae","W","A",122.5,52,0.861711959324643,"(Crompton & Andau, 1986)"
"Tarsius bancanus","Tarsius bancanus","Primates","Tarsiidae","W","A",122.5,52,1.00743328732766,"(Crompton, 1989)"
"Tarsius bancanus","Tarsius bancanus","Primates","Tarsiidae","C","A",122.5,52,0.471393486810094,"(Niemitz, 1984)"
"Tarsius dentatus","Tarsius dentatus","Primates","Tarsiidae","W","A",111.5,55,1.10856520816426,"(Tremble, Muskita & Supriatna, 1993)"
"Tarsius tarsier","Tarsius tarsier","Primates","Tarsiidae","W","A",103,55,0.904363612551585,"(MacKinnon & MacKinnon, 1980)"
"Carlito syrichta","Carlito syrichta","Primates","Tarsiidae","W","A",127,58,1.05168775175858,"(Reason, 1978)"
"Carlito syrichta","Carlito syrichta","Primates","Tarsiidae","W","A",127,58,1.05876776435606,"(Dagosto, Gebo & Dolino, 2001)"
"Carlito syrichta","Carlito syrichta","Primates","Tarsiidae","C","A",127,58,0.984301599047729,"(Gebo, 1987)"
