accepted_name,source_publication,variant_name
Ailurus fulgens,Bush_Allman_2003,Ailurus fulgens
Ailurus fulgens,Bush_Allman_2004_a,Ailurus fulgens
Alouatta palliata,Bush_Allman_2003,Alouatta palliata
Alouatta palliata,Bush_Allman_2004_a,Alouatta palliata
Alouatta palliata,Bush_Allman_2004_b,Alouatta palliata
Aotus trivirgatus,Bush_Allman_2003,Aotus trivirgatus
Aotus trivirgatus,Bush_Allman_2004_a,Aotus trivirgatus
Aotus trivirgatus,Bush_Allman_2004_b,Aotus trivirgatus
Aplodontia rufa,Bush_Allman_2003,Applodontia rufa
Aplodontia rufa,Bush_Allman_2004_a,Applodontia rufa
Ateles sp.,Bush_Allman_2003,Ateles sp.
Ateles sp.,Bush_Allman_2004_a,Ateles sp.
Ateles sp.,Bush_Allman_2004_b,Ateles sp.
Callicebus sp.,Bush_Allman_2003,Callicebus sp.
Callicebus sp.,Bush_Allman_2004_a,Callicebus sp.
Callicebus sp.,Bush_Allman_2004_b,Callicebus sp.
Canis latrans,Bush_Allman_2003,Canis latrans
Canis latrans,Bush_Allman_2004_a,Canis latrans
Cercocebus torquatus,Bush_Allman_2003,Cercocebus torquatus
Cercocebus torquatus,Bush_Allman_2004_a,Cercocebus torquatus
Cercocebus torquatus,Bush_Allman_2004_b,Cercocebus torquatus
Cercopithecus nictitans,Bush_Allman_2003,Cercopithecus nictitans
Cercopithecus nictitans,Bush_Allman_2004_a,Cercopithecus nictitans
Cercopithecus nictitans,Bush_Allman_2004_b,Cercopithecus nictitans
Cheirogaleus medius,Bush_Allman_2004_a,Cheirogaleus medius
Chinchilla laniger,Bush_Allman_2003,Chinchilla laniger
Chinchilla laniger,Bush_Allman_2004_a,Chinchilla laniger
Choloepus didactylus,Bush_Allman_2003,Choloepus didactylis
Choloepus didactylus,Bush_Allman_2004_a,Choloepus didactylis
Crocuta crocuta,Bush_Allman_2003,Crocuta crocuta
Crocuta crocuta,Bush_Allman_2004_a,Crocuta crocuta
Cynictis penicillata,Bush_Allman_2004_a,Cynictis penicillata
Daubentonia madagascariensis,Bush_Allman_2004_a,Daubentonia madagascariensis
Didelphis marsupialis,Bush_Allman_2003,Didelphis marsupialis
Didelphis marsupialis,Bush_Allman_2004_a,Didelphis marsupialis
Equus burchelli,Bush_Allman_2003,Equus burchelli
Equus burchelli,Bush_Allman_2004_a,Equus burchelli
Eulemur mongoz,Bush_Allman_2003,Eulemur mongoz
Eulemur mongoz,Bush_Allman_2004_a,Eulemur mongoz
Eulemur mongoz,Bush_Allman_2004_b,Eulemur mongoz
Galago senegalensis,Bush_Allman_2003,Galago senegalensis
Galago senegalensis,Bush_Allman_2004_a,Galago senegalensis
Galago senegalensis,Bush_Allman_2004_b,Galago senegalensis
Galictis vittatus,Bush_Allman_2003,Galictis vitatus
Galictis vittatus,Bush_Allman_2004_a,Galictis vitatus
Homo sapiens,Bush_Allman_2004_a,Homo Sapiens
Homo sapiens,Bush_Allman_2004_b,Homo sapiens
Hylobates lar,Bush_Allman_2003,Hylobates lar
Hylobates lar,Bush_Allman_2004_a,Hylobates Lar
Hylobates lar,Bush_Allman_2004_b,Hylobates lar
Lama glama,Bush_Allman_2004_a,Llama glama
Lemur catta,Bush_Allman_2003,Lemur catta
Lemur catta,Bush_Allman_2004_a,Lemur catta
Lemur catta,Bush_Allman_2004_b,Lemur catta
Macaca mulatta,Bush_Allman_2003,Macaca mulatta
Macaca mulatta,Bush_Allman_2004_a,Macaca mulatta
Macaca mulatta,Bush_Allman_2004_b,Macaca mulatta
Mandrillus sphinx,Bush_Allman_2003,Mandrillus sphinx
Mandrillus sphinx,Bush_Allman_2004_a,Mandrillus sphinx
Marmosa mitis,Bush_Allman_2003,Marmosa mitis
Marmosa mitis,Bush_Allman_2004_a,Marmosa mitis
Microcebus murinus,Bush_Allman_2003,Microcebus urinus
Microcebus murinus,Bush_Allman_2004_a,Microcebus murinus
Microcebus murinus,Bush_Allman_2004_b,Microcebus murinus
Mustela erminea,Bush_Allman_2004_a,Mustela erminea
Mustela putorius,Bush_Allman_2003,Mustela putorius
Mustela putorius,Bush_Allman_2004_a,Mustela putorius
Mustela vison,Bush_Allman_2003,Mustela vison
Mustela vison,Bush_Allman_2004_a,Mustela vison
Myoxus glis,Bush_Allman_2003,Myoxus glis
Myoxus glis,Bush_Allman_2004_a,Myoxus glis
Myrmecophaga tridactyla,Bush_Allman_2003,Myrmecophaga tridactyla
Myrmecophaga tridactyla,Bush_Allman_2004_a,Myrmecophaga tridactyla
Nasua narica,Bush_Allman_2003,Nasua narica
Nasua narica,Bush_Allman_2004_a,Nasua narica
Nycticebus coucang,Bush_Allman_2003,Nycticebus coucang
Nycticebus coucang,Bush_Allman_2004_a,Nycticebus coucang
Nycticebus coucang,Bush_Allman_2004_b,Nycticebus coucang
Odocoileus virginianus,Bush_Allman_2003,Odocoileus virginianus
Odocoileus virginianus,Bush_Allman_2004_a,Odocoileus virginianus
Otolemur crassicaudatus,Bush_Allman_2003,Otolemur crassicaudatus
Otolemur crassicaudatus,Bush_Allman_2004_a,Otolemur crassicaudatus
Otolemur crassicaudatus,Bush_Allman_2004_b,Otolemur crassicaudatus
Pan troglodytes,Bush_Allman_2003,Pan troglodytes
Pan troglodytes,Bush_Allman_2004_a,Pan troglodytes
Pan troglodytes,Bush_Allman_2004_b,Pan troglodytes
Panthera leo,Bush_Allman_2004_a,Panthera leo
Papio hamadryas,Bush_Allman_2003,Papio hamadryas
Papio hamadryas,Bush_Allman_2004_a,Papio hamadryas
Papio hamadryas,Bush_Allman_2004_b,Papio hamadryas
Perodicticus potto,Bush_Allman_2003,Perodicticus potto
Perodicticus potto,Bush_Allman_2004_a,Perodicticus Potto
Perodicticus potto,Bush_Allman_2004_b,Perodicticus potto
Potos flavus,Bush_Allman_2003,Potos flavus
Potos flavus,Bush_Allman_2004_a,Potos flavus
Procavia capensis,Bush_Allman_2003,Procavia capensis
Procavia capensis,Bush_Allman_2004_a,Procavia capensis
Procyon lotor,Bush_Allman_2004_a,Procyon lotor
Propithecus verreauxi,Bush_Allman_2004_a,Propithecus verreauxi
Rattus norvegicus,Bush_Allman_2003,Rattus norvegicus
Rattus norvegicus,Bush_Allman_2004_a,Rattus norvegicus
Saimiri sciureus,Bush_Allman_2003,Saimiri sciureus
Saimiri sciureus,Bush_Allman_2004_a,Saimiri sciureus
Saimiri sciureus,Bush_Allman_2004_b,Saimiri sciureus
Sciurus carolinensis,Bush_Allman_2003,Sciurus carolinensis
Sciurus carolinensis,Bush_Allman_2004_a,Sciurus carolinensis
Semnopithecus entellus,Bush_Allman_2003,Semnopithecus entellus
Semnopithecus entellus,Bush_Allman_2004_a,Semnopithecus entellus
Semnopithecus entellus,Bush_Allman_2004_b,Semnopithecus entellus
Tamandua tetradactyla,Bush_Allman_2003,Tamandua tatradactyla
Tamandua tetradactyla,Bush_Allman_2004_a,Tamandua tetradactyla
Tarsius syrichta,Bush_Allman_2003,Tarsius syricta
Tarsius syrichta,Bush_Allman_2004_a,Tarsius syrichta
Tarsius syrichta,Bush_Allman_2004_b,Tarsius syrichta
Tayassu tajacu,Bush_Allman_2003,Tayassu tajacu
Tayassu tajacu,Bush_Allman_2004_a,Tayassu tajacu
Ursus maritimus,Bush_Allman_2004_a,Ursus maritimus
Vulpes zerda,Bush_Allman_2003,Vulpes zerda
Vulpes zerda,Bush_Allman_2004_a,Vulpes zerda
Zalophus californianus,Bush_Allman_2003,Zalophus californianus
Zalophus californianus,Bush_Allman_2004_a,Zalophus californianus
