"file","identifier","id_type","table_label","url","readme","n_rows","n_cols","columns","citation","citation_short","first_author","year"
"10.1016%2Fj.jhevol.2008.08.004_TableS1.tsv","10.1016/j.jhevol.2008.08.004","DOI","TableS1","https://doi.org/10.1016/j.jhevol.2008.08.004","",3813,22,"Count; Order; Suborder; Infraorder; Parvorder; Superfamily; Family; Subfamily; Species group or subgenus; Genus; Species; Subspecies; Museum; Catalogue number; ECV measured by; Country of origin; Location; Additional information; Wild/captive; Body mass (g); Sex; ECV (cc)","Isler, K., Christopher Kirk, E., Miller, J. M. A., Albrecht, G. A., Gelvin, B. R., & Martin, R. D. (2008). Endocranial volumes of primate species: scaling analyses using a comprehensive and reliable data set. J Hum Evol, 55(6), 967. https://doi.org/10.1016/j.jhevol.2008.08.004","Isler et al. (2008)","Isler","2008"
"10.1016%2Fj.jhevol.2008.08.004_TableS2.tsv","10.1016/j.jhevol.2008.08.004","DOI","TableS2","https://doi.org/10.1016/j.jhevol.2008.08.004","",293,27,"Count Taxonomy; Order; Suborder; Infraorder; Parvorder; Superfamily; Family; Subfamily; Species group; Species; Subspecies; Data quality (ok if ≥ 4 individuals, at least 2m and 2f in anthropoids); Calculation of ECV species mean; Source of ECV; Source of body mass; ECV male mean; ECV female mean; ECV species mean; N male; N female; N species; Body mass male mean; Body mass female mean; Body mass species mean; N body mass male; N body mass female; N body mass species","Isler, K., Christopher Kirk, E., Miller, J. M. A., Albrecht, G. A., Gelvin, B. R., & Martin, R. D. (2008). Endocranial volumes of primate species: scaling analyses using a comprehensive and reliable data set. J Hum Evol, 55(6), 967. https://doi.org/10.1016/j.jhevol.2008.08.004","Isler et al. (2008)","Isler","2008"
"10.1016%2Fj.jhevol.2008.08.004_TableS3.tsv","10.1016/j.jhevol.2008.08.004","DOI","TableS3","https://doi.org/10.1016/j.jhevol.2008.08.004","",46,12,"Count; Usage; Genus species; Body mass (g); BMR (ml O2/h); Sources BMR; Female body mass (g); Gestation length (d); Lactation length (d); Source gestation length; Source lactation length; Remarks BMR","Isler, K., Christopher Kirk, E., Miller, J. M. A., Albrecht, G. A., Gelvin, B. R., & Martin, R. D. (2008). Endocranial volumes of primate species: scaling analyses using a comprehensive and reliable data set. J Hum Evol, 55(6), 967. https://doi.org/10.1016/j.jhevol.2008.08.004","Isler et al. (2008)","Isler","2008"
"10.1016%2Fj.jhevol.2009.11.011_SupTable2.tsv","10.1016/j.jhevol.2009.11.011","DOI","SupTable2","https://doi.org/10.1016/j.jhevol.2009.11.011","",44,12,"species; species_as_published; brain_volume_cm3; brain_N; neocortex_volume_cm3; neocortex_N; V1_area_striata_volume_cm3; V1_N; LGN_volume_cm3; LGN_N; source; correction","de Sousa, A. A., Sherwood, C. C., Mohlberg, H., Amunts, K., Schleicher, A., MacLeod, C. E., Hof, P. R., Frahm, H., & Zilles, K. (2010). Hominoid visual brain structure volumes and the position of the lunate sulcus. J Hum Evol, 58(4), 281-292. https://doi.org/10.1016/j.jhevol.2009.11.011","deSousa et al. (2010)","deSousa","2010"
"10.1016%2Fj.jhevol.2009.11.011_Table1.tsv","10.1016/j.jhevol.2009.11.011","DOI","Table1","https://doi.org/10.1016/j.jhevol.2009.11.011","",29,13,"species; species_as_published; code; collection; brain_mass_g; correction_factor; brain_volume_cm3; left_V1_volume_cm3; left_LGN_volume_cm3; neocortex_volume_cm3; cf_assumed; source; correction","de Sousa, A. A., Sherwood, C. C., Mohlberg, H., Amunts, K., Schleicher, A., MacLeod, C. E., Hof, P. R., Frahm, H., & Zilles, K. (2010). Hominoid visual brain structure volumes and the position of the lunate sulcus. J Hum Evol, 58(4), 281-292. https://doi.org/10.1016/j.jhevol.2009.11.011","deSousa et al. (2010)","deSousa","2010"
"10.1016%2Fj.jhevol.2012.03.007_Table2.tsv","10.1016/j.jhevol.2012.03.007","DOI","Table2","https://doi.org/10.1016/j.jhevol.2012.03.007","",9,9,"Lobe_Balzeau2012; Structure; Sample; n; Slope; Intercept; Rsquared; p_code; source","Balzeau, A., Holloway, R. L., & Grimaud-Herve, D. (2012). Variations and asymmetries in regional brain surface in the genus Homo. J Hum Evol, 62(6), 696-706. https://doi.org/10.1016/j.jhevol.2012.03.007","Balzeau et al. (2012)","Balzeau","2012"
"10.1016%2Fj.jhevol.2012.03.007_Table3.tsv","10.1016/j.jhevol.2012.03.007","DOI","Table3","https://doi.org/10.1016/j.jhevol.2012.03.007","",15,7,"Sample; Structure_Balzeau2012; Structure; n; Mean_surface_sizecorrected; V_star; source","Balzeau, A., Holloway, R. L., & Grimaud-Herve, D. (2012). Variations and asymmetries in regional brain surface in the genus Homo. J Hum Evol, 62(6), 696-706. https://doi.org/10.1016/j.jhevol.2012.03.007","Balzeau et al. (2012)","Balzeau","2012"
"10.1016%2Fj.jhevol.2012.03.007_Table5.tsv","10.1016/j.jhevol.2012.03.007","DOI","Table5","https://doi.org/10.1016/j.jhevol.2012.03.007","",15,7,"Sample; Structure_Balzeau2012; Structure; n; Mean_pct_of_hemisphere; V_star; source","Balzeau, A., Holloway, R. L., & Grimaud-Herve, D. (2012). Variations and asymmetries in regional brain surface in the genus Homo. J Hum Evol, 62(6), 696-706. https://doi.org/10.1016/j.jhevol.2012.03.007","Balzeau et al. (2012)","Balzeau","2012"
"10.1016%2Fj.jhevol.2012.12.003_Table1.tsv","10.1016/j.jhevol.2012.12.003","DOI","Table1","https://doi.org/10.1016/j.jhevol.2012.12.003","",43,15,"Species; Individual; Collection; section_thickness_mm; age; sex; body_mass_g; social_group_size; brain_mass_mg; brain_volume_mm3; granular_L_mm3; dysgranular_L_mm3; agranular_L_mm3; FI_L_mm3; total_insula_L_mm3","Bauernfeind, A. L., de Sousa, A. A., Avasthi, T., Dobson, S. D., Raghanti, M. A., Lewandowski, A. H., Zilles, K., Semendeferi, K., Allman, J. M., Craig, A. D., Hof, P. R., & Sherwood, C. C. (2013). A volumetric comparison of the insular cortex and its subregions in primates. J Hum Evol, 64(4), 263-279. https://doi.org/10.1016/j.jhevol.2012.12.003","Bauernfeind et al. (2013)","Bauernfeind","2013"
"10.1016%2Fj.jhevol.2012.12.003_Table2.tsv","10.1016/j.jhevol.2012.12.003","DOI","Table2","https://doi.org/10.1016/j.jhevol.2012.12.003","",15,7,"Species; Individual; granular_R_mm3; dysgranular_R_mm3; agranular_R_mm3; FI_R_mm3; total_insula_R_mm3","Bauernfeind, A. L., de Sousa, A. A., Avasthi, T., Dobson, S. D., Raghanti, M. A., Lewandowski, A. H., Zilles, K., Semendeferi, K., Allman, J. M., Craig, A. D., Hof, P. R., & Sherwood, C. C. (2013). A volumetric comparison of the insular cortex and its subregions in primates. J Hum Evol, 64(4), 263-279. https://doi.org/10.1016/j.jhevol.2012.12.003","Bauernfeind et al. (2013)","Bauernfeind","2013"
