"file","identifier","id_type","table_label","url","readme","n_rows","n_cols","columns","citation","citation_short","first_author","year"
"10.1037%2F0735-7036.115.1.29_Table3.tsv","10.1037/0735-7036.115.1.29","DOI","Table3","https://doi.org/10.1037/0735-7036.115.1.29","",58,8,"Family; Species; Play frequency; Play frequency Minimum; Play frequency Maximum; Play wrestling; EQ; Neocortex","Iwaniuk, A. N., Nelson, J. E., & Pellis, S. M. (2001). Do big-brained animals play more? Comparative analyses of play and relative brain size in mammals. J Comp Psychol, 115(1), 29-41. https://doi.org/10.1037/0735-7036.115.1.29","Iwaniuk et al. (2001)","Iwaniuk","2001"
"10.1037%2F0735-7036.115.1.29_Table4.tsv","10.1037/0735-7036.115.1.29","DOI","Table4","https://doi.org/10.1037/0735-7036.115.1.29","",64,7,"Family; Species; Sex play; Non-sex play; Total play; Brain size; Neocortex size","Iwaniuk, A. N., Nelson, J. E., & Pellis, S. M. (2001). Do big-brained animals play more? Comparative analyses of play and relative brain size in mammals. J Comp Psychol, 115(1), 29-41. https://doi.org/10.1037/0735-7036.115.1.29","Iwaniuk et al. (2001)","Iwaniuk","2001"
"10.1038%2Fs41467-020-14356-3_SupplementaryData3.tsv","10.1038/s41467-020-14356-3","DOI","SupplementaryData3","https://doi.org/10.1038/s41467-020-14356-3","",1800,1,"Table 1","Chen, Z., & Wiens, J. J. (2020). The origins of acoustic communication in vertebrates. Nature Communications, 11(1), 369. https://doi.org/10.1038/s41467-020-14356-3","Chen et al. (2020)","Chen","2020"
"10.1038%2Fs41598-018-24331-0_ExtendedDataFigure4.tsv","10.1038/s41598-018-24331-0","DOI","ExtendedDataFigure4","https://doi.org/10.1038/s41598-018-24331-0","",13,8,"Region_code; Structure; Subregion; NT_rel; EH_rel; MH_rel; source; note","Kochiyama, T., Ogihara, N., Tanabe, H. C., Kondo, O., Amano, H., Hasegawa, K., Suzuki, H., Ponce de Leon, M. S., Zollikofer, C. P. E., Bastir, M., Stringer, C., Sadato, N., & Akazawa, T. (2018). Reconstructing the Neanderthal brain using computational anatomy. Sci Rep, 8(1), 6296. https://doi.org/10.1038/s41598-018-24331-0","Kochiyama et al. (2018)","Kochiyama","2018"
"10.1038%2Fs41598-018-24331-0_ExtendedDataTable1.tsv","10.1038/s41598-018-24331-0","DOI","ExtendedDataTable1","https://doi.org/10.1038/s41598-018-24331-0","",13,6,"Region_code; Structure; Subregion; AAL_atlas_regions; n_AAL_regions; source","Kochiyama, T., Ogihara, N., Tanabe, H. C., Kondo, O., Amano, H., Hasegawa, K., Suzuki, H., Ponce de Leon, M. S., Zollikofer, C. P. E., Bastir, M., Stringer, C., Sadato, N., & Akazawa, T. (2018). Reconstructing the Neanderthal brain using computational anatomy. Sci Rep, 8(1), 6296. https://doi.org/10.1038/s41598-018-24331-0","Kochiyama et al. (2018)","Kochiyama","2018"
"10.1038%2Fs41598-018-24331-0_ExtendedDataTable3.tsv","10.1038/s41598-018-24331-0","DOI","ExtendedDataTable3","https://doi.org/10.1038/s41598-018-24331-0","",13,10,"Region_code; Structure; Subregion; F_2_1190; p; t_NTvsEH; t_NTvsMH; t_EHvsMH; significant_ANOVA; source","Kochiyama, T., Ogihara, N., Tanabe, H. C., Kondo, O., Amano, H., Hasegawa, K., Suzuki, H., Ponce de Leon, M. S., Zollikofer, C. P. E., Bastir, M., Stringer, C., Sadato, N., & Akazawa, T. (2018). Reconstructing the Neanderthal brain using computational anatomy. Sci Rep, 8(1), 6296. https://doi.org/10.1038/s41598-018-24331-0","Kochiyama et al. (2018)","Kochiyama","2018"
"10.1038%2Fs41598-018-24331-0_Figure3A.tsv","10.1038/s41598-018-24331-0","DOI","Figure3A","https://doi.org/10.1038/s41598-018-24331-0","",13,8,"Region_code; Structure; Subregion; NT_rel; EH_rel; MH_rel; source; note","Kochiyama, T., Ogihara, N., Tanabe, H. C., Kondo, O., Amano, H., Hasegawa, K., Suzuki, H., Ponce de Leon, M. S., Zollikofer, C. P. E., Bastir, M., Stringer, C., Sadato, N., & Akazawa, T. (2018). Reconstructing the Neanderthal brain using computational anatomy. Sci Rep, 8(1), 6296. https://doi.org/10.1038/s41598-018-24331-0","Kochiyama et al. (2018)","Kochiyama","2018"
"10.1038%2Fs41598-018-24331-0_Figure3B.tsv","10.1038/s41598-018-24331-0","DOI","Figure3B","https://doi.org/10.1038/s41598-018-24331-0","",12,9,"Region_code; Structure; Subregion; Group_code; Group; Hemisphere; Volume_cc; source; note","Kochiyama, T., Ogihara, N., Tanabe, H. C., Kondo, O., Amano, H., Hasegawa, K., Suzuki, H., Ponce de Leon, M. S., Zollikofer, C. P. E., Bastir, M., Stringer, C., Sadato, N., & Akazawa, T. (2018). Reconstructing the Neanderthal brain using computational anatomy. Sci Rep, 8(1), 6296. https://doi.org/10.1038/s41598-018-24331-0","Kochiyama et al. (2018)","Kochiyama","2018"
"10.1038%2Fs41598-018-24331-0_Figure3legend.tsv","10.1038/s41598-018-24331-0","DOI","Figure3legend","https://doi.org/10.1038/s41598-018-24331-0","",13,11,"Region_code; Structure; Species; Group; n_MH; MH_mean_Vol.cc; MH_sd_Vol.cc; MH_mean_Vol.mm3; MH_sd_Vol.mm3; MH_CV; source","Kochiyama, T., Ogihara, N., Tanabe, H. C., Kondo, O., Amano, H., Hasegawa, K., Suzuki, H., Ponce de Leon, M. S., Zollikofer, C. P. E., Bastir, M., Stringer, C., Sadato, N., & Akazawa, T. (2018). Reconstructing the Neanderthal brain using computational anatomy. Sci Rep, 8(1), 6296. https://doi.org/10.1038/s41598-018-24331-0","Kochiyama et al. (2018)","Kochiyama","2018"
"10.1038%2Fs41598-018-24331-0_FossilSpecimensText.tsv","10.1038/s41598-018-24331-0","DOI","FossilSpecimensText","https://doi.org/10.1038/s41598-018-24331-0","",8,18,"Specimen; Taxon_code; Taxon_group; Species; date_min_yBP; date_max_yBP; date_mean_yBP; date_note; species_divergence_min_yBP; species_divergence_max_yBP; species_divergence_ref; Cerebrum_Vol.cc; Cerebrum_Vol.mm3; Cerebellum_Vol.cc; Cerebellum_Vol.mm3; Cerebellum_Cerebrum_ratio; date_refs_Kochiyama; source","Kochiyama, T., Ogihara, N., Tanabe, H. C., Kondo, O., Amano, H., Hasegawa, K., Suzuki, H., Ponce de Leon, M. S., Zollikofer, C. P. E., Bastir, M., Stringer, C., Sadato, N., & Akazawa, T. (2018). Reconstructing the Neanderthal brain using computational anatomy. Sci Rep, 8(1), 6296. https://doi.org/10.1038/s41598-018-24331-0","Kochiyama et al. (2018)","Kochiyama","2018"
"10.1038%2Fs41598-018-26062-8_Table1.tsv","10.1038/s41598-018-26062-8","DOI","Table1","https://doi.org/10.1038/s41598-018-26062-8","",11,8,"Species; Origin.of.Animals_Colony_Duisburg.Essen; Origin.of.Animals_Colony_České.Budějovice; Origin.of.Animals_Colony_Cape.Town; Origin.of.Animals_Wild.caught; Experimental.Use_Volumetry; Experimental.Use_Isotropic.fractionator; Experimental.Use_Brain.body.relationship","Kverkova, K., Belikova, T., Olkowicz, S., Pavelkova, Z., O'Riain, M. J., Sumbera, R., Burda, H., Bennett, N. C., & Nemec, P. (2018). Sociality does not drive the evolution of large brains in eusocial African mole-rats. Sci Rep, 8(1), 9203. https://doi.org/10.1038/s41598-018-26062-8","Kverkova et al. (2018)","Kverkova","2018"
"10.1038%2Fs41598-018-26062-8_TableS1.tsv","10.1038/s41598-018-26062-8","DOI","TableS1","https://doi.org/10.1038/s41598-018-26062-8","",11,47,"Species; Body_Mass.g; Body_Mass.g_SD; Brain_Mass.g; Brain_Mass.g_SD; Olfactory bulbs_Vol.mm3; Olfactory bulbs_Vol.mm3_SD; Olfactory bulbs_p.C.Brain; Olfactory cortices_Vol.mm3; Olfactory cortices_Vol.mm3_SD; Olfactory cortices_p.C.Brain; Neocortex_Vol.mm3; Neocortex_Vol.mm3_SD; Neocortex_p.C.Brain; Entorhinal cortex_Vol.mm3; Entorhinal cortex_Vol.mm3_SD; Entorhinal cortex_p.C.Brain; Hippocampus_Vol.mm3; Hippocampus_Vol.mm3_SD; Hippocampus_p.C.Brain; Amygdala_Vol.mm3; Amygdala_Vol.mm3_SD; Amygdala_p.C.Brain; Striatum_Vol.mm3; Striatum_Vol.mm3_SD; Striatum_p.C.Brain; Septum_Vol.mm3; Septum_Vol.mm3_SD; Septum_p.C.Brain; Thalamus_Vol.mm3; Thalamus_Vol.mm3_SD; Thalamus_p.C.Brain; Hypothalamus_Vol.mm3; Hypothalamus_Vol.mm3_SD; Hypothalamus_p.C.Brain; Cerebellum_Vol.mm3; Cerebellum_Vol.mm3_SD; Cerebellum_p.C.Brain; Tectum_Vol.mm3; Tectum_Vol.mm3_SD; Tectum_p.C.Brain; Tegmentum_Vol.mm3; Tegmentum_Vol.mm3_SD; Tegmentum_p.C.Brain; Medulla oblongata_Vol.mm3; Medulla oblongata_Vol.mm3_SD; Medulla oblongata_p.C.Brain","Kverkova, K., Belikova, T., Olkowicz, S., Pavelkova, Z., O'Riain, M. J., Sumbera, R., Burda, H., Bennett, N. C., & Nemec, P. (2018). Sociality does not drive the evolution of large brains in eusocial African mole-rats. Sci Rep, 8(1), 9203. https://doi.org/10.1038/s41598-018-26062-8","Kverkova et al. (2018)","Kverkova","2018"
"10.1038%2Fs41598-018-26062-8_TableS5.tsv","10.1038/s41598-018-26062-8","DOI","TableS5","https://doi.org/10.1038/s41598-018-26062-8","",11,13,"Species; Whole brain_N.n; Whole brain_N.n_SD; Olfactory bulbs_N.n; Olfactory bulbs_N.n_SD; Cortex_N.n; Cortex_N.n_SD; Subcortical forebrain_N.n; Subcortical forebrain_N.n_SD; Cerebellum_N.n; Cerebellum_N.n_SD; Brain stem_N.n; Brain stem_N.n_SD","Kverkova, K., Belikova, T., Olkowicz, S., Pavelkova, Z., O'Riain, M. J., Sumbera, R., Burda, H., Bennett, N. C., & Nemec, P. (2018). Sociality does not drive the evolution of large brains in eusocial African mole-rats. Sci Rep, 8(1), 9203. https://doi.org/10.1038/s41598-018-26062-8","Kverkova et al. (2018)","Kverkova","2018"
"10.1038%2Fsrep24528_TableS1.tsv","10.1038/srep24528","DOI","TableS1","https://doi.org/10.1038/srep24528","",37,19,"Species; MC; study_site; n_bouts; n_individuals; ECV_ml; body_mass_g; neocortex_g; cerebellum_g; brain_assoc_body_mass_g; terrestriality; diet_quality; diet_category; tool_use; extractive_foraging; cog_test_1; cog_test_2; group_size; source","Heldstab, S. A., Kosonen, Z. K., Koski, S. E., Burkart, J. M., van Schaik, C. P., & Isler, K. (2016). Manipulation complexity in primates coevolved with brain size and terrestriality. Sci Rep, 6, 24528. https://doi.org/10.1038/srep24528","Heldstab et al. (2016)","Heldstab","2016"
"10.1073%2Fpnas.0305760101_Table2.tsv","10.1073/pnas.0305760101","DOI","Table2","https://doi.org/10.1073/pnas.0305760101","",55,13,"species; species_as_published; frontal_grey_cm3; rest_of_cortex_grey_cm3; frontal_ratio; whole_brain_cm3; neocortex_grey_cm3; neocortex_white_cm3; activity; diet; group_type; group_size; source","Bush, E. C., & Allman, J. M. (2004). The scaling of frontal cortex in primates and carnivores. Proc Natl Acad Sci U S A, 101(11), 3962-3966. https://doi.org/10.1073/pnas.0305760101","Bush et al. (2004)","Bush","2004"
"10.1073%2Fpnas.0905777106_TableS1.tsv","10.1073/pnas.0905777106","DOI","TableS1","https://doi.org/10.1073/pnas.0905777106","",24,14,"Species; Common name; Absolute Brain Mass (g); Neonatal Brain Mass (g); Body Mass (g); Gestation (days); Walking onset (Postnatal days); Walking onset (Postconception days); Precocial/Altricial; Hindlimb Standing Position; Absolute Brain Mass (g) Ref; Body Mass (g) Ref; Gestation (days) Ref; Walking onset (Postnatal days) Ref","Garwicz, M., Christensson, M., & Psouni, E. (2009). A unifying model for timing of walking onset in humans and other mammals. Proc Natl Acad Sci U S A, 106(51), 21889-21893. https://doi.org/10.1073/pnas.0905777106","Garwicz et al. (2009)","Garwicz","2009"
"10.1073%2Fpnas.1010356107_DatasetS1.tsv","10.1073/pnas.1010356107","DOI","DatasetS1","https://doi.org/10.1073/pnas.1010356107","",244,17,"Species; common_name; specimen; hemisphere; piece_id; piece_type; surface_area_mm2; tissue_weight_g; total_cells; neun_percent_printed; neun_ratio; total_neurons; cell_density_per_g; cell_density_per_mm2; neuron_density_per_g; neuron_density_per_mm2; source","Collins, C. E., Airey, D. C., Young, N. A., Leitch, D. B., & Kaas, J. H. (2010). Neuron densities vary across and within cortical areas in primates. Proc Natl Acad Sci U S A, 107(36), 15927-15932. https://doi.org/10.1073/pnas.1010356107","Collins et al. (2010)","Collins","2010"
"10.1073%2Fpnas.1318894110_Table1.tsv","10.1073/pnas.1318894110","DOI","Table1","https://doi.org/10.1073/pnas.1318894110","",16,21,"Species; species_as_published; species_code; case; neurological_condition; region; total_cells; cell_density_per_cm2; total_neurons; neuron_density_per_cm2; pct_neurons; age_y; sex; body_weight_kg; brain_weight_g; hemisphere; cortical_surface_area_cm2; perfusion_method; specimen_duplicate_of; comparative_use; source","Young, N. A., Szabo, C. A., Phelix, C. F., Flaherty, D. K., Balaram, P., Foust-Yeoman, K. B., Collins, C. E., & Kaas, J. H. (2013). Epileptic baboons have lower numbers of neurons in specific areas of cortex. Proc Natl Acad Sci U S A, 110(47), 19107-19112. https://doi.org/10.1073/pnas.1318894110","Young et al. (2013)","Young","2013"
"10.1073%2Fpnas.1524208113_Table1.tsv","10.1073/pnas.1524208113","DOI","Table1","https://doi.org/10.1073/pnas.1524208113","",8,21,"Species; common_name; specimen; structure; hemisphere; method; note; brain_mass_g; body_weight_kg; volume_cm3; area_cm2; pct_neocortical_area; n_cells; n_neurons; pct_neurons; cells_per_cm2; cells_per_g; neurons_per_cm2; neurons_per_g; specimen_overlap; source","Collins, C. E., Turner, E. C., Sawyer, E. K., Reed, J. L., Young, N. A., Flaherty, D. K., & Kaas, J. H. (2016). Cortical cell and neuron density estimates in one chimpanzee hemisphere. Proc Natl Acad Sci U S A, 113(3), 740-745. https://doi.org/10.1073/pnas.1524208113","Collins et al. (2016)","Collins","2016"
"10.1073%2Fpnas.1716956116_SupplementaryTableS1.tsv","10.1073/pnas.1716956116","DOI","SupplementaryTableS1","https://doi.org/10.1073/pnas.1716956116","",38,9,"taxon_group; Species; VT_mm3; VG_mm3; VW_mm3; AT_mm2; T_mm; AE_mm2; N","Mota, B., Dos Santos, S. E., Ventura-Antunes, L., Jardim-Messeder, D., Neves, K., Kazu, R. S., Noctor, S., Lambert, K., Bertelsen, M. F., Manger, P. R., Sherwood, C. C., Kaas, J. H., & Herculano-Houzel, S. (2019). White matter volume and white/gray matter ratio in mammalian species as a consequence of the universal scaling of cortical folding. Proc Natl Acad Sci U S A, 116(30), 15253-15261. https://doi.org/10.1073/pnas.1716956116","Mota et al. (2019)","Mota","2019"
"10.1080%2F09524622.2021.1905065_Figure1.tsv","10.1080/09524622.2021.1905065","DOI","Figure1","https://doi.org/10.1080/09524622.2021.1905065","",67,10,"taxa_group; common_name; Species; play_specific; vocalisation_name; acoustic_descriptors; reference; figure1_feature_category; loud_play_vocalisation; source","Winkler, S. L., & Bryant, G. A. (2021). Play vocalisations and human laughter: a comparative review. Bioacoustics, 1-28. https://doi.org/10.1080/09524622.2021.1905065","Winkler et al. (2021)","Winkler","2021"
"10.1093%2Fcercor%2Fbhy315_Table4.tsv","10.1093/cercor/bhy315","DOI","Table4","https://doi.org/10.1093/cercor/bhy315","",4,9,"Group; N; Event_time; V1 Surface area Left; V1 Surface area Right; Cortex surface area Left; Cortex surface area Right; % SC VSAR Left; % SC VSAR Right","Andelin, A. K., Olavarria, J. F., Fine, I., Taber, E. N., Schwartz, D., Kroenke, C. D., & Stevens, A. A. (2019). The Effect of Onset Age of Visual Deprivation on Visual Cortex Surface Area Across-Species. Cereb Cortex, 29(10), 4321-4333. https://doi.org/10.1093/cercor/bhy315","Andelin et al. (2019)","Andelin","2019"
"10.1093%2Fjmammal%2Fgyz043_SupplementaryDataSD1.tsv","10.1093/jmammal/gyz043","DOI","SupplementaryDataSD1","https://doi.org/10.1093/jmammal/gyz043","10.1093%2Fjmammal%2Fgyz043.ReadMe.md",1552,14,"Binomial; order; family; genus; species; Sample_size.brain; Sample_size.body; Sex; Mean_brain_mass_g; Mean_body_mass_g; BrainReference1; BrainReference2; Brain.resid; T_resid","Burger, J. R., George, M. A., Leadbetter, C., & Shaikh, F. (2019). The allometry of brain size in mammals. J Mammal, 100(2), 276-283. https://doi.org/10.1093/jmammal/gyz043","Burger et al. (2019)","Burger","2019"
"10.1093%2Foso%2F9780198568742.003.0006_Table6.1.tsv","10.1093/oso/9780198568742.003.0006","DOI","Table6.1","https://doi.org/10.1093/oso/9780198568742.003.0006","",24,10,"Species; common_name; species_as_published; bodyweight_g; brainweight_g; visual_areas; somatomotor_areas; total_areas; cortical_area_mm2; source","Finlay, B. L., Cheung, D. T.-M., & Darlington, R. B. (2006). Developmental constraints on or developmental structure in brain evolution? In Y. Munakata & M. H. Johnson (Eds.), Processes of Change in Brain and Cognitive Development (Vol. 8208, pp. 131-162). Oxford University Press. https://doi.org/10.1093/oso/9780198568742.003.0006","Finlay et al. (2006)","Finlay","2006"
"10.1093%2Fscan%2Fnsv128_TableS1.tsv","10.1093/scan/nsv128","DOI","TableS1","https://doi.org/10.1093/scan/nsv128","",14,7,"species; common_name; subject_no; sex; age_years; brain_mass_g; source","Stimpson, C. D., Barger, N., Taglialatella, J. P., Gendron-Fitzpatrick, A., Hof, P. R., Hopkins, W. D., & Sherwood, C. C. (2015). Differential serotonergic innervation of the amygdala in bonobos and chimpanzees. Soc Cogn Affect Neurosci. https://doi.org/10.1093/scan/nsv128","Stimpson et al. (2015)","Stimpson","2015"
"10.1093%2Fscan%2Fnsv128_TableS2.tsv","10.1093/scan/nsv128","DOI","TableS2","https://doi.org/10.1093/scan/nsv128","",96,7,"subject_no; species; structure; volume_cm3; SERT_axon_density_um_per_um3; hemisphere; source","Stimpson, C. D., Barger, N., Taglialatella, J. P., Gendron-Fitzpatrick, A., Hof, P. R., Hopkins, W. D., & Sherwood, C. C. (2015). Differential serotonergic innervation of the amygdala in bonobos and chimpanzees. Soc Cogn Affect Neurosci. https://doi.org/10.1093/scan/nsv128","Stimpson et al. (2015)","Stimpson","2015"
"10.1098%2Frsos.170846_TableS1.tsv","10.1098/rsos.170846","DOI","TableS1","https://doi.org/10.1098/rsos.170846","",30,14,"Species; Specimen; Original_or_Cast; Foramen_radius_cm; Lumen_radius_cm; Total_QICA_cm3_s; Body_mass_note; Body_mass_kg; Body_mass_g; Body_mass_ref; Brain_volume_cm3; Brain_volume_ref; Age_note; Age_Mya","Seymour, R. S., Bosiocic, V., & Snelling, E. P. (2017). Correction to 'Fossil skulls reveal that blood flow rate to the brain increased faster than brain volume during human evolution'. R Soc Open Sci, 4(8), 170846. https://doi.org/10.1098/rsos.170846","Seymour et al. (2017)","Seymour","2017"
"10.1098%2Frspb.2015.1853_Table1.tsv","10.1098/rspb.2015.1853","DOI","Table1","https://doi.org/10.1098/rspb.2015.1853","",24,11,"species; category; brain.mass..g.or.cm3.; daily.sleep..h.; D.A..N.mg.1.mm.2.; NCX; DNCX..N.mg.1.; ACX..mm2.; O.N; T; MCX..g.or.cm3.","Herculano-Houzel, S. (2015). Decreasing sleep requirement with increasing numbers of neurons as a driver for bigger brains and bodies in mammalian evolution. Proc Biol Sci, 282(1816), 20151853. https://doi.org/10.1098/rspb.2015.1853","HerculanoHouzel et al. (2015)","HerculanoHouzel","2015"
"10.1098%2Frspb.2015.1853_Table2.tsv","10.1098/rspb.2015.1853","DOI","Table2","https://doi.org/10.1098/rspb.2015.1853","",17,9,"Age; Asleep %; MBR (g); NCX (g); NCX; O/N; DCX (N mg⁻¹); ACX (mm²); D/A,(N mg⁻¹mm⁻²)","Herculano-Houzel, S. (2015). Decreasing sleep requirement with increasing numbers of neurons as a driver for bigger brains and bodies in mammalian evolution. Proc Biol Sci, 282(1816), 20151853. https://doi.org/10.1098/rspb.2015.1853","HerculanoHouzel et al. (2015)","HerculanoHouzel","2015"
"10.1098%2Frspb.2019.2208_rspb20192208si002.tsv","10.1098/rspb.2019.2208","DOI","rspb20192208si002","https://doi.org/10.1098/rspb.2019.2208","",119,17,"Museum; Accession; Genus; Species; Species_binomial; Sex; ECV_ml; Right_foramen_area_mm2; Right_major_diam_mm; Right_minor_diam_mm; Right_radius_from_D_mm; Right_radius_from_area_mm; Left_foramen_area_mm2; Left_major_diam_mm; Left_minor_diam_mm; Left_radius_from_D_mm; Left_radius_from_area_mm","Seymour, R. S., Bosiocic, V., Snelling, E. P., Chikezie, P. C., Hu, Q., Nelson, T. J., Zipfel, B., & Miller, C. V. (2019). Cerebral blood flow rates in recent great apes are greater than in Australopithecus species that had equal or larger brains. Proc Biol Sci, 286(1915), 20192208. https://doi.org/10.1098/rspb.2019.2208","Seymour et al. (2019)","Seymour","2019"
"10.1098%2Frspb.2021.0937_MammalGait.tsv","10.1098/rspb.2021.0937","DOI","MammalGait","https://doi.org/10.1098/rspb.2021.0937","",154,10,"species_sci; Species; Order; Habitat; Duty_Factor; Phase; Gait; Foot_Posture; Hindlimb_Length.mm; Body_Mass.g","xml:space=""preserve"">Wimberly, A. N., Slater, G. J., & Granatosky, M. C. (2021). Evolutionary history of quadrupedal walking gaits shows mammalian release from locomotor constraint. Proceedings of the Royal Society B: Biological Sciences, 288(1959), 20210937. https://doi.org/10.1098/rspb.2021.0937","Wimberly et al. (2021)","Wimberly","2021"
"10.1111%2Fjzo.12608_TableS1.tsv","10.1111/jzo.12608","DOI","TableS1","https://doi.org/10.1111/jzo.12608","",174,10,"species_sci; Species; Order; Family; Captive_or_wild; Arboreal_terrestrial; Body_Mass.g; Intermembral_index; Locomotor_diversity_index; Citation","Granatosky, M. C. (2018). A Review of locomotor diversity in mammals with analyses exploring the influence of substrate use, body mass and intermembral index in primates. Journal of Zoology, 306(4), 207-216. https://doi.org/10.1111/jzo.12608","Granatosky et al. (2018)","Granatosky","2018"
"10.1126%2Fscience.aaa9101_TableS1.tsv","10.1126/science.aaa9101","DOI","TableS1","https://doi.org/10.1126/science.aaa9101","",66,10,"species_sci; Species; taxon_group; AG_own_mm2; FI_own; T_own_mm; AG_other_mm2; FI_other; T_other_mm; Reference","Mota, B., & Herculano-Houzel, S. (2015). Cortical folding scales universally with surface area and thickness, not number of neurons. Science, 349(6243), 74-77. https://doi.org/10.1126/science.aaa9101","Mota et al. (2015)","Mota","2015"
"10.1159%2F000006575_Table1.tsv","10.1159/000006575","DOI","Table1","https://doi.org/10.1159/000006575","",11,12,"species; species_abbrev; common_name; n_males; n_females; body_weight_kg; body_weight_kg_SEM; brain_volume_cc; brain_volume_cc_SEM; cerebellum_volume_cc; cerebellum_volume_cc_SEM; source","Rilling, J. K., & Insel, T. R. (1998). Evolution of the cerebellum in primates: differences in relative volume among monkeys, apes and humans. Brain Behav Evol, 52(6), 308-314. https://doi.org/10.1159/000006575","Rilling et al. (1998)","Rilling","1998"
"10.1159%2F000068880_Table1.tsv","10.1159/000068880","DOI","Table1","https://doi.org/10.1159/000068880","",45,7,"species; group; cer_white_cm3; cer_gray_cm3; neo_white_cm3; neo_gray_cm3; source","Bush, E. C., & Allman, J. M. (2003). The scaling of white matter to gray matter in cerebellum and neocortex. Brain Behav Evol, 61(1), 1-5. https://doi.org/10.1159/000068880","Bush et al. (2003)","Bush","2003"
"10.1159%2F000124401_TableI.tsv","10.1159/000124401","DOI","TableI","https://doi.org/10.1159/000124401","",69,19,"Animal; Species; Species_as_printed; species_basis; Digital dexterity; Body weight kg; Number of fibers per tract; Number of fibers per tract ref; Largest fiber diameter µm; Largest fiber diameter µm ref; Average fiber size x 10ˆ5 K; Area of tract mmˆ2; Area of tract mmˆ2 ref; Penetration down spinal cord; Penetration down spinal cord ref; Lamina of axon terminals deepest; Lamina of axon terminals deepest ref; Lamina of axon terminals densest; Lamina of axon terminals densest ref","Heffner, R., & Masterton, B. (1975). Variation in form of the pyramidal tract and its relationship to digital dexterity. Brain Behav Evol, 12(3), 161-200. https://doi.org/10.1159/000124401","Heffner et al. (1975)","Heffner","1975"
"10.1159%2F000155963_TableI.tsv","10.1159/000155963","DOI","TableI","https://doi.org/10.1159/000155963","",28,13,"species; group; Body_weight; Brain_weight; Ventricles; Meninges_hypophysis_nerves_etc.; Total_brain_net_volume; Medulla_oblongata; Cerebellum; Mesencephalon; Diencephalon; Telencephalon; source","Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963","Stephan et al. (1981)","Stephan","1981"
"10.1159%2F000155963_TableII.tsv","10.1159/000155963","DOI","TableII","https://doi.org/10.1159/000155963","",21,13,"species; group; Body_weight; Brain_weight; Ventricles; Meninges_hypophysis_nerves_etc.; Total_brain_net_volume; Medulla_oblongata; Cerebellum; Mesencephalon; Diencephalon; Telencephalon; source","Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963","Stephan et al. (1981)","Stephan","1981"
"10.1159%2F000155963_TableIII.tsv","10.1159/000155963","DOI","TableIII","https://doi.org/10.1159/000155963","",27,13,"species; group; Body_weight; Brain_weight; Ventricles; Meninges_hypophysis_nerves_etc.; Total_brain_net_volume; Medulla_oblongata; Cerebellum; Mesencephalon; Diencephalon; Telencephalon; source","Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963","Stephan et al. (1981)","Stephan","1981"
"10.1159%2F000155963_TableIV.tsv","10.1159/000155963","DOI","TableIV","https://doi.org/10.1159/000155963","",28,11,"species; group; Bulbus_olfactorius; Bulbus_olfactorius_accessorius; Lobus_piriformis; Septum; Striatum; Schizo_cortex; Hippocampus; Neocortex; source","Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963","Stephan et al. (1981)","Stephan","1981"
"10.1159%2F000155963_TableIX.tsv","10.1159/000155963","DOI","TableIX","https://doi.org/10.1159/000155963","",40,5,"species; group; Area_striata; Corpus_geniculatum_laterale; source","Stephan, H., Frahm, H., & Baron, G. (1981). New and revised data on volumes of brain structures in insectivores and primates. Folia Primatol (Basel), 35(1), 1-29. https://doi.org/10.1159/000155963","Stephan et al. (1981)","Stephan","1981"
