"Species","Variable","Value","Source"
"Tarsius syrichta","Weaning_period_days","81.33333333","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Weight_at_birth_g","24.925","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Juvenility_primates_years","1.82","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Juvenility_days","837.25","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Max_home_range_ha","1.3","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Activity_timing","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Diet_breadth","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Trophic_level","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Social_group_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Adult_head_body_length_mm","117.74","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Altricial_precocial","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Basal_metabolic_rate","76.7","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Habitat_breadth","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Glia_neuron_ratio","0.25","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Neuronal_density","200103","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Glial_cell_density","50425","Lewitus et al. 2014 (glia, gyrification & life history)"
"Tarsius syrichta","Phylo_rank","36","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Body_weight","71.828","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Brain_weight_g","1.846666667","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Neocortex_mm^3","740","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","GI","1.1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Ventricle_mm^3","11.3","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Maximum_lifespan_yrs","15.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Age_at_first_breeding_F_mnths","14.83333333","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Age_at_first_breeding_days","451.1805555","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Female_sexual_maturity_days","243","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Male_sexual_maturity_days","243","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Gestation_days","60.75","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Litter_size","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Litters_per_year","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Inter-litter_interval_days","250","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Weaning_period_days","39","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Weight_at_birth_g","5.525","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Juvenility_primates_years","0.73","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Juvenility_days","412.1805555","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Max_home_range_ha","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","% Fruit and seeds","51","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Activity_timing","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Diet_breadth","5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Trophic_level","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Population_group_size","3.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Social_group_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Adult_head_body_length_mm","143.61","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Altricial_precocial","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Basal_metabolic_rate","84.06999999999999","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Habitat_breadth","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Social_system","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Glia_neuron_ratio","0.59","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Neuronal_density","190546","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Glial_cell_density","112202","Lewitus et al. 2014 (glia, gyrification & life history)"
"Microcebus murinus","Phylo_rank","37","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Body_weight","433.25","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Brain_weight_g","6.433333333","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Neocortex_mm^3","2938","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","GI","1.15","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Ventricle_mm^3","83.40000000000001","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Maximum_lifespan_yrs","15","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Female_sexual_maturity_days","365","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Male_sexual_maturity_days","365","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Gestation_days","70","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Litter_size","2.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Litters_per_year","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Inter-litter_interval_days","365","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Weaning_period_days","45","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Weight_at_birth_g","14.09","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Max_home_range_ha","4.2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Activity_timing","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Diet_breadth","5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Trophic_level","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Population_group_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Social_group_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Adult_head_body_length_mm","225","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Altricial_precocial","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Habitat_breadth","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Social_system","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus major","Phylo_rank","38","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Body_weight","214","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Brain_weight_g","3.013333333","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Neocortex_mm^3","1221","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","GI","1.11","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Ventricle_mm^3","24.6","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Maximum_lifespan_yrs","19.25","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Age_at_first_breeding_F_mnths","14.33333333","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Age_at_first_breeding_days","435.9722221","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Female_sexual_maturity_days","365","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Male_sexual_maturity_days","730","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Gestation_days","61.66666667","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Litter_size","2.25","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Litters_per_year","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Inter-litter_interval_days","365","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Weaning_period_days","61.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Weight_at_birth_g","19","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Juvenility_primates_years","0.86","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Juvenility_days","374.4722221","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Max_home_range_ha","4","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Activity_timing","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Diet_breadth","5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Trophic_level","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Population_group_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Social_group_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Adult_head_body_length_mm","225","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Altricial_precocial","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Basal_metabolic_rate","148.1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Habitat_breadth","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Social_system","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Glia_neuron_ratio","0.59","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Neuronal_density","186209","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Glial_cell_density","109648","Lewitus et al. 2014 (glia, gyrification & life history)"
"Cheirogaleus medius","Phylo_rank","39","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Body_weight","1200.1428","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Brain_weight_g","10.6475","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Neocortex_mm^3","4813","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","GI","1.255","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Ventricle_mm^3","172","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Age_at_first_breeding_F_mnths","30.9","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Age_at_first_breeding_days","939.875","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Gestation_days","135","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Litter_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Inter-litter_interval_days","365","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Weaning_period_days","165","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Weight_at_birth_g","29","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Weight_at_weaning_g","500","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Juvenility_days","774.875","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Max_home_range_ha","1.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Activity_timing","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Diet_breadth","3","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Trophic_level","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Social_group_size","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Adult_head_body_length_mm","275","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Altricial_precocial","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Habitat_breadth","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Social_system","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi laniger","Phylo_rank","40","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Body_weight","832.333","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Brain_weight_g","9.685","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Neocortex_mm^3","4443","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","GI","1.145","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Ventricle_mm^3","73.7","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Gestation_days","135","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Litter_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Max_home_range_ha","1.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Activity_timing","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Diet_breadth","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Trophic_level","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Social_group_size","3","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Altricial_precocial","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Habitat_breadth","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Social_system","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Avahi occidentalis","Phylo_rank","41","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Body_weight","3547.125","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Brain_weight_g","26.9","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Neocortex_mm^3","13170","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","GI","1.345","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Ventricle_mm^3","231","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Maximum_lifespan_yrs","20.6","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Age_at_first_breeding_F_mnths","43.46666667","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Age_at_first_breeding_days","1322.111111","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Female_sexual_maturity_days","912","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Male_sexual_maturity_days","912","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Gestation_days","146.75","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Litter_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Litters_per_year","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Inter-litter_interval_days","448.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Weaning_period_days","173.25","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Weight_at_birth_g","94.15000000000001","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Weight_at_weaning_g","1000","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Juvenility_primates_years","2.62","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Juvenility_days","1148.861111","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Max_home_range_ha","8.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","% Fruit and seeds","41","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Activity_timing","3","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Diet_breadth","3","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Trophic_level","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Population_group_size","7.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Social_group_size","6.3","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Adult_head_body_length_mm","472.49","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Altricial_precocial","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Basal_metabolic_rate","670","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Habitat_breadth","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Social_system","3","Lewitus et al. 2014 (glia, gyrification & life history)"
"Propithecus verreauxi","Phylo_rank","42","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Body_weight","7410.8333","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Brain_weight_g","37.35","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Neocortex_mm^3","20114","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","GI","1.455","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Ventricle_mm^3","330","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Maximum_lifespan_yrs","34.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Age_at_first_breeding_F_mnths","84","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Age_at_first_breeding_days","2555","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Female_sexual_maturity_days","2008","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Male_sexual_maturity_days","2008","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Gestation_days","159.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Litter_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Litters_per_year","0.42","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Inter-litter_interval_days","906","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Weaning_period_days","364.3333333","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Weight_at_birth_g","300","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Juvenility_days","2190.666667","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Max_home_range_ha","18","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","% Fruit and seeds","43","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Activity_timing","3","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Diet_breadth","4","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Trophic_level","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Population_group_size","3.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Social_group_size","3.1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Adult_head_body_length_mm","734.99","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Altricial_precocial","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Habitat_breadth","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Indri indri","Phylo_rank","43","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Body_weight","2640.285","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Brain_weight_g","44.8875","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Neocortex_mm^3","22127","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","GI","1.25","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Ventricle_mm^3","392","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Maximum_lifespan_yrs","24.25","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Age_at_first_breeding_F_mnths","35.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Age_at_first_breeding_days","1079.791667","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Female_sexual_maturity_days","882","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Gestation_days","164.5","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Litter_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Litters_per_year","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Inter-litter_interval_days","756","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Weaning_period_days","244","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Weight_at_birth_g","119.3333333","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Weight_at_weaning_g","1535","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Juvenility_primates_years","2.04","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Juvenility_days","835.7916667","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Max_home_range_ha","11","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","% Fruit and seeds","0","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Activity_timing","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Diet_breadth","6","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Trophic_level","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Population_group_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Social_group_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Adult_head_body_length_mm","400","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Altricial_precocial","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Basal_metabolic_rate","1393.9","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Habitat_breadth","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Daubentonia madagascariensis","Phylo_rank","44","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Body_weight","1933.8","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Brain_weight_g","28.1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Neonate_brain_weight_g","10.69","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Neocortex_mm^3","12207","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","GI","1.46","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Ventricle_mm^3","194","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Maximum_lifespan_yrs","36","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Age_at_first_breeding_F_mnths","29.875","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Age_at_first_breeding_days","908.6979167","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Female_sexual_maturity_days","548","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Male_sexual_maturity_days","548","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Gestation_days","120","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Litter_size","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Inter-litter_interval_days","730","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Weaning_period_days","159","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Weight_at_birth_g","75.7","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Weight_at_weaning_g","1350","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Juvenility_primates_years","1.46","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Juvenility_days","749.6979167","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Max_home_range_ha","8.75","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Activity_timing","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Diet_breadth","4","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Trophic_level","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Population_group_size","9.25","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Social_group_size","9.15","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Adult_head_body_length_mm","469.62","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Altricial_precocial","2","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Habitat_breadth","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Social_system","3","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur fulvus","Phylo_rank","45","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Body_weight","1632.75","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Brain_weight_g","20.75","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","GI","1.33","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Maximum_lifespan_yrs","30","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Age_at_first_breeding_F_mnths","30.1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Age_at_first_breeding_days","915.5416667","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Female_sexual_maturity_days","550","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Male_sexual_maturity_days","550","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Gestation_days","127.6666667","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Litter_size","1.05","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Litters_per_year","1","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Weaning_period_days","152","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Weight_at_birth_g","58.4","Lewitus et al. 2014 (glia, gyrification & life history)"
"Eulemur mongoz","Weight_at_weaning_g","60","Lewitus et al. 2014 (glia, gyrification & life history)"
