"Species","Variable","Value","Source"
"Camelus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Camelus","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Camelus","Body weight kg","570","Heffner & Masterton 1975 (dexterity)"
"Camelus","Largest fiber diameter µm","6","VERHAART, 1970"
"Felis catus","Species_as_printed","Felis catus","Heffner & Masterton 1975 (dexterity)"
"Felis catus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Felis catus","Digital dexterity","2","Heffner & Masterton 1975 (dexterity)"
"Felis catus","Body weight kg","3.5","Heffner & Masterton 1975 (dexterity)"
"Felis catus","Number of fibers per tract","186000","LASSEK and RASMUSSEN, 1940"
"Felis catus","Largest fiber diameter µm","5","SCHIEBEL and SCHIEBEL, 1966"
"Felis catus","Average fiber size x 10ˆ5 K","0.6","Heffner & Masterton 1975 (dexterity)"
"Felis catus","Area of tract mmˆ2","1.13","Heffner & Masterton 1975 (dexterity)"
"Felis catus","Penetration down spinal cord","S","NYBERG-HANSEN and BRODAL, 1963"
"Felis catus","Lamina of axon terminals deepest","8","NYBERG-HANSEN and BRODAL, 1963"
"Felis catus","Lamina of axon terminals densest","6","NYBERG-HANSEN and BRODAL, 1963"
"Pan troglodytes","Species_as_printed","Pan troglodytes","Heffner & Masterton 1975 (dexterity)"
"Pan troglodytes","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Pan troglodytes","Digital dexterity","6","Heffner & Masterton 1975 (dexterity)"
"Pan troglodytes","Body weight kg","44","Heffner & Masterton 1975 (dexterity)"
"Pan troglodytes","Number of fibers per tract","807000","LASSEK and WHEATLEY, 1945"
"Pan troglodytes","Average fiber size x 10ˆ5 K","0.96","Heffner & Masterton 1975 (dexterity)"
"Pan troglodytes","Area of tract mmˆ2","7.77","Heffner & Masterton 1975 (dexterity)"
"Pan troglodytes","Penetration down spinal cord","coccygeal","PETRAS, 1968"
"Pan troglodytes","Lamina of axon terminals deepest","10","PETRAS, 1968"
"Pan troglodytes","Lamina of axon terminals densest","6","PETRAS, 1968"
"Tamias striatus","Species_as_printed","Tamias striatus","Heffner & Masterton 1975 (dexterity)"
"Tamias striatus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Tamias striatus","Digital dexterity","3","Heffner & Masterton 1975 (dexterity)"
"Tamias striatus","Body weight kg","0.1","Heffner & Masterton 1975 (dexterity)"
"Tamias striatus","Area of tract mmˆ2","0.26","Heffner & Masterton 1975 (dexterity)"
"Tamias striatus","Penetration down spinal cord","S","SIMPSON, 1914"
"Myocastor coypus","Species_as_printed","Myocastor coypus","Heffner & Masterton 1975 (dexterity)"
"Myocastor coypus","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Myocastor coypus","Digital dexterity","3","Heffner & Masterton 1975 (dexterity)"
"Myocastor coypus","Body weight kg","5","Heffner & Masterton 1975 (dexterity)"
