Species,Variable,Value,Teams,n_teams
Alouatta seniculus,Cerebellum_Vol.mm3,4924.5,Stephan_collection; Zilles,2
Alouatta seniculus,Commissura_anterior_Vol.mm3,79.8,Stephan_collection,1
Alouatta seniculus,Complexus_centromedialis_Vol.mm3,101.7,Stephan_collection,1
Alouatta seniculus,Complexus_corticobasolateralis_Vol.mm3,324.3,Stephan_collection,1
Alouatta seniculus,Complexus_sensorius_trigeminalis_Vol.mm3,79.1,Stephan_collection,1
Alouatta seniculus,Complexus_vestibularis_Vol.mm3,76.8,Stephan_collection,1
Alouatta seniculus,Corpus_geniculatum_laterale_Vol.mm3,87.4,Stephan_collection,1
Alouatta seniculus,Corpus_pineal_Vol.mm3,0.254,Stephan_collection,1
Alouatta seniculus,Corpus_subcommissurale_Vol.mm3,0.402,Stephan_collection,1
Alouatta seniculus,Corpus_subfornicale_Vol.mm3,0.372,Stephan_collection,1
Alouatta seniculus,Diencephalon_Vol.mm3,3344,Stephan_collection,1
Alouatta seniculus,Facial_motor_nucleus_left_Vol.mm3,1.73,Zilles,1
Alouatta seniculus,Fascia_dentata_Vol.mm3,163.64,Stephan_collection,1
Alouatta seniculus,FrontalCortex_grey_matter_Vol.mm3,5510,Zilles,1
Alouatta seniculus,FrontalCortex_white_matter_Vol.mm3,2780,Zilles,1
Alouatta seniculus,HP_HS_fibers_Vol.mm3,315.03,Stephan_collection,1
Alouatta seniculus,Hilus_Vol.mm3,67.88,Stephan_collection,1
Alouatta seniculus,Hippocampus_Vol.mm3,1319.79,Stephan_collection,1
Alouatta seniculus,Hippocampus_retrocommissuralis_Vol.mm3,1004.76,Stephan_collection,1
Alouatta seniculus,Hypoglossal_nucleus_left_Vol.mm3,1.62,Zilles,1
Alouatta seniculus,Interpositus_cerebellar_nuclei_Vol.mm3,26.57,Stephan_collection,1
Alouatta seniculus,Lateral_cerebellar_nuclei_Vol.mm3,59.75,Stephan_collection,1
Alouatta seniculus,Lobus_piriformis_Vol.mm3,827,Stephan_collection,1
Alouatta seniculus,Medial_cerebellar_nuclei_Vol.mm3,27.47,Stephan_collection,1
Alouatta seniculus,Medulla_oblongata_Vol.mm3,1593.125,Stephan_collection; Zilles,2
Alouatta seniculus,Mesencephalon_Vol.mm3,986,Stephan_collection,1
Alouatta seniculus,Middle_temporal_visual_area_Vol.mm3,220,Stephan_collection,1
Alouatta seniculus,Neocortex_Vol.mm3,31660,Stephan_collection,1
Alouatta seniculus,Neocortex_grey_matter_Vol.mm3,21791,Stephan_collection,1
Alouatta seniculus,Neocortex_lamina_1_Vol.mm3,2918,Stephan_collection,1
Alouatta seniculus,Neocortex_laminae_2_6_Vol.mm3,18874,Stephan_collection,1
Alouatta seniculus,Neocortex_white_matter_Vol.mm3,9869,Stephan_collection,1
Alouatta seniculus,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3,31.4,Stephan_collection,1
Alouatta seniculus,Nucleus_habenularis_medialis_Vol.mm3,3.3,Stephan_collection,1
Alouatta seniculus,Nucleus_septalis_triangularis_Vol.mm3,1.72,Stephan_collection,1
Alouatta seniculus,Nucleus_tractus_olfactorius_Vol.mm3,0,Stephan_collection,1
Alouatta seniculus,Nucleus_vestibularis_descendens_Vol.mm3,18.8,Stephan_collection,1
Alouatta seniculus,Nucleus_vestibularis_lateralis_Vol.mm3,15.6,Stephan_collection,1
Alouatta seniculus,Nucleus_vestibularis_medialis_Vol.mm3,26.6,Stephan_collection,1
Alouatta seniculus,Nucleus_vestibularis_superior_Vol.mm3,15.8,Stephan_collection,1
Alouatta seniculus,Palaeocortex_Vol.mm3,488,Stephan_collection,1
Alouatta seniculus,Palaeocortex_plus_amygdala_Vol.mm3,943,Stephan_collection,1
Alouatta seniculus,Prepiriform_cortex_Vol.mm3,158.3,Stephan_collection,1
Alouatta seniculus,Retrobulbar_cortex_Vol.mm3,26.2,Stephan_collection,1
Alouatta seniculus,Schizo_cortex_Vol.mm3,510,Stephan_collection,1
Alouatta seniculus,Septum_Vol.mm3,200,Stephan_collection,1
Alouatta seniculus,Striatum_Vol.mm3,2829,Stephan_collection,1
Alouatta seniculus,Subiculum_Vol.mm3,117.67,Stephan_collection,1
Alouatta seniculus,Substantia_innominata_Vol.mm3,30.7,Stephan_collection,1
Alouatta seniculus,Telencephalon_Vol.mm3,37388,Stephan_collection,1
Alouatta seniculus,Total_brain_net_volume_Vol.mm3,43204.5,Stephan_collection; Zilles,2
Alouatta seniculus,Tractus_olfactorius_lateralis_Vol.mm3,17.2,Stephan_collection,1
Alouatta seniculus,Trigeminal_motor_nucleus_left_Vol.mm3,2.26,Zilles,1
