Species,measure_class,Measure,Units,Value,Value_median,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,value_min,value_max
Aotus nancymaae,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Aotus nancymaae,gait,Gait,category,DSDC,,1,1,1,True,Wimberly,primary,,
Aotus nancymaae,gait,Phase,percent,58.37598712,58.37598712,1,1,1,True,Wimberly,primary,58.37598712,58.37598712
Apodemus agrarius,gait,Duty_Factor,percent,74.01,74.01,1,1,1,True,Wimberly,primary,74.01,74.01
Apodemus agrarius,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Apodemus agrarius,gait,Gait,category,LSDC,,1,1,1,True,Wimberly,primary,,
Apodemus agrarius,gait,Phase,percent,35.52,35.52,1,1,1,True,Wimberly,primary,35.52,35.52
Apodemus flavicollis,gait,Duty_Factor,percent,72.51,72.51,1,1,1,True,Wimberly,primary,72.51,72.51
Apodemus flavicollis,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Apodemus flavicollis,gait,Gait,category,LSDC,,1,1,1,True,Wimberly,primary,,
Apodemus flavicollis,gait,Phase,percent,28.77,28.77,1,1,1,True,Wimberly,primary,28.77,28.77
Arctictis binturong,gait,Duty_Factor,percent,70.64,70.64,1,1,1,True,Wimberly,primary,70.64,70.64
Arctictis binturong,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Arctictis binturong,gait,Phase,percent,21.41,21.41,1,1,1,True,Wimberly,primary,21.41,21.41
Arctocebus calabarensis,vocalization,VocalRepertoire,count,2,2,1,1,1,True,Schniter,primary,2,2
Ateles ater,dexterity,Dexterity,1-7 scale,4,4,2,2,1,True,Heffner; Iwaniuk,primary; secondary,4,4
Ateles belzebuth,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Ateles belzebuth,locomotion,Locomotor_diversity_index,index,1.80198696987699,1.80198696987699,1,1,1,True,Granatosky,primary,1.80198696987699,1.80198696987699
Ateles chamek,vocalization,VocalRepertoire,count,14,14,1,1,0,False,ManyPrimates,secondary,14,14
Ateles fusciceps,gait,Duty_Factor,percent,59.80060125,59.80060125,1,1,1,True,Wimberly,primary,59.80060125,59.80060125
Ateles fusciceps,manipulation,Extractive_foraging,category,0,,1,1,1,True,Heldstab,primary,,
Ateles fusciceps,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Ateles fusciceps,gait,Gait,category,DSDC,,1,1,1,True,Wimberly,primary,,
Ateles fusciceps,handedness,Handedness_index_mean,HI,0.063,0.063,1,1,1,True,Caspar,primary,0.063,0.063
Ateles fusciceps,handedness,Handedness_strength_mean,abs(HI),0.798,0.798,1,1,1,True,Caspar,primary,0.798,0.798
Ateles fusciceps,manipulation,Manipulation_complexity,score,1.35,1.35,1,1,1,True,Heldstab,primary,1.35,1.35
Ateles fusciceps,gait,Phase,percent,71.24029949,71.24029949,1,1,1,True,Wimberly,primary,71.24029949,71.24029949
