"Species","Common name","Age (years)","Sex","Hemisphere","Fixation","Brain mass (g)","Neuron density (mm2)","Mitochondria density (mm2)","Synapse density (mm2)","PSD length (nm)"
"Bettongia penicillata","Bettong","10","Female","Right","Immersion","9.6","40,447","1214,281","632,260","388"
"Choloepus didactylus","Two-toed sloth","2","Female","Right","Immersion","36.0","17,425","1628,644","828,190","350"
"Dinomys branickii","Pacarana","11","Male","Right","Perfusion","36.3","13,537","1276,463","857,317","359"
"Giraffa camelopardalis","Giraffe","17","Female","Left","Immersion","675.0a","10,350","1123,306","662,832","344"
"Homo sapiens","Human","19","Male","Right","Immersion","1336.0b","7258","1318,314","672,542","352"
"Lemur catta","Ring-tailed lemur","16","Female","Right","Immersion","22.3","29,398","1560,863","571,193","317"
"Loxodonta africana","African bush elephant","Young adult","Male","Left","Perfusion","4835.0","3119","1455,067","732,506","310"
"Macropus rufogriseus","Bennett<U+2019>s wallaby","3","Male","Right","Immersion","28.2","23,211","1347,839","655,101","322"
"Mus musculus","Mouse","Adult","Male","Right","Perfusion","0.4","53,681","1287,821","870,361","262"
"Myrmecophaga tridactyla","Giant anteater",">1","Female","Right","Immersion","76.0","11,234","992,671","827,203","378"
"Neofelis nebulosa","Clouded leopard","14","Female","Left","Immersion","68.3a","13,736","1511,730","585,267","332"
"Pan troglodytes","Chimpanzee","23","Female","Left","Immersion","407.5","11,030","1459,302","800,016","339"
"Papio anubis","Olive baboon","7","Male","Right","Immersion","174.3","10,495","1678,743","578,396","299"
"Procavia capensis","Rock hyrax","1","Male","Right","Immersion","18.1","28,971","1071,012","709,600","331"
"Rangifer tarandus","Reindeer","7","Female","Left","Immersion","252.9","6635","1107,001","800,545","333"
"Saimiri sciureus","Squirrel monkey","25","Male","Right","Immersion","24.9","14,911","1245,053","571,222","307"
"Trichechus manatus","Manatee","Young adult","Female","Right","Perfusion","350.0","6258","1229,503","770,590","361"
"Ursus arctos","Kodiak bear","39","Female","Right","Immersion","385.0","9268","1100,947","598,439","403"
